Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;24,435;24,935;24,125;24,56;;
2021-12-29;24,69;25,075;23,485;24,435;;
2021-12-28;25,265;26,31;24,38;24,69;;
2021-12-27;25,17;25,93;23,865;25,265;;
2021-12-23;25,25;25,95;23,735;25,145;;
2021-12-22;26,725;27,155;24,77;25,25;;
2021-12-21;26,16;28,59;25,995;26,725;;
2021-12-20;25,745;27,125;24,335;26,16;;
2021-12-19;26,115;26,115;26,115;26,115;;
2021-12-18;26,035;26,115;26,035;26,115;;
2021-12-17;21,305;27,25;20,77;26,035;;
2021-12-16;22,75;23,295;21,28;21,505;;
2021-12-15;21,455;22,34;20,0125;21,945;;
2021-12-14;20,495;22,29;18,015;21,455;;
2021-12-13;24,07;24,60;19,9025;20,495;;
2021-12-12;24,09;24,09;24,07;24,07;;
2021-12-11;23,715;24,21;23,425;24,09;;
2021-12-10;25,905;26,435;22,985;23,715;;
2021-12-09;28,245;29,16;25,76;25,905;;
2021-12-08;27,59;29,915;26,37;28,245;;
2021-12-07;25,745;28,155;25,745;27,59;;
2021-12-06;25,365;26,92;23,81;25,565;;
2021-12-05;25,365;25,365;25,365;25,365;;
2021-12-04;25,75;25,75;25,31;25,365;;
2021-12-03;26,75;27,54;22,405;25,75;;
2021-12-02;26,34;27,505;23,89;26,75;;
2021-12-01;30,025;31,11;23,785;26,425;;
2021-11-30;32,61;32,615;29,02;30,025;;
2021-11-29;33,115;34,145;31,91;32,61;;
2021-11-28;33,115;33,115;33,115;33,115;;
2021-11-27;33,115;33,115;33,115;33,115;;
2021-11-26;34,63;34,63;31,82;33,115;;
2021-11-25;34,785;35,11;33,965;34,63;;
2021-11-24;34,875;35,22;33,53;34,785;;
2021-11-23;36,86;37,325;33,845;34,875;;
2021-11-22;36,405;38,11;35,66;36,725;;
2021-11-21;36,405;36,405;36,405;36,405;;
2021-11-20;36,375;36,405;36,375;36,405;;
2021-11-19;35,585;36,825;35,075;36,375;;
2021-11-18;37,04;37,425;34,995;35,485;;
2021-11-17;37,67;38,865;36,99;37,035;;
2021-11-16;37,375;39,215;36,335;37,70;;
2021-11-15;35,065;37,96;34,76;37,38;;
