Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;24,41;24,75;24,25;24,50;2.220;54.561
2021-12-29;24,99;24,99;23,60;24,45;21.093;517.672
2021-12-28;25,15;26,00;24,50;24,71;3.008;75.751
2021-12-27;25,50;25,58;24,00;25,44;5.866;147.406
2021-12-23;24,96;25,56;23,87;25,46;3.081;77.600
2021-12-22;26,61;26,99;25,00;25,59;5.196;134.570
2021-12-21;26,30;28,56;26,27;26,82;4.023;108.173
2021-12-20;26,21;27,00;24,35;26,37;13.169;335.720
2021-12-17;21,40;26,77;20,84;25,83;4.492;111.961
2021-12-16;22,30;23,06;21,77;21,79;6.219;140.120
2021-12-15;21,71;21,71;20,05;20,98;5.574;118.703
2021-12-14;19,805;22,00;18,05;21,58;39.721;783.464
2021-12-13;24,56;24,56;20,00;20,71;21.487;471.234
2021-12-10;26,10;26,11;23,22;24,14;8.099;199.858
2021-12-09;28,31;28,49;26,10;26,25;3.067;83.813
2021-12-08;27,40;29,54;26,50;29,10;2.873;80.186
2021-12-07;25,80;27,90;25,80;27,32;8.502;229.336
2021-12-06;26,15;26,80;24,10;25,66;11.689;298.694
2021-12-03;27,14;27,29;22,50;23,63;10.683;269.452
2021-12-02;26,30;27,33;24,00;26,43;15.220;396.401
2021-12-01;30,42;31,03;24,29;25,21;14.035;377.585
2021-11-30;32,21;32,40;29,13;30,18;8.395;254.160
2021-11-29;33,65;34,00;32,27;32,45;4.140;137.403
2021-11-26;34,20;34,20;31,91;33,02;5.793;188.735
2021-11-25;34,98;34,98;34,21;34,25;2.089;72.341
2021-11-24;34,81;35,27;33,98;34,96;2.738;95.608
2021-11-23;36,81;37,23;34,47;34,47;1.295;46.979
2021-11-22;36,35;38,12;35,86;36,75;3.326;121.715
2021-11-19;35,58;36,25;35,19;36,05;2.297;82.483
2021-11-18;37,02;37,31;35,01;35,01;3.895;140.890
2021-11-17;37,01;38,57;37,01;37,54;3.108;116.504
2021-11-16;37,23;39,00;36,50;38,70;11.263;423.366
2021-11-15;34,99;37,00;34,99;36,99;5.519;201.435
2021-11-12;34,69;35,23;34,15;34,45;2.683;92.827
2021-11-11;33,00;34,87;32,77;34,83;9.682;321.456
2021-11-10;33,93;35,32;32,96;33,88;6.569;223.536
2021-11-09;37,01;37,20;33,99;33,99;14.244;522.151
2021-11-08;36,19;39,34;35,93;39,25;9.792;368.107
2021-11-05;34,11;36,27;34,11;35,97;10.057;357.804
2021-11-04;34,25;35,51;34,22;34,22;3.155;109.999
2021-11-03;35,89;37,58;34,18;34,92;12.684;458.117
2021-11-02;32,34;33,00;31,80;32,59;11.737;382.132
2021-11-01;31,18;32,00;31,00;31,88;6.308;198.560
2021-10-29;29,81;31,28;29,81;31,20;3.842;117.574
2021-10-28;30,01;30,65;29,97;29,97;2.699;81.194
2021-10-27;31,01;31,43;30,28;30,28;5.860;181.189
2021-10-26;31,21;31,73;30,87;31,13;2.124;66.378
2021-10-25;31,30;32,59;29,50;31,75;9.115;283.116
2021-10-22;33,31;33,70;31,17;31,20;15.849;508.998
2021-10-21;35,10;36,00;34,60;34,60;5.606;196.971
2021-10-20;34,45;35,62;34,19;34,78;1.961;68.482
2021-10-19;36,76;38,00;36,42;36,59;3.448;128.150
2021-10-18;34,68;37,26;34,37;37,13;15.886;574.186
2021-10-15;34,40;35,77;34,31;35,09;2.413;84.052
2021-10-14;32,57;35,20;32,50;35,20;10.764;361.397
2021-10-13;31,81;32,34;31,42;32,34;4.307;137.452
2021-10-12;31,95;32,40;31,53;31,56;4.373;140.467
2021-10-11;32,22;33,30;31,60;32,91;6.892;221.536
2021-10-08;32,68;33,02;32,23;32,86;8.625;282.765
2021-10-07;32,17;33,04;31,71;33,04;2.041;66.448
2021-10-06;31,66;31,87;30,97;31,55;3.818;119.411
2021-10-05;31,27;32,79;31,26;32,10;10.186;324.678
2021-10-04;32,62;33,59;31,40;32,11;6.362;205.485
2021-10-01;33,87;34,51;32,80;33,13;3.905;132.840
2021-09-30;31,02;31,47;29,22;30,25;5.947;179.473
2021-09-29;32,00;32,59;30,79;31,33;4.284;136.957
2021-09-28;33,44;33,55;32,00;32,17;10.353;340.526
2021-09-27;34,48;34,55;33,90;34,41;4.362;149.291
2021-09-24;34,50;34,51;33,55;33,88;7.426;252.790
2021-09-23;34,62;35,78;34,40;34,64;7.806;271.893
2021-09-22;32,50;34,36;32,31;33,94;9.756;326.089
2021-09-21;33,20;35,45;32,34;33,12;10.784;364.723
2021-09-20;37,70;37,70;34,00;34,47;22.274;794.128
2021-09-17;39,50;39,67;38,00;38,57;10.199;396.874
2021-09-16;39,16;41,33;38,99;41,09;10.195;413.982
2021-09-15;40,15;40,34;37,22;40,16;8.046;315.103
2021-09-14;43,94;43,94;40,75;41,35;11.824;507.301
2021-09-13;43,18;44,38;42,86;44,18;28.938;1.262.268
2021-09-10;40,81;43,63;40,65;42,96;16.144;689.437
2021-09-09;39,31;40,77;38,49;40,77;8.343;330.336
2021-09-08;40,50;41,68;38,79;40,38;7.490;301.775
2021-09-07;37,42;40,30;37,09;39,71;4.936;190.489
2021-09-06;37,60;37,60;36,71;36,80;6.534;242.754
2021-09-03;37,73;37,73;35,89;35,90;8.944;327.900
2021-09-02;37,10;37,54;36,03;37,35;4.149;153.380
2021-09-01;39,89;41,04;37,00;37,00;17.084;676.760
2021-08-31;37,00;39,30;36,05;39,05;13.837;527.122
2021-08-30;36,50;38,18;34,28;38,07;27.010;975.405
2021-08-27;34,92;34,98;33,54;33,96;4.742;162.972
2021-08-26;36,81;38,00;35,50;36,84;9.108;332.885
2021-08-25;39,51;40,93;37,00;38,53;25.196;981.954
2021-08-24;31,99;33,70;31,30;33,70;4.007;128.473
2021-08-23;30,00;32,00;29,50;31,70;6.808;209.471
2021-08-20;28,00;29,27;27,68;28,98;2.588;73.698
2021-08-19;31,38;31,39;29,51;29,51;4.769;145.650
2021-08-18;31,88;32,81;31,20;32,25;6.936;220.875
2021-08-17;30,39;33,00;29,61;31,20;7.466;231.529
2021-08-16;29,35;30,63;27,97;30,42;17.236;507.542
2021-08-13;28,06;29,00;27,23;28,61;5.303;147.973
2021-08-12;27,24;28,30;26,40;28,30;8.020;216.478
2021-08-11;27,12;27,69;25,13;26,39;10.061;266.067
2021-08-10;30,00;32,23;28,00;28,17;14.586;448.533
2021-08-09;27,87;28,99;27,00;28,99;3.639;101.030
2021-08-06;29,30;29,30;26,89;27,26;11.162;319.059
2021-08-05;24,00;27,74;23,90;27,74;19.594;490.055
2021-08-04;28,30;29,34;25,43;25,94;14.734;394.191
2021-08-03;29,99;30,00;27,75;28,30;9.652;277.719
2021-08-02;31,80;32,00;30,21;30,33;5.240;162.651
2021-07-30;31,80;32,69;31,50;31,50;3.603;114.824
2021-07-29;32,76;33,60;32,17;32,89;5.051;167.378
2021-07-28;32,08;33,08;30,89;32,76;3.008;96.254
2021-07-27;34,59;34,59;31,50;31,71;5.569;185.929
2021-07-26;33,50;34,50;31,50;33,58;21.873;724.665
2021-07-23;31,49;32,24;29,70;30,69;9.138;284.023
2021-07-22;33,89;35,19;31,67;32,72;7.979;266.380
2021-07-21;36,79;39,10;35,01;35,52;23.628;873.828
2021-07-20;29,80;33,86;29,51;32,69;42.260;1.301.979
2021-07-19;28,99;29,17;26,40;28,38;11.169;313.721
2021-07-16;32,89;32,90;30,50;30,78;13.857;442.395
2021-07-15;26,00;31,61;25,00;28,49;51.379;1.441.186
2021-07-14;33,50;33,50;28,59;30,09;36.492;1.121.730
2021-07-13;35,01;35,11;32,92;33,03;16.055;545.335
2021-07-12;38,50;38,66;35,72;36,75;11.037;408.301
2021-07-09;43,00;43,23;38,89;39,42;9.469;389.066
2021-07-08;37,00;41,80;33,00;40,62;49.496;1.783.475
2021-07-07;43,00;43,00;36,46;38,62;30.439;1.195.181
2021-07-06;44,86;46,00;43,07;43,07;8.016;360.465
2021-07-05;44,49;44,99;44,23;44,86;5.036;225.089
2021-07-02;45,88;45,88;41,00;43,34;29.905;1.299.071
2021-07-01;47,99;48,24;45,64;45,64;5.568;262.353
2021-06-30;47,86;49,00;46,30;47,19;9.100;436.411
2021-06-29;48,59;51,04;47,98;48,00;6.246;307.290
2021-06-28;45,99;49,60;44,73;48,50;13.378;634.942
2021-06-25;47,40;47,40;44,62;45,39;9.161;420.421
2021-06-24;48,62;48,89;46,80;47,24;7.850;377.719
2021-06-23;48,99;50,84;47,39;49,12;10.682;523.060
2021-06-22;47,19;48,11;43,00;48,05;27.832;1.274.802
2021-06-21;51,50;53,00;45,10;45,80;39.800;1.971.179
2021-06-18;51,52;54,70;49,45;51,62;37.474;1.935.550
2021-06-17;46,29;52,50;43,50;50,94;29.114;1.412.924
2021-06-16;47,50;49,27;42,97;44,59;51.696;2.409.156
2021-06-15;48,79;53,22;45,27;48,73;42.020;2.072.688
2021-06-14;43,00;49,75;41,00;46,06;58.840;2.680.482
2021-06-11;36,80;40,29;35,00;40,29;30.962;1.159.993
2021-06-10;41,00;41,71;32,87;36,12;55.198;2.063.184
2021-06-09;44,80;45,50;39,46;40,02;48.128;2.037.417
2021-06-08;45,51;49,59;43,61;45,00;62.651;2.902.251
2021-06-07;39,20;48,90;38,01;44,99;111.991;4.788.390
2021-06-04;42,10;47,21;36,88;42,02;88.604;3.659.354
2021-06-03;55,52;63,22;31,28;56,00;227.306;10.999.485
2021-06-02;29,01;58,50;28,21;51,24;257.092;9.946.974
2021-06-01;24,00;27,10;22,39;25,56;122.179;2.989.918
2021-05-31;22,90;25,93;22,90;24,90;120.661;2.951.793
2021-05-28;21,91;29,52;20,15;22,26;192.384;4.675.534
2021-05-27;16,40;24,26;14,50;24,26;183.508;3.062.469
2021-05-26;13,505;16,085;13,455;15,705;144.595;2.087.507
2021-05-25;11,445;12,195;11,01;11,795;26.756;308.869
2021-05-21;10,365;10,53;9,946;9,954;27.201;282.007
2021-05-20;10,395;10,42;9,918;10,11;15.213;154.154
2021-05-19;11,325;11,485;10,09;10,185;64.362;692.783
2021-05-18;12,995;12,995;11,20;11,67;61.493;752.645
2021-05-17;11,10;11,75;10,92;11,32;67.113;753.309
2021-05-14;11,02;11,705;10,51;10,65;87.011;969.070
2021-05-13;8,606;11,16;8,606;11,16;72.285;678.075
2021-05-12;8,402;8,696;8,302;8,69;26.878;227.605
2021-05-11;8,448;8,65;8,00;8,30;46.374;385.441
2021-05-10;8,00;8,30;7,90;8,102;28.839;233.095
2021-05-07;7,77;8,00;7,568;7,782;33.299;262.131
2021-05-06;8,10;8,124;7,482;7,578;65.261;503.748
2021-05-05;7,848;8,134;7,616;7,692;17.290;135.292
2021-05-04;8,098;8,288;7,55;7,654;35.518;279.396
2021-05-03;8,628;8,648;7,96;8,052;40.385;337.436
2021-04-30;8,538;8,538;8,286;8,388;13.767;115.625
2021-04-29;9,098;9,184;8,40;8,544;9.769;86.757
2021-04-28;9,29;9,658;8,956;9,08;20.230;188.277
2021-04-27;9,754;10,005;9,354;9,73;18.167;178.757
2021-04-26;8,70;9,50;8,57;9,282;40.383;361.181
2021-04-23;8,53;8,564;8,304;8,416;7.314;61.708
2021-04-22;8,098;8,80;8,012;8,662;34.526;286.852
2021-04-21;7,798;8,01;7,68;7,972;6.581;51.798
2021-04-20;8,098;8,098;7,494;7,562;15.579;121.524
2021-04-19;8,038;8,06;7,802;8,06;14.605;116.004
2021-04-16;8,378;8,50;7,588;7,696;11.545;92.485
2021-04-15;8,168;8,474;8,03;8,132;17.565;143.239
