Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;254,80;255,05;252,20;253,475;;
2021-12-29;254,725;256,45;252,90;254,65;;
2021-12-28;253,90;255,575;252,375;254,625;;
2021-12-27;251,975;254,30;249,85;254,10;;
2021-12-23;250,675;253,125;248,45;252,325;;
2021-12-22;247,275;250,625;246,125;250,575;;
2021-12-21;248,575;250,95;245,90;247,625;;
2021-12-20;247,675;250,375;242,925;247,475;;
2021-12-19;252,275;252,275;251,025;251,075;;
2021-12-18;252,225;252,275;252,225;252,275;;
2021-12-17;246,375;253,15;246,375;252,225;;
2021-12-16;256,225;265,575;249,65;251,30;;
2021-12-15;250,225;255,525;247,675;255,025;;
2021-12-14;252,35;254,25;247,80;249,875;;
2021-12-13;256,85;257,15;250,525;251,95;;
2021-12-12;256,30;257,00;256,30;256,30;;
2021-12-11;256,30;256,45;256,20;256,30;;
2021-12-10;257,675;258,00;253,55;256,30;;
2021-12-09;263,625;263,925;257,90;258,375;;
2021-12-08;266,475;267,90;262,30;263,775;;
2021-12-07;256,45;267,075;256,30;266,725;;
2021-12-06;252,775;257,575;250,625;255,45;;
2021-12-05;249,975;250,525;249,925;250,375;;
2021-12-04;250,825;250,825;249,275;249,275;;
2021-12-03;257,775;259,875;246,95;250,825;;
2021-12-02;257,625;260,40;254,425;257,925;;
2021-12-01;257,10;263,925;254,25;255,725;;
2021-11-30;251,275;258,775;248,45;255,60;;
2021-11-29;253,50;261,00;253,425;256,725;;
2021-11-28;251,125;253,50;251,125;253,50;;
2021-11-27;253,925;253,925;251,125;251,125;;
2021-11-26;263,40;264,775;250,70;253,975;;
2021-11-25;270,375;271,275;267,575;268,875;;
2021-11-24;274,175;274,175;266,925;269,475;;
2021-11-23;278,10;278,10;271,225;273,725;;
2021-11-22;281,925;283,175;278,05;278,30;;
2021-11-21;281,925;281,925;281,65;281,65;;
2021-11-20;281,925;281,925;281,925;281,925;;
2021-11-19;282,975;284,70;278,65;281,925;;
2021-11-18;284,80;285,60;281,70;282,625;;
2021-11-17;285,75;287,775;283,85;284,65;;
2021-11-16;283,00;287,175;281,875;285,95;;
2021-11-15;280,55;284,15;279,80;283,00;;
2021-11-14;280,65;280,80;280,65;280,80;;
2021-11-13;280,65;280,65;280,65;280,65;;
2021-11-12;282,275;284,00;279,325;280,65;;
2021-11-11;283,875;285,125;279,275;282,025;;
2021-11-10;294,45;294,725;275,175;283,625;;
2021-11-09;293,325;296,925;293,175;294,725;;
2021-11-08;297,275;298,40;293,375;293,575;;
2021-11-07;297,125;297,325;297,075;297,325;;
2021-11-06;297,025;297,125;297,025;297,125;;
2021-11-05;293,75;300,325;292,60;297,025;;
2021-11-04;293,05;296,025;292,40;293,85;;
2021-11-03;285,25;295,40;285,05;292,975;;
2021-11-02;284,025;286,825;283,075;285,525;;
2021-11-01;283,525;286,20;282,725;284,30;;
2021-10-31;283,475;283,775;283,475;283,675;;
2021-10-30;283,475;283,475;283,475;283,475;;
2021-10-29;282,40;283,75;279,525;283,475;;
2021-10-28;279,375;285,025;278,65;283,05;;
2021-10-27;278,90;282,775;277,70;279,00;;
2021-10-26;278,60;281,925;277,75;278,85;;
2021-10-25;277,65;279,80;276,30;278,175;;
2021-10-24;277,55;277,55;277,55;277,55;;
2021-10-23;277,60;277,60;277,45;277,55;;
2021-10-22;276,025;278,925;273,375;277,65;;
2021-10-21;268,975;276,875;266,45;275,625;;
2021-10-20;269,425;270,075;265,075;269,275;;
2021-10-19;271,575;273,05;267,725;269,675;;
2021-10-18;275,55;276,475;269,625;271,50;;
2021-10-17;276,10;276,225;276,025;276,125;;
2021-10-16;276,10;276,275;275,975;276,10;;
2021-10-15;268,75;276,30;267,95;276,10;;
2021-10-14;264,85;270,325;261,975;268,40;;
2021-10-13;260,425;265,50;258,725;264,575;;
2021-10-12;258,725;261,825;257,10;260,00;;
2021-10-11;262,725;263,60;258,975;259,025;;
2021-10-10;262,325;262,325;262,325;262,325;;
2021-10-09;262,225;262,325;262,225;262,325;;
2021-10-08;267,00;268,20;261,825;262,25;;
2021-10-07;264,625;268,375;262,675;267,10;;
2021-10-06;263,275;264,60;257,85;263,85;;
2021-10-05;265,325;268,10;262,85;264,35;;
2021-10-04;272,65;272,75;261,825;265,225;;
2021-10-03;273,50;273,50;273,375;273,50;;
2021-10-02;273,55;273,55;273,50;273,50;;
2021-10-01;270,975;275,35;266,85;273,55;;
2021-09-30;273,175;275,70;271,10;272,825;;
2021-09-29;268,70;272,55;268,225;271,925;;
2021-09-28;278,775;279,575;266,575;268,20;;
2021-09-27;282,35;287,175;277,675;278,825;;
2021-09-26;281,45;281,90;281,35;281,85;;
2021-09-25;281,45;281,45;281,40;281,45;;
2021-09-24;289,025;289,10;277,575;281,45;;
2021-09-23;285,60;291,025;284,925;289,325;;
2021-09-22;282,675;286,95;281,10;285,20;;
2021-09-21;280,825;285,425;279,60;282,075;;
2021-09-20;280,30;281,425;274,025;280,025;;
2021-09-19;281,925;282,025;281,625;281,725;;
2021-09-18;281,925;281,925;281,925;281,925;;
2021-09-17;286,725;288,90;281,625;281,925;;
2021-09-16;285,85;287,40;284,125;286,55;;
2021-09-15;293,875;293,875;283,425;286,15;;
2021-09-14;297,575;297,65;292,05;293,45;;
2021-09-13;298,30;301,325;296,825;297,50;;
2021-09-12;298,05;298,20;298,05;298,175;;
2021-09-11;298,10;298,125;298,10;298,10;;
2021-09-10;297,875;304,25;297,60;298,10;;
2021-09-09;296,10;299,75;294,475;296,825;;
2021-09-08;300,50;301,45;296,35;296,975;;
2021-09-07;299,875;303,425;297,525;300,525;;
2021-09-06;299,075;302,20;299,075;300,05;;
2021-09-05;298,85;298,925;298,85;298,875;;
2021-09-04;298,85;298,85;298,85;298,85;;
2021-09-03;301,70;303,075;295,525;298,85;;
2021-09-02;301,475;305,325;299,725;301,325;;
2021-09-01;301,05;306,40;300,575;301,80;;
2021-08-31;303,175;304,10;297,90;300,325;;
2021-08-30;304,925;305,075;301,725;302,575;;
2021-08-29;304,875;305,175;304,875;305,175;;
2021-08-28;304,875;304,875;304,875;304,875;;
2021-08-27;304,925;306,60;302,60;305,025;;
2021-08-26;306,55;307,275;301,45;304,55;;
2021-08-25;305,425;310,65;303,00;307,325;;
2021-08-24;308,075;309,575;302,35;305,50;;
2021-08-23;304,55;307,95;302,925;307,20;;
2021-08-22;302,85;302,85;302,85;302,85;;
2021-08-21;302,85;302,85;302,85;302,85;;
2021-08-20;302,725;303,625;298,325;302,80;;
2021-08-19;305,625;305,775;297,40;303,975;;
2021-08-18;310,575;312,05;304,625;305,925;;
2021-08-17;313,575;314,075;309,25;309,575;;
2021-08-16;317,825;318,475;311,475;314,275;;
2021-08-15;318,90;318,90;318,725;318,80;;
2021-08-14;318,95;318,95;318,90;318,90;;
2021-08-13;313,90;320,975;313,80;318,95;;
2021-08-12;306,90;314,725;306,325;314,00;;
2021-08-11;309,90;310,00;305,425;307,05;;
2021-08-10;312,825;314,05;307,975;310,125;;
2021-08-09;311,50;315,075;308,40;312,775;;
2021-08-08;312,125;312,175;312,075;312,075;;
2021-08-07;312,125;312,125;312,125;312,125;;
2021-08-06;318,15;318,60;310,275;312,125;;
2021-08-05;336,775;339,00;316,30;318,075;;
2021-08-04;324,775;336,50;322,825;336,325;;
2021-08-03;316,85;324,725;316,35;324,30;;
2021-08-02;307,70;318,575;307,70;315,90;;
2021-08-01;306,70;306,75;306,525;306,525;;
2021-07-31;306,80;306,80;306,70;306,70;;
2021-07-30;306,075;308,525;304,425;306,75;;
2021-07-29;308,575;310,175;306,825;307,25;;
2021-07-28;308,875;310,90;307,70;308,775;;
2021-07-27;311,70;313,175;307,85;309,20;;
2021-07-26;316,375;316,425;311,825;312,325;;
2021-07-25;317,60;317,60;317,425;317,425;;
2021-07-24;317,60;317,60;317,60;317,60;;
2021-07-23;312,075;317,875;311,625;317,60;;
2021-07-22;309,675;312,625;308,825;312,275;;
2021-07-21;305,925;309,975;305,575;309,80;;
2021-07-20;305,35;309,70;303,95;306,40;;
2021-07-19;310,125;310,375;301,40;305,00;;
2021-07-18;311,125;311,125;310,875;311,05;;
2021-07-17;311,05;311,125;311,05;311,125;;
2021-07-16;316,775;322,60;309,15;311,05;;
2021-07-15;321,325;324,10;315,25;316,475;;
2021-07-14;320,525;323,225;318,575;321,25;;
2021-07-13;320,725;321,775;319,45;320,875;;
2021-07-12;317,875;322,475;316,025;320,75;;
2021-07-11;318,225;318,30;318,20;318,30;;
2021-07-10;318,175;318,225;318,175;318,225;;
2021-07-09;314,025;318,475;313,725;318,175;;
2021-07-08;318,40;319,70;309,60;313,325;;
2021-07-07;311,60;321,95;311,45;318,975;;
2021-07-06;315,90;315,925;310,90;311,775;;
2021-07-05;316,575;318,125;313,675;315,775;;
2021-07-04;316,975;317,025;316,825;317,00;;
2021-07-03;316,975;316,975;316,975;316,975;;
2021-07-02;314,725;318,925;314,475;316,975;;
2021-07-01;314,70;320,475;313,65;314,725;;
2021-06-30;317,85;320,425;312,55;314,275;;
2021-06-29;309,40;319,20;308,90;317,70;;
2021-06-28;309,40;312,625;308,775;309,75;;
2021-06-27;309,40;309,40;309,35;309,40;;
2021-06-26;309,325;309,40;309,175;309,40;;
2021-06-25;295,60;311,075;295,375;309,35;;
2021-06-24;291,55;297,625;291,20;295,275;;
2021-06-23;290,775;293,225;288,75;291,225;;
2021-06-22;291,425;291,625;287,225;290,675;;
2021-06-21;287,45;291,50;281,075;291,425;;
2021-06-20;288,225;288,225;287,925;288,075;;
2021-06-19;288,325;288,325;288,225;288,225;;
2021-06-18;292,725;294,25;286,45;288,425;;
2021-06-17;292,225;293,475;290,85;292,775;;
2021-06-16;293,075;293,975;289,725;292,425;;
2021-06-15;294,225;295,10;291,60;293,075;;
2021-06-14;296,60;296,975;292,675;294,025;;
2021-06-13;296,55;296,70;296,55;296,60;;
2021-06-12;296,55;296,55;296,55;296,55;;
2021-06-11;293,575;296,975;291,225;296,55;;
2021-06-10;293,625;294,675;290,125;293,50;;
2021-06-09;295,475;296,575;292,375;293,525;;
2021-06-08;297,30;297,975;294,40;295,425;;
2021-06-07;296,175;298,70;293,525;297,65;;
2021-06-06;296,925;296,925;296,625;296,675;;
2021-06-05;296,85;296,925;296,85;296,925;;
2021-06-04;298,65;299,55;295,525;296,85;;
2021-06-03;298,45;299,875;295,35;298,50;;
2021-06-02;298,525;299,20;295,85;298,125;;
2021-06-01;300,325;301,025;296,60;298,275;;
2021-05-31;298,75;302,875;295,975;299,625;;
2021-05-30;299,25;299,475;299,25;299,45;;
2021-05-29;299,25;299,25;299,25;299,25;;
2021-05-28;299,05;301,225;295,075;299,25;;
2021-05-27;297,525;299,00;293,325;299,00;;
2021-05-26;300,10;300,175;294,475;297,75;;
2021-05-25;303,575;304,375;298,675;299,20;;
2021-05-24;301,075;304,125;300,325;303,675;;
2021-05-23;301,375;301,525;300,70;300,70;;
2021-05-22;301,375;301,375;301,375;301,375;;
2021-05-21;298,15;301,65;298,15;301,45;;
2021-05-20;295,60;298,40;293,85;297,575;;
2021-05-19;290,725;297,00;289,45;294,575;;
2021-05-18;298,375;301,70;291,375;291,85;;
2021-05-17;288,70;297,70;286,50;297,10;;
2021-05-16;289,45;289,65;289,35;289,35;;
2021-05-15;289,45;289,45;289,45;289,45;;
2021-05-14;286,275;289,825;285,575;289,45;;
2021-05-13;281,75;286,30;277,25;285,325;;
2021-05-12;283,60;288,95;282,25;285,05;;
2021-05-11;281,975;285,55;280,10;284,85;;
2021-05-10;279,80;288,575;279,65;284,175;;
2021-05-09;279,40;279,75;279,40;279,75;;
2021-05-08;279,475;279,475;279,40;279,40;;
2021-05-07;260,85;281,55;260,85;279,50;;
2021-05-06;259,775;261,75;254,525;260,55;;
2021-05-05;256,925;260,525;253,05;259,90;;
2021-05-04;261,725;261,825;252,025;256,225;;
2021-05-03;258,225;262,75;257,55;262,525;;
2021-04-30;261,60;263,10;256,40;257,925;;
2021-04-29;261,20;265,125;259,40;262,15;;
2021-04-28;263,95;265,025;258,625;260,60;;
2021-04-27;266,375;266,675;261,575;263,90;;
2021-04-26;267,50;267,875;264,95;266,325;;
2021-04-25;267,175;267,275;267,10;267,275;;
2021-04-24;267,175;267,175;266,90;267,175;;
2021-04-23;269,775;270,80;264,125;267,175;;
2021-04-22;273,425;273,675;268,925;269,20;;
2021-04-21;270,20;273,575;269,05;273,175;;
2021-04-20;278,30;278,50;267,95;269,95;;
2021-04-19;276,875;282,60;276,875;278,30;;
2021-04-18;277,725;277,725;277,225;277,325;;
2021-04-17;277,725;277,775;277,725;277,725;;
2021-04-16;277,45;279,25;273,525;277,725;;
