Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;252,95;254,75;252,10;253,20;429.988;108.905.346
2021-12-29;254,00;256,50;252,85;254,10;302.495;76.968.947
2021-12-28;252,60;255,60;252,35;255,00;385.280;98.068.348
2021-12-27;250,40;254,20;249,85;252,95;338.999;85.673.660
2021-12-23;250,65;253,10;248,45;251,90;361.901;91.072.582
2021-12-22;247,00;250,15;246,15;249,65;400.709;99.779.938
2021-12-21;249,60;250,10;245,90;246,35;415.105;102.568.761
2021-12-20;246,50;247,80;242,95;245,00;567.953;139.191.330
2021-12-17;250,00;252,90;249,10;252,70;840.152;211.495.918
2021-12-16;254,15;258,15;251,60;251,60;840.470;213.097.725
2021-12-15;248,45;253,25;247,65;251,20;485.629;122.051.474
2021-12-14;254,45;254,85;247,80;248,65;464.072;115.950.728
2021-12-13;255,50;256,15;250,40;253,10;452.571;114.842.111
2021-12-10;256,00;258,00;253,50;254,80;536.142;136.911.256
2021-12-09;263,20;263,55;259,00;259,00;357.998;93.031.205
2021-12-08;266,05;267,00;262,30;263,00;405.021;106.875.703
2021-12-07;261,25;266,65;260,40;266,35;681.366;180.577.171
2021-12-06;251,40;257,55;250,60;255,25;584.859;148.918.616
2021-12-03;259,60;259,95;246,95;249,40;782.969;196.541.077
2021-12-02;258,70;259,60;254,40;256,05;757.037;193.984.834
2021-12-01;258,50;263,70;254,20;261,65;729.061;190.176.806
2021-11-30;251,50;258,75;248,40;255,55;1.269.345;323.366.995
2021-11-29;257,80;260,25;253,45;254,30;894.071;228.474.585
2021-11-26;257,55;260,65;252,35;253,35;1.269.912;324.664.765
2021-11-25;270,20;270,45;267,60;267,95;496.740;133.327.526
2021-11-24;270,85;272,15;266,90;268,40;661.656;178.046.447
2021-11-23;276,20;276,85;271,25;271,85;688.503;188.145.845
2021-11-22;283,10;283,10;278,05;278,95;469.659;131.355.993
2021-11-19;285,00;285,00;278,60;282,35;694.501;195.982.425
2021-11-18;284,45;285,60;281,70;282,50;605.217;171.323.417
2021-11-17;287,55;288,00;283,85;284,55;331.775;94.579.171
2021-11-16;281,95;287,15;281,90;286,50;403.686;115.364.882
2021-11-15;279,55;284,00;279,55;281,90;354.956;100.090.688
2021-11-12;280,65;284,00;279,35;280,60;757.975;213.137.491
2021-11-11;280,95;285,15;279,25;280,70;717.180;201.494.062
2021-11-10;280,80;288,40;275,20;284,50;1.519.004;428.274.378
2021-11-09;294,30;296,95;292,90;295,50;480.685;141.935.935
2021-11-08;297,60;298,40;293,80;294,00;394.564;116.340.450
2021-11-05;293,40;300,25;293,30;298,40;526.702;157.029.381
2021-11-04;293,90;296,00;292,45;294,10;514.607;151.408.906
2021-11-03;286,00;295,35;286,00;291,60;556.543;162.232.881
2021-11-02;285,00;286,80;283,10;285,65;442.894;126.319.243
2021-11-01;283,20;286,25;282,65;284,00;469.451;133.561.734
2021-10-29;282,65;283,85;279,50;283,30;666.506;188.148.297
2021-10-28;279,60;285,00;278,90;284,05;515.450;145.958.896
2021-10-27;279,50;282,80;278,90;279,15;464.781;130.361.801
2021-10-26;279,10;281,90;278,05;279,95;384.030;107.592.622
2021-10-25;278,60;279,80;276,65;277,35;348.879;96.860.431
2021-10-22;275,30;278,90;273,25;277,25;508.520;140.873.541
2021-10-21;267,05;276,90;266,45;275,55;600.146;164.403.033
2021-10-20;267,40;269,65;265,05;269,05;467.061;125.164.677
2021-10-19;272,50;273,40;267,75;268,35;449.098;121.133.199
2021-10-18;272,80;273,30;269,70;270,65;530.549;143.792.066
2021-10-15;268,50;275,50;267,85;274,40;897.675;244.847.077
2021-10-14;264,80;270,40;261,95;267,00;803.779;214.015.686
2021-10-13;260,35;265,50;258,70;262,85;538.446;141.631.013
2021-10-12;258,10;261,85;257,00;260,10;409.230;106.357.236
2021-10-11;261,80;263,30;259,40;261,25;414.851;108.415.701
2021-10-08;266,90;268,20;261,80;262,30;503.258;132.798.749
2021-10-07;264,05;267,50;262,70;267,00;539.431;143.279.908
2021-10-06;261,00;263,15;257,90;261,85;673.014;175.268.124
2021-10-05;266,45;268,10;262,85;263,70;547.329;144.730.325
2021-10-04;265,00;266,75;261,85;264,05;733.630;193.932.272
2021-10-01;270,00;275,35;266,85;270,25;530.320;143.758.669
2021-09-30;272,75;275,70;271,05;271,80;683.762;186.687.686
2021-09-29;270,50;272,50;268,25;271,00;660.964;178.863.585
2021-09-28;275,00;276,70;266,45;266,75;1.104.101;297.676.129
2021-09-27;284,50;287,25;277,70;278,60;556.021;155.888.663
2021-09-24;282,25;282,80;277,55;282,00;921.126;258.505.120
2021-09-23;286,40;291,00;284,95;289,10;530.122;153.083.897
2021-09-22;285,00;287,00;281,10;284,35;394.626;112.108.368
2021-09-21;281,40;283,75;279,60;282,60;554.986;156.573.516
2021-09-20;277,20;281,40;274,00;280,30;764.303;212.697.299
2021-09-17;287,90;288,85;281,60;282,35;1.208.464;342.270.385
2021-09-16;286,95;287,30;284,15;285,40;443.625;126.567.497
2021-09-15;292,40;293,60;283,40;284,90;835.208;239.222.158
2021-09-14;296,40;297,30;292,05;293,55;508.525;149.315.478
2021-09-13;299,05;301,25;296,80;297,45;425.301;126.903.096
2021-09-10;298,90;304,25;298,00;299,05;450.396;135.567.011
2021-09-09;296,60;299,75;294,50;297,75;354.343;105.403.703
2021-09-08;300,15;301,40;296,90;296,90;409.351;122.099.074
2021-09-07;299,05;303,40;297,40;300,90;280.461;84.407.390
2021-09-06;300,50;302,15;299,80;300,00;200.757;60.374.792
2021-09-03;301,20;303,05;295,55;299,05;413.801;123.615.793
2021-09-02;300,80;305,30;299,60;301,45;264.864;80.029.297
2021-09-01;301,95;306,45;300,60;301,20;499.932;151.251.119
2021-08-31;303,30;304,20;297,85;300,45;694.581;208.492.943
2021-08-30;304,45;305,00;301,70;302,05;276.156;83.568.982
2021-08-27;304,55;306,60;302,65;304,25;247.385;75.285.970
2021-08-26;305,75;307,35;301,45;305,05;351.039;106.907.891
2021-08-25;309,55;310,70;306,50;306,70;315.840;97.261.421
2021-08-24;309,60;309,65;302,35;304,90;266.964;81.414.423
2021-08-23;306,10;307,90;305,45;306,60;324.089;99.395.086
2021-08-20;302,75;303,60;298,30;302,00;413.174;124.365.404
2021-08-19;303,00;304,25;297,40;303,35;563.314;170.105.767
2021-08-18;310,45;310,95;304,60;307,00;396.460;121.828.770
2021-08-17;313,60;314,05;310,85;311,70;275.059;85.813.743
2021-08-16;316,30;316,40;311,45;313,75;360.842;113.114.734
2021-08-13;316,70;321,05;315,55;319,30;639.851;204.111.344
2021-08-12;307,60;314,70;307,25;312,00;539.373;167.423.633
2021-08-11;309,20;309,40;305,45;307,10;419.940;128.951.795
2021-08-10;313,10;314,05;308,00;308,85;373.833;115.805.453
2021-08-09;310,00;315,05;308,45;313,05;384.537;120.236.239
2021-08-06;315,00;316,00;310,50;310,55;583.472;182.091.796
2021-08-05;325,00;325,85;316,00;316,00;947.341;302.630.820
2021-08-04;325,75;336,25;324,90;336,25;891.268;296.209.678
2021-08-03;318,75;324,20;317,00;322,75;482.689;155.392.726
2021-08-02;309,30;318,55;308,35;317,70;408.387;128.962.310
2021-07-30;305,70;308,55;304,35;306,10;490.307;150.193.598
2021-07-29;309,25;310,20;306,85;308,60;304.494;93.986.677
2021-07-28;308,55;310,85;307,65;309,50;323.602;100.162.701
2021-07-27;311,00;313,15;307,85;308,95;365.207;113.206.612
2021-07-26;315,00;316,10;311,85;312,00;312.113;97.730.950
2021-07-23;312,90;317,90;312,10;317,80;309.925;97.980.492
2021-07-22;310,30;312,50;308,85;312,30;251.865;78.284.093
2021-07-21;309,00;310,00;306,30;308,50;449.568;138.758.473
2021-07-20;307,55;309,70;303,95;305,40;412.825;126.230.972
2021-07-19;310,10;310,10;301,40;305,45;575.105;175.436.786
2021-07-16;318,45;319,20;309,10;311,90;474.426;147.847.219
2021-07-15;321,75;324,10;315,25;315,85;365.907;116.259.765
2021-07-14;321,20;323,25;318,60;322,70;313.684;100.797.708
2021-07-13;320,10;321,75;319,30;321,20;319.100;102.394.100
2021-07-12;317,95;322,45;317,50;321,10;270.200;86.581.676
2021-07-09;313,85;318,45;313,85;318,45;391.582;124.208.632
2021-07-08;316,50;317,15;309,60;313,30;503.211;157.719.253
2021-07-07;315,00;321,95;313,30;318,65;488.481;155.678.269
2021-07-06;314,75;315,55;310,90;312,10;359.305;112.377.552
2021-07-05;317,25;318,15;313,70;315,25;244.854;77.149.716
2021-07-02;315,50;318,95;314,95;316,60;305.370;96.717.518
2021-07-01;315,25;320,45;313,75;314,30;419.685;132.850.992
2021-06-30;316,70;320,50;312,55;313,90;646.415;203.236.241
2021-06-29;309,55;319,15;309,50;317,50;596.054;188.505.196
2021-06-28;311,00;312,60;308,75;309,85;422.860;131.365.928
2021-06-25;301,25;311,35;299,20;311,35;1.216.270;373.816.810
2021-06-24;293,00;293,80;291,25;292,50;407.240;119.122.452
2021-06-23;291,45;293,25;288,75;290,65;328.818;95.672.484
2021-06-22;289,00;290,95;287,25;290,70;343.727;99.658.178
2021-06-21;286,00;290,55;284,95;289,70;467.966;135.304.963
2021-06-18;292,40;294,20;286,45;287,10;950.568;275.298.253
2021-06-17;292,45;293,50;290,85;291,85;492.957;143.869.876
