Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;112,09;112,63;111,29;111,67;;
2021-12-29;112,95;113,97;111,61;112,05;;
2021-12-28;112,36;113,87;111,80;112,91;;
2021-12-27;110,90;112,96;110,55;112,47;;
2021-12-23;111,38;112,41;110,67;111,10;;
2021-12-22;106,63;111,36;106,43;111,34;;
2021-12-21;102,80;106,79;102,80;106,79;;
2021-12-20;101,30;103,39;99,43;102,56;;
2021-12-19;103,70;103,70;102,92;102,92;;
2021-12-18;103,68;103,70;103,68;103,70;;
2021-12-17;101,13;104,93;99,25;103,68;;
2021-12-16;102,84;107,71;100,61;101,48;;
2021-12-15;103,11;103,11;99,77;102,30;;
2021-12-14;103,05;104,81;102,41;102,97;;
2021-12-13;106,08;106,24;102,38;102,87;;
2021-12-12;105,82;106,14;105,82;105,82;;
2021-12-11;105,82;105,90;105,78;105,82;;
2021-12-10;105,02;107,07;104,24;105,82;;
2021-12-09;107,32;107,88;104,96;105,32;;
2021-12-08;105,88;108,05;103,21;107,37;;
2021-12-07;103,25;106,39;103,22;106,04;;
2021-12-06;99,56;103,32;99,115;102,76;;
2021-12-05;98,21;98,47;98,19;98,42;;
2021-12-04;98,63;98,63;97,89;97,89;;
2021-12-03;101,72;103,65;98,025;98,63;;
2021-12-02;100,39;102,22;99,93;102,02;;
2021-12-01;100,40;102,18;99,21;99,45;;
2021-11-30;99,085;101,59;96,84;99,63;;
2021-11-29;101,50;102,96;98,72;100,94;;
2021-11-28;100,115;101,50;100,115;101,50;;
2021-11-27;101,02;101,02;100,10;100,115;;
2021-11-26;110,14;110,18;96,515;100,98;;
2021-11-25;111,90;112,76;110,68;112,34;;
2021-11-24;111,22;111,95;109,16;111,50;;
2021-11-23;108,67;111,84;108,05;111,04;;
2021-11-22;109,91;110,91;108,43;108,78;;
2021-11-21;109,88;109,88;109,55;109,55;;
2021-11-20;109,88;109,88;109,88;109,88;;
2021-11-19;113,21;113,73;108,86;109,88;;
2021-11-18;114,41;114,57;112,62;112,87;;
2021-11-17;114,84;115,22;114,07;114,25;;
2021-11-16;115,00;115,64;113,94;115,02;;
2021-11-15;117,25;117,25;112,95;115,00;;
2021-11-14;112,59;117,25;112,59;117,25;;
2021-11-13;112,59;112,59;112,59;112,59;;
2021-11-12;114,58;115,24;112,26;112,59;;
2021-11-11;115,60;116,78;113,92;114,43;;
2021-11-10;115,76;117,62;115,33;115,44;;
2021-11-09;115,01;117,15;114,79;115,92;;
2021-11-08;113,61;115,52;113,28;115,14;;
2021-11-07;113,54;113,63;113,51;113,63;;
2021-11-06;113,49;113,54;113,49;113,54;;
2021-11-05;109,15;114,15;107,53;113,49;;
2021-11-04;109,55;109,81;107,71;109,19;;
2021-11-03;109,93;110,20;107,79;109,50;;
2021-11-02;109,55;111,13;108,65;110,04;;
2021-11-01;111,23;111,70;109,15;109,66;;
2021-10-31;111,21;111,35;111,21;111,31;;
2021-10-30;111,21;111,21;111,21;111,21;;
2021-10-29;111,37;112,84;109,91;111,21;;
2021-10-28;109,76;113,47;109,76;111,65;;
2021-10-27;109,77;110,38;108,65;109,61;;
2021-10-26;108,38;110,95;107,19;109,76;;
2021-10-25;110,53;110,96;107,26;108,22;;
2021-10-24;110,50;110,50;110,50;110,50;;
2021-10-23;110,52;110,52;110,46;110,50;;
2021-10-22;111,68;111,93;109,33;110,50;;
2021-10-21;112,09;112,09;110,46;111,52;;
2021-10-20;112,24;112,67;111,03;112,23;;
2021-10-19;113,28;113,75;112,13;112,32;;
2021-10-18;114,91;114,96;112,73;113,26;;
2021-10-17;115,15;115,20;115,12;115,15;;
2021-10-16;115,15;115,22;115,07;115,15;;
2021-10-15;113,69;115,37;113,31;115,15;;
2021-10-14;112,83;114,24;112,04;113,56;;
2021-10-13;113,21;113,31;111,29;112,70;;
2021-10-12;112,80;113,54;111,37;112,95;;
2021-10-11;113,43;114,28;112,82;112,82;;
2021-10-10;113,25;113,25;113,25;113,25;;
2021-10-09;113,23;113,25;113,23;113,25;;
2021-10-08;114,06;114,46;112,65;113,23;;
2021-10-07;114,76;115,32;113,71;114,11;;
2021-10-06;113,98;114,31;111,11;114,23;;
2021-10-05;114,46;115,52;113,62;114,66;;
2021-10-04;116,55;116,96;113,17;114,40;;
2021-10-03;117,11;117,11;117,03;117,11;;
2021-10-02;117,13;117,13;117,10;117,10;;
2021-10-01;114,12;117,20;111,92;117,15;;
2021-09-30;117,52;118,32;114,75;115,32;;
2021-09-29;114,52;117,36;114,25;117,18;;
2021-09-28;117,58;117,89;113,16;114,20;;
2021-09-27;116,30;118,88;115,96;117,62;;
2021-09-26;115,64;115,96;115,56;115,94;;
2021-09-25;115,64;115,64;115,60;115,64;;
2021-09-24;116,71;117,01;115,12;115,64;;
2021-09-23;115,92;118,01;115,86;116,93;;
2021-09-22;113,50;115,97;113,31;115,58;;
2021-09-21;112,07;113,49;111,79;112,94;;
2021-09-20;111,64;113,91;108,73;111,25;;
2021-09-19;112,95;113,01;112,68;112,77;;
2021-09-18;112,95;112,95;112,95;112,95;;
2021-09-17;115,60;116,11;111,87;112,95;;
2021-09-16;112,95;115,79;112,57;115,51;;
2021-09-15;113,01;114,06;112,14;113,17;;
2021-09-14;115,56;115,60;112,17;113,01;;
2021-09-13;114,32;115,55;113,67;115,49;;
2021-09-12;114,28;114,37;114,28;114,36;;
2021-09-11;114,30;114,32;114,30;114,30;;
2021-09-10;114,59;116,65;114,18;114,30;;
2021-09-09;114,10;115,77;112,69;114,55;;
2021-09-08;114,62;115,28;112,48;114,11;;
2021-09-07;116,67;116,70;113,86;114,62;;
2021-09-06;115,02;116,96;114,83;116,76;;
2021-09-05;115,01;115,04;115,01;115,02;;
2021-09-04;115,01;115,01;115,01;115,01;;
2021-09-03;117,04;117,48;114,45;115,01;;
2021-09-02;117,70;117,99;116,39;116,88;;
2021-09-01;116,24;118,14;116,05;117,69;;
2021-08-31;115,42;116,54;113,68;116,01;;
2021-08-30;115,27;115,67;114,55;115,44;;
2021-08-29;115,26;115,36;115,26;115,36;;
2021-08-28;115,26;115,26;115,26;115,26;;
2021-08-27;114,83;115,41;113,47;115,29;;
2021-08-26;115,94;115,94;113,55;114,78;;
2021-08-25;113,16;116,67;112,83;115,94;;
2021-08-24;112,29;113,60;111,64;113,17;;
2021-08-23;110,88;112,84;110,88;112,31;;
2021-08-22;110,88;110,88;110,88;110,88;;
2021-08-21;110,88;110,88;110,88;110,88;;
2021-08-20;110,11;110,99;108,08;110,85;;
2021-08-19;112,92;112,92;109,84;110,63;;
2021-08-18;114,14;114,19;112,23;112,92;;
2021-08-17;114,59;114,59;112,61;113,66;;
2021-08-16;115,88;115,88;113,65;114,93;;
2021-08-15;115,95;115,95;115,86;115,88;;
2021-08-14;115,96;115,96;115,95;115,95;;
2021-08-13;115,45;116,33;115,03;115,96;;
2021-08-12;115,99;116,48;114,66;115,55;;
2021-08-11;115,13;116,67;114,36;115,99;;
2021-08-10;115,21;115,31;113,71;115,24;;
2021-08-09;117,13;117,13;114,73;115,21;;
2021-08-08;117,22;117,25;117,19;117,19;;
2021-08-07;117,22;117,22;117,22;117,22;;
2021-08-06;116,47;117,38;115,61;117,22;;
2021-08-05;114,86;117,35;113,97;116,60;;
2021-08-04;115,62;116,27;113,39;114,69;;
2021-08-03;117,29;117,29;114,21;115,50;;
2021-08-02;115,81;117,89;115,75;116,83;;
2021-08-01;115,59;115,71;115,49;115,49;;
2021-07-31;115,71;115,71;115,61;115,67;;
2021-07-30;115,49;116,49;113,15;115,71;;
2021-07-29;114,02;120,91;113,90;115,73;;
2021-07-28;112,28;115,33;111,58;114,10;;
2021-07-27;112,33;112,91;110,85;112,41;;
2021-07-26;111,61;113,29;110,97;112,58;;
2021-07-25;112,18;112,18;112,10;112,12;;
2021-07-24;112,18;112,18;112,18;112,18;;
2021-07-23;109,91;113,84;109,91;112,18;;
2021-07-22;111,28;113,37;109,42;110,17;;
2021-07-21;107,34;111,41;106,39;111,41;;
2021-07-20;103,54;107,58;103,50;107,46;;
2021-07-19;109,95;110,51;102,85;103,52;;
2021-07-18;110,29;110,29;110,23;110,27;;
2021-07-17;110,25;110,29;110,25;110,29;;
2021-07-16;110,36;112,16;109,93;110,27;;
2021-07-15;111,28;112,50;109,53;110,35;;
2021-07-14;111,31;111,97;109,91;111,28;;
2021-07-13;112,78;112,78;110,78;111,31;;
2021-07-12;112,64;113,76;110,06;112,77;;
2021-07-11;112,77;112,79;112,75;112,79;;
2021-07-10;112,74;112,77;112,74;112,77;;
2021-07-09;109,80;114,03;109,73;112,73;;
2021-07-08;109,89;110,92;107,23;109,61;;
2021-07-07;111,20;112,32;109,01;109,93;;
2021-07-06;113,26;113,51;110,31;111,24;;
2021-07-05;112,24;113,80;110,99;113,26;;
2021-07-04;112,24;112,26;112,19;112,26;;
2021-07-03;112,24;112,24;112,24;112,24;;
2021-07-02;110,11;112,61;109,40;112,24;;
2021-07-01;109,36;110,53;108,40;110,11;;
2021-06-30;106,78;109,95;104,89;109,34;;
2021-06-29;107,92;108,35;105,43;106,68;;
2021-06-28;111,03;111,71;106,54;108,09;;
2021-06-27;111,03;111,05;111,01;111,03;;
2021-06-26;110,99;111,03;110,99;111,03;;
2021-06-25;112,27;112,51;109,51;110,99;;
2021-06-24;111,94;112,64;111,59;112,31;;
2021-06-23;112,80;113,18;111,10;111,95;;
2021-06-22;113,41;114,44;112,16;112,84;;
2021-06-21;111,51;113,48;109,44;113,42;;
2021-06-20;112,34;112,34;112,03;112,21;;
2021-06-19;112,45;112,45;112,34;112,34;;
2021-06-18;115,13;115,16;112,21;112,45;;
2021-06-17;113,81;116,05;113,17;115,28;;
2021-06-16;113,58;114,86;112,80;113,80;;
2021-06-15;112,96;114,19;112,41;113,71;;
2021-06-14;112,65;113,29;112,07;112,96;;
2021-06-13;112,61;112,66;112,60;112,63;;
2021-06-12;112,61;112,61;112,61;112,61;;
2021-06-11;110,79;113,23;110,41;112,61;;
2021-06-10;111,16;112,27;109,57;110,82;;
2021-06-09;111,54;111,55;110,15;110,96;;
2021-06-08;111,75;112,36;110,40;111,51;;
2021-06-07;110,40;112,01;108,83;111,95;;
2021-06-06;110,30;110,30;110,15;110,27;;
2021-06-05;110,28;110,31;110,28;110,30;;
2021-06-04;110,16;110,74;109,23;110,28;;
2021-06-03;111,12;111,16;109,73;110,20;;
2021-06-02;109,17;111,12;109,11;111,00;;
2021-06-01;107,15;109,37;105,94;109,11;;
2021-05-31;107,91;108,44;106,28;106,83;;
2021-05-30;108,17;108,28;108,17;108,26;;
2021-05-29;108,14;108,17;108,14;108,17;;
2021-05-28;107,04;109,69;105,90;108,17;;
2021-05-27;98,01;107,82;97,79;107,04;;
2021-05-26;97,925;98,375;97,515;97,98;;
2021-05-25;98,42;98,92;97,225;97,935;;
2021-05-24;97,53;98,66;97,255;98,49;;
2021-05-23;97,79;97,865;97,485;97,485;;
2021-05-22;97,79;97,79;97,79;97,79;;
2021-05-21;96,39;97,97;96,39;97,83;;
2021-05-20;96,215;96,655;94,87;96,39;;
2021-05-19;96,625;96,905;93,565;95,88;;
2021-05-18;97,12;98,055;96,445;96,615;;
2021-05-17;99,47;99,845;96,66;97,12;;
2021-05-16;99,705;99,79;99,665;99,67;;
2021-05-15;99,705;99,705;99,705;99,705;;
2021-05-14;96,685;99,77;96,115;99,705;;
2021-05-13;96,31;97,09;93,18;96,50;;
2021-05-12;96,36;97,315;95,20;96,355;;
2021-05-11;97,045;97,335;94,65;96,36;;
2021-05-10;98,365;99,555;97,375;97,425;;
2021-05-09;98,205;98,365;98,205;98,365;;
2021-05-08;98,28;98,28;98,245;98,245;;
2021-05-07;96,945;98,49;96,945;98,28;;
2021-05-06;96,54;98,985;95,83;96,845;;
2021-05-05;97,99;98,54;95,98;96,54;;
2021-05-04;100,31;101,04;96,60;97,99;;
2021-05-03;100,40;100,89;98,825;100,61;;
2021-04-30;100,84;101,49;99,315;100,21;;
2021-04-29;99,865;102,68;99,52;100,99;;
2021-04-28;100,005;100,49;98,81;99,865;;
2021-04-27;100,96;101,26;99,155;100,005;;
2021-04-26;98,72;102,15;98,67;100,92;;
2021-04-25;98,64;98,66;98,585;98,66;;
2021-04-24;98,65;98,65;98,615;98,615;;
2021-04-23;99,025;99,48;97,665;98,63;;
2021-04-22;98,795;99,735;97,245;98,865;;
2021-04-21;99,015;99,935;95,97;98,795;;
2021-04-20;102,88;103,02;97,93;98,80;;
2021-04-19;103,78;104,19;102,43;102,88;;
2021-04-18;103,86;103,88;103,60;103,64;;
2021-04-17;103,86;103,86;103,86;103,86;;
2021-04-16;103,12;104,56;102,91;103,86;;
2021-04-15;99,775;104,08;99,51;103,05;;
2021-04-14;99,005;100,63;97,915;99,775;;
2021-04-13;100,075;100,65;97,73;98,915;;
2021-04-12;101,39;102,26;99,205;100,09;;
2021-04-11;101,65;101,82;101,59;101,82;;
2021-04-10;101,75;101,75;101,50;101,65;;
2021-04-09;101,00;104,09;100,90;101,73;;
2021-04-08;100,99;101,36;99,725;101,09;;
2021-04-07;100,61;101,65;100,065;100,99;;
2021-04-06;101,09;102,10;99,43;100,69;;
2021-04-01;96,835;101,42;96,62;100,83;;
2021-03-31;97,935;97,99;96,335;96,885;;
2021-03-30;97,30;98,295;96,845;97,935;;
2021-03-29;96,995;98,335;96,415;97,58;;
2021-03-28;97,865;97,905;97,67;97,71;;
2021-03-27;97,905;97,905;97,865;97,865;;
2021-03-26;97,345;98,68;96,695;97,905;;
2021-03-25;95,28;97,37;94,215;97,345;;
2021-03-24;95,45;96,755;93,53;95,28;;
2021-03-23;97,285;97,285;95,245;95,45;;
2021-03-22;98,52;98,52;96,285;97,60;;
2021-03-21;98,61;98,61;98,395;98,48;;
2021-03-20;98,61;98,61;98,57;98,57;;
2021-03-19;100,02;100,41;97,48;98,60;;
2021-03-18;101,92;102,65;99,87;100,22;;
2021-03-17;101,69;102,60;101,01;101,73;;
2021-03-16;99,855;103,11;99,63;101,79;;
2021-03-15;100,25;101,16;99,64;99,96;;
2021-03-14;100,25;100,25;100,25;100,25;;
2021-03-13;100,25;100,25;100,25;100,25;;
2021-03-12;98,935;100,50;97,815;100,25;;
2021-03-11;99,82;99,99;97,535;98,925;;
2021-03-10;100,105;100,96;98,645;99,87;;
2021-03-09;100,69;101,06;99,12;100,22;;
2021-03-08;96,65;100,70;96,365;100,70;;
2021-03-07;96,65;96,65;96,65;96,65;;
2021-03-06;96,65;96,65;96,65;96,65;;
2021-03-05;99,21;99,735;94,805;96,65;;
2021-03-04;99,20;101,18;98,245;99,20;;
2021-03-03;99,28;100,65;98,83;99,42;;
2021-03-02;100,26;100,76;98,415;99,055;;
2021-03-01;96,52;101,46;96,52;101,16;;
2021-02-28;96,52;96,52;96,52;96,52;;
2021-02-27;96,52;96,52;96,52;96,52;;
2021-02-26;97,665;98,145;95,165;96,52;;
2021-02-25;102,87;103,81;96,635;97,665;;
2021-02-24;99,41;102,91;98,15;102,87;;
2021-02-23;95,275;101,36;95,00;99,41;;
2021-02-22;91,875;95,74;90,215;95,275;;
2021-02-21;91,875;91,875;91,875;91,875;;
2021-02-20;91,875;91,875;91,875;91,875;;
2021-02-19;91,69;92,555;89,865;91,875;;
2021-02-18;93,975;94,80;89,775;91,69;;
2021-02-17;93,535;94,67;93,425;93,975;;
2021-02-16;93,79;94,515;93,42;93,535;;
2021-02-15;92,30;94,265;92,30;93,79;;
2021-02-14;92,30;92,30;92,30;92,30;;
2021-02-13;92,30;92,30;92,30;92,30;;
2021-02-12;91,19;92,365;89,505;92,30;;
2021-02-11;91,16;93,235;90,795;91,415;;
2021-02-10;92,95;93,60;91,185;91,975;;
2021-02-09;94,155;95,145;91,895;93,12;;
2021-02-08;93,95;94,825;92,59;94,155;;
2021-02-07;93,95;93,95;93,95;93,95;;
2021-02-06;93,95;93,95;93,95;93,95;;
2021-02-05;92,96;94,585;91,97;93,95;;
2021-02-04;90,20;93,14;89,305;92,96;;
2021-02-03;88,61;90,925;88,61;90,20;;
2021-02-02;83,355;88,94;83,355;88,61;;
2021-02-01;83,715;84,55;82,445;83,355;;
2021-01-31;83,715;83,715;83,715;83,715;;
2021-01-30;83,715;83,715;83,715;83,715;;
2021-01-29;84,61;85,49;81,955;83,33;;
2021-01-28;83,235;86,735;82,525;85,185;;
2021-01-27;85,29;85,45;82,85;83,235;;
2021-01-26;86,24;87,17;82,73;85,29;;
2021-01-25;89,05;89,05;84,53;86,24;;
2021-01-24;89,05;89,05;89,05;89,05;;
2021-01-23;89,05;89,05;89,05;89,05;;
2021-01-22;90,15;90,15;88,005;89,05;;
2021-01-21;93,255;93,425;88,625;90,15;;
2021-01-20;92,075;93,455;90,855;93,255;;
2021-01-19;91,225;92,39;91,05;92,075;;
2021-01-18;92,025;93,075;90,285;91,225;;
2021-01-17;92,025;92,025;92,025;92,025;;
2021-01-16;92,025;92,025;92,025;92,025;;
2021-01-15;92,63;92,93;91,025;92,025;;
2021-01-14;89,01;93,23;89,01;92,63;;
2021-01-13;89,625;90,475;88,125;89,01;;
2021-01-12;90,17;90,51;89,025;89,625;;
2021-01-11;90,405;91,73;89,07;90,17;;
2021-01-10;90,405;90,405;90,405;90,405;;
2021-01-09;90,405;90,405;90,405;90,405;;
2021-01-08;89,84;90,69;89,005;90,405;;
2021-01-07;90,07;90,94;89,355;89,84;;
2021-01-06;89,98;91,37;89,02;90,07;;
2021-01-05;89,96;90,75;88,555;89,98;;
2021-01-04;92,10;94,57;88,79;89,96;;
2020-12-30;92,10;93,09;91,34;91,445;;
2020-12-29;92,00;93,44;91,55;92,10;;
2020-12-28;91,45;93,78;91,45;92,00;;
2020-12-23;88,295;92,065;87,715;91,45;;
