Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;112,34;112,34;111,30;111,72;233.913;26.151.835
2021-12-29;113,18;113,96;111,64;112,10;245.181;27.648.932
2021-12-28;112,32;113,80;112,30;113,56;198.457;22.456.480
2021-12-27;110,76;112,96;110,10;112,44;168.703;18.906.739
2021-12-23;111,02;112,42;110,66;111,84;305.059;34.058.813
2021-12-22;107,52;111,00;107,52;111,00;445.982;48.675.953
2021-12-21;103,42;106,74;102,82;106,74;302.053;31.667.830
2021-12-20;101,30;103,38;100,30;102,08;386.190;39.394.776
2021-12-17;103,42;104,92;102,16;104,16;765.808;79.224.945
2021-12-16;103,72;104,32;102,38;102,90;606.553;62.493.525
2021-12-15;102,90;102,94;99,78;100,06;226.196;22.836.269
2021-12-14;103,64;104,82;102,28;102,50;374.241;38.697.183
2021-12-13;105,28;105,68;102,40;103,14;326.322;33.965.459
2021-12-10;104,02;107,06;103,38;105,52;338.773;35.890.512
2021-12-09;107,80;107,86;104,98;105,48;263.708;27.917.932
2021-12-08;105,60;108,06;103,66;107,32;662.685;70.390.483
2021-12-07;103,84;106,38;103,22;105,78;557.684;58.694.571
2021-12-06;99,84;103,22;99,11;102,70;492.343;49.854.161
2021-12-03;102,16;103,70;98,03;98,54;574.437;57.704.431
2021-12-02;100,20;102,20;99,93;100,86;506.926;51.172.200
2021-12-01;100,72;102,16;99,21;101,90;722.827;73.208.509
2021-11-30;97,74;101,36;96,83;98,77;924.318;91.497.201
2021-11-29;100,70;102,64;98,72;99,72;769.429;77.310.083
2021-11-26;100,72;102,80;96,64;99,29;1.746.659;174.673.345
2021-11-25;111,68;112,74;110,68;112,26;243.243;27.206.610
2021-11-24;110,84;111,94;109,20;111,54;479.307;53.104.409
2021-11-23;108,72;111,84;108,32;110,40;424.200;46.850.845
2021-11-22;109,86;110,92;108,60;108,86;422.610;46.169.319
2021-11-19;113,50;113,50;108,86;109,48;833.875;92.076.737
2021-11-18;114,68;114,68;112,62;113,34;341.271;38.774.012
2021-11-17;114,58;115,16;114,10;114,50;269.706;30.903.806
2021-11-16;114,70;115,64;113,92;115,06;299.766;34.413.223
2021-11-15;115,00;115,74;113,66;114,14;323.178;37.047.528
2021-11-12;114,20;115,22;112,24;112,24;311.460;35.356.687
2021-11-11;115,90;116,78;113,94;114,54;278.348;32.060.901
2021-11-10;116,30;117,60;115,40;116,22;183.514;21.333.588
2021-11-09;115,28;117,16;115,20;116,34;235.918;27.475.234
2021-11-08;113,88;115,60;113,54;115,60;260.003;29.894.106
2021-11-05;108,32;114,14;107,52;113,90;576.427;64.287.378
2021-11-04;108,90;109,80;107,72;108,88;343.232;37.353.062
2021-11-03;110,20;110,20;107,82;107,98;277.374;30.137.639
2021-11-02;109,14;111,12;108,68;110,18;240.429;26.479.914
2021-11-01;110,96;111,58;109,16;109,72;205.924;22.666.299
2021-10-29;110,70;112,86;109,90;110,56;232.902;25.864.200
2021-10-28;112,58;113,48;110,28;111,96;270.481;30.239.900
2021-10-27;108,98;110,38;108,62;109,84;178.253;19.536.222
2021-10-26;108,08;110,92;107,18;109,94;293.774;32.171.813
