Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;208,10;208,15;207,075;207,725;;
2021-12-29;209,125;209,75;207,275;208,05;;
2021-12-28;207,675;209,525;207,40;209,075;;
2021-12-27;206,30;208,125;205,875;207,80;;
2021-12-23;204,225;207,475;203,95;206,525;;
2021-12-22;204,10;204,575;202,60;204,15;;
2021-12-21;202,475;204,425;201,15;204,325;;
2021-12-20;201,075;202,825;196,34;201,75;;
2021-12-19;204,025;204,025;203,225;203,275;;
2021-12-18;204,025;204,025;204,025;204,025;;
2021-12-17;204,80;205,95;203,075;204,025;;
2021-12-16;203,875;206,475;195,14;204,80;;
2021-12-15;201,825;203,50;200,825;203,325;;
2021-12-14;202,525;203,00;200,90;201,625;;
2021-12-13;203,375;204,05;201,275;202,275;;
2021-12-12;203,075;203,50;203,075;203,075;;
2021-12-11;203,075;203,175;203,025;203,075;;
2021-12-10;203,125;203,825;202,025;203,075;;
2021-12-09;205,30;205,45;203,15;203,55;;
2021-12-08;206,175;206,30;202,875;205,35;;
2021-12-07;204,30;206,975;204,225;206,45;;
2021-12-06;200,155;204,275;199,15;203,525;;
2021-12-05;198,08;199,10;198,06;199,02;;
2021-12-04;198,74;198,74;197,60;197,60;;
2021-12-03;199,24;202,30;197,01;198,74;;
2021-12-02;197,89;199,44;196,22;199,38;;
2021-12-01;194,15;199,85;193,77;196,47;;
2021-11-30;190,71;194,09;189,55;193,13;;
2021-11-29;198,23;198,88;191,71;194,21;;
2021-11-28;193,40;194,59;192,69;194,59;;
2021-11-27;193,80;194,40;192,64;193,40;;
2021-11-26;201,45;201,475;191,07;193,51;;
2021-11-25;204,075;204,70;202,10;202,75;;
2021-11-24;203,625;205,725;202,55;203,875;;
2021-11-23;202,525;204,20;200,75;203,475;;
2021-11-22;202,10;203,825;201,375;202,625;;
2021-11-21;202,85;202,85;201,80;201,80;;
2021-11-20;202,85;202,85;202,85;202,85;;
2021-11-19;205,375;205,85;200,825;202,80;;
2021-11-18;205,45;206,35;204,525;205,175;;
2021-11-17;206,10;206,45;205,275;205,35;;
2021-11-16;205,75;207,55;205,675;206,20;;
2021-11-15;205,30;205,95;204,80;205,75;;
2021-11-14;205,325;205,375;205,325;205,375;;
2021-11-13;205,325;205,325;205,325;205,325;;
2021-11-12;205,55;205,60;204,325;205,325;;
2021-11-11;205,625;207,775;204,475;205,45;;
2021-11-10;203,25;205,925;200,80;205,525;;
2021-11-09;203,30;204,325;202,325;203,35;;
2021-11-08;203,475;204,075;201,925;203,40;;
2021-11-07;203,375;203,50;203,375;203,50;;
2021-11-06;203,375;203,425;203,375;203,425;;
2021-11-05;201,20;204,375;200,775;203,375;;
2021-11-04;203,95;204,20;200,625;201,225;;
2021-11-03;202,575;203,925;201,575;203,875;;
2021-11-02;202,925;202,95;201,075;202,70;;
2021-11-01;201,475;203,775;201,325;203,025;;
2021-10-31;201,425;201,575;201,425;201,525;;
2021-10-30;201,425;201,425;201,425;201,425;;
2021-10-29;200,175;201,625;199,52;201,425;;
2021-10-28;200,90;201,15;199,28;200,40;;
2021-10-27;201,175;201,65;199,94;200,60;;
2021-10-26;199,19;202,675;198,67;201,175;;
2021-10-25;199,06;199,97;198,11;199,03;;
2021-10-24;199,02;199,02;199,02;199,02;;
2021-10-23;199,04;199,04;199,00;199,02;;
2021-10-22;199,16;200,05;198,18;199,04;;
2021-10-21;198,90;199,67;197,10;198,96;;
2021-10-20;198,94;200,60;198,49;199,10;;
2021-10-19;199,28;199,79;197,03;199,06;;
2021-10-18;198,43;200,025;197,56;199,26;;
2021-10-17;198,73;198,81;198,69;198,75;;
2021-10-16;198,73;198,82;198,65;198,73;;
2021-10-15;197,44;199,91;196,99;198,73;;
2021-10-14;196,03;197,45;194,04;197,28;;
2021-10-13;197,91;198,07;194,27;195,88;;
2021-10-12;197,83;198,55;196,66;197,59;;
2021-10-11;198,89;199,80;197,97;198,09;;
2021-10-10;198,61;198,61;198,61;198,61;;
2021-10-09;198,57;198,61;198,57;198,61;;
2021-10-08;198,58;199,47;197,85;198,57;;
2021-10-07;197,08;199,60;196,72;198,64;;
2021-10-06;196,22;197,83;192,91;196,46;;
2021-10-05;195,12;197,72;194,53;197,02;;
2021-10-04;195,38;196,37;193,97;195,06;;
2021-10-03;195,98;195,98;195,90;195,98;;
2021-10-02;196,02;196,02;195,98;195,98;;
2021-10-01;193,96;196,43;191,45;196,02;;
2021-09-30;195,44;197,02;193,59;195,30;;
2021-09-29;194,57;196,53;193,78;194,78;;
2021-09-28;196,35;197,78;193,43;194,25;;
2021-09-27;194,38;196,46;193,92;196,40;;
2021-09-26;193,44;193,90;193,34;193,86;;
2021-09-25;193,44;193,44;193,38;193,44;;
2021-09-24;191,98;194,10;190,30;193,44;;
2021-09-23;192,20;193,31;190,91;192,32;;
2021-09-22;188,43;192,21;188,43;191,70;;
2021-09-21;185,45;188,71;184,63;187,64;;
2021-09-20;189,84;190,49;182,54;184,51;;
2021-09-19;191,08;191,12;190,38;190,44;;
2021-09-18;191,08;191,08;191,08;191,08;;
2021-09-17;193,29;194,20;190,22;191,08;;
2021-09-16;192,13;193,49;191,81;193,17;;
2021-09-15;193,36;194,30;191,16;192,29;;
2021-09-14;195,13;195,27;192,33;193,02;;
2021-09-13;192,93;195,83;192,23;195,07;;
2021-09-12;192,79;192,85;192,79;192,84;;
2021-09-11;192,81;192,83;192,81;192,81;;
2021-09-10;194,26;195,64;192,57;192,81;;
