Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;208,05;208,05;207,05;207,65;463.769;96.275.246
2021-12-29;208,95;209,75;207,45;208,10;418.410;87.153.792
2021-12-28;208,10;209,50;207,85;209,15;443.746;92.703.733
2021-12-27;206,30;208,10;206,30;207,55;333.271;69.139.309
2021-12-23;205,90;207,45;205,25;207,00;642.155;132.689.387
2021-12-22;203,75;204,50;202,65;204,50;446.340;91.000.631
2021-12-21;203,00;204,30;201,20;203,75;741.710;150.766.253
2021-12-20;200,15;201,45;196,36;200,95;1.057.596;210.821.760
2021-12-17;205,60;205,95;203,10;204,70;1.587.901;324.913.958
2021-12-16;204,00;206,50;203,65;205,35;1.123.093;230.763.767
2021-12-15;201,05;202,90;200,85;202,20;611.140;123.531.417
2021-12-14;202,80;203,05;200,90;201,20;622.264;125.437.787
2021-12-13;203,35;203,90;201,30;201,80;599.135;121.278.348
2021-12-10;203,00;203,80;202,00;202,75;574.133;116.481.977
2021-12-09;204,15;205,35;203,30;203,85;527.951;107.702.585
2021-12-08;205,70;206,30;202,85;204,85;739.784;151.490.712
2021-12-07;204,65;207,00;204,20;205,70;1.128.301;232.246.498
2021-12-06;201,10;204,25;199,18;202,95;1.043.497;210.925.967
2021-12-03;201,70;201,75;196,98;198,38;1.477.409;294.660.710
2021-12-02;196,84;198,46;196,22;197,30;1.034.946;204.329.459
2021-12-01;194,02;199,86;193,72;198,96;1.184.705;234.178.134
2021-11-30;190,00;193,64;189,70;192,44;1.831.342;351.427.093
2021-11-29;194,98;195,50;191,70;192,08;1.365.156;264.094.958
2021-11-26;198,14;198,36;191,04;191,44;2.462.579;475.702.116
2021-11-25;203,55;203,85;202,10;202,65;487.256;98.773.774
2021-11-24;203,50;205,75;202,55;203,10;823.477;167.687.715
2021-11-23;202,25;204,20;201,15;203,25;621.514;126.215.891
2021-11-22;203,65;203,80;201,40;203,05;673.609;136.592.842
2021-11-19;205,50;205,85;200,80;202,75;1.532.741;311.004.427
2021-11-18;205,75;206,40;204,55;204,75;643.700;132.004.120
2021-11-17;205,70;206,45;205,25;205,25;572.885;117.803.756
2021-11-16;206,00;207,55;205,75;205,80;580.782;119.798.120
2021-11-15;205,00;205,80;204,80;205,75;476.193;97.834.698
