Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;61,56;61,75;61,325;61,655;;
2021-12-29;61,875;61,895;61,375;61,54;;
2021-12-28;61,465;61,925;61,26;61,855;;
2021-12-27;60,68;61,59;60,615;61,495;;
2021-12-23;59,905;60,935;59,835;60,755;;
2021-12-22;59,84;60,00;59,235;59,895;;
2021-12-21;59,735;60,005;59,20;59,905;;
2021-12-20;59,285;59,83;58,015;59,51;;
2021-12-19;60,155;60,155;59,91;59,96;;
2021-12-18;60,15;60,155;60,15;60,155;;
2021-12-17;61,34;61,39;59,835;60,15;;
2021-12-16;60,19;63,065;60,055;60,43;;
2021-12-15;59,795;60,695;59,065;59,965;;
2021-12-14;59,85;59,975;59,31;59,735;;
2021-12-13;60,21;60,46;59,525;59,77;;
2021-12-12;60,10;60,24;60,10;60,10;;
2021-12-11;60,10;60,14;60,09;60,10;;
2021-12-10;59,78;60,35;59,44;60,10;;
2021-12-09;60,34;60,74;59,505;59,915;;
2021-12-08;61,38;61,39;59,655;60,36;;
2021-12-07;60,23;61,59;60,23;61,45;;
2021-12-06;58,88;60,02;58,63;60,02;;
2021-12-05;58,34;59,90;58,33;58,90;;
2021-12-04;58,52;58,52;58,20;58,20;;
2021-12-03;59,65;59,86;58,195;58,525;;
2021-12-02;58,45;59,71;58,40;59,69;;
2021-12-01;58,435;59,615;57,99;58,05;;
2021-11-30;57,75;58,30;57,055;58,125;;
2021-11-29;58,745;59,14;57,63;58,805;;
2021-11-28;57,56;58,085;57,495;57,70;;
2021-11-27;58,36;58,36;57,56;57,56;;
2021-11-26;61,67;61,67;57,775;58,24;;
2021-11-25;62,09;62,31;61,155;61,76;;
2021-11-24;63,16;63,295;61,605;62,07;;
2021-11-23;61,855;63,645;61,365;63,145;;
2021-11-22;61,61;62,15;61,235;61,875;;
2021-11-21;61,605;61,605;61,525;61,525;;
2021-11-20;61,605;61,605;61,605;61,605;;
2021-11-19;62,715;63,32;60,845;61,61;;
2021-11-18;62,61;63,105;62,515;62,625;;
2021-11-17;62,83;62,97;62,305;62,57;;
2021-11-16;62,275;63,345;62,04;62,88;;
2021-11-15;62,685;62,91;62,025;62,275;;
2021-11-14;62,695;62,715;62,695;62,715;;
2021-11-13;62,695;62,695;62,695;62,695;;
2021-11-12;62,50;62,765;62,12;62,695;;
2021-11-11;61,97;62,52;61,725;62,48;;
2021-11-10;61,655;62,20;61,535;61,94;;
2021-11-09;62,235;62,275;61,555;61,685;;
2021-11-08;62,485;62,485;61,635;62,255;;
2021-11-07;62,44;62,495;62,425;62,495;;
2021-11-06;62,22;62,445;62,22;62,445;;
2021-11-05;61,91;62,305;61,325;62,22;;
2021-11-04;62,885;63,305;61,525;61,93;;
2021-11-03;62,235;62,935;61,885;62,865;;
2021-11-02;62,97;63,00;61,505;62,31;;
2021-11-01;62,355;63,50;62,32;63,05;;
2021-10-31;62,345;62,42;62,345;62,40;;
2021-10-30;62,345;62,345;62,345;62,345;;
2021-10-29;62,575;62,59;61,81;62,345;;
2021-10-28;63,545;63,895;62,29;62,67;;
2021-10-27;63,855;64,65;62,715;63,455;;
2021-10-26;63,555;63,96;62,965;63,85;;
2021-10-25;62,95;63,525;62,475;63,495;;
2021-10-24;62,93;62,93;62,93;62,93;;
2021-10-23;62,94;62,94;62,92;62,93;;
2021-10-22;63,215;63,30;62,655;62,94;;
2021-10-21;63,565;63,565;62,615;63,145;;
2021-10-20;64,08;64,085;62,875;63,625;;
2021-10-19;64,185;64,26;63,61;64,115;;
2021-10-18;64,925;65,165;63,835;64,175;;
2021-10-17;65,035;65,06;65,015;65,035;;
2021-10-16;65,035;65,065;65,00;65,035;;
2021-10-15;65,36;65,36;64,18;65,035;;
2021-10-14;65,245;65,50;64,565;65,305;;
2021-10-13;64,545;65,20;63,92;65,18;;
2021-10-12;63,935;64,62;63,27;64,42;;
2021-10-11;63,76;64,335;63,365;64,03;;
2021-10-10;63,655;63,655;63,655;63,655;;
2021-10-09;63,635;63,655;63,635;63,655;;
2021-10-08;63,24;63,81;63,105;63,635;;
2021-10-07;62,885;63,675;62,245;63,265;;
2021-10-06;64,26;64,31;61,86;62,675;;
2021-10-05;64,605;64,755;63,775;64,475;;
2021-10-04;64,85;65,33;64,06;64,585;;
2021-10-03;65,035;65,035;65,01;65,03;;
2021-10-02;65,04;65,04;65,035;65,035;;
2021-10-01;65,12;65,345;64,105;65,04;;
2021-09-30;66,23;66,48;65,39;65,51;;
2021-09-29;65,135;66,09;64,795;65,965;;
2021-09-28;64,685;65,94;64,575;65,05;;
2021-09-27;64,07;65,145;63,905;64,70;;
2021-09-26;63,74;63,90;63,70;63,885;;
2021-09-25;63,74;63,74;63,72;63,74;;
2021-09-24;63,855;64,01;63,15;63,74;;
2021-09-23;63,915;64,435;63,445;63,97;;
2021-09-22;63,03;63,76;62,505;63,75;;
2021-09-21;62,125;63,32;61,985;62,755;;
2021-09-20;62,76;63,00;60,165;61,715;;
2021-09-19;63,38;63,42;63,22;63,265;;
2021-09-18;63,38;63,38;63,38;63,38;;
2021-09-17;65,405;66,17;62,975;63,38;;
2021-09-16;64,99;66,015;64,885;65,315;;
2021-09-15;65,84;65,84;64,715;65,14;;
2021-09-14;65,775;66,275;65,39;65,57;;
2021-09-13;64,52;65,83;64,465;65,73;;
2021-09-12;64,415;64,48;64,415;64,465;;
2021-09-11;64,43;64,445;64,43;64,43;;
2021-09-10;65,01;65,065;64,39;64,43;;
2021-09-09;64,705;64,925;63,755;64,56;;
2021-09-08;65,225;65,65;64,615;65,07;;
2021-09-07;65,295;65,77;64,905;65,225;;
2021-09-06;65,00;65,54;64,685;65,37;;
2021-09-05;64,94;64,955;64,94;64,945;;
2021-09-04;64,94;64,94;64,94;64,94;;
2021-09-03;65,17;65,33;64,51;64,94;;
2021-09-02;64,705;65,23;64,54;65,055;;
2021-09-01;65,775;66,16;64,44;64,79;;
2021-08-31;67,10;67,215;65,315;65,57;;
2021-08-30;66,51;67,295;66,49;66,935;;
2021-08-29;66,49;66,59;66,49;66,59;;
2021-08-28;66,49;66,495;66,49;66,49;;
2021-08-27;65,81;66,67;65,62;66,53;;
2021-08-26;66,285;66,47;65,64;65,715;;
2021-08-25;66,45;66,78;66,07;66,475;;
2021-08-24;65,58;66,76;65,335;66,47;;
2021-08-23;65,325;65,78;64,82;65,405;;
2021-08-22;64,955;64,955;64,955;64,955;;
2021-08-21;64,955;64,955;64,955;64,955;;
2021-08-20;65,32;65,70;64,145;64,93;;
2021-08-19;67,66;67,785;65,165;65,665;;
2021-08-18;67,89;68,10;67,515;67,73;;
2021-08-17;68,18;68,18;67,525;67,65;;
2021-08-16;68,96;69,01;67,99;68,345;;
2021-08-15;69,09;69,16;69,045;69,16;;
2021-08-14;69,095;69,095;69,09;69,09;;
2021-08-13;68,93;69,515;68,585;69,095;;
2021-08-12;67,955;69,135;67,905;68,95;;
2021-08-11;67,51;68,145;67,355;67,985;;
2021-08-10;67,35;67,575;66,955;67,555;;
2021-08-09;67,04;67,54;66,905;67,345;;
2021-08-08;67,17;67,185;67,165;67,165;;
2021-08-07;67,17;67,17;67,17;67,17;;
2021-08-06;66,855;67,46;66,765;67,17;;
2021-08-05;66,705;67,095;66,185;66,835;;
2021-08-04;66,675;67,005;66,305;66,635;;
2021-08-03;66,505;66,875;65,83;66,575;;
2021-08-02;66,645;67,515;66,155;66,305;;
2021-08-01;66,40;66,42;66,36;66,36;;
2021-07-31;66,425;66,425;66,40;66,40;;
2021-07-30;66,37;66,85;65,975;66,425;;
2021-07-29;66,26;67,36;66,255;66,64;;
2021-07-28;66,675;67,835;65,80;66,31;;
2021-07-27;67,305;67,325;66,72;66,745;;
2021-07-26;66,75;67,545;66,605;67,46;;
2021-07-25;67,045;67,045;67,01;67,01;;
2021-07-24;67,045;67,045;67,045;67,045;;
2021-07-23;67,025;67,295;66,71;67,045;;
2021-07-22;66,61;67,405;66,17;67,08;;
2021-07-21;65,565;66,96;65,50;66,64;;
2021-07-20;65,015;65,915;64,60;65,695;;
2021-07-19;66,905;66,915;64,11;64,92;;
2021-07-18;67,135;67,135;67,075;67,115;;
2021-07-17;66,915;67,135;66,915;67,135;;
2021-07-16;67,575;67,885;66,54;66,915;;
2021-07-15;68,035;68,10;67,23;67,50;;
2021-07-14;67,92;68,485;67,425;68,02;;
