Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;61,48;61,78;61,33;61,78;1.398.905;86.234.877
2021-12-29;61,71;61,84;61,37;61,47;1.345.086;82.780.434
2021-12-28;61,30;61,93;61,26;61,70;1.576.927;97.239.200
2021-12-27;60,65;61,50;60,50;61,29;1.405.892;86.091.307
2021-12-23;60,18;60,94;60,18;60,83;1.889.040;114.651.136
2021-12-22;59,71;59,95;59,23;59,95;1.833.033;109.361.081
2021-12-21;59,68;59,94;59,20;59,71;1.922.185;114.736.853
2021-12-20;59,06;59,26;58,01;59,06;3.099.267;182.228.003
2021-12-17;60,61;60,87;59,83;60,19;4.583.909;276.645.958
2021-12-16;60,18;60,87;60,06;60,34;3.249.545;196.473.415
2021-12-15;59,62;59,71;59,06;59,27;1.980.556;117.481.042
2021-12-14;59,78;59,98;59,31;59,57;2.088.712;124.573.464
2021-12-13;60,20;60,47;59,53;59,57;2.027.187;121.491.093
2021-12-10;59,61;60,35;59,45;59,83;1.881.597;112.780.440
2021-12-09;60,76;60,86;59,50;59,89;2.379.735;142.593.354
2021-12-08;60,55;60,80;59,66;60,29;3.660.057;220.364.574
2021-12-07;60,65;61,58;60,45;61,21;4.321.721;264.092.644
2021-12-06;58,99;59,85;58,63;59,59;2.675.906;158.819.231
2021-12-03;59,56;59,62;58,19;58,40;3.381.666;198.086.159
2021-12-02;58,71;59,45;58,43;59,08;3.130.377;184.518.501
2021-12-01;58,27;59,59;58,13;59,26;3.233.389;191.235.323
2021-11-30;57,38;58,19;57,06;57,88;6.405.668;369.668.717
2021-11-29;58,79;58,93;57,63;57,98;4.154.583;241.450.630
2021-11-26;60,07;60,12;57,76;57,91;9.351.929;546.881.443
2021-11-25;61,88;61,88;61,15;61,61;1.940.143;119.311.706
2021-11-24;62,95;62,96;61,61;61,89;2.891.475;179.634.585
2021-11-23;61,56;63,65;61,53;62,95;3.728.209;234.274.182
2021-11-22;61,71;62,15;61,23;61,93;2.072.836;127.970.119
2021-11-19;63,07;63,30;60,84;61,61;4.794.843;295.900.945
2021-11-18;62,81;63,10;62,52;62,63;1.950.914;122.389.593
2021-11-17;62,84;62,93;62,30;62,68;1.658.952;103.915.377
2021-11-16;62,35;63,34;62,04;62,84;2.274.925;143.046.815
2021-11-15;62,77;62,85;62,02;62,37;1.743.352;108.727.321
2021-11-12;62,34;62,77;62,12;62,65;1.985.327;124.177.052
2021-11-11;61,90;62,47;61,72;62,29;1.830.414;113.810.931
2021-11-10;61,85;62,20;61,54;61,95;2.092.611;129.400.963
2021-11-09;61,90;62,27;61,64;61,71;1.894.943;117.179.444
2021-11-08;62,20;62,31;61,64;62,04;1.965.865;121.871.638
2021-11-05;61,68;62,30;61,32;62,08;2.840.841;175.748.166
2021-11-04;63,00;63,32;61,51;61,51;3.313.692;205.232.993
2021-11-03;62,49;62,93;61,88;62,57;2.088.993;130.497.508
2021-11-02;62,50;62,62;61,50;62,21;3.963.943;245.279.009
2021-11-01;62,60;63,50;62,48;62,79;1.879.961;118.263.165
2021-10-29;62,23;62,49;61,81;62,28;3.567.852;221.800.317
2021-10-28;63,30;63,58;62,30;62,55;3.299.884;206.949.566
2021-10-27;63,80;63,80;62,71;63,45;4.044.880;255.963.243
2021-10-26;63,32;63,96;62,97;63,54;2.402.234;152.659.731
2021-10-25;63,02;63,49;62,48;63,20;2.000.692;126.224.286
2021-10-22;62,81;63,30;62,65;62,80;1.820.061;114.582.166
2021-10-21;62,84;63,18;62,61;62,80;1.900.695;119.520.086
2021-10-20;63,53;63,78;62,88;63,48;1.951.333;123.668.184
2021-10-19;64,22;64,26;63,61;63,74;2.017.089;128.797.356
2021-10-18;65,04;65,17;63,84;64,06;2.210.466;142.037.816
2021-10-15;64,90;65,27;64,46;65,00;2.476.482;160.685.508
2021-10-14;65,26;65,40;64,56;65,09;2.216.800;144.153.240
2021-10-13;64,50;65,13;63,92;64,90;2.169.185;140.513.366
2021-10-12;63,58;64,55;63,27;64,55;2.431.901;156.111.787
2021-10-11;63,50;64,33;63,36;64,19;1.576.288;101.029.812
2021-10-08;63,19;63,78;63,11;63,68;1.942.204;123.430.580
2021-10-07;63,12;63,67;62,25;63,34;2.862.561;180.917.763
2021-10-06;63,99;64,18;61,86;61,91;4.037.481;252.607.954
2021-10-05;64,35;64,73;63,78;64,61;2.398.835;154.336.101
2021-10-04;64,30;65,33;64,07;64,53;1.764.367;113.958.028
2021-10-01;64,53;65,34;64,10;64,60;3.023.397;195.625.597
2021-09-30;66,32;66,48;65,39;65,85;3.206.486;211.393.779
2021-09-29;65,35;66,09;64,81;65,83;2.520.325;165.553.914
2021-09-28;64,56;65,94;64,56;64,81;3.525.382;229.476.908
2021-09-27;64,46;65,14;64,39;64,72;2.587.916;167.685.075
2021-09-24;63,58;64,00;63,17;63,79;1.686.863;107.493.002
2021-09-23;64,50;64,50;63,45;63,94;2.281.284;145.877.898
2021-09-22;63,18;63,65;62,50;63,51;2.127.372;134.618.140
2021-09-21;62,64;63,31;62,25;62,39;3.044.255;190.867.990
2021-09-20;62,00;62,00;60,14;61,77;6.134.904;376.258.469
2021-09-17;65,45;65,45;63,07;63,09;7.740.627;492.137.363
2021-09-16;65,09;66,01;65,01;65,09;2.427.116;158.713.111
2021-09-15;65,47;65,75;64,72;64,81;2.460.130;159.817.295
2021-09-14;65,72;66,28;65,40;65,57;1.944.671;127.886.572
2021-09-13;64,77;65,83;64,67;65,61;2.131.987;139.760.319
2021-09-10;64,82;65,06;64,45;64,56;1.493.458;96.608.924
2021-09-09;64,61;64,92;63,76;64,63;2.620.023;168.467.360
2021-09-08;64,95;65,65;64,60;64,91;2.737.824;178.013.292
2021-09-07;65,20;65,76;64,90;65,25;1.450.674;94.713.237
2021-09-06;64,86;65,54;64,69;65,30;1.531.291;99.916.696
2021-09-03;65,05;65,33;64,51;64,81;1.880.540;122.016.030
2021-09-02;64,69;65,23;64,62;64,93;1.693.540;109.877.932
2021-09-01;65,96;66,16;64,44;64,60;3.732.846;242.544.618
2021-08-31;66,89;67,22;65,32;65,52;3.787.461;249.203.704
2021-08-30;66,86;67,30;66,75;66,76;1.263.113;84.577.249
2021-08-27;65,89;66,66;65,63;66,50;1.215.087;80.519.343
2021-08-26;66,03;66,30;65,65;65,97;1.404.408;92.694.649
2021-08-25;66,76;66,80;66,07;66,42;1.254.464;83.248.059
2021-08-24;65,60;66,78;65,34;66,58;2.512.069;166.409.363
2021-08-23;65,50;65,60;64,82;65,21;1.914.354;124.716.879
2021-08-20;65,50;65,71;64,14;64,77;4.242.856;273.977.770
2021-08-19;67,20;67,30;65,16;65,52;4.719.089;310.679.470
2021-08-18;67,75;68,11;67,51;68,02;1.375.275;93.330.900
2021-08-17;67,99;68,10;67,64;67,76;1.464.551;99.316.920
2021-08-16;68,75;68,92;67,99;68,26;1.851.874;126.509.843
2021-08-13;68,76;69,52;68,60;69,16;1.699.808;117.697.025
2021-08-12;68,25;69,14;68,10;68,75;2.088.412;143.645.912
2021-08-11;67,60;68,15;67,51;68,01;1.807.566;122.814.917
2021-08-10;67,22;67,58;66,96;67,48;1.300.082;87.536.000
2021-08-09;67,10;67,54;66,92;67,24;1.096.326;73.755.530
2021-08-06;66,83;67,45;66,76;67,08;1.293.297;86.790.138
2021-08-05;66,27;67,09;66,19;67,08;1.937.663;129.546.083
2021-08-04;66,74;67,00;66,30;66,57;1.647.430;109.821.926
2021-08-03;66,22;66,75;65,83;66,68;2.177.323;144.569.190
2021-08-02;66,90;67,52;66,08;66,08;2.023.831;134.948.094
2021-07-30;66,50;66,70;65,97;66,22;2.677.146;177.363.332
2021-07-29;66,94;67,36;66,58;66,76;1.871.530;125.311.365
2021-07-28;67,31;67,44;65,78;66,41;3.490.729;231.680.481
2021-07-27;67,15;67,34;66,73;67,08;1.513.181;101.403.163
2021-07-26;66,87;67,55;66,61;67,46;1.324.409;89.043.407
2021-07-23;66,90;67,30;66,87;67,02;1.486.785;99.748.679
2021-07-22;66,79;67,43;66,46;66,53;1.271.208;84.997.775
2021-07-21;65,68;66,96;65,49;66,49;2.875.831;190.983.679
2021-07-20;65,00;65,85;64,60;65,40;2.839.162;185.548.611
2021-07-19;66,51;66,54;64,11;64,54;4.385.855;284.651.633
2021-07-16;67,59;67,89;66,55;67,01;2.378.716;159.858.773
2021-07-15;67,82;68,12;67,23;67,40;1.852.286;125.082.280
2021-07-14;67,65;68,48;67,42;67,92;1.624.218;110.467.375
2021-07-13;68,04;68,60;67,74;67,90;2.333.015;158.946.359
2021-07-12;68,36;68,78;67,17;68,10;3.041.209;206.399.530
2021-07-09;65,94;69,00;65,56;68,01;3.940.116;266.144.219
2021-07-08;66,00;66,00;64,94;65,74;3.163.295;206.957.806
2021-07-07;66,18;66,79;66,04;66,40;1.620.221;107.604.758
2021-07-06;67,53;67,55;65,72;66,04;2.451.873;163.065.790
2021-07-05;67,25;67,75;66,97;67,50;1.334.081;89.972.408
2021-07-02;67,52;68,21;67,01;67,18;2.089.857;141.044.144
2021-07-01;66,83;67,68;66,64;67,19;2.595.816;174.520.068
2021-06-30;66,82;67,08;65,73;66,44;3.069.566;203.688.356
2021-06-29;65,34;67,25;65,32;66,83;2.788.324;186.158.195
2021-06-28;66,04;66,18;65,10;65,30;1.807.851;118.228.946
2021-06-25;65,64;66,34;65,52;66,05;1.570.475;103.710.647
2021-06-24;65,64;66,01;65,44;65,61;1.655.578;108.710.538
2021-06-23;66,22;66,39;65,30;65,30;1.885.264;123.869.817
2021-06-22;65,70;66,39;65,33;66,15;2.013.006;132.652.588
2021-06-21;64,44;65,85;63,83;65,69;3.434.171;224.028.386
2021-06-18;66,09;66,09;64,31;64,56;5.421.947;351.611.054
2021-06-17;66,01;66,72;65,65;66,11;2.481.877;164.397.733
2021-06-16;67,19;67,26;66,17;66,47;3.014.567;200.639.834
2021-06-15;67,60;67,65;66,80;67,05;2.394.217;160.603.000
2021-06-14;67,68;68,02;67,16;67,24;1.927.774;129.931.672
