Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;89,30;89,49;88,11;88,545;;
2021-12-29;89,81;89,965;88,87;89,265;;
2021-12-28;89,965;90,695;89,705;89,785;;
2021-12-27;88,965;90,115;88,665;90,04;;
2021-12-23;87,47;89,465;87,33;89,095;;
2021-12-22;87,35;87,55;86,045;87,44;;
2021-12-21;86,19;87,47;85,365;87,47;;
2021-12-20;85,315;86,245;83,36;85,98;;
2021-12-19;86,89;86,89;86,46;86,47;;
2021-12-18;86,87;86,89;86,87;86,89;;
2021-12-17;90,90;90,99;86,095;86,87;;
2021-12-16;89,43;93,85;88,73;89,25;;
2021-12-15;88,755;89,395;88,20;89,20;;
2021-12-14;89,775;90,065;88,215;88,66;;
2021-12-13;89,92;91,885;89,56;89,66;;
2021-12-12;89,74;89,96;89,74;89,74;;
2021-12-11;89,74;89,79;89,71;89,74;;
2021-12-10;89,75;90,195;88,925;89,74;;
2021-12-09;91,12;91,86;89,87;89,98;;
2021-12-08;90,89;91,22;89,125;91,15;;
2021-12-07;89,04;91,12;89,04;91,08;;
2021-12-06;88,065;88,795;86,815;88,67;;
2021-12-05;86,945;87,165;86,925;87,12;;
2021-12-04;87,295;87,295;86,685;86,685;;
2021-12-03;89,14;89,61;86,975;87,305;;
2021-12-02;87,49;89,37;87,07;89,37;;
2021-12-01;86,145;88,925;85,565;86,71;;
2021-11-30;84,94;85,60;83,375;85,565;;
2021-11-29;86,25;87,435;85,17;86,505;;
2021-11-28;83,78;84,405;83,555;84,405;;
2021-11-27;85,65;85,65;83,78;83,78;;
2021-11-26;90,305;90,32;85,16;85,545;;
2021-11-25;92,87;93,065;90,715;91,345;;
2021-11-24;94,84;94,84;91,80;92,73;;
2021-11-23;94,15;94,80;93,395;94,76;;
2021-11-22;92,885;95,21;92,675;94,20;;
2021-11-21;92,875;92,875;92,665;92,665;;
2021-11-20;92,875;92,875;92,875;92,875;;
2021-11-19;94,045;95,41;92,365;92,885;;
2021-11-18;93,60;94,97;93,165;93,815;;
2021-11-17;93,24;93,995;92,445;93,495;;
2021-11-16;93,35;94,57;92,745;93,36;;
2021-11-15;92,565;93,715;92,545;93,35;;
2021-11-14;92,595;92,645;92,595;92,645;;
2021-11-13;92,595;92,595;92,595;92,595;;
2021-11-12;92,24;93,135;91,91;92,595;;
2021-11-11;91,13;92,515;91,13;92,16;;
2021-11-10;90,54;91,825;90,04;91,05;;
2021-11-09;91,23;91,555;90,39;90,64;;
2021-11-08;91,44;91,805;90,77;91,29;;
