Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;89,39;89,50;88,12;88,49;598.323;52.953.704
2021-12-29;89,89;89,97;88,87;89,20;419.820;37.463.971
2021-12-28;90,09;90,69;89,75;89,95;442.096;39.832.824
2021-12-27;88,72;90,11;88,61;90,00;396.304;35.551.524
2021-12-23;88,00;89,46;87,98;89,17;823.550;73.231.416
2021-12-22;87,00;87,44;86,05;87,44;624.985;54.387.238
2021-12-21;86,26;87,14;85,36;87,09;888.690;77.013.907
2021-12-20;84,36;86,23;83,36;85,19;1.455.573;123.599.049
2021-12-17;88,83;89,05;86,09;86,92;2.735.975;238.543.571
2021-12-16;89,75;90,31;89,27;89,64;1.364.574;122.448.102
2021-12-15;88,89;89,41;88,23;88,27;794.212;70.324.293
2021-12-14;89,98;90,04;88,22;88,40;1.116.145;98.941.571
2021-12-13;89,80;91,88;89,55;89,88;1.086.537;98.412.317
2021-12-10;89,53;90,19;88,95;89,66;1.415.043;126.810.138
2021-12-09;91,49;91,87;90,00;90,22;1.050.166;95.184.907
2021-12-08;90,85;91,21;89,13;91,13;1.338.471;121.367.653
2021-12-07;89,44;91,02;89,18;90,84;1.710.115;154.735.411
2021-12-06;88,03;88,80;86,82;88,42;1.100.120;96.897.564
2021-12-03;89,53;89,61;87,14;87,50;1.385.089;121.802.350
2021-12-02;87,47;88,87;87,07;88,43;1.325.406;117.028.172
2021-12-01;85,99;88,92;85,58;88,64;1.482.489;130.260.324
2021-11-30;84,95;85,60;83,38;84,98;2.252.023;190.700.379
2021-11-29;86,00;87,98;85,17;85,78;1.759.480;151.453.714
2021-11-26;87,98;88,07;85,51;85,51;2.597.218;224.747.773
2021-11-25;92,85;93,02;90,72;91,13;803.234;73.422.013
2021-11-24;94,23;94,83;91,81;92,49;1.403.839;130.631.337
2021-11-23;94,00;94,76;93,39;94,44;1.204.668;113.532.885
2021-11-22;93,32;95,20;93,25;94,78;1.208.270;114.352.285
2021-11-19;95,00;95,44;92,36;93,20;2.007.293;187.537.401
2021-11-18;93,83;94,98;93,18;94,20;1.141.842;107.526.539
2021-11-17;93,36;93,99;92,44;93,62;822.593;76.825.075
2021-11-16;93,76;94,57;92,75;93,21;1.018.397;95.253.561
2021-11-15;92,90;93,72;92,74;93,48;862.865;80.571.167
2021-11-12;92,50;93,14;91,92;93,02;960.929;89.247.581
2021-11-11;91,78;92,52;91,53;92,33;993.417;91.628.580
2021-11-10;90,67;91,82;90,06;91,76;847.559;77.463.735
2021-11-09;91,30;91,57;90,39;90,66;903.644;82.133.304
