Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;46,9825;47,1925;46,62;47,0575;;
2021-12-29;47,195;47,3375;46,88;46,97;;
2021-12-28;47,05;47,375;46,9425;47,1825;;
2021-12-27;46,4825;47,2075;46,4325;47,08;;
2021-12-23;45,6275;46,7225;45,5825;46,5325;;
2021-12-22;45,6975;45,785;45,31;45,62;;
2021-12-21;45,7625;46,05;45,20;45,7375;;
2021-12-20;46,0125;46,3475;44,5975;45,6225;;
2021-12-19;46,5225;46,5225;46,3225;46,4275;;
2021-12-18;46,52;46,5225;46,52;46,5225;;
2021-12-17;46,375;46,9275;45,545;46,52;;
2021-12-16;46,4875;48,075;46,275;46,555;;
2021-12-15;46,4625;46,5925;45,525;46,3625;;
2021-12-14;46,6625;47,17;46,265;46,4275;;
2021-12-13;46,9225;48,065;46,1775;46,62;;
2021-12-12;46,8625;46,9425;46,8625;46,8625;;
2021-12-11;46,8625;46,8825;46,8525;46,8625;;
2021-12-10;45,7875;49,20;45,7875;46,8625;;
2021-12-09;45,9025;46,1525;45,505;45,8625;;
2021-12-08;45,8375;46,3075;45,6075;45,9125;;
2021-12-07;44,945;45,8775;44,65;45,87;;
2021-12-06;44,68;45,1775;43,9075;44,8275;;
2021-12-05;44,3525;44,5675;44,3475;44,5525;;
2021-12-04;44,4575;44,4575;44,275;44,275;;
2021-12-03;45,24;45,665;44,0075;44,4575;;
2021-12-02;45,1275;45,38;44,8025;45,2725;;
2021-12-01;44,8975;45,6475;44,5075;44,8775;;
2021-11-30;44,8025;45,335;44,2275;44,6975;;
2021-11-29;46,465;46,59;45,1125;45,6225;;
2021-11-28;45,3475;45,82;45,285;45,82;;
2021-11-27;45,725;45,725;45,3325;45,3475;;
2021-11-26;47,0825;47,42;45,45;45,7075;;
2021-11-25;47,7925;47,9775;47,305;47,5425;;
2021-11-24;48,8175;48,895;47,315;47,7425;;
2021-11-23;48,205;48,95;47,865;48,7925;;
2021-11-22;48,2175;48,5775;47,845;48,245;;
2021-11-21;48,2125;48,2125;48,1075;48,1075;;
2021-11-20;48,2125;48,2125;48,2125;48,2125;;
2021-11-19;49,3175;49,5575;48,015;48,2175;;
2021-11-18;49,8175;49,8475;49,1525;49,2025;;
2021-11-17;50,18;50,30;49,575;49,7675;;
2021-11-16;50,40;50,58;50,18;50,24;;
2021-11-15;50,945;51,115;50,22;50,40;;
2021-11-14;50,965;51,005;50,965;51,005;;
2021-11-13;50,965;50,965;50,965;50,965;;
2021-11-12;51,005;51,46;50,755;50,965;;
2021-11-11;51,37;51,45;50,655;50,955;;
2021-11-10;50,89;51,66;50,385;51,31;;
2021-11-09;50,32;51,815;50,31;50,95;;
2021-11-08;49,715;50,39;49,655;50,36;;
2021-11-07;49,70;49,725;49,695;49,725;;
2021-11-06;49,6375;49,70;49,6375;49,70;;
2021-11-05;49,825;50,165;49,5075;49,6375;;
2021-11-04;50,39;50,82;49,83;49,83;;
2021-11-03;50,135;50,43;49,635;50,37;;
2021-11-02;49,495;50,23;49,4525;50,175;;
2021-11-01;48,9575;49,6375;48,8975;49,53;;
2021-10-31;48,955;48,9875;48,955;48,9775;;
2021-10-30;48,955;48,955;48,955;48,955;;
2021-10-29;48,6375;49,255;48,25;48,955;;
2021-10-28;48,6925;48,8925;48,185;48,6925;;
2021-10-27;48,8375;48,9525;48,4125;48,6275;;
2021-10-26;48,895;49,035;48,385;48,8325;;
2021-10-25;48,415;48,9825;48,185;48,855;;
2021-10-24;48,41;48,41;48,41;48,41;;
2021-10-23;48,415;48,415;48,405;48,41;;
2021-10-22;48,25;48,5225;48,0525;48,415;;
2021-10-21;48,14;48,3475;47,74;48,2175;;
2021-10-20;47,34;48,4025;47,165;48,1675;;
2021-10-19;46,7425;47,36;45,69;47,36;;
2021-10-18;47,745;47,9925;46,52;46,7425;;
2021-10-17;47,785;47,795;47,78;47,785;;
2021-10-16;47,935;47,945;47,785;47,785;;
2021-10-15;47,8725;48,12;47,565;47,935;;
2021-10-14;47,1825;47,9725;46,6875;47,845;;
2021-10-13;47,8875;47,9075;46,72;47,165;;
2021-10-12;48,6075;48,6175;47,57;47,8525;;
2021-10-11;48,2325;49,1075;47,715;48,6275;;
2021-10-10;48,1925;48,1925;48,1925;48,1925;;
2021-10-09;48,1825;48,1925;48,1825;48,1925;;
2021-10-08;47,3025;48,3025;47,2125;48,1825;;
2021-10-07;46,6375;47,4875;46,49;47,3125;;
2021-10-06;46,225;47,50;45,76;46,5675;;
2021-10-05;46,8025;46,82;46,0325;46,3225;;
2021-10-04;46,7975;47,05;46,265;46,795;;
2021-10-03;46,89;46,89;46,8775;46,8875;;
2021-10-02;46,895;46,895;46,89;46,89;;
2021-10-01;46,7375;46,965;46,225;46,89;;
2021-09-30;47,395;47,675;46,7625;46,9325;;
2021-09-29;47,12;47,51;46,4825;47,265;;
2021-09-28;47,555;47,87;46,8025;47,075;;
2021-09-27;46,69;47,6425;46,625;47,56;;
2021-09-26;46,565;46,625;46,55;46,62;;
2021-09-25;46,565;46,565;46,56;46,565;;
2021-09-24;46,5725;46,725;46,2475;46,565;;
2021-09-23;46,7975;46,985;46,405;46,6175;;
2021-09-22;45,89;46,82;45,79;46,7225;;
2021-09-21;45,1675;45,965;45,065;45,795;;
2021-09-20;45,0625;45,395;44,4775;45,0325;;
2021-09-19;45,305;45,325;45,24;45,265;;
2021-09-18;45,305;45,305;45,305;45,305;;
2021-09-17;45,9225;45,9975;45,035;45,305;;
2021-09-16;45,5725;46,195;45,47;45,8925;;
2021-09-15;46,055;46,055;45,45;45,6325;;
2021-09-14;46,1575;46,2375;45,7675;45,95;;
2021-09-13;45,8025;46,4625;45,7875;46,1475;;
2021-09-12;45,7625;45,7925;45,7625;45,7875;;
2021-09-11;45,7675;45,7725;45,7675;45,7675;;
2021-09-10;45,7625;45,995;45,2775;45,7675;;
2021-09-09;46,3625;46,4625;44,68;45,5725;;
2021-09-08;47,44;47,4775;46,385;46,5225;;
2021-09-07;47,8125;47,8575;47,29;47,445;;
2021-09-06;47,5375;47,8975;47,36;47,8425;;
2021-09-05;47,5325;47,5325;47,5325;47,5325;;
2021-09-04;47,5325;47,5325;47,5325;47,5325;;
2021-09-03;47,7375;48,1025;47,0925;47,5325;;
2021-09-02;47,45;47,7675;47,2325;47,7275;;
2021-09-01;47,235;48,17;47,225;47,455;;
2021-08-31;47,2575;47,495;46,925;47,215;;
2021-08-30;47,365;47,4525;47,0625;47,2425;;
2021-08-29;47,36;47,39;47,36;47,39;;
2021-08-28;47,36;47,36;47,36;47,36;;
2021-08-27;47,325;47,435;47,0075;47,37;;
2021-08-26;47,66;47,67;46,9875;47,305;;
2021-08-25;48,07;48,235;47,635;47,705;;
2021-08-24;47,8675;48,21;47,745;48,085;;
2021-08-23;47,57;47,8825;47,435;47,8325;;
2021-08-22;47,4275;47,4275;47,4275;47,4275;;
