Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;46,67;47,195;46,60;47,00;1.558.821;73.225.279
2021-12-29;47,10;47,245;46,875;46,95;1.341.451;63.093.002
2021-12-28;47,14;47,375;46,945;47,15;1.412.889;66.608.406
2021-12-27;46,50;47,21;46,475;47,09;1.480.275;69.633.124
2021-12-23;45,95;46,72;45,915;46,625;2.281.520;106.023.061
2021-12-22;45,46;45,78;45,305;45,73;1.448.260;66.040.199
2021-12-21;45,50;46,05;45,185;45,605;3.143.313;143.439.675
2021-12-20;45,68;45,68;44,60;45,355;3.334.442;150.919.732
2021-12-17;46,56;46,92;46,36;46,525;5.025.504;234.180.072
2021-12-16;46,40;47,095;46,305;46,705;3.403.857;159.240.056
2021-12-15;46,445;46,61;45,525;45,945;3.056.948;140.242.024
2021-12-14;46,80;47,17;46,26;46,405;2.688.710;125.297.603
2021-12-13;46,815;48,08;46,175;46,575;5.521.261;258.460.608
2021-12-10;46,675;47,155;46,305;46,61;3.617.352;169.003.465
2021-12-09;45,85;46,15;45,50;45,785;2.204.413;100.915.733
2021-12-08;45,89;46,30;45,605;45,74;2.628.899;120.471.871
2021-12-07;45,00;45,825;44,65;45,71;4.101.114;186.966.623
2021-12-06;44,585;44,77;43,905;44,585;4.171.772;185.094.608
2021-12-03;45,06;45,195;44,005;44,255;4.169.355;185.097.132
2021-12-02;45,00;45,25;44,80;44,935;3.055.218;137.472.356
2021-12-01;44,58;45,525;44,49;45,37;3.425.864;154.408.757
2021-11-30;45,00;45,125;44,225;44,52;5.823.669;259.533.689
2021-11-29;45,935;46,01;45,11;45,32;3.396.678;154.296.500
2021-11-26;46,855;46,855;45,45;45,54;5.036.499;231.116.263
2021-11-25;47,555;47,67;47,29;47,425;2.009.929;95.353.614
2021-11-24;48,62;48,74;47,315;47,47;3.460.615;165.275.248
2021-11-23;47,945;48,935;47,92;48,685;2.711.486;131.694.482
2021-11-22;48,42;48,575;47,835;48,20;2.693.431;129.776.923
2021-11-19;49,425;49,575;48,015;48,135;4.544.149;219.865.453
2021-11-18;49,755;49,83;49,27;49,30;2.286.031;112.994.737
2021-11-17;50,09;50,15;49,57;49,895;2.509.295;125.172.077
2021-11-16;50,26;50,58;50,12;50,12;1.974.335;99.239.508
2021-11-15;50,80;51,03;50,31;50,37;1.711.118;86.471.620
2021-11-12;51,00;51,46;50,75;50,79;2.247.535;114.614.413
2021-11-11;51,25;51,42;50,72;50,86;1.991.999;101.466.402
2021-11-10;51,01;51,67;50,36;51,25;3.201.356;164.331.519
2021-11-09;51,11;51,84;50,75;50,75;3.703.576;189.154.386
2021-11-08;49,83;50,29;49,74;50,01;1.919.857;96.027.606
2021-11-05;49,945;50,18;49,50;49,725;2.279.876;113.403.148
2021-11-04;50,42;50,82;49,875;49,95;1.972.173;98.797.624
2021-11-03;50,00;50,35;49,635;50,25;2.334.202;116.989.069
2021-11-02;49,52;50,06;49,515;49,985;2.871.038;143.175.291
2021-11-01;49,00;49,64;48,955;49,48;2.146.690;106.051.691
2021-10-29;48,405;49,255;48,255;48,67;3.379.273;164.624.362
2021-10-28;48,48;48,805;48,175;48,735;1.673.032;81.299.330
2021-10-27;48,80;48,955;48,415;48,595;1.798.749;87.476.482
2021-10-26;48,63;49,035;48,38;48,79;1.993.027;97.198.394
2021-10-25;48,44;48,985;48,165;48,455;2.017.128;97.932.078
2021-10-22;48,18;48,525;48,05;48,32;1.491.925;72.123.359
2021-10-21;47,97;48,345;47,735;48,19;1.970.574;94.872.395
2021-10-20;47,375;48,405;47,26;48,175;2.975.899;143.046.441
2021-10-19;46,55;47,325;45,685;47,28;3.984.741;186.096.744
2021-10-18;47,915;48,00;46,52;46,615;2.900.402;136.077.472
2021-10-15;47,785;48,115;47,57;47,885;2.973.506;142.260.444
2021-10-14;47,25;47,975;46,69;47,78;2.595.365;123.490.356
2021-10-13;47,65;47,65;46,72;47,085;2.863.167;134.748.274
2021-10-12;48,10;48,18;47,575;47,715;2.603.595;124.451.207
2021-10-11;48,00;49,105;47,705;48,615;3.141.349;152.893.336
2021-10-08;47,36;47,97;47,265;47,75;1.948.067;92.950.988
2021-10-07;46,62;47,49;46,50;47,36;3.067.970;144.658.687
2021-10-06;47,175;47,425;45,76;46,335;3.975.407;184.207.381
2021-10-05;46,61;46,75;46,03;46,165;2.251.305;104.220.094
2021-10-04;46,255;47,05;46,255;46,61;1.721.690;80.344.040
