Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;91,01;91,26;90,49;90,55;;
2021-12-29;90,61;91,44;90,59;91,01;;
2021-12-28;90,15;90,77;90,00;90,61;;
2021-12-27;89,93;90,50;89,58;90,17;;
2021-12-23;90,73;90,80;89,57;89,97;;
2021-12-22;88,86;90,77;88,65;90,73;;
2021-12-21;89,17;90,25;88,38;88,89;;
2021-12-20;88,59;89,72;87,42;88,89;;
2021-12-19;88,97;88,97;88,87;88,87;;
2021-12-18;88,97;88,97;88,97;88,97;;
2021-12-17;89,31;89,76;88,19;88,97;;
2021-12-16;91,15;91,45;88,14;89,18;;
2021-12-15;91,95;91,96;90,22;91,03;;
2021-12-14;91,61;92,07;91,29;91,91;;
2021-12-13;91,98;92,31;90,90;91,57;;
2021-12-12;91,92;92,01;91,92;91,92;;
2021-12-11;91,92;91,94;91,90;91,92;;
2021-12-10;90,73;92,12;90,20;91,92;;
2021-12-09;90,34;91,43;90,33;90,81;;
2021-12-08;90,73;91,59;90,05;90,35;;
2021-12-07;90,09;90,77;89,77;90,77;;
2021-12-06;88,09;89,99;88,05;89,95;;
2021-12-05;87,81;87,87;87,81;87,87;;
2021-12-04;87,91;87,91;87,75;87,75;;
2021-12-03;88,54;89,25;87,59;87,91;;
2021-12-02;88,05;88,97;88,01;88,45;;
2021-12-01;88,63;89,40;87,79;87,83;;
2021-11-30;88,97;89,48;88,10;88,43;;
2021-11-29;90,24;91,20;89,05;89,76;;
2021-11-28;89,39;89,59;89,34;89,54;;
2021-11-27;90,22;90,22;89,39;89,39;;
2021-11-26;91,67;91,81;89,46;90,25;;
2021-11-25;92,21;93,03;91,90;92,51;;
2021-11-24;92,47;92,64;91,24;92,07;;
2021-11-23;91,59;92,80;90,46;92,39;;
2021-11-22;93,47;93,66;91,37;91,67;;
2021-11-21;93,47;93,47;93,29;93,29;;
2021-11-20;93,47;93,47;93,47;93,47;;
2021-11-19;93,61;94,03;92,76;93,45;;
2021-11-18;94,07;94,37;92,90;93,49;;
2021-11-17;95,19;95,36;93,94;94,01;;
2021-11-16;95,45;95,96;94,72;95,25;;
2021-11-15;94,87;95,53;94,34;95,45;;
2021-11-14;94,88;94,91;94,88;94,91;;
2021-11-13;94,88;94,88;94,88;94,88;;
2021-11-12;94,83;95,24;93,97;94,88;;
2021-11-11;93,55;96,06;93,55;94,77;;
2021-11-10;93,11;93,95;92,78;93,47;;
2021-11-09;92,35;93,21;92,03;93,17;;
2021-11-08;93,25;93,54;92,24;92,40;;
2021-11-07;93,23;93,27;93,22;93,27;;
2021-11-06;93,21;93,23;93,21;93,23;;
2021-11-05;92,97;93,97;92,90;93,21;;
2021-11-04;93,46;93,66;91,50;92,97;;
2021-11-03;93,03;93,73;92,85;93,44;;
2021-11-02;92,81;94,11;92,67;93,08;;
2021-11-01;92,60;94,01;92,06;92,84;;
2021-10-31;92,07;92,60;92,07;92,60;;
2021-10-30;92,07;92,07;92,07;92,07;;
2021-10-29;91,94;92,35;89,73;92,07;;
2021-10-28;97,02;97,24;91,37;92,24;;
2021-10-27;98,06;98,92;96,28;96,80;;
2021-10-26;96,20;98,08;95,47;98,06;;
2021-10-25;96,06;96,39;95,47;96,02;;
2021-10-24;96,02;96,02;96,02;96,02;;
