Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;91,24;91,24;90,38;90,38;117.904;10.672.020
2021-12-29;90,98;91,42;90,70;91,06;189.382;17.241.674
2021-12-28;90,24;90,74;90,02;90,72;118.421;10.719.985
2021-12-27;89,88;90,50;89,80;90,08;105.880;9.542.751
2021-12-23;90,54;90,72;89,56;90,02;186.692;16.805.210
2021-12-22;88,68;90,70;88,64;90,54;339.872;30.628.187
2021-12-21;89,42;89,46;88,40;88,70;320.296;28.438.811
2021-12-20;88,50;88,74;87,44;88,58;243.973;21.560.127
2021-12-17;88,64;89,76;88,42;89,70;649.957;58.095.150
2021-12-16;90,98;91,04;87,90;88,80;676.732;60.154.888
2021-12-15;91,66;91,92;90,24;90,42;478.916;43.388.939
2021-12-14;91,64;92,06;91,32;91,80;319.793;29.335.659
2021-12-13;91,96;91,96;90,88;91,64;216.190;19.786.641
2021-12-10;90,28;92,02;90,20;91,90;293.699;26.930.777
2021-12-09;90,94;91,42;90,70;90,94;248.460;22.620.116
2021-12-08;90,72;91,58;90,28;90,40;329.511;29.888.917
2021-12-07;90,00;90,72;89,78;90,56;329.519;29.781.269
2021-12-06;88,42;89,86;88,20;89,78;348.142;31.118.656
2021-12-03;88,70;88,92;87,60;87,90;331.962;29.218.118
2021-12-02;88,10;88,96;88,10;88,18;305.108;26.952.653
2021-12-01;88,56;88,90;88,14;88,50;373.340;33.037.886
2021-11-30;89,00;89,46;88,16;88,22;609.479;53.874.010
2021-11-29;91,24;91,24;89,06;89,26;523.651;46.925.161
2021-11-26;89,80;91,36;89,46;90,78;455.106;41.175.818
2021-11-25;92,34;93,06;91,94;92,58;337.665;31.253.804
2021-11-24;92,66;92,66;91,26;92,10;218.464;20.097.468
2021-11-23;91,00;92,78;90,46;92,46;291.045;26.807.922
2021-11-22;93,50;93,50;91,54;91,60;357.035;32.844.028
2021-11-19;93,40;94,02;92,78;93,54;358.170;33.444.558
2021-11-18;94,10;94,40;92,90;93,44;259.818;24.270.790
2021-11-17;95,28;95,28;93,96;94,08;242.881;22.910.817
2021-11-16;95,42;95,88;94,74;95,32;179.841;17.159.748
2021-11-15;94,68;95,52;94,34;95,32;209.445;19.931.327
2021-11-12;94,54;95,24;93,98;94,84;267.883;25.386.271
2021-11-11;95,58;96,02;94,52;94,66;377.065;35.884.701
2021-11-10;92,96;93,88;92,92;93,56;228.121;21.334.392
2021-11-09;92,42;93,22;92,02;92,96;185.119;17.187.819
2021-11-08;93,20;93,54;92,22;92,44;256.294;23.746.976
2021-11-05;93,16;93,94;92,94;93,20;276.426;25.781.791
2021-11-04;93,50;93,66;91,50;93,04;422.179;39.147.550
2021-11-03;93,14;93,74;92,84;93,20;225.384;21.019.465
2021-11-02;92,60;94,12;92,56;93,10;381.839;35.568.772
2021-11-01;92,64;94,02;92,06;92,68;384.234;35.673.830
2021-10-29;91,24;92,30;89,74;91,90;673.365;61.433.596
2021-10-28;95,22;95,70;91,36;91,90;2.412.857;222.393.254
2021-10-27;97,60;98,86;96,28;96,42;450.145;43.593.595
2021-10-26;95,56;97,16;95,54;96,66;202.519;19.568.046
2021-10-25;96,14;96,38;95,46;95,46;183.367;17.534.922
2021-10-22;96,50;97,86;96,02;96,02;352.886;34.105.474
2021-10-21;93,32;95,28;93,32;94,86;337.145;31.977.084
2021-10-20;93,12;94,02;92,90;93,50;212.178;19.847.557
2021-10-19;94,38;94,50;93,12;93,20;245.464;22.914.449
2021-10-18;93,66;94,22;93,44;94,22;188.796;17.753.453
2021-10-15;94,42;94,46;93,26;93,68;202.563;18.976.342
2021-10-14;93,42;94,38;92,88;94,18;197.033;18.508.000
2021-10-13;92,40;93,28;91,58;93,16;253.980;23.555.319
2021-10-12;92,44;93,06;92,10;92,60;163.671;15.144.580
2021-10-11;93,04;93,20;92,66;93,04;149.851;13.934.747
2021-10-08;92,84;93,46;92,70;93,14;205.362;19.118.155
2021-10-07;93,80;94,18;92,32;92,72;308.517;28.675.791
2021-10-06;94,32;94,34;92,90;93,12;276.479;25.774.321
2021-10-05;96,02;96,02;94,36;94,84;190.762;18.100.118
2021-10-04;93,34;95,04;93,30;94,36;250.873;23.698.609
2021-10-01;92,66;94,64;92,12;93,76;319.540;29.980.452
2021-09-30;94,40;95,36;93,12;93,46;421.752;39.569.949
2021-09-29;96,10;97,20;95,52;95,52;281.188;26.920.532
2021-09-28;96,82;97,62;95,64;95,90;473.564;45.528.932
2021-09-27;101,20;101,35;98,66;98,70;266.822;26.443.441
2021-09-24;101,75;101,80;100,70;100,85;154.369;15.581.385
2021-09-23;102,25;102,70;101,80;101,95;157.763;16.107.380
2021-09-22;101,80;102,15;101,55;101,55;210.438;21.397.484
2021-09-21;102,80;103,35;100,15;101,75;381.185;38.763.683
2021-09-20;103,00;103,50;102,15;102,65;346.678;35.610.351
2021-09-17;104,15;105,00;103,30;103,35;1.205.604;124.694.523
2021-09-16;104,50;104,80;103,30;103,75;224.025;23.253.935
2021-09-15;105,10;105,70;104,30;104,55;195.737;20.499.481
2021-09-14;105,50;105,95;105,00;105,30;207.071;21.837.799
2021-09-13;104,50;106,00;104,40;105,50;200.706;21.183.729
2021-09-10;105,20;105,35;104,45;104,45;181.185;18.948.135
2021-09-09;105,50;106,45;104,90;105,00;293.507;30.936.686
2021-09-08;102,75;103,90;101,95;103,75;231.776;23.990.048
2021-09-07;103,05;103,50;102,70;102,90;191.218;19.683.845
2021-09-06;102,50;103,65;102,35;103,10;147.867;15.256.051
2021-09-03;103,10;103,45;101,80;102,60;167.522;17.191.578
2021-09-02;103,15;104,00;102,90;102,95;186.319;19.229.420
2021-09-01;103,00;103,70;103,00;103,35;160.391;16.576.589
2021-08-31;103,95;104,00;102,35;102,75;250.988;25.804.749
2021-08-30;103,35;103,80;103,15;103,55;127.051;13.151.742
2021-08-27;102,50;104,10;102,35;103,30;190.137;19.660.601
2021-08-26;101,25;102,65;100,95;102,65;155.905;15.951.617
2021-08-25;103,15;103,70;101,90;102,15;195.080;19.958.425
2021-08-24;104,95;104,95;103,25;103,40;158.314;16.393.144
2021-08-23;105,65;105,65;104,05;105,00;116.288;12.184.772
2021-08-20;105,30;105,45;104,00;105,15;131.868;13.841.398
2021-08-19;104,20;105,20;103,35;105,20;236.416;24.729.594
2021-08-18;105,80;106,25;105,00;105,00;183.426;19.322.088
2021-08-17;105,15;105,75;104,80;105,65;251.082;26.502.626
2021-08-16;106,00;106,15;105,20;105,70;156.352;16.522.325
2021-08-13;106,50;106,75;105,90;106,15;135.453;14.387.022
2021-08-12;106,65;106,85;106,00;106,65;124.364;13.252.556
2021-08-11;106,85;107,20;106,05;106,60;195.513;20.844.020
2021-08-10;105,25;107,25;104,95;106,95;214.380;22.851.559
2021-08-09;106,10;107,50;100,10;105,10;467.811;48.796.328
2021-08-06;106,55;106,95;105,50;106,20;208.542;22.171.164
2021-08-05;105,50;108,05;104,70;106,65;521.811;55.733.764
2021-08-04;100,80;101,90;100,55;101,85;310.393;31.561.886
2021-08-03;100,25;100,90;99,98;100,45;262.456;26.352.024
2021-08-02;100,20;100,20;98,54;100,15;262.211;26.148.684
2021-07-30;100,45;100,50;99,74;100,15;367.707;36.829.997
2021-07-29;100,90;101,05;100,20;100,90;173.451;17.488.795
2021-07-28;101,10;101,55;100,85;100,85;192.361;19.430.317
2021-07-27;101,70;101,95;99,30;101,30;269.056;27.173.379
2021-07-26;101,75;102,20;101,35;101,65;144.573;14.701.877
2021-07-23;100,80;102,15;100,60;102,00;209.451;21.324.834
2021-07-22;101,55;101,55;100,05;100,60;206.433;20.740.158
2021-07-21;101,50;101,80;101,20;101,50;136.830;13.889.781
2021-07-20;101,95;102,65;100,95;101,05;332.682;33.750.367
2021-07-19;101,95;102,45;101,35;101,80;212.604;21.638.252
2021-07-16;101,60;102,50;101,15;102,10;195.110;19.903.622
2021-07-15;101,90;102,50;101,45;101,75;251.237;25.603.895
2021-07-14;102,85;102,95;101,25;102,05;254.582;25.954.297
2021-07-13;102,90;103,00;102,10;102,95;206.845;21.250.545
2021-07-12;102,10;103,20;101,80;103,00;179.658;18.480.670
2021-07-09;102,15;102,50;101,45;102,15;286.888;29.271.077
2021-07-08;104,55;104,95;101,75;102,35;354.715;36.433.336
2021-07-07;103,80;105,00;103,80;104,60;335.114;35.037.800
2021-07-06;102,90;103,60;102,75;103,50;259.659;26.838.310
2021-07-05;102,75;102,95;102,00;102,80;124.165;12.742.736
2021-07-02;102,55;103,05;102,15;102,50;171.430;17.575.238
2021-07-01;102,15;102,30;101,40;101,95;189.915;19.365.464
2021-06-30;102,25;102,55;101,10;101,75;297.629;30.274.686
2021-06-29;102,70;103,40;102,20;102,30;226.094;23.180.779
2021-06-28;101,65;102,90;101,65;102,70;165.866;17.017.787
2021-06-25;101,55;102,05;100,85;101,95;178.457;18.154.197
2021-06-24;100,65;102,50;100,65;101,65;394.176;40.009.564
2021-06-23;101,95;102,10;100,45;100,45;319.450;32.200.131
2021-06-22;102,60;102,80;102,00;102,00;251.396;25.691.319
2021-06-21;103,35;103,70;102,40;102,40;296.240;30.418.469
2021-06-18;102,70;103,65;102,35;103,25;692.857;71.505.098
2021-06-17;102,70;102,70;101,25;102,65;249.670;25.503.646
2021-06-16;102,30;104,00;102,15;102,95;301.637;31.115.242
2021-06-15;100,70;101,45;100,65;101,15;176.021;17.796.902
2021-06-14;100,60;100,90;100,10;100,30;195.259;19.592.722
2021-06-11;100,45;100,85;100,00;100,50;131.380;13.196.544
2021-06-10;100,60;101,00;99,90;100,30;182.911;18.354.326
2021-06-09;100,90;100,90;100,10;100,50;205.266;20.629.577
2021-06-08;101,65;101,65;100,85;100,85;242.560;24.508.153
2021-06-07;100,50;101,95;100,40;101,55;255.741;25.938.116
2021-06-04;100,70;101,15;99,96;100,35;339.518;34.082.989
2021-06-03;99,32;99,38;98,86;99,28;184.141;18.267.229
2021-06-02;98,92;100,55;98,46;99,54;488.077;48.617.115
2021-06-01;97,00;97,28;96,38;96,82;156.412;15.148.226
2021-05-31;97,28;97,34;96,84;96,84;133.429;12.932.984
2021-05-28;96,88;97,78;96,44;97,30;246.457;23.967.080
2021-05-27;98,60;98,80;97,26;97,26;422.663;41.180.094
2021-05-26;98,64;99,18;98,64;98,68;181.860;17.960.072
2021-05-25;97,90;98,52;97,74;98,28;212.327;20.866.540
2021-05-21;97,74;98,30;97,40;97,76;218.584;21.375.777
2021-05-20;96,66;97,62;96,50;97,62;223.098;21.733.812
2021-05-19;96,10;96,42;95,68;96,40;207.980;20.018.637
2021-05-18;97,12;97,28;96,28;96,62;278.035;26.879.432
2021-05-17;96,60;97,24;96,36;96,94;135.985;13.170.539
2021-05-14;97,00;97,40;96,50;96,60;236.630;22.894.872
2021-05-13;95,80;96,72;95,06;96,64;152.560;14.674.702
2021-05-12;96,52;97,28;96,10;96,32;358.939;34.644.129
2021-05-11;96,50;97,02;96,10;96,66;586.118;56.644.167
2021-05-10;96,12;97,02;95,88;97,02;251.777;24.373.101
2021-05-07;95,50;96,46;95,50;96,06;270.722;25.999.982
2021-05-06;94,16;95,46;94,16;95,46;296.221;28.199.418
2021-05-05;93,52;94,62;93,22;94,06;267.559;25.171.064
2021-05-04;93,94;94,36;93,18;93,30;268.882;25.147.744
2021-05-03;93,80;94,28;93,14;93,92;149.628;14.044.233
2021-04-30;93,88;94,36;93,00;93,90;344.740;32.339.005
2021-04-29;93,64;94,96;93,08;93,68;337.459;31.667.142
2021-04-28;92,26;94,88;91,80;93,44;575.985;53.864.371
2021-04-27;90,94;92,24;90,58;91,76;398.935;36.622.583
2021-04-26;91,50;91,92;90,74;90,86;189.571;17.252.892
2021-04-23;91,96;92,28;90,32;91,30;257.006;23.451.411
2021-04-22;91,82;92,58;91,34;92,18;270.223;24.874.529
2021-04-21;91,00;91,92;90,96;91,62;256.579;23.474.863
2021-04-20;91,84;92,22;90,74;90,88;293.820;26.728.622
2021-04-19;91,60;93,02;91,60;92,10;262.912;24.246.153
2021-04-16;92,02;92,06;91,04;91,52;243.332;22.287.671
2021-04-15;90,88;92,56;90,60;92,10;263.806;24.276.449
2021-04-14;91,32;91,60;90,50;90,66;204.450;18.565.749
2021-04-13;91,64;91,78;90,96;91,18;173.159;15.795.684
2021-04-12;92,12;92,38;91,52;91,72;238.208;21.872.547
2021-04-09;91,76;92,26;91,24;92,06;237.718;21.860.779
2021-04-08;91,80;92,20;90,24;91,66;438.060;40.108.377
2021-04-07;89,10;91,60;89,10;91,50;547.917;49.855.042
2021-04-06;90,70;90,70;88,98;89,16;346.983;30.997.777
2021-04-01;90,70;90,94;89,90;90,30;281.634;25.456.204
2021-03-31;89,94;90,46;89,68;90,10;323.415;29.150.515
2021-03-30;90,42;90,44;89,84;90,04;174.706;15.743.127
2021-03-29;89,40;90,40;89,38;90,22;241.247;21.711.495
2021-03-26;90,40;90,40;88,28;88,86;310.506;27.633.625
2021-03-25;89,08;90,54;88,76;90,20;335.078;30.196.835
2021-03-24;89,08;89,72;88,70;89,22;379.559;33.842.312
2021-03-23;87,98;89,92;87,84;89,28;387.614;34.582.817
2021-03-22;88,00;88,66;86,96;88,32;357.151;31.439.005
2021-03-19;88,00;88,50;87,50;88,14;2.170.563;191.254.414
2021-03-18;88,28;88,74;87,78;88,14;372.863;32.899.074
2021-03-17;87,80;88,46;87,60;88,26;296.917;26.186.504
2021-03-16;87,52;88,12;86,80;87,68;360.102;31.557.329
2021-03-15;87,10;87,92;86,78;86,96;339.546;29.611.334
2021-03-12;86,00;87,28;86,00;87,08;346.056;30.045.213
2021-03-11;87,26;87,26;85,88;86,14;378.312;32.608.557
2021-03-10;85,28;87,16;85,28;86,86;523.445;45.388.264
2021-03-09;85,44;86,82;85,14;85,28;615.159;52.775.987
2021-03-08;86,06;86,10;84,46;85,44;424.616;36.208.979
2021-03-05;84,66;86,14;83,52;85,88;696.917;59.208.552
2021-03-04;83,52;85,02;83,22;85,02;468.121;39.546.049
2021-03-03;84,04;84,74;83,02;83,38;532.010;44.460.406
2021-03-02;83,62;84,48;83,50;84,12;374.093;31.447.641
2021-03-01;82,80;84,06;82,60;83,28;591.178;49.256.994
2021-02-26;84,10;84,40;81,86;81,90;1.000.964;82.715.249
2021-02-25;85,06;85,34;84,42;84,56;313.502;26.565.789
2021-02-24;84,78;85,38;84,20;84,90;431.206;36.571.643
2021-02-23;84,50;85,40;84,34;85,28;537.683;45.744.333
2021-02-22;85,00;85,16;83,96;84,56;569.185;48.104.853
2021-02-19;86,90;87,18;85,08;85,08;651.383;55.844.251
2021-02-18;85,92;86,98;85,10;86,60;825.131;71.209.191
2021-02-17;86,00;87,42;83,44;86,00;1.664.162;142.894.225
2021-02-16;91,36;91,60;90,80;91,38;418.980;38.242.484
2021-02-15;92,36;92,36;91,20;91,48;244.732;22.418.506
2021-02-12;91,52;92,26;91,32;92,06;207.466;19.063.101
2021-02-11;91,78;92,04;91,36;91,40;270.326;24.761.112
2021-02-10;92,04;92,22;91,38;91,88;326.012;29.946.873
2021-02-09;92,02;92,58;91,30;91,94;206.421;18.944.087
2021-02-08;93,74;93,82;91,92;92,02;275.137;25.460.356
2021-02-05;91,46;93,28;91,00;93,00;453.040;41.912.113
2021-02-04;91,20;91,66;90,44;91,42;301.119;27.510.618
2021-02-03;91,96;92,84;91,06;91,28;245.006;22.450.647
2021-02-02;91,56;92,14;90,90;91,98;529.705;48.533.606
2021-02-01;90,92;91,20;90,30;91,10;325.483;29.584.094
2021-01-29;91,00;91,20;90,18;90,34;438.409;39.681.305
2021-01-28;91,56;92,60;91,54;91,94;315.862;29.059.151
2021-01-27;92,12;93,44;91,36;91,92;339.447;31.265.348
2021-01-26;92,08;93,54;92,02;92,52;368.043;34.108.311
2021-01-25;91,52;92,26;90,70;92,02;283.928;26.027.881
2021-01-22;90,62;91,42;90,38;91,42;329.048;29.965.137
2021-01-21;91,70;92,14;90,70;91,00;379.212;34.583.717
2021-01-20;92,00;92,54;91,42;91,64;272.142;24.990.080
2021-01-19;92,90;92,96;91,96;91,96;367.303;33.922.942
2021-01-18;92,00;93,10;91,66;92,48;320.349;29.665.311
2021-01-15;91,62;92,54;91,04;92,50;521.250;47.921.239
2021-01-14;93,28;93,46;92,06;92,14;274.500;25.353.243
2021-01-13;92,96;93,22;92,06;93,10;379.297;35.175.770
2021-01-12;93,74;93,76;92,02;92,70;547.555;50.739.619
2021-01-11;93,94;94,14;93,42;93,86;342.114;32.085.619
2021-01-08;93,86;94,20;93,04;94,08;344.509;32.305.256
2021-01-07;94,16;94,16;92,84;93,40;334.794;31.229.555
2021-01-06;94,20;94,20;92,64;94,00;355.299;33.230.833
2021-01-05;94,62;94,74;93,52;94,20;507.440;47.765.343
2021-01-04;95,28;95,68;94,08;95,14;307.978;29.295.192
2020-12-30;95,28;95,40;94,44;94,44;121.069;11.461.767
2020-12-29;95,44;95,92;95,00;95,40;193.822;18.501.791
2020-12-28;93,80;95,16;93,66;94,84;190.535;18.038.057
2020-12-23;93,24;93,78;92,88;93,18;231.334;21.578.684
2020-12-22;91,52;93,32;91,30;93,08;327.184;30.293.305
2020-12-21;92,60;92,78;90,48;91,00;435.656;39.752.222
2020-12-18;93,52;94,38;92,98;93,22;560.981;52.412.293
2020-12-17;95,56;95,60;93,52;93,70;408.648;38.388.562
2020-12-16;92,28;94,96;92,28;94,82;461.241;43.440.322
2020-12-15;92,66;93,58;92,06;92,06;519.703;48.172.401
2020-12-14;92,20;92,80;90,48;92,24;512.005;47.059.944
