Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;79,72;79,73;79,07;79,58;;
2021-12-29;78,94;79,78;78,82;79,70;;
2021-12-28;78,24;79,11;77,99;78,92;;
2021-12-27;77,22;78,32;76,97;78,28;;
2021-12-23;76,55;77,62;76,37;77,32;;
2021-12-22;75,94;76,72;75,56;76,54;;
2021-12-21;75,63;76,24;75,10;76,02;;
2021-12-20;74,62;75,54;74,08;75,44;;
2021-12-19;75,76;75,76;75,45;75,46;;
2021-12-18;75,74;75,76;75,74;75,76;;
2021-12-17;77,41;77,47;75,37;75,74;;
2021-12-16;77,26;79,54;76,06;76,42;;
2021-12-15;76,44;77,05;75,86;77,00;;
2021-12-14;77,30;78,02;75,93;76,38;;
2021-12-13;76,91;78,47;76,91;77,21;;
2021-12-12;76,79;76,95;76,79;76,79;;
2021-12-11;76,79;76,83;76,77;76,79;;
2021-12-10;76,92;77,26;76,52;76,79;;
2021-12-09;78,38;78,57;77,00;77,08;;
2021-12-08;79,12;79,42;78,07;78,40;;
2021-12-07;76,67;79,28;76,56;79,24;;
2021-12-06;76,19;76,36;75,17;76,36;;
2021-12-05;75,32;75,50;75,31;75,46;;
2021-12-04;75,60;75,60;75,12;75,12;;
2021-12-03;76,04;76,62;75,37;75,59;;
2021-12-02;75,44;76,21;74,83;76,21;;
2021-12-01;76,48;76,90;74,73;74,82;;
2021-11-30;75,07;76,70;74,94;76,00;;
2021-11-29;76,86;77,35;76,28;76,72;;
2021-11-28;74,95;75,34;74,75;75,23;;
2021-11-27;75,89;75,89;74,95;74,95;;
2021-11-26;77,60;77,60;75,04;75,71;;
2021-11-25;77,26;77,83;77,13;77,80;;
2021-11-24;77,96;78,83;76,97;77,20;;
2021-11-23;79,10;79,25;77,38;77,92;;
2021-11-22;79,71;80,29;79,07;79,15;;
2021-11-21;79,70;79,70;79,56;79,56;;
2021-11-20;79,70;79,70;79,70;79,70;;
2021-11-19;80,87;81,18;79,61;79,68;;
2021-11-18;80,26;80,97;79,86;80,76;;
2021-11-17;80,31;80,96;79,95;80,21;;
2021-11-16;80,75;80,95;79,84;80,37;;
2021-11-15;81,16;81,39;80,44;80,75;;
2021-11-14;81,18;81,22;81,18;81,22;;
2021-11-13;81,18;81,18;81,18;81,18;;
2021-11-12;81,28;81,64;80,43;81,18;;
2021-11-11;80,60;81,48;80,54;81,23;;
2021-11-10;78,78;81,02;78,64;80,54;;
2021-11-09;79,27;80,38;78,65;78,86;;
2021-11-08;80,12;80,59;78,91;79,30;;
2021-11-07;80,09;80,13;80,08;80,13;;
2021-11-06;80,08;80,10;80,08;80,10;;
2021-11-05;82,78;82,80;79,93;80,06;;
2021-11-04;85,56;86,58;80,34;82,79;;
2021-11-03;84,84;85,99;84,39;85,54;;
2021-11-02;82,92;85,39;82,87;84,88;;
2021-11-01;82,27;83,05;82,23;82,96;;
2021-10-31;82,26;82,31;82,26;82,30;;
2021-10-30;82,26;82,26;82,26;82,26;;
2021-10-29;82,16;82,29;81,01;82,26;;
2021-10-28;82,40;82,67;82,12;82,26;;
2021-10-27;82,76;83,35;82,27;82,28;;
2021-10-26;82,49;83,26;82,40;82,76;;
2021-10-25;82,82;82,93;82,00;82,43;;
2021-10-24;82,80;82,80;82,80;82,80;;
2021-10-23;82,80;82,80;82,79;82,80;;
2021-10-22;82,09;82,97;81,62;82,80;;
2021-10-21;81,86;82,34;81,28;82,01;;
2021-10-20;82,33;82,53;81,60;81,92;;
2021-10-19;82,34;82,90;82,15;82,37;;
2021-10-18;82,88;82,90;81,81;82,34;;
