Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;79,58;79,60;79,08;79,58;208.472;16.569.304
2021-12-29;78,96;79,60;78,82;79,60;172.865;13.734.900
2021-12-28;78,10;79,12;78,02;79,00;110.220;8.699.283
2021-12-27;77,20;78,22;76,90;78,10;150.431;11.702.490
2021-12-23;76,78;77,58;76,38;77,52;186.259;14.377.392
2021-12-22;76,50;76,70;75,58;76,62;268.810;20.494.585
2021-12-21;75,52;75,78;75,08;75,40;196.201;14.797.545
2021-12-20;74,72;75,24;74,12;75,02;285.715;21.392.435
2021-12-17;76,32;77,08;75,38;75,92;929.608;70.606.848
2021-12-16;77,10;77,42;76,46;76,50;496.468;38.053.364
2021-12-15;76,00;76,58;75,84;76,42;358.015;27.335.070
2021-12-14;77,24;78,00;75,94;75,98;266.390;20.357.320
2021-12-13;77,80;78,46;77,22;77,22;420.138;32.625.999
2021-12-10;76,82;77,24;76,52;76,68;233.840;17.950.119
2021-12-09;78,14;78,26;77,38;77,46;213.160;16.534.879
2021-12-08;78,64;79,40;78,08;78,12;450.871;35.398.107
2021-12-07;76,70;79,06;76,56;78,74;603.432;47.374.987
2021-12-06;76,08;76,34;75,18;76,20;300.082;22.796.756
2021-12-03;76,08;76,60;75,54;75,68;336.058;25.519.566
2021-12-02;75,22;75,94;74,84;75,74;381.914;28.858.805
2021-12-01;75,70;76,22;75,48;75,98;440.331;33.443.123
2021-11-30;75,46;76,70;74,96;75,70;892.561;67.641.043
2021-11-29;77,24;77,38;76,34;76,34;576.697;44.171.174
2021-11-26;75,50;77,24;74,96;76,68;665.984;51.003.467
2021-11-25;77,64;77,80;77,14;77,80;229.654;17.840.719
2021-11-24;77,78;78,82;77,04;77,40;396.746;30.821.411
2021-11-23;78,66;78,66;77,38;77,78;488.325;38.012.302
2021-11-22;80,10;80,28;79,28;79,28;367.441;29.203.634
2021-11-19;80,76;81,16;79,90;79,90;364.046;29.217.781
2021-11-18;80,20;80,96;79,88;80,84;306.404;24.712.629
2021-11-17;80,08;80,96;79,98;80,20;284.726;22.866.804
2021-11-16;80,90;80,96;79,84;80,44;356.427;28.621.548
2021-11-15;81,12;81,38;80,48;80,82;137.120;11.083.245
2021-11-12;81,10;81,62;80,44;81,24;438.076;35.582.888
2021-11-11;80,76;81,46;80,56;81,26;243.837;19.802.723
2021-11-10;79,10;81,02;78,56;80,80;338.226;27.151.059
2021-11-09;79,38;80,36;79,10;79,10;323.692;25.759.431
2021-11-08;80,12;80,60;78,92;79,40;345.625;27.455.817
2021-11-05;82,42;82,48;79,94;80,16;681.367;54.885.209
2021-11-04;85,10;85,24;80,34;82,64;894.522;73.487.954
2021-11-03;84,66;85,28;84,40;84,80;260.039;22.065.075
2021-11-02;83,00;85,40;82,92;84,80;336.984;28.512.323
2021-11-01;82,50;83,00;82,46;82,96;163.741;13.566.343
2021-10-29;81,72;82,24;80,96;82,24;379.275;31.123.977
2021-10-28;82,30;82,68;82,12;82,36;187.240;15.427.137
2021-10-27;82,70;83,32;82,40;82,46;232.341;19.207.034
2021-10-26;82,48;83,26;82,48;82,82;168.073;13.924.665
2021-10-25;82,84;82,88;82,00;82,30;264.944;21.812.838
2021-10-22;82,22;82,96;81,62;82,72;263.720;21.787.346
2021-10-21;81,44;82,34;81,24;81,92;260.661;21.344.904
2021-10-20;81,98;82,52;81,60;81,96;232.547;19.074.894
2021-10-19;82,48;82,88;82,18;82,28;199.242;16.415.722
2021-10-18;82,30;82,42;81,82;82,38;192.500;15.842.174
2021-10-15;82,38;83,06;81,40;82,92;419.443;34.572.704
2021-10-14;82,16;82,46;81,16;82,08;325.198;26.620.378
2021-10-13;80,52;82,02;80,06;81,60;299.784;24.420.339
2021-10-12;79,52;80,78;79,30;80,58;286.277;23.018.968
2021-10-11;81,68;81,68;79,58;80,54;219.144;17.633.818
