Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;93,535;93,535;92,71;93,145;;
2021-12-29;94,27;94,585;92,885;93,52;;
2021-12-28;94,30;95,125;93,97;94,25;;
2021-12-27;93,68;94,49;93,435;94,345;;
2021-12-23;91,83;94,605;91,765;93,75;;
2021-12-22;90,86;91,85;89,465;91,81;;
2021-12-21;89,95;91,00;89,035;90,90;;
2021-12-20;90,35;90,79;87,52;89,78;;
2021-12-19;91,09;91,09;90,89;90,90;;
2021-12-18;91,08;91,09;91,08;91,09;;
2021-12-17;92,22;92,865;90,085;91,08;;
2021-12-16;93,74;94,695;92,15;92,24;;
2021-12-15;94,125;94,125;92,205;93,55;;
2021-12-14;95,325;96,015;92,805;94,075;;
2021-12-13;95,46;96,13;95,075;95,275;;
2021-12-12;95,38;95,48;95,38;95,38;;
2021-12-11;95,38;95,41;95,36;95,38;;
2021-12-10;94,02;96,81;93,47;95,38;;
2021-12-09;95,65;95,91;93,94;94,12;;
2021-12-08;95,37;95,735;93,07;95,66;;
2021-12-07;94,735;96,525;94,51;95,37;;
2021-12-06;93,10;94,745;91,635;94,61;;
2021-12-05;92,89;92,93;92,89;92,925;;
2021-12-04;92,96;92,96;92,84;92,84;;
2021-12-03;96,32;97,365;92,04;92,95;;
2021-12-02;96,085;97,59;94,835;96,33;;
2021-12-01;94,84;98,645;94,78;95,835;;
2021-11-30;93,205;95,745;91,27;94,63;;
2021-11-29;98,43;99,785;92,815;94,055;;
2021-11-28;97,545;97,755;97,495;97,70;;
2021-11-27;97,99;97,99;97,545;97,545;;
2021-11-26;102,06;102,18;97,12;98,12;;
2021-11-25;105,25;105,79;103,32;103,67;;
2021-11-24;107,13;107,22;103,75;104,97;;
2021-11-23;106,95;108,12;105,86;106,99;;
2021-11-22;105,69;107,88;104,90;107,03;;
2021-11-21;105,69;105,69;105,49;105,49;;
2021-11-20;105,69;105,69;105,69;105,69;;
2021-11-19;106,98;108,71;103,53;105,67;;
2021-11-18;103,53;109,14;103,20;106,78;;
2021-11-17;110,95;111,56;101,19;103,43;;
2021-11-16;107,80;111,95;107,56;111,05;;
2021-11-15;106,34;108,93;106,30;107,80;;
2021-11-14;106,38;106,44;106,38;106,44;;
2021-11-13;106,38;106,38;106,38;106,38;;
2021-11-12;103,96;106,96;103,43;106,38;;
2021-11-11;106,39;107,17;103,16;103,85;;
2021-11-10;104,80;107,98;104,80;106,27;;
2021-11-09;102,07;106,26;101,78;104,94;;
2021-11-08;101,64;102,36;100,21;102,15;;
2021-11-07;101,58;101,64;101,56;101,64;;
2021-11-06;101,54;101,58;101,54;101,58;;
2021-11-05;101,19;102,95;99,03;101,54;;
2021-11-04;102,29;104,45;100,77;101,21;;
