Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;93,20;93,36;92,72;93,11;141.258;13.147.314
2021-12-29;94,14;94,34;92,90;93,29;162.236;15.154.119
2021-12-28;93,89;95,09;93,89;94,35;189.309;17.881.407
2021-12-27;93,50;94,49;93,40;93,97;160.284;15.067.248
2021-12-23;93,99;94,68;92,53;93,84;363.745;34.139.984
2021-12-22;90,29;91,58;89,47;91,58;358.770;32.541.998
2021-12-21;89,97;90,83;89,03;90,35;364.111;32.850.656
2021-12-20;87,95;89,50;87,53;89,00;502.985;44.619.666
2021-12-17;91,88;92,87;90,08;91,31;790.933;72.388.017
2021-12-16;94,29;94,60;92,67;92,67;396.704;37.038.713
2021-12-15;93,95;94,04;92,21;92,53;444.886;41.391.745
2021-12-14;95,87;95,99;93,74;93,80;437.873;41.358.676
2021-12-13;95,42;96,12;95,01;95,30;439.354;41.940.508
2021-12-10;93,50;96,78;93,49;95,27;471.009;45.008.191
2021-12-09;95,77;95,99;93,94;94,25;543.138;51.378.546
2021-12-08;95,19;95,47;93,09;95,42;692.519;65.474.331
2021-12-07;95,30;96,54;94,53;95,38;827.989;78.949.853
2021-12-06;93,55;94,72;91,60;94,52;629.868;58.902.453
2021-12-03;97,20;97,48;92,04;92,56;718.575;67.093.326
2021-12-02;95,75;97,59;94,88;96,09;605.065;58.165.171
2021-12-01;95,94;98,64;94,80;98,03;605.355;58.865.516
2021-11-30;92,40;95,72;91,28;94,70;1.030.555;96.763.557
2021-11-29;95,97;96,67;92,82;93,25;812.193;76.361.956
2021-11-26;100,00;101,08;97,26;97,36;735.946;72.692.147
2021-11-25;105,18;105,82;103,34;103,90;255.472;26.604.165
2021-11-24;106,80;106,84;103,76;104,72;441.327;46.274.686
2021-11-23;107,12;108,10;105,86;106,78;365.026;39.014.642
2021-11-22;105,70;107,88;104,92;107,44;425.021;45.435.395
2021-11-19;107,00;108,70;103,52;105,84;746.481;78.837.990
2021-11-18;105,12;109,12;104,30;107,40;1.531.056;163.459.177
2021-11-17;111,22;111,46;109,90;110,78;325.291;36.035.976
2021-11-16;108,72;111,96;108,60;111,54;534.579;59.325.679
2021-11-15;106,62;108,92;106,24;108,22;412.552;44.586.910
2021-11-12;103,64;106,94;103,38;106,68;509.057;54.034.968
2021-11-11;106,46;107,18;103,18;103,88;640.420;67.079.631
2021-11-10;106,50;108,00;104,88;107,40;605.539;64.685.806
2021-11-09;102,08;106,24;102,00;105,50;720.754;75.891.985
2021-11-08;101,50;102,36;100,20;102,30;276.249;28.045.685
2021-11-05;100,78;102,98;99,02;101,88;363.290;36.793.765
2021-11-04;103,00;104,46;100,76;101,32;506.641;51.545.095
2021-11-03;99,94;102,24;99,56;102,20;390.404;39.548.929
2021-11-02;100,72;101,04;98,70;99,77;332.721;33.164.016
2021-11-01;101,82;103,00;100,08;100,80;330.229;33.432.690
2021-10-29;100,56;102,48;100,08;101,52;340.702;34.598.945
2021-10-28;99,81;101,18;99,58;101,04;283.039;28.489.154
2021-10-27;98,72;100,38;97,44;100,20;319.780;31.748.661
2021-10-26;97,83;101,22;96,89;99,16;521.313;51.653.131
2021-10-25;98,62;98,79;95,46;97,55;627.663;60.942.410
