Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;53,81;54,24;53,71;54,21;;
2021-12-29;53,65;53,94;53,49;53,79;;
2021-12-28;53,36;53,98;53,19;53,64;;
2021-12-27;52,37;53,43;52,31;53,39;;
2021-12-23;52,03;52,93;51,87;52,44;;
2021-12-22;51,93;52,02;51,23;52,02;;
2021-12-21;51,44;51,99;51,33;51,99;;
2021-12-20;51,19;51,66;50,52;51,31;;
2021-12-19;51,98;51,98;51,76;51,77;;
2021-12-18;51,97;51,98;51,97;51,98;;
2021-12-17;50,90;53,54;50,90;51,98;;
2021-12-16;51,87;54,42;51,60;51,88;;
2021-12-15;51,62;51,79;51,05;51,74;;
2021-12-14;51,74;51,88;51,13;51,56;;
2021-12-13;52,55;52,60;51,43;51,67;;
2021-12-12;52,45;52,57;52,45;52,45;;
2021-12-11;52,45;52,48;52,43;52,45;;
2021-12-10;51,73;53,21;51,53;52,45;;
2021-12-09;52,43;52,48;51,64;51,85;;
2021-12-08;52,63;52,74;51,45;52,45;;
2021-12-07;51,53;52,78;51,45;52,76;;
2021-12-06;51,47;51,69;50,63;51,29;;
2021-12-05;50,82;50,95;50,80;50,92;;
2021-12-04;51,02;51,02;50,66;50,66;;
2021-12-03;51,92;52,24;50,45;51,03;;
2021-12-02;51,01;52,02;50,78;52,02;;
2021-12-01;50,52;52,20;49,99;50,61;;
2021-11-30;50,19;50,53;49,31;50,24;;
2021-11-29;52,38;52,63;50,50;51,11;;
2021-11-28;51,04;51,32;50,90;51,24;;
2021-11-27;51,70;51,70;51,04;51,04;;
2021-11-26;54,63;54,64;51,05;51,62;;
2021-11-25;55,49;55,61;54,49;55,10;;
2021-11-24;56,76;56,88;54,95;55,43;;
2021-11-23;56,59;57,07;56,20;56,73;;
2021-11-22;56,20;56,81;55,90;56,59;;
2021-11-21;56,20;56,20;56,16;56,16;;
2021-11-20;56,20;56,20;56,20;56,20;;
2021-11-19;57,76;58,30;55,49;56,19;;
2021-11-18;56,19;58,49;56,18;57,74;;
2021-11-17;55,99;56,51;55,86;56,18;;
2021-11-16;56,15;56,30;55,62;56,01;;
2021-11-15;56,07;56,63;55,75;56,15;;
2021-11-14;56,07;56,07;56,07;56,07;;
2021-11-13;56,07;56,07;56,07;56,07;;
2021-11-12;55,66;56,31;55,01;56,07;;
2021-11-11;54,86;55,71;54,81;55,66;;
2021-11-10;55,37;55,76;54,53;54,85;;
2021-11-09;54,94;56,13;54,74;55,37;;
2021-11-08;54,70;55,67;53,36;54,95;;
2021-11-07;54,69;54,71;54,68;54,71;;
2021-11-06;54,68;54,69;54,68;54,69;;
2021-11-05;54,27;54,71;53,88;54,68;;
2021-11-04;55,13;55,43;53,78;54,28;;
2021-11-03;54,88;55,20;54,60;55,12;;
2021-11-02;55,80;55,94;54,17;54,92;;
2021-11-01;55,44;56,39;55,38;55,85;;
2021-10-31;55,44;55,50;55,44;55,48;;
2021-10-30;55,44;55,44;55,44;55,44;;
2021-10-29;55,47;55,71;54,75;55,44;;
2021-10-28;56,78;56,81;55,11;55,56;;
2021-10-27;56,22;57,75;55,83;56,70;;
2021-10-26;56,74;56,74;56,13;56,22;;
2021-10-25;55,60;56,76;55,24;56,67;;
2021-10-24;55,57;55,57;55,57;55,57;;
2021-10-23;55,59;55,59;55,56;55,57;;
2021-10-22;55,27;55,74;55,06;55,59;;
2021-10-21;55,33;55,33;54,51;55,19;;
2021-10-20;56,09;56,27;55,09;55,41;;
2021-10-19;56,49;56,66;55,63;56,14;;
2021-10-18;58,21;58,23;55,93;56,49;;
2021-10-17;58,32;58,34;58,30;58,32;;
2021-10-16;58,32;58,35;58,29;58,32;;
2021-10-15;58,44;58,90;57,87;58,32;;
2021-10-14;58,75;59,28;57,71;58,39;;
2021-10-13;58,71;59,20;58,15;58,68;;
2021-10-12;58,14;59,02;57,45;58,58;;
2021-10-11;57,50;58,85;57,21;58,16;;
2021-10-10;57,41;57,41;57,41;57,41;;
2021-10-09;57,39;57,41;57,39;57,41;;
2021-10-08;56,94;57,71;56,82;57,39;;
2021-10-07;55,85;57,04;55,75;56,96;;
2021-10-06;56,98;57,12;55,11;55,66;;
2021-10-05;58,07;58,48;57,10;57,23;;
2021-10-04;58,15;58,58;57,45;58,05;;
2021-10-03;58,36;58,36;58,34;58,36;;
2021-10-02;58,38;58,38;58,36;58,36;;
2021-10-01;58,75;59,17;57,95;58,38;;
2021-09-30;59,30;60,25;59,02;59,21;;
2021-09-29;58,12;59,69;57,63;59,11;;
2021-09-28;56,99;59,43;56,69;58,01;;
2021-09-27;56,65;58,20;56,49;57,01;;
2021-09-26;56,33;56,48;56,29;56,47;;
2021-09-25;56,33;56,33;56,31;56,33;;
2021-09-24;55,77;56,73;55,29;56,33;;
2021-09-23;55,55;56,15;54,94;55,88;;
2021-09-22;54,75;55,52;54,42;55,40;;
2021-09-21;55,09;55,49;54,28;54,49;;
2021-09-20;56,75;56,79;54,50;54,75;;
2021-09-19;56,94;56,97;56,79;56,83;;
2021-09-18;56,94;56,94;56,94;56,94;;
2021-09-17;58,75;58,84;56,58;56,94;;
2021-09-16;57,63;58,77;57,54;58,68;;
2021-09-15;59,13;59,13;57,37;57,75;;
2021-09-14;59,19;59,51;58,78;58,92;;
2021-09-13;58,38;59,76;58,37;59,16;;
2021-09-12;58,33;58,37;58,33;58,37;;
2021-09-11;58,34;58,35;58,34;58,34;;
2021-09-10;58,61;59,14;58,31;58,34;;
2021-09-09;58,05;58,84;57,28;58,27;;
2021-09-08;57,83;58,84;57,74;58,33;;
2021-09-07;57,95;58,48;57,67;57,83;;
2021-09-06;57,28;58,07;57,27;58,03;;
2021-09-05;57,09;57,24;57,09;57,24;;
2021-09-04;57,09;57,09;57,09;57,09;;
2021-09-03;56,81;57,88;56,80;57,09;;
2021-09-02;55,09;57,39;55,07;56,71;;
2021-09-01;55,33;56,10;54,64;55,17;;
2021-08-31;56,84;57,19;54,65;55,16;;
2021-08-30;55,36;57,42;55,35;56,69;;
2021-08-29;55,35;55,42;55,35;55,42;;
2021-08-28;55,35;55,36;55,35;55,35;;
2021-08-27;54,95;55,58;54,93;55,37;;
2021-08-26;54,63;55,13;54,36;54,90;;
2021-08-25;54,47;54,87;54,31;54,75;;
2021-08-24;53,34;54,61;53,24;54,49;;
2021-08-23;53,17;53,64;52,61;53,22;;
2021-08-22;52,90;52,90;52,90;52,90;;
2021-08-21;52,90;52,90;52,90;52,90;;
2021-08-20;53,57;53,57;52,17;52,88;;
2021-08-19;54,99;55,03;53,03;53,75;;
2021-08-18;55,01;56,04;54,88;55,05;;
2021-08-17;55,27;55,49;54,77;54,81;;
2021-08-16;55,88;56,14;55,15;55,41;;
2021-08-15;56,07;56,07;56,03;56,04;;
2021-08-14;56,07;56,07;56,07;56,07;;
2021-08-13;55,97;56,17;55,49;56,07;;
2021-08-12;55,25;56,41;55,21;55,98;;
2021-08-11;55,66;56,14;54,69;55,28;;
2021-08-10;54,71;55,79;54,62;55,70;;
2021-08-09;54,14;55,07;53,96;54,71;;
2021-08-08;54,27;54,28;54,26;54,26;;
2021-08-07;54,27;54,27;54,27;54,27;;
2021-08-06;54,58;55,28;53,90;54,27;;
2021-08-05;54,62;54,80;54,06;54,57;;
2021-08-04;54,57;55,27;54,47;54,55;;
2021-08-03;54,65;55,08;54,03;54,49;;
2021-08-02;54,58;55,54;54,29;54,45;;
2021-08-01;54,35;54,37;54,31;54,31;;
2021-07-31;54,37;54,37;54,35;54,35;;
2021-07-30;54,26;54,52;53,33;54,37;;
2021-07-29;54,89;55,42;54,47;54,50;;
2021-07-28;55,75;56,11;54,62;54,94;;
2021-07-27;56,66;56,66;55,52;55,83;;
2021-07-26;55,88;56,93;55,80;56,80;;
2021-07-25;56,16;56,16;56,12;56,12;;
2021-07-24;56,16;56,16;56,16;56,16;;
2021-07-23;55,70;56,87;55,67;56,16;;
2021-07-22;56,15;56,56;55,26;55,76;;
2021-07-21;55,11;56,32;55,06;56,18;;
2021-07-20;54,41;55,38;54,11;55,23;;
2021-07-19;56,03;56,17;53,73;54,32;;
2021-07-18;56,27;56,27;56,20;56,24;;
