Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;53,76;54,24;53,74;54,20;378.594;20.484.920
2021-12-29;53,68;53,92;53,48;53,82;348.424;18.721.399
2021-12-28;53,24;53,98;53,22;53,82;300.335;16.159.286
2021-12-27;52,40;53,40;52,34;53,22;409.644;21.773.632
2021-12-23;52,06;52,92;52,06;52,66;444.991;23.414.270
2021-12-22;51,66;51,80;51,24;51,80;388.837;20.061.209
2021-12-21;51,60;51,98;51,34;51,62;437.153;22.600.655
2021-12-20;51,14;51,50;50,52;51,06;784.542;39.996.254
2021-12-17;51,78;53,54;51,76;51,96;1.371.167;71.862.345
2021-12-16;51,92;52,92;51,90;51,98;932.955;48.718.365
2021-12-15;51,54;51,70;51,06;51,10;567.168;29.049.983
2021-12-14;51,64;51,88;51,12;51,46;440.945;22.715.255
2021-12-13;52,20;52,48;51,44;51,48;733.590;38.052.454
2021-12-10;51,80;53,20;51,54;52,12;682.088;35.788.946
2021-12-09;52,22;52,48;51,64;52,02;601.023;31.294.030
2021-12-08;52,48;52,60;51,46;52,38;832.495;43.498.699
2021-12-07;51,82;52,58;51,44;52,50;1.313.451;68.698.762
2021-12-06;51,16;51,50;50,64;51,14;653.524;33.419.477
2021-12-03;51,74;51,74;50,46;50,70;768.067;39.034.489
2021-12-02;51,10;51,62;50,80;51,34;884.149;45.291.439
2021-12-01;50,16;52,20;50,00;51,70;1.129.191;58.175.848
2021-11-30;50,06;50,48;49,30;49,84;1.743.770;86.853.081
2021-11-29;51,70;51,92;50,48;50,68;1.202.258;61.345.728
2021-11-26;53,30;53,30;51,06;51,22;2.085.298;108.164.063
2021-11-25;55,30;55,30;54,48;54,92;598.654;32.789.943
2021-11-24;56,66;56,90;54,94;55,20;803.583;44.570.285
2021-11-23;56,00;57,08;56,00;56,60;493.053;27.932.270
2021-11-22;56,50;56,82;55,88;56,64;494.059;27.903.850
2021-11-19;58,00;58,28;55,50;56,30;1.346.063;75.930.812
2021-11-18;56,98;58,48;56,84;57,64;1.527.119;88.064.808
2021-11-17;56,10;56,50;55,86;56,08;938.723;52.704.532
2021-11-16;56,16;56,16;55,62;55,96;564.992;31.587.949
2021-11-15;56,30;56,34;55,76;56,02;511.698;28.654.578
2021-11-12;55,42;56,30;55,02;56,30;869.306;48.737.750
2021-11-11;55,00;55,74;54,82;55,48;602.882;33.401.758
2021-11-10;55,28;55,76;54,50;55,02;607.941;33.442.197
2021-11-09;54,72;56,12;54,72;55,28;1.272.916;70.410.915
2021-11-08;55,48;55,56;53,36;54,62;1.279.800;69.519.360
2021-11-05;54,26;54,62;53,88;54,50;913.683;49.701.899
2021-11-04;55,44;55,48;53,78;54,20;1.139.250;61.731.679
2021-11-03;54,66;55,20;54,64;54,98;673.877;37.015.637
2021-11-02;55,58;55,72;54,16;54,70;1.260.442;68.862.354
2021-11-01;55,62;56,38;55,50;55,74;579.509;32.365.667
2021-10-29;55,18;55,76;54,74;55,40;1.003.425;55.564.923
2021-10-28;56,48;56,64;55,10;55,56;890.086;49.461.990
2021-10-27;56,60;57,34;55,82;56,56;1.002.986;56.698.870
2021-10-26;56,42;56,64;56,14;56,34;415.627;23.448.535
2021-10-25;55,54;56,32;55,22;56,04;516.951;28.942.297
2021-10-22;55,14;55,76;55,08;55,38;537.656;29.769.712
2021-10-21;55,00;55,34;54,52;55,00;663.212;36.469.115
2021-10-20;55,96;56,26;55,08;55,42;702.187;38.994.330
2021-10-19;56,40;56,50;55,62;56,14;658.798;36.917.609
2021-10-18;57,14;57,32;55,94;56,36;1.101.619;62.147.967
2021-10-15;58,52;58,92;57,88;58,28;680.680;39.683.413
2021-10-14;59,10;59,30;57,70;58,38;584.312;34.112.375
2021-10-13;58,58;59,20;58,18;58,78;652.814;38.364.008
2021-10-12;57,94;59,02;57,46;58,72;569.109;33.279.749
2021-10-11;57,44;58,86;57,20;58,68;510.851;29.846.433
2021-10-08;56,94;57,70;56,90;57,50;656.642;37.677.052
2021-10-07;56,10;56,94;55,76;56,88;805.714;45.561.076
2021-10-06;56,94;56,96;55,12;55,40;1.051.435;58.510.396
2021-10-05;57,92;58,50;57,10;57,34;544.726;31.319.088
2021-10-04;57,82;58,30;57,46;57,92;480.171;27.792.774
2021-10-01;58,38;59,14;57,96;58,00;1.096.151;64.001.733
2021-09-30;59,40;60,24;59,02;59,34;1.019.342;60.790.004
2021-09-29;58,34;59,70;57,68;59,16;1.214.908;72.037.332
2021-09-28;56,86;59,44;56,70;57,82;1.298.715;75.303.985
2021-09-27;57,10;58,20;56,52;56,96;933.282;53.341.513
2021-09-24;55,94;56,74;55,28;56,34;805.615;45.386.820
2021-09-23;56,00;56,12;54,96;55,72;640.856;35.604.102
2021-09-22;54,98;55,54;54,44;55,34;740.907;40.837.850
2021-09-21;55,30;55,48;54,40;54,48;837.265;45.952.326
2021-09-20;56,00;56,12;54,60;54,84;1.188.551;65.432.614
2021-09-17;57,78;58,24;56,58;57,02;1.729.846;98.753.613
2021-09-16;57,72;58,76;57,70;58,18;642.425;37.471.998
2021-09-15;58,70;58,80;57,38;57,52;1.008.447;58.212.025
2021-09-14;59,16;59,50;58,80;58,90;536.711;31.697.283
2021-09-13;59,00;59,78;58,84;59,12;756.999;44.800.888
2021-09-10;58,90;59,12;58,32;58,74;651.633;38.269.807
2021-09-09;57,94;58,84;57,58;58,68;668.330;38.980.015
2021-09-08;58,04;58,86;57,72;58,34;1.017.147;59.272.913
2021-09-07;57,90;58,48;57,70;57,92;418.559;24.277.527
2021-09-06;57,74;58,08;57,28;57,96;516.447;29.834.903
2021-09-03;57,20;57,88;56,98;57,28;770.880;44.204.825
2021-09-02;55,28;57,40;55,28;57,00;1.062.434;60.391.887
2021-09-01;55,44;56,10;54,62;55,18;765.261;42.239.192
2021-08-31;56,78;57,18;54,66;54,90;1.351.625;74.879.842
2021-08-30;55,64;57,42;55,64;56,68;849.776;48.312.970
2021-08-27;55,12;55,58;55,00;55,50;416.986;23.088.785
2021-08-26;54,60;55,08;54,38;55,04;409.547;22.469.090
2021-08-25;54,46;54,92;54,28;54,92;557.472;30.530.600
2021-08-24;53,32;54,58;53,30;54,56;764.139;41.469.457
2021-08-23;53,24;53,38;52,62;53,10;628.035;33.291.682
2021-08-20;53,34;53,46;52,18;52,80;850.168;44.833.978
2021-08-19;54,62;54,64;53,04;53,42;1.025.966;54.942.314
2021-08-18;55,10;56,02;54,88;55,24;674.378;37.306.775
2021-08-17;55,34;55,48;54,78;54,92;611.479;33.628.786
2021-08-16;55,68;56,14;55,14;55,48;492.469;27.327.827
2021-08-13;55,92;56,18;55,48;56,16;488.894;27.344.805
2021-08-12;55,60;56,42;55,24;55,94;514.101;28.766.904
2021-08-11;55,92;56,14;54,68;55,42;717.015;39.668.570
2021-08-10;55,36;55,80;54,74;55,78;727.653;40.385.374
2021-08-09;54,32;55,06;53,96;54,74;711.688;38.815.587
2021-08-06;54,34;54,92;53,88;54,10;683.804;37.107.239
2021-08-05;54,52;54,82;54,08;54,36;454.819;24.721.240
2021-08-04;54,88;55,26;54,56;54,68;419.081;22.993.164
2021-08-03;54,42;54,64;54,04;54,64;410.291;22.351.428
2021-08-02;54,70;55,56;54,36;54,36;467.060;25.569.898
2021-07-30;54,02;54,50;53,32;54,26;682.937;36.924.306
2021-07-29;55,12;55,42;54,48;54,50;601.143;32.932.013
2021-07-28;56,00;56,14;54,60;54,96;555.152;30.542.570
2021-07-27;56,20;56,36;55,62;55,90;413.359;23.134.743
2021-07-26;56,00;56,92;55,84;56,52;442.071;24.976.531
2021-07-23;55,76;56,88;55,76;56,20;484.525;27.317.303
2021-07-22;56,30;56,54;55,54;55,54;408.429;22.794.104
2021-07-21;55,52;56,32;55,30;55,98;613.496;34.288.065
2021-07-20;54,24;55,36;54,16;54,96;744.545;40.881.987
2021-07-19;55,90;56,20;53,72;54,04;914.482;49.760.919
2021-07-16;57,42;57,64;56,14;56,42;649.371;36.836.574
2021-07-15;57,42;57,82;57,02;57,22;569.712;32.679.212
2021-07-14;56,90;57,80;56,70;57,40;570.588;32.720.252
2021-07-13;56,80;57,60;56,68;56,86;945.046;53.955.921
2021-07-12;56,34;56,68;55,38;56,48;1.105.405;62.148.607
2021-07-09;54,54;56,76;54,10;56,14;1.214.603;67.853.851
2021-07-08;54,64;54,98;53,42;54,20;843.799;45.606.802
2021-07-07;54,04;55,26;54,00;54,66;694.798;37.962.594
2021-07-06;55,40;55,40;53,64;53,70;701.198;38.023.546
2021-07-05;55,32;55,90;55,00;55,38;584.353;32.429.953
2021-07-02;55,86;56,12;55,26;55,36;619.663;34.394.082
2021-07-01;54,86;55,80;54,86;55,48;765.133;42.360.031
2021-06-30;54,76;55,22;53,92;54,46;582.448;31.723.974
2021-06-29;54,54;55,34;54,46;54,94;531.907;29.204.395
2021-06-28;54,12;54,70;53,70;54,54;575.852;31.285.839
2021-06-25;54,78;55,14;53,88;54,12;603.879;32.760.620
2021-06-24;54,88;54,90;54,14;54,58;690.065;37.619.092
2021-06-23;55,84;56,46;54,44;54,44;1.062.270;58.582.745
2021-06-22;53,32;55,90;53,28;55,62;1.674.888;92.444.315
2021-06-21;51,80;53,32;51,38;53,18;778.376;41.071.954
2021-06-18;53,76;53,94;51,78;51,78;2.039.641;106.529.623
2021-06-17;53,62;54,42;53,32;53,72;836.093;45.116.651
2021-06-16;53,50;54,00;52,72;53,76;879.938;47.110.185
2021-06-15;53,86;54,10;53,12;53,36;1.031.189;55.126.031
2021-06-14;54,80;55,04;53,52;53,62;1.028.212;55.354.613
2021-06-11;54,26;54,98;53,96;54,76;590.234;32.269.671
2021-06-10;54,88;55,32;54,20;54,24;776.613;42.366.489
2021-06-09;56,40;56,46;54,16;54,68;1.703.812;93.933.078
2021-06-08;57,86;57,86;56,26;56,54;1.223.747;69.572.829
2021-06-07;58,00;58,58;57,70;57,98;753.020;43.836.588
2021-06-04;57,86;58,68;57,86;58,16;653.759;38.072.938
2021-06-03;57,40;57,82;56,88;57,82;548.920;31.585.656
2021-06-02;58,18;58,70;57,36;57,48;709.444;40.981.923
2021-06-01;57,60;58,54;57,38;58,28;728.653;42.404.019
2021-05-31;57,50;57,88;57,10;57,30;308.137;17.706.306
2021-05-28;57,08;57,86;56,86;57,30;629.219;36.142.112
2021-05-27;55,76;56,94;55,68;56,90;2.052.420;116.572.443
2021-05-26;56,08;56,08;55,30;55,72;508.847;28.323.318
2021-05-25;56,40;57,16;55,78;55,98;920.347;51.868.728
2021-05-21;56,04;56,38;55,14;55,86;1.113.517;62.083.505
2021-05-20;55,74;56,60;55,06;56,58;918.614;51.637.660
2021-05-19;55,90;56,12;54,78;55,34;876.203;48.495.388
2021-05-18;56,54;57,32;56,18;56,34;763.238;43.185.218
2021-05-17;56,40;56,88;55,18;55,88;823.022;45.920.966
2021-05-14;57,80;57,80;56,32;56,36;986.065;55.751.788
2021-05-13;56,64;57,72;56,36;57,44;444.932;25.425.307
2021-05-12;57,56;58,12;56,92;57,54;590.136;33.974.082
2021-05-11;57,80;58,18;56,56;57,56;822.808;47.219.719
2021-05-10;58,34;59,56;58,14;58,66;901.391;52.993.178
2021-05-07;59,22;59,40;57,72;58,02;670.997;39.148.715
2021-05-06;58,10;58,80;57,40;58,80;1.121.001;65.475.304
2021-05-05;55,64;58,06;55,60;58,00;1.311.945;75.323.753
2021-05-04;56,02;56,74;54,94;54,98;950.303;52.838.118
2021-05-03;54,38;55,88;54,32;55,86;746.386;41.438.752
2021-04-30;54,98;55,72;54,42;54,42;1.059.993;58.096.724
2021-04-29;56,16;56,38;54,48;54,96;1.068.242;58.703.593
2021-04-28;56,66;56,72;55,00;55,72;1.058.543;59.047.888
2021-04-27;56,52;56,58;55,12;55,78;1.166.667;64.977.744
2021-04-26;55,24;56,50;54,84;56,30;778.230;43.509.675
2021-04-23;54,40;55,22;54,06;55,14;848.501;46.469.615
2021-04-22;56,12;56,28;54,56;54,56;790.095;43.417.431
2021-04-21;55,12;55,76;54,74;55,76;924.968;51.272.055
2021-04-20;55,90;56,44;54,78;54,82;1.302.987;71.859.464
2021-04-19;57,82;57,90;55,56;55,78;1.299.684;73.297.539
2021-04-16;56,80;58,66;56,20;58,50;1.534.611;89.050.786
2021-04-15;58,00;58,42;56,66;56,76;1.254.294;71.597.606
2021-04-14;58,92;59,14;56,78;57,90;1.969.423;114.541.045
2021-04-13;57,30;58,50;57,24;57,52;1.181.398;68.308.417
2021-04-12;55,60;56,72;55,32;56,42;1.012.939;56.930.045
2021-04-09;55,86;56,10;54,90;55,88;952.688;52.935.373
2021-04-08;57,40;58,34;55,50;55,76;1.350.977;76.165.794
2021-04-07;58,20;58,46;57,08;57,12;778.459;44.756.831
2021-04-06;58,34;58,50;57,52;58,26;1.122.790;65.324.332
2021-04-01;57,70;58,04;57,20;57,30;465.239;26.725.908
2021-03-31;58,08;58,34;57,34;57,34;1.135.221;65.447.907
2021-03-30;56,92;58,30;56,74;58,20;977.815;56.468.955
2021-03-29;56,58;57,00;55,78;56,44;1.152.971;65.117.859
2021-03-26;54,78;56,72;54,78;56,36;1.801.582;100.770.698
2021-03-25;53,66;54,14;52,70;54,14;1.121.795;60.223.827
2021-03-24;53,38;54,52;53,20;54,12;1.327.063;71.493.236
2021-03-23;54,00;54,14;52,84;53,70;1.390.888;74.406.057
2021-03-22;55,14;55,30;53,92;54,20;1.405.685;76.648.364
2021-03-19;58,12;58,18;55,18;55,42;2.609.509;146.037.123
2021-03-18;58,06;59,04;57,90;58,70;1.038.278;60.772.419
2021-03-17;56,96;57,76;56,62;57,68;963.094;55.185.902
2021-03-16;57,42;57,88;56,54;56,96;998.584;56.922.970
2021-03-15;59,00;59,12;56,90;57,28;990.220;57.122.819
2021-03-12;59,92;60,00;59,02;59,14;761.729;45.163.710
2021-03-11;59,92;61,28;59,64;60,20;751.990;45.433.783
2021-03-10;59,98;60,04;59,26;59,60;896.892;53.450.601
2021-03-09;60,56;60,66;59,34;59,88;1.364.248;81.676.895
2021-03-08;60,96;61,40;60,28;61,02;1.390.418;84.733.714
2021-03-05;60,88;61,92;60,60;61,26;795.071;48.761.514
2021-03-04;61,98;62,20;61,10;61,10;987.991;60.664.119
2021-03-03;62,82;63,24;61,86;62,28;798.423;49.837.398
2021-03-02;61,42;62,62;60,74;62,48;770.178;47.824.864
2021-03-01;60,70;61,42;60,62;61,42;575.595;35.209.807
2021-02-26;60,60;61,22;59,86;59,96;1.507.510;90.796.025
2021-02-25;61,64;62,38;60,90;61,82;929.849;57.459.904
2021-02-24;60,36;61,60;59,60;60,94;817.469;49.639.992
2021-02-23;61,40;62,14;59,50;60,12;1.012.542;61.201.163
