Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;68,735;68,765;67,665;67,67;;
2021-12-29;69,60;69,745;68,18;68,715;;
2021-12-28;69,88;70,54;69,42;69,59;;
2021-12-27;69,975;70,29;69,495;69,92;;
2021-12-23;69,855;70,535;69,755;70,075;;
2021-12-22;68,815;69,845;68,15;69,83;;
2021-12-21;67,79;68,94;67,29;68,90;;
2021-12-20;67,625;68,35;66,35;67,505;;
2021-12-19;68,94;68,94;68,525;68,525;;
2021-12-18;68,925;68,94;68,925;68,94;;
2021-12-17;72,365;72,435;68,54;68,925;;
2021-12-16;72,535;74,73;70,725;71,145;;
2021-12-15;72,265;72,405;71,065;72,35;;
2021-12-14;74,17;74,17;71,39;72,18;;
2021-12-13;74,47;76,095;73,93;74,065;;
2021-12-12;74,315;74,51;74,315;74,415;;
2021-12-11;74,315;74,365;74,295;74,315;;
2021-12-10;65,50;75,28;65,50;74,315;;
2021-12-09;71,9496;73,3683;71,5257;72,5582;;
2021-12-08;72,9654;73,1123;70,8248;71,979;;
2021-12-07;72,3861;73,4942;72,3358;73,0745;;
2021-12-06;72,5792;72,9696;71,022;72,0672;;
2021-12-05;71,66;71,8405;71,6474;71,8027;;
2021-12-04;71,9496;71,9496;71,4376;71,4376;;
2021-12-03;73,0787;73,3263;71,2865;71,958;;
2021-12-02;71,5719;73,3137;71,4502;73,1375;;
2021-12-01;70,7702;73,0661;70,0231;70,9675;;
2021-11-30;68,7849;70,3715;67,5257;70,3127;;
2021-11-29;68,7933;71,4963;68,7933;70,2078;;
2021-11-28;68,5834;68,7933;68,5834;68,7933;;
2021-11-27;68,7093;68,7093;68,5834;68,5834;;
2021-11-26;73,8174;73,8258;68,5331;68,7093;;
2021-11-25;74,2707;74,8877;73,7083;73,9265;;
2021-11-24;75,7943;75,958;73,5194;74,2455;;
2021-11-23;76,0923;76,554;75,2403;75,7859;;
2021-11-22;75,3704;76,7807;75,1689;76,1007;;
2021-11-21;75,3704;75,3704;75,3536;75,3536;;
2021-11-20;75,3704;75,3704;75,3704;75,3704;;
2021-11-19;76,3903;76,7471;74,7618;75,3872;;
2021-11-18;74,9339;76,9276;74,9255;76,2812;;
2021-11-17;74,808;75,4627;74,5352;74,8793;;
2021-11-16;74,5016;75,4082;74,3295;74,8667;;
2021-11-15;73,6747;74,8919;73,5866;74,5016;;
2021-11-14;73,6831;73,6999;73,6831;73,6999;;
2021-11-13;73,6831;73,6831;73,6831;73,6831;;
2021-11-12;73,4481;73,9265;73,1375;73,6831;;
2021-11-11;73,6034;74,4092;73,2214;73,4229;;
2021-11-10;73,213;74,212;72,7387;73,5824;;
2021-11-09;73,0661;74,0902;72,9444;73,2466;;
2021-11-08;73,5488;73,6076;72,68;73,0871;;
2021-11-07;73,5026;73,5572;73,4984;73,5572;;
2021-11-06;73,4732;73,511;73,4732;73,511;;
2021-11-05;72,7261;73,9224;72,4239;73,4732;;
2021-11-04;73,0829;74,0776;70,4848;72,7471;;
2021-11-03;72,894;73,3054;72,0839;73,0535;;
2021-11-02;73,0787;73,2592;71,9161;72,9738;;
2021-11-01;71,979;73,5194;71,8783;73,1584;;
2021-10-31;71,9706;72,0504;71,9706;72,0294;;
2021-10-30;71,9706;71,9706;71,9706;71,9706;;
2021-10-29;69,872;72,0504;69,0451;71,9622;;
2021-10-28;69,9014;70,3757;69,3557;69,9517;;
2021-10-27;69,7712;70,5939;68,9486;69,8006;;
2021-10-26;69,7796;70,5016;69,5026;69,7712;;
2021-10-25;68,8646;70,3673;68,7639;69,7796;;
2021-10-24;68,8562;68,8562;68,8562;68,8562;;
2021-10-23;68,8562;68,8562;68,8437;68,8562;;
2021-10-22;68,4911;69,5992;68,4743;68,8688;;
2021-10-21;68,4029;69,3683;67,723;68,4281;;
2021-10-20;69,0073;69,553;67,5803;68,4575;;
2021-10-19;68,6842;69,6453;68,6716;69,0409;;
2021-10-18;69,8972;70,2791;68,3694;68,6758;;
2021-10-17;70,2791;70,3043;69,9853;69,9853;;
2021-10-16;70,2791;70,3127;70,2539;70,2791;;
2021-10-15;69,8258;70,5058;69,7419;70,2791;;
2021-10-14;68,5121;69,8972;68,4449;69,7796;;
2021-10-13;69,1417;69,6327;68,1007;68,4575;;
2021-10-12;69,0787;69,6118;68,2812;69,0325;;
2021-10-11;67,6558;69,7796;66,9801;69,1417;;
2021-10-10;67,5677;67,5677;67,5677;67,5677;;
2021-10-09;67,5551;67,5677;67,5551;67,5677;;
2021-10-08;65,8006;68,1385;65,7964;67,5551;;
2021-10-07;63,7775;66,2162;63,7356;65,8132;;
2021-10-06;64,3526;64,3987;62,8248;63,618;;
2021-10-05;64,8898;64,9528;63,8867;64,5163;;
2021-10-04;65,2886;65,3305;63,7356;64,8898;;
