Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;68,24;68,59;67,59;67,59;2.237.979;151.589.306
2021-12-29;69,60;69,75;68,18;68,23;2.470.115;169.246.916
2021-12-28;69,93;70,54;69,49;69,60;1.494.742;104.369.604
2021-12-27;69,88;70,18;69,50;69,89;1.243.078;86.733.632
2021-12-23;70,21;70,53;69,94;70,09;1.620.249;113.689.809
2021-12-22;68,70;69,69;68,16;69,69;1.839.788;127.487.604
2021-12-21;68,20;68,80;67,29;68,62;2.264.407;154.768.612
2021-12-20;66,70;67,82;66,48;67,30;4.786.790;321.553.841
2021-12-17;70,39;70,65;68,54;68,75;7.737.176;535.092.513
2021-12-16;72,52;72,96;71,02;71,74;3.421.998;245.793.220
2021-12-15;71,81;72,40;71,09;71,12;2.931.838;209.595.477
2021-12-14;73,00;73,74;71,47;71,47;4.265.644;307.747.884
2021-12-13;74,72;76,11;73,99;74,00;4.680.761;350.462.649
2021-12-10;73,20;75,31;71,01;74,25;7.213.204;532.158.999
2021-12-09;72,235;73,4187;71,5215;72,3442;4.118.202;298.123.323
2021-12-08;72,873;72,9654;70,7072;72,042;3.961.955;284.741.146
2021-12-07;72,9318;73,4774;72,4785;72,873;4.448.965;324.320.698
2021-12-06;72,7051;72,9906;71,0262;71,7482;3.346.342;240.186.200
2021-12-03;72,999;73,2592;71,2865;71,8825;4.038.910;290.863.242
2021-12-02;71,7482;73,3095;71,4376;72,2854;4.509.378;326.129.406
2021-12-01;70,7576;73,0661;70,0357;72,6884;4.977.452;359.256.628
2021-11-30;68,617;70,3882;67,5173;69,6747;7.067.667;488.640.150
2021-11-29;70,7408;70,9759;69,1291;69,5068;4.583.433;319.998.738
2021-11-26;71,3536;71,8405;69,0451;69,809;7.604.459;536.181.797
2021-11-25;74,6946;74,8793;73,7125;74,191;1.516.573;112.552.532
2021-11-24;75,66;75,7691;73,5278;74,1826;3.648.700;271.146.036
2021-11-23;75,5509;76,5582;75,2487;75,5845;2.839.143;215.146.646
2021-11-22;75,2991;76,7765;75,2151;76,3652;3.005.473;229.090.903
2021-11-19;76,3903;76,7429;74,7618;75,3746;5.367.170;405.940.505
2021-11-18;75,4669;76,9192;75,2739;76,3064;3.739.085;285.024.894
2021-11-17;74,9801;75,4586;74,5352;75,064;2.416.796;181.424.057
2021-11-16;74,8877;75,3998;74,3253;74,8877;2.829.826;211.992.985
2021-11-15;73,6789;74,8877;73,5782;74,5687;2.183.385;162.543.632
2021-11-12;73,511;73,9224;73,1249;73,7796;2.270.804;167.365.343
2021-11-11;73,788;74,4176;73,2172;73,3347;3.402.304;250.823.678
2021-11-10;73,4439;74,2078;72,7303;73,9475;3.060.415;225.600.790
2021-11-09;73,1584;74,0902;73,0913;73,3851;2.110.502;155.143.022
2021-11-08;73,1836;73,6034;72,68;73,2256;1.743.606;127.581.881
2021-11-05;72,4953;73,9224;72,4113;73,5278;3.113.146;228.702.324
2021-11-04;73,2172;74,0735;70,0944;73,0325;5.162.814;375.857.391
2021-11-03;72,6128;73,3095;72,0839;73,0577;2.506.822;182.567.256
2021-11-02;72,7807;73,2592;71,9244;73,1081;2.856.569;207.902.562
2021-11-01;72,1931;73,511;72,0252;73,0157;2.752.651;200.812.507
2021-10-29;69,8762;72,0504;69,4229;71,9748;5.211.886;373.267.362
2021-10-28;69,4397;70,3882;69,255;70,3882;2.351.057;164.765.557
2021-10-27;69,3809;70,5981;68,936;70,1616;2.832.004;197.940.393
2021-10-26;70,0525;70,5142;69,4984;69,7587;2.571.215;179.902.673
2021-10-25;68,8772;70,3631;68,7681;69,5824;3.527.615;245.757.217
2021-10-22;68,7261;69,5992;68,3987;68,9276;2.143.099;148.081.085
2021-10-21;67,8867;69,3641;67,702;68,6086;2.319.626;158.854.690
2021-10-20;68,9276;69,5488;67,5845;68,7933;2.985.252;204.483.582
2021-10-19;69,2382;69,6411;68,6758;69,1459;2.144.202;148.281.838
2021-10-18;70,0357;70,2875;68,3736;68,7933;3.130.245;215.913.702
2021-10-15;69,8678;70,5058;69,7503;70,2204;3.193.596;224.184.192
2021-10-14;69,0535;69,893;68,6338;69,8594;3.839.649;266.874.960
2021-10-13;69,0031;69,6243;68,2141;68,4659;3.242.831;222.761.309
2021-10-12;68,4323;69,6076;68,2392;69,0955;3.366.779;232.371.081
2021-10-11;67,4082;69,7754;66,9717;69,6747;4.645.120;321.057.000
2021-10-08;66,8625;68,1385;66,829;67,7272;5.207.024;352.496.807
2021-10-07;64,2938;66,2162;64,1259;66,0147;4.476.334;293.156.084
2021-10-06;64,0923;64,3945;63,0094;63,4376;4.104.610;261.054.649
2021-10-05;64,8311;64,957;63,8825;64,7975;2.567.710;165.857.131
