Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;97,55;98,12;97,02;97,81;;
2021-12-29;98,08;99,01;96,86;97,51;;
2021-12-28;97,99;98,53;97,08;98,04;;
2021-12-27;97,58;99,75;96,45;98,05;;
2021-12-23;98,86;99,94;97,30;97,72;;
2021-12-22;93,16;99,98;91,76;98,82;;
2021-12-21;90,33;93,28;87,88;93,28;;
2021-12-20;90,55;92,68;86,92;90,12;;
2021-12-19;92,11;92,11;91,67;91,67;;
2021-12-18;92,11;92,11;92,11;92,11;;
2021-12-17;92,17;93,93;87,62;92,11;;
2021-12-16;98,37;100,775;93,48;93,98;;
2021-12-15;98,17;98,20;94,13;97,97;;
2021-12-14;100,725;101,725;96,45;98,07;;
2021-12-13;105,10;105,20;100,045;100,60;;
2021-12-12;104,90;105,15;104,90;104,90;;
2021-12-11;104,90;104,975;104,90;104,90;;
2021-12-10;106,375;106,525;103,65;104,90;;
2021-12-09;109,05;110,35;106,375;106,60;;
2021-12-08;106,925;110,625;105,75;109,075;;
2021-12-07;100,31;108,85;100,25;107,075;;
2021-12-06;102,40;104,15;95,23;99,92;;
2021-12-05;102,40;102,40;102,40;102,40;;
2021-12-04;103,20;103,20;102,40;102,40;;
2021-12-03;108,75;109,475;100,05;103,20;;
2021-12-02;115,45;116,325;106,15;109,025;;
2021-12-01;119,10;119,75;114,325;114,475;;
2021-11-30;118,425;120,75;117,075;118,35;;
2021-11-29;119,425;120,575;114,675;120,575;;
2021-11-28;115,90;117,00;115,625;117,00;;
2021-11-27;117,325;117,325;115,90;115,90;;
2021-11-26;114,425;120,775;113,85;117,15;;
2021-11-25;118,625;119,50;113,65;115,50;;
2021-11-24;119,475;121,225;115,675;118,50;;
2021-11-23;125,225;125,225;118,125;119,425;;
2021-11-22;128,35;129,05;123,00;125,25;;
2021-11-21;128,325;128,325;128,25;128,25;;
2021-11-20;128,325;128,325;128,325;128,325;;
2021-11-19;126,60;131,575;126,05;128,375;;
2021-11-18;128,375;129,95;123,95;126,375;;
2021-11-17;124,625;128,50;124,625;128,275;;
2021-11-16;119,90;126,275;119,90;124,725;;
2021-11-15;117,675;121,925;117,40;119,90;;
2021-11-14;117,725;117,80;117,725;117,80;;
2021-11-13;117,725;117,725;117,725;117,725;;
2021-11-12;113,725;118,85;113,55;117,725;;
2021-11-11;111,35;116,675;111,35;113,625;;
2021-11-10;109,20;112,125;107,30;111,275;;
2021-11-09;106,55;110,30;106,125;109,30;;
2021-11-08;107,625;108,675;106,225;106,60;;
2021-11-07;107,575;107,65;107,55;107,65;;
2021-11-06;107,50;107,575;107,50;107,575;;
2021-11-05;109,375;110,05;107,30;107,50;;
2021-11-04;108,60;109,725;107,925;109,40;;
2021-11-03;108,00;109,60;107,30;108,55;;
2021-11-02;108,05;110,00;105,65;108,125;;
2021-11-01;108,275;109,20;106,45;108,175;;
2021-10-31;108,25;108,375;108,25;108,35;;
2021-10-30;108,25;108,25;108,25;108,25;;
