Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;97,50;98,10;97,00;98,00;209.971;20.527.893
2021-12-29;98,44;99,02;96,84;97,66;280.898;27.469.144
2021-12-28;98,02;98,54;97,14;98,24;169.432;16.588.935
2021-12-27;97,90;99,72;96,44;98,40;285.022;28.011.124
2021-12-23;97,56;99,96;97,28;98,42;401.893;39.468.273
2021-12-22;96,10;100,05;95,90;99,06;1.301.919;127.375.898
2021-12-21;90,50;92,26;87,90;92,26;616.195;56.016.524
2021-12-20;90,84;92,78;86,92;89,16;725.413;64.890.652
2021-12-17;93,06;93,18;87,62;91,60;1.389.166;126.061.004
2021-12-16;97,08;100,85;93,68;93,68;885.639;84.783.285
2021-12-15;97,20;98,02;94,12;95,14;589.458;56.179.752
2021-12-14;100,50;101,25;96,42;96,96;695.783;68.068.529
2021-12-13;103,55;103,65;100,25;100,25;426.141;43.156.300
2021-12-10;106,00;106,50;103,60;103,85;491.667;51.371.040
2021-12-09;109,40;110,35;106,75;107,05;698.461;75.072.460
2021-12-08;107,75;110,65;106,20;109,25;644.928;70.151.129
2021-12-07;100,35;107,80;100,35;107,60;1.037.461;109.533.461
2021-12-06;101,95;103,35;95,24;99,80;1.302.652;128.245.154
2021-12-03;107,10;108,50;100,05;102,45;987.612;102.117.718
2021-12-02;114,10;114,35;106,15;107,40;1.087.065;117.890.718
2021-12-01;118,05;118,25;115,35;115,75;420.070;48.861.043
2021-11-30;119,25;120,70;117,40;117,70;775.878;91.780.840
2021-11-29;117,35;119,30;114,70;119,30;564.364;66.682.050
2021-11-26;114,65;120,80;114,65;116,95;781.073;91.607.561
2021-11-25;118,50;119,35;113,70;113,70;492.777;56.739.223
2021-11-24;119,30;120,40;115,75;118,30;493.736;58.079.323
2021-11-23;122,50;123,60;118,20;119,00;633.746;76.163.330
2021-11-22;128,10;128,95;125,00;125,00;504.369;63.685.808
2021-11-19;126,70;131,50;125,95;128,30;675.525;87.245.394
2021-11-18;130,00;130,00;123,90;126,70;700.637;88.331.461
2021-11-17;126,85;128,50;125,90;128,50;574.365;73.272.430
2021-11-16;121,45;126,00;119,95;126,00;632.729;78.773.810
2021-11-15;118,75;121,60;117,45;121,45;407.557;49.089.611
2021-11-12;113,70;118,85;113,50;118,75;638.226;75.152.127
2021-11-11;114,55;117,00;111,75;113,50;527.660;60.216.540
2021-11-10;109,00;112,10;107,30;111,90;574.420;63.371.073
2021-11-09;106,75;110,30;106,25;109,75;429.071;46.957.218
2021-11-08;107,00;108,65;106,25;106,95;228.114;24.427.367
2021-11-05;109,60;110,10;107,30;107,60;394.150;42.599.834
2021-11-04;108,65;109,70;107,95;109,55;308.692;33.714.890
2021-11-03;107,65;109,60;107,30;108,00;273.411;29.624.596
2021-11-02;107,35;110,00;105,55;107,75;357.321;38.621.526
2021-11-01;107,90;108,85;106,45;107,40;369.206;39.655.525
2021-10-29;109,90;110,20;107,10;107,55;396.880;42.813.425
2021-10-28;110,65;111,60;108,65;110,55;339.422;37.383.419
2021-10-27;113,70;114,20;110,40;110,65;345.007;38.515.980
2021-10-26;113,05;116,60;112,95;114,25;308.091;35.348.413
2021-10-25;114,90;114,95;112,35;112,35;320.629;36.262.930
2021-10-22;119,00;119,10;114,40;114,40;367.309;42.355.054
2021-10-21;116,70;118,95;116,20;118,80;279.835;33.115.566
2021-10-20;115,65;117,80;115,60;117,15;252.765;29.573.966
2021-10-19;114,80;116,55;114,35;115,65;313.164;36.268.406
2021-10-18;114,20;114,45;112,70;114,20;251.380;28.603.823
2021-10-15;111,00;114,60;109,95;114,60;425.316;48.102.949
2021-10-14;112,00;112,30;109,35;110,50;476.754;52.818.529
2021-10-13;108,35;111,10;105,40;110,95;566.073;62.141.409
2021-10-12;106,20;110,15;105,50;109,35;516.366;56.292.055
2021-10-11;108,10;108,40;104,40;107,65;521.225;55.754.555
2021-10-08;107,30;108,25;106,40;108,00;500.887;53.855.370
2021-10-07;105,10;107,15;102,55;107,15;558.403;58.962.904
2021-10-06;104,80;105,35;101,65;103,50;767.265;79.295.400
2021-10-05;106,00;108,00;105,35;105,40;745.152;79.022.534
2021-10-04;108,90;109,40;105,25;105,25;473.594;50.440.628
2021-10-01;110,10;111,00;108,45;109,55;657.831;72.013.135
2021-09-30;113,65;113,90;110,25;110,45;522.465;57.994.051
2021-09-29;113,70;116,55;112,75;112,75;344.674;39.156.023
2021-09-28;118,00;118,00;113,35;113,45;541.625;61.910.815
2021-09-27;119,60;120,60;116,25;116,60;366.395;43.022.419
2021-09-24;120,35;120,35;117,40;117,65;323.023;38.165.711
2021-09-23;121,05;122,35;119,85;120,10;237.138;28.635.697
2021-09-22;120,65;121,20;118,40;120,20;277.034;33.231.095
2021-09-21;119,20;120,70;116,75;119,85;343.311;40.981.066
2021-09-20;121,85;122,10;117,95;118,40;576.207;68.642.248
2021-09-17;124,95;126,65;122,80;123,30;966.032;119.510.005
2021-09-16;124,75;125,00;122,00;123,85;359.575;44.441.705
2021-09-15;126,85;127,05;124,00;124,30;471.674;58.836.457
2021-09-14;126,90;128,75;125,60;126,75;653.884;82.948.960
2021-09-13;131,40;131,40;128,90;129,00;330.985;42.868.239
2021-09-10;132,05;133,90;130,40;131,40;442.727;58.573.167
2021-09-09;128,90;131,65;128,70;131,40;360.172;47.026.964
2021-09-08;131,65;132,35;129,00;130,00;451.746;58.951.412
2021-09-07;131,60;134,25;131,35;132,10;442.920;58.634.976
2021-09-06;129,60;132,20;128,90;131,85;227.437;29.756.699
2021-09-03;129,00;130,45;126,95;129,25;552.010;71.202.970
2021-09-02;130,00;134,95;128,95;131,80;530.022;70.129.468
2021-09-01;123,80;130,20;123,75;130,20;671.382;86.035.951
2021-08-31;118,70;123,45;117,75;122,60;1.186.537;144.824.899
2021-08-30;119,70;120,00;118,00;118,30;266.300;31.605.212
2021-08-27;119,25;120,65;117,75;120,00;359.706;42.988.581
2021-08-26;121,20;123,70;118,10;119,25;478.734;57.523.077
2021-08-25;125,00;128,20;121,60;123,20;614.080;76.255.359
2021-08-24;118,50;125,00;118,50;124,75;596.271;73.360.136
2021-08-23;116,55;118,30;115,80;118,05;215.990;25.405.148
2021-08-20;116,00;116,55;114,95;115,75;266.408;30.847.849
2021-08-19;115,20;117,10;114,00;116,60;396.477;46.021.550
2021-08-18;114,70;117,70;114,15;115,70;406.206;47.124.344
2021-08-17;114,20;115,75;112,05;114,80;403.531;46.142.860
2021-08-16;115,65;116,05;113,20;114,95;369.408;42.317.515
2021-08-13;116,50;117,95;114,75;116,00;692.083;80.507.301
2021-08-12;125,40;126,15;116,25;116,40;1.087.444;128.820.781
2021-08-11;126,80;127,30;125,50;125,95;371.291;46.890.466
2021-08-10;127,20;129,85;126,50;126,95;335.306;42.948.602
2021-08-09;130,55;131,70;126,75;126,95;454.228;58.321.693
2021-08-06;131,00;132,85;130,25;131,15;381.433;50.158.593
2021-08-05;129,20;132,80;127,65;131,00;306.251;40.061.658
2021-08-04;129,55;132,80;128,95;130,10;428.213;55.921.921
2021-08-03;128,30;130,05;127,45;127,45;280.324;36.025.067
2021-08-02;126,45;128,30;123,75;128,20;256.766;32.595.135
2021-07-30;123,35;126,20;122,30;126,20;316.510;39.665.352
