Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;11,13;11,13;11,01;11,072;;
2021-12-29;11,256;11,307;11,068;11,124;;
2021-12-28;11,252;11,336;11,204;11,252;;
2021-12-27;11,152;11,272;11,046;11,264;;
2021-12-23;10,972;11,228;10,962;11,162;;
2021-12-22;10,981;11,002;10,86;10,97;;
2021-12-21;10,774;11,048;10,772;10,986;;
2021-12-20;10,832;10,874;10,492;10,756;;
2021-12-19;10,902;10,902;10,882;10,884;;
2021-12-18;10,902;10,902;10,902;10,902;;
2021-12-17;11,162;11,168;10,819;10,902;;
2021-12-16;10,884;11,29;10,878;11,022;;
2021-12-15;10,962;11,014;10,785;10,862;;
2021-12-14;10,844;11,057;10,808;10,958;;
2021-12-13;10,97;11,026;10,789;10,838;;
2021-12-12;10,958;10,972;10,958;10,958;;
2021-12-11;10,958;10,962;10,956;10,958;;
2021-12-10;11,016;11,046;10,888;10,958;;
2021-12-09;11,344;11,344;10,998;11,028;;
2021-12-08;11,368;11,481;11,14;11,346;;
2021-12-07;11,151;11,448;11,151;11,36;;
2021-12-06;10,722;11,217;10,72;11,149;;
2021-12-05;10,70;10,704;10,698;10,702;;
2021-12-04;10,706;10,706;10,692;10,692;;
2021-12-03;10,962;11,09;10,644;10,706;;
2021-12-02;10,723;11,034;10,699;10,96;;
2021-12-01;10,642;11,005;10,642;10,715;;
2021-11-30;10,748;10,791;10,412;10,622;;
2021-11-29;10,824;10,965;10,646;10,80;;
2021-11-28;10,81;10,824;10,782;10,792;;
2021-11-27;10,785;10,822;10,77;10,81;;
2021-11-26;11,216;11,221;10,714;10,813;;
2021-11-25;11,492;11,572;11,404;11,465;;
2021-11-24;11,199;11,546;11,103;11,448;;
2021-11-23;10,806;11,20;10,754;11,179;;
2021-11-22;10,812;10,907;10,696;10,818;;
2021-11-21;10,81;10,81;10,794;10,794;;
2021-11-20;10,81;10,81;10,81;10,81;;
2021-11-19;11,331;11,418;10,724;10,81;;
2021-11-18;11,421;11,583;11,286;11,309;;
2021-11-17;11,196;11,497;11,196;11,409;;
2021-11-16;11,175;11,353;11,156;11,208;;
2021-11-15;11,126;11,236;10,986;11,175;;
2021-11-14;11,128;11,13;11,128;11,13;;
2021-11-13;11,128;11,128;11,128;11,128;;
2021-11-12;11,212;11,213;11,04;11,128;;
2021-11-11;11,039;11,233;11,039;11,206;;
2021-11-10;10,999;11,144;10,948;11,031;;
2021-11-09;11,158;11,17;10,95;11,009;;
2021-11-08;11,144;11,302;11,074;11,164;;
2021-11-07;11,138;11,146;11,136;11,146;;
2021-11-06;11,122;11,138;11,122;11,138;;
2021-11-05;11,088;11,274;11,014;11,122;;
2021-11-04;11,469;11,705;11,006;11,092;;
2021-11-03;11,306;11,528;11,26;11,463;;
2021-11-02;11,344;11,379;11,112;11,32;;
2021-11-01;11,091;11,411;11,089;11,358;;
2021-10-31;11,089;11,103;11,089;11,099;;
2021-10-30;11,089;11,089;11,089;11,089;;
2021-10-29;11,059;11,241;10,998;11,089;;
2021-10-28;11,045;11,265;10,884;11,085;;
2021-10-27;11,942;12,25;10,998;11,045;;
2021-10-26;11,704;11,943;11,637;11,941;;
2021-10-25;11,651;11,746;11,516;11,688;;
2021-10-24;11,647;11,647;11,647;11,647;;
2021-10-23;11,682;11,682;11,647;11,647;;
