Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;11,062;11,092;11,008;11,018;3.424.399;37.787.309
2021-12-29;11,258;11,308;11,066;11,112;4.457.001;49.708.326
2021-12-28;11,222;11,334;11,204;11,274;4.022.275;45.378.903
2021-12-27;11,08;11,242;11,014;11,224;3.850.776;43.028.856
2021-12-23;11,022;11,228;11,022;11,192;6.767.967;75.532.007
2021-12-22;10,962;11,004;10,86;10,996;4.817.389;52.732.145
2021-12-21;10,87;11,04;10,778;10,968;6.849.378;74.908.772
2021-12-20;10,68;10,826;10,494;10,712;7.869.924;84.045.788
2021-12-17;11,00;11,06;10,818;10,93;15.850.322;173.435.764
2021-12-16;10,96;11,174;10,956;11,058;10.207.690;113.060.246
2021-12-15;10,982;11,014;10,802;10,836;5.690.290;61.887.845
2021-12-14;10,87;11,054;10,808;10,93;7.452.098;81.412.304
2021-12-13;10,98;11,026;10,788;10,806;5.573.870;60.703.509
2021-12-10;10,96;11,044;10,89;10,92;6.477.812;70.993.864
2021-12-09;11,27;11,296;11,00;11,022;9.418.780;104.475.032
2021-12-08;11,384;11,48;11,138;11,408;8.235.012;93.505.274
2021-12-07;11,282;11,448;11,228;11,386;10.848.052;123.414.717
2021-12-06;10,98;11,216;10,936;11,174;11.810.118;130.935.946
2021-12-03;11,04;11,094;10,726;10,742;10.084.663;109.110.130
2021-12-02;10,732;10,978;10,698;10,922;9.779.658;106.367.404
2021-12-01;10,792;11,004;10,792;10,886;9.992.083;108.981.281
2021-11-30;10,50;10,79;10,41;10,66;14.952.686;158.877.377
2021-11-29;10,936;10,966;10,646;10,678;13.389.305;144.321.223
2021-11-26;10,92;11,038;10,70;10,70;22.453.286;243.562.384
2021-11-25;11,462;11,572;11,404;11,57;8.793.212;101.250.766
2021-11-24;11,15;11,548;11,098;11,45;16.356.050;186.363.237
2021-11-23;10,80;11,188;10,786;11,18;14.866.248;164.718.374
