Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;147,05;147,05;146,10;146,875;;
2021-12-29;147,20;147,55;146,125;147,025;;
2021-12-28;145,95;147,70;145,625;147,15;;
2021-12-27;145,575;146,325;145,125;146,025;;
2021-12-23;144,50;145,975;143,475;145,80;;
2021-12-22;144,35;144,825;141,625;144,45;;
2021-12-21;142,275;145,70;141,10;144,525;;
2021-12-20;139,725;142,125;138,575;141,925;;
2021-12-19;142,125;142,125;141,475;141,50;;
2021-12-18;142,125;142,125;142,125;142,125;;
2021-12-17;142,70;142,90;139,55;142,125;;
2021-12-16;140,525;147,35;139,55;140,35;;
2021-12-15;138,125;140,075;137,275;139,95;;
2021-12-14;138,325;140,125;137,225;137,975;;
2021-12-13;139,075;139,55;137,625;138,15;;
2021-12-12;138,80;139,15;138,80;138,80;;
2021-12-11;138,80;138,875;138,75;138,80;;
2021-12-10;137,70;139,60;137,525;138,80;;
2021-12-09;138,15;139,425;137,50;138,025;;
2021-12-08;139,575;140,375;137,30;138,175;;
2021-12-07;138,775;139,85;136,75;139,80;;
2021-12-06;138,725;139,65;137,175;138,15;;
2021-12-05;137,20;137,50;137,175;137,45;;
2021-12-04;137,675;137,675;136,825;136,825;;
2021-12-03;138,95;140,35;136,975;137,675;;
2021-12-02;139,425;140,55;138,125;139,225;;
2021-12-01;140,65;141,475;138,125;138,325;;
2021-11-30;139,975;141,825;138,45;139,70;;
2021-11-29;145,175;145,90;141,70;143,275;;
2021-11-28;140,80;141,725;140,40;141,725;;
2021-11-27;142,80;142,80;140,80;140,80;;
2021-11-26;143,525;144,175;141,00;142,55;;
2021-11-25;145,70;145,825;144,025;144,925;;
2021-11-24;145,375;145,375;142,825;145,35;;
2021-11-23;145,35;145,40;142,40;145,20;;
2021-11-22;147,30;148,95;145,175;145,50;;
2021-11-21;147,275;147,275;146,825;146,825;;
2021-11-20;147,275;147,275;147,275;147,275;;
2021-11-19;147,225;148,00;146,10;147,25;;
2021-11-18;146,75;148,20;146,525;146,80;;
2021-11-17;148,50;149,15;146,025;146,575;;
2021-11-16;149,50;150,075;148,70;148,725;;
2021-11-15;147,45;149,625;147,15;149,50;;
2021-11-14;147,525;147,625;147,525;147,625;;
2021-11-13;147,525;147,525;147,525;147,525;;
2021-11-12;148,425;148,80;147,175;147,525;;
2021-11-11;148,75;149,70;147,925;148,25;;
2021-11-10;149,025;150,125;148,375;148,575;;
2021-11-09;148,25;149,875;147,875;149,225;;
2021-11-08;148,65;148,85;147,60;148,375;;
2021-11-07;148,525;148,70;148,50;148,70;;
2021-11-06;148,425;148,55;148,425;148,55;;
2021-11-05;148,975;150,875;147,20;148,425;;
2021-11-04;147,725;150,40;146,875;149,05;;
2021-11-03;146,90;147,925;146,80;147,625;;
2021-11-02;144,875;147,725;144,775;147,125;;
2021-11-01;143,95;146,525;143,65;145,10;;
2021-10-31;143,925;144,15;143,925;144,10;;
2021-10-30;143,925;143,925;143,925;143,925;;
2021-10-29;143,525;144,10;142,20;143,925;;
2021-10-28;144,925;145,125;143,725;143,875;;
2021-10-27;144,75;145,475;144,20;144,725;;
2021-10-26;145,525;145,55;143,925;144,725;;
2021-10-25;145,675;146,475;144,025;145,30;;
2021-10-24;145,625;145,625;145,625;145,625;;
2021-10-23;145,65;145,65;145,575;145,625;;
2021-10-22;146,725;147,30;144,325;145,675;;
2021-10-21;146,325;146,80;144,725;146,475;;
2021-10-20;149,225;150,325;145,525;146,575;;
2021-10-19;147,425;149,875;146,425;149,375;;
2021-10-18;146,85;147,625;146,425;147,40;;
2021-10-17;147,225;147,30;147,15;147,25;;
2021-10-16;147,225;147,325;147,10;147,225;;
2021-10-15;146,925;147,575;144,675;147,225;;
2021-10-14;147,45;148,35;145,375;146,675;;
2021-10-13;147,45;148,225;145,975;147,25;;
2021-10-12;145,15;147,725;144,25;147,05;;
2021-10-11;146,05;146,975;145,15;145,175;;
2021-10-10;145,80;145,80;145,80;145,80;;
2021-10-09;145,75;145,80;145,75;145,80;;
2021-10-08;144,90;146,625;144,80;145,75;;
2021-10-07;143,95;145,30;142,70;144,975;;
2021-10-06;142,00;143,65;139,375;143,225;;
2021-10-05;143,025;143,675;141,25;142,90;;
2021-10-04;142,70;144,40;142,10;142,95;;
2021-10-03;143,40;143,40;143,30;143,40;;
2021-10-02;143,45;143,45;143,40;143,40;;
2021-10-01;139,075;143,775;139,025;143,45;;
2021-09-30;140,60;141,95;139,85;140,50;;
2021-09-29;140,40;141,45;139,025;140,225;;
2021-09-28;142,15;142,50;138,575;140,025;;
2021-09-27;145,225;145,70;141,825;142,225;;
2021-09-26;144,225;144,70;144,10;144,675;;
2021-09-25;144,225;144,225;144,15;144,225;;
2021-09-24;144,45;144,875;142,825;144,225;;
2021-09-23;144,85;146,275;144,325;144,80;;
2021-09-22;145,00;146,275;143,325;144,35;;
2021-09-21;139,875;144,80;139,425;144,15;;
2021-09-20;139,35;139,675;137,425;138,825;;
2021-09-19;140,55;140,625;140,325;140,40;;
2021-09-18;140,55;140,55;140,55;140,55;;
2021-09-17;143,35;143,775;140,075;140,525;;
2021-09-16;142,775;143,775;142,475;143,20;;
2021-09-15;141,925;144,20;141,375;143,05;;
2021-09-14;142,425;142,50;139,875;141,425;;
2021-09-13;142,95;143,70;141,575;142,325;;
2021-09-12;142,80;142,90;142,80;142,90;;
2021-09-11;142,85;142,85;142,85;142,85;;
2021-09-10;144,60;145,05;142,80;142,85;;
2021-09-09;144,475;145,175;143,55;143,925;;
2021-09-08;145,875;146,075;142,675;145,025;;
2021-09-07;145,45;146,10;144,725;145,875;;
2021-09-06;145,275;146,65;145,175;145,625;;
2021-09-05;145,175;145,20;145,175;145,175;;
2021-09-04;145,175;145,175;145,175;145,175;;
2021-09-03;145,80;146,425;144,05;145,175;;
2021-09-02;146,275;147,20;145,425;145,575;;
2021-09-01;146,925;147,95;145,775;146,45;;
2021-08-31;149,50;149,625;145,225;146,575;;
2021-08-30;148,65;150,275;148,225;149,125;;
2021-08-29;148,60;148,825;148,60;148,825;;
2021-08-28;148,60;148,625;148,60;148,60;;
2021-08-27;148,125;149,40;148,025;148,70;;
2021-08-26;147,95;149,05;147,425;147,925;;
2021-08-25;149,60;150,925;148,225;148,325;;
2021-08-24;151,375;151,70;149,125;149,625;;
2021-08-23;152,225;152,575;150,125;150,975;;
2021-08-22;151,325;151,325;151,325;151,325;;
2021-08-21;151,325;151,325;151,325;151,325;;
2021-08-20;149,525;151,575;149,275;151,275;;
2021-08-19;148,625;150,625;147,25;150,375;;
2021-08-18;149,10;150,775;148,60;148,80;;
2021-08-17;147,15;149,125;146,55;148,475;;
2021-08-16;146,425;148,125;145,625;147,575;;
2021-08-15;147,00;147,00;146,90;146,925;;
2021-08-14;147,025;147,025;147,00;147,00;;
2021-08-13;147,40;148,30;146,825;147,025;;
2021-08-12;145,425;147,975;145,40;147,475;;
2021-08-11;144,275;145,975;144,125;145,525;;
2021-08-10;144,525;145,30;143,85;144,40;;
2021-08-09;142,725;144,85;142,15;144,525;;
2021-08-08;143,125;143,15;143,10;143,10;;
2021-08-07;143,125;143,125;143,125;143,125;;
2021-08-06;142,275;144,225;142,225;143,125;;
2021-08-05;141,775;143,10;140,85;142,25;;
2021-08-04;140,525;141,70;139,70;141,575;;
2021-08-03;141,675;143,10;139,475;140,275;;
