Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;146,60;147,10;146,10;147,10;195.590;28.725.353
2021-12-29;147,65;147,65;146,15;146,50;170.620;25.024.008
2021-12-28;146,15;147,70;145,95;147,65;161.617;23.808.104
2021-12-27;145,40;146,30;145,15;146,15;137.020;20.011.409
2021-12-23;144,15;145,90;143,80;145,80;244.385;35.529.432
2021-12-22;144,00;144,30;141,65;144,05;397.366;57.041.928
2021-12-21;142,75;145,65;142,35;144,45;526.871;76.074.509
2021-12-20;140,45;141,10;138,65;140,05;287.937;40.334.435
2021-12-17;140,75;142,75;140,75;142,55;1.242.852;176.936.078
2021-12-16;139,50;141,55;139,50;140,80;720.572;101.450.417
2021-12-15;137,75;138,55;137,40;138,55;359.701;49.721.938
2021-12-14;138,85;140,10;137,50;137,50;422.194;58.430.658
2021-12-13;138,85;139,45;137,65;138,35;315.076;43.622.401
2021-12-10;137,75;139,60;137,35;138,75;304.291;42.190.904
2021-12-09;138,15;139,40;137,50;138,35;402.541;55.792.064
2021-12-08;139,00;140,35;137,25;137,75;797.284;110.448.323
2021-12-07;138,20;139,25;137,00;139,00;867.604;120.190.059
2021-12-06;138,75;139,65;137,20;138,05;574.661;79.355.057
2021-12-03;139,55;140,30;136,95;137,65;599.102;82.661.849
2021-12-02;139,70;140,25;138,25;138,70;592.283;82.270.429
2021-12-01;140,25;141,30;139,80;140,60;480.205;67.468.556
2021-11-30;141,45;141,85;138,50;138,60;1.046.784;145.628.168
2021-11-29;143,40;144,20;141,70;142,20;486.840;69.279.377
2021-11-26;142,60;144,15;141,90;143,05;690.631;98.774.505
2021-11-25;144,85;145,50;144,05;144,95;349.591;50.678.903
2021-11-24;145,15;145,25;142,85;144,65;390.594;56.393.083
2021-11-23;145,00;145,15;142,45;144,70;355.206;51.249.283
2021-11-22;148,50;148,90;145,40;145,60;415.182;60.831.685
2021-11-19;146,95;148,00;146,10;147,65;604.879;89.011.865
2021-11-18;146,85;148,20;146,55;146,70;266.871;39.218.138
2021-11-17;149,00;149,10;146,05;146,55;340.168;50.008.664
2021-11-16;149,10;150,10;148,95;149,10;225.928;33.719.988
2021-11-15;147,15;149,60;147,15;149,35;231.573;34.474.362
2021-11-12;147,80;148,85;147,20;147,45;334.985;49.438.216
2021-11-11;149,65;149,80;147,95;148,00;249.336;36.983.682
2021-11-10;149,30;150,10;148,40;149,45;308.010;46.030.760
2021-11-09;148,45;149,85;147,95;149,45;238.350;35.579.538
2021-11-08;148,10;148,85;147,60;148,35;260.851;38.686.749
2021-11-05;149,85;150,90;147,20;148,45;332.123;49.263.064
2021-11-04;147,50;150,60;146,90;149,50;404.654;60.232.353
2021-11-03;147,20;147,90;146,80;147,05;272.315;40.091.307
2021-11-02;145,05;147,70;144,95;147,00;267.532;39.274.526
2021-11-01;144,40;146,55;144,40;145,05;279.553;40.624.522
2021-10-29;143,05;144,05;142,20;143,60;349.746;50.157.355
2021-10-28;144,55;144,95;143,80;144,20;207.064;29.870.342
2021-10-27;144,85;145,45;144,25;144,80;292.458;42.352.421
2021-10-26;144,75;145,55;143,95;145,05;274.127;39.726.920
2021-10-25;146,35;146,45;144,05;144,25;252.041;36.425.490
2021-10-22;146,50;147,30;144,35;145,80;315.616;46.036.475
2021-10-21;145,05;146,80;144,70;146,45;345.938;50.563.404
2021-10-20;149,40;150,30;145,55;146,00;669.437;98.296.090
2021-10-19;147,35;149,95;146,45;149,75;255.864;38.111.024
2021-10-18;147,25;147,60;146,45;147,35;272.110;40.066.658
2021-10-15;145,75;147,55;144,70;147,35;340.796;49.988.045
2021-10-14;147,45;148,35;145,40;145,70;330.683;48.357.308
2021-10-13;147,45;148,20;146,00;147,20;298.406;43.890.391
2021-10-12;145,15;147,50;145,10;147,50;278.358;40.958.491
2021-10-11;146,50;146,95;145,15;146,25;253.955;37.081.091
2021-10-08;145,30;146,70;144,80;146,70;344.933;50.442.580
2021-10-07;143,75;145,25;142,70;145,25;367.465;53.128.536
2021-10-06;142,45;142,75;139,35;142,35;536.497;75.875.765
2021-10-05;142,35;143,70;141,25;143,25;321.951;45.937.520
2021-10-04;142,40;144,40;142,20;142,75;286.277;40.995.150
2021-10-01;139,95;143,75;139,65;142,75;503.649;71.788.251
2021-09-30;140,90;141,90;140,15;140,50;412.164;57.985.407
2021-09-29;140,45;141,45;139,05;140,15;300.038;42.034.072
2021-09-28;142,30;142,50;138,55;139,70;411.077;57.501.899
2021-09-27;144,90;145,20;141,95;142,10;268.152;38.298.959
2021-09-24;144,75;144,85;142,85;143,85;259.071;37.241.062
2021-09-23;144,70;146,25;144,55;145,05;284.511;41.329.864
2021-09-22;145,55;146,25;143,35;143,75;301.350;43.402.430
2021-09-21;140,10;144,80;140,00;144,65;527.537;75.879.861
2021-09-20;138,70;139,85;137,45;139,40;604.910;84.118.458
2021-09-17;143,05;143,75;140,00;140,00;1.283.666;180.265.717
2021-09-16;142,55;143,80;142,50;142,75;324.436;46.344.847
2021-09-15;141,95;144,20;141,95;142,40;355.414;50.729.343
2021-09-14;142,00;142,35;139,90;142,10;285.821;40.437.895
2021-09-13;143,30;143,70;141,60;142,20;344.036;49.004.747
2021-09-10;145,10;145,10;143,00;143,00;247.440;35.513.328
2021-09-09;144,10;145,15;143,60;144,45;226.081;32.629.863
2021-09-08;145,25;145,30;142,70;144,85;365.587;52.771.988
2021-09-07;145,50;146,05;144,75;146,00;273.093;39.768.661
2021-09-06;145,90;146,70;145,10;145,70;156.673;22.835.752
2021-09-03;145,85;146,40;144,05;145,50;229.628;33.400.037
2021-09-02;146,65;147,20;145,45;145,80;232.845;34.039.511
2021-09-01;148,10;148,15;145,75;146,85;308.423;45.298.050
2021-08-31;149,35;149,45;145,25;146,10;561.305;82.210.395
2021-08-30;148,70;150,30;148,35;149,20;198.948;29.697.764
2021-08-27;148,40;149,40;148,15;148,80;196.512;29.221.872
2021-08-26;147,80;149,05;147,45;148,15;188.410;27.918.172
2021-08-25;150,10;150,95;148,20;148,50;231.262;34.531.541
2021-08-24;151,30;151,70;149,15;149,75;255.669;38.384.717
2021-08-23;152,25;152,65;150,15;150,85;192.284;29.035.473
2021-08-20;150,25;151,55;150,10;151,30;286.214;43.187.678
2021-08-19;148,75;150,45;147,30;150,35;521.403;77.791.579
2021-08-18;149,00;150,80;148,60;150,10;381.686;57.178.682
2021-08-17;147,00;149,15;146,60;148,85;247.132;36.701.486
2021-08-16;146,10;148,10;145,70;147,40;259.718;38.284.903
2021-08-13;147,45;148,30;146,95;147,30;219.610;32.393.267
2021-08-12;146,50;147,95;145,75;147,65;362.211;53.309.310
2021-08-11;144,70;146,00;144,40;145,95;313.028;45.590.801
2021-08-10;144,75;145,35;144,35;144,35;201.500;29.138.798
2021-08-09;143,05;144,85;142,65;144,50;244.714;35.240.013
2021-08-06;142,75;144,20;142,65;143,10;328.079;47.047.309
2021-08-05;141,30;143,05;141,30;142,35;289.859;41.274.720
2021-08-04;140,75;141,70;139,70;141,70;357.286;50.437.029
2021-08-03;142,80;143,15;139,50;140,05;362.679;51.091.228
2021-08-02;141,75;143,15;140,75;141,55;396.323;56.170.574
2021-07-30;140,05;142,30;139,60;140,75;501.667;70.672.562
2021-07-29;140,50;142,80;140,35;142,50;448.848;63.699.500
2021-07-28;142,75;142,90;136,40;140,10;1.135.479;157.936.502
2021-07-27;143,05;144,75;143,00;143,15;310.472;44.578.371
2021-07-26;146,90;147,00;144,95;144,95;235.437;34.259.853
2021-07-23;146,40;148,40;145,90;147,75;399.902;58.867.556
2021-07-22;144,55;146,30;144,55;145,95;346.448;50.521.808
2021-07-21;144,15;144,50;142,80;143,90;292.016;41.980.220
2021-07-20;142,70;143,90;142,20;142,60;328.991;47.007.328
2021-07-19;142,85;142,90;141,45;142,65;451.263;64.253.631
2021-07-16;144,90;145,15;143,15;143,60;387.234;55.705.770
2021-07-15;144,45;145,45;143,40;143,85;309.552;44.638.456
2021-07-14;146,35;146,80;144,00;145,05;322.544;46.769.338
2021-07-13;146,00;147,05;144,80;146,70;441.630;64.644.137
2021-07-12;144,60;147,35;144,60;146,50;334.221;48.959.877
2021-07-09;145,15;145,95;143,00;144,45;512.595;73.927.888
2021-07-08;147,95;147,95;144,30;145,00;655.695;95.460.822
2021-07-07;147,40;148,75;146,30;148,65;301.285;44.647.256
2021-07-06;147,95;147,95;146,60;147,40;347.108;51.132.473
2021-07-05;147,70;148,15;147,30;147,85;231.143;34.170.498
2021-07-02;146,70;148,35;146,70;147,80;364.727;53.896.019
2021-07-01;148,00;148,40;145,05;146,65;450.347;66.009.332
2021-06-30;148,65;149,05;146,85;147,20;415.975;61.338.846
2021-06-29;148,00;150,10;147,80;148,95;361.343;53.882.803
2021-06-28;147,75;149,00;147,75;148,00;276.172;40.945.700
2021-06-25;147,95;148,35;146,75;148,05;327.668;48.422.597
2021-06-24;146,65;147,95;146,20;147,90;368.542;54.381.846
2021-06-23;148,55;148,65;145,95;146,15;406.676;59.651.284
2021-06-22;147,60;148,55;146,60;148,30;459.878;68.056.054
2021-06-21;144,30;147,95;144,25;147,90;709.753;104.421.971
2021-06-18;144,15;145,95;143,30;144,95;1.282.975;185.873.640
2021-06-17;139,65;144,30;139,25;144,05;752.584;107.443.193
2021-06-16;139,75;141,75;139,15;140,20;866.592;121.716.457
2021-06-15;138,40;139,55;137,95;139,35;622.284;86.535.215
2021-06-14;135,40;137,95;135,05;137,50;602.029;82.596.250
2021-06-11;133,80;135,10;133,10;134,85;439.585;59.089.172
2021-06-10;133,30;134,10;132,80;133,55;373.723;49.864.801
2021-06-09;135,35;135,40;133,05;133,35;331.014;44.258.274
2021-06-08;134,60;135,85;134,55;135,10;403.778;54.584.015
2021-06-07;135,20;135,25;134,05;134,55;325.150;43.735.592
2021-06-04;133,95;134,90;133,45;134,85;278.863;37.474.840
2021-06-03;133,40;133,85;132,65;133,70;356.211;47.537.575
2021-06-02;133,55;134,95;133,00;133,50;458.496;61.256.104
2021-06-01;133,60;134,95;133,25;133,70;526.617;70.558.548
2021-05-31;133,80;135,20;133,50;133,70;327.649;43.964.946
2021-05-28;133,55;135,30;132,75;134,15;492.302;65.991.995
2021-05-27;136,30;136,30;133,45;133,60;695.392;93.163.141
2021-05-26;137,15;137,80;136,30;136,60;368.787;50.430.416
2021-05-25;137,65;138,70;137,15;137,15;445.357;61.259.057
2021-05-21;138,40;138,75;136,65;137,00;608.205;83.494.268
2021-05-20;136,40;138,40;135,70;138,35;523.626;71.970.947
2021-05-19;139,10;139,40;137,00;138,10;545.190;75.290.982
2021-05-18;139,80;140,40;138,90;139,55;390.876;54.563.107
2021-05-17;139,95;140,80;139,40;139,50;307.662;43.021.690
2021-05-14;138,70;140,25;138,30;140,10;512.612;71.592.783
2021-05-13;137,55;138,10;135,15;138,05;350.413;48.047.728
2021-05-12;138,50;138,85;137,05;137,70;480.772;66.292.869
2021-05-11;140,70;140,75;136,45;138,50;576.282;79.537.548
2021-05-10;140,85;141,55;139,90;141,35;322.754;45.526.669
2021-05-07;138,80;141,50;138,80;141,10;315.804;44.446.000
2021-05-06;139,00;140,25;137,90;138,50;482.545;66.938.295
2021-05-05;140,30;140,85;139,35;139,45;423.498;59.206.887
2021-05-04;143,10;143,40;139,45;139,70;449.894;63.186.217
2021-05-03;143,60;145,00;143,10;143,30;316.699;45.510.163
2021-04-30;142,60;144,15;142,20;143,30;481.011;68.913.050
2021-04-29;141,30;143,50;141,10;142,60;498.894;71.066.563
2021-04-28;144,90;145,00;141,05;141,45;407.308;57.813.390
2021-04-27;144,55;144,80;143,30;144,10;381.020;54.897.278
2021-04-26;146,80;147,20;144,75;144,80;361.996;52.655.362
2021-04-23;146,65;147,50;145,95;146,45;476.905;69.884.648
2021-04-22;146,00;146,95;144,45;146,65;643.180;94.050.833
2021-04-21;149,00;149,00;144,50;146,00;517.187;75.562.767
2021-04-20;147,60;147,70;146,70;147,35;407.528;60.026.875
2021-04-19;147,55;149,70;147,35;147,65;324.974;48.097.957
2021-04-16;148,20;148,50;145,80;147,60;623.518;91.731.626
2021-04-15;148,45;149,55;148,15;148,45;375.053;55.746.103
2021-04-14;147,95;149,50;147,15;148,45;352.334;52.323.509
2021-04-13;147,35;148,50;147,05;148,20;452.213;66.942.992
