Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;56,23;56,435;56,025;56,34;;
2021-12-29;56,505;56,595;55,955;56,22;;
2021-12-28;55,76;56,905;55,75;56,495;;
2021-12-27;54,875;55,955;54,745;55,79;;
2021-12-23;54,48;55,04;54,425;54,915;;
2021-12-22;54,24;54,615;53,975;54,47;;
2021-12-21;53,87;54,295;53,525;54,27;;
2021-12-20;53,24;53,74;52,16;53,71;;
2021-12-19;53,58;53,58;53,49;53,49;;
2021-12-18;53,58;53,58;53,58;53,58;;
2021-12-17;54,275;54,425;53,13;53,58;;
2021-12-16;54,18;55,475;53,685;53,965;;
2021-12-15;53,48;54,04;53,14;54,01;;
2021-12-14;53,73;53,92;53,075;53,46;;
2021-12-13;53,66;54,575;53,30;53,70;;
2021-12-12;53,62;53,68;53,62;53,62;;
2021-12-11;53,62;53,635;53,62;53,62;;
2021-12-10;53,435;53,975;53,035;53,62;;
2021-12-09;54,525;54,655;53,335;53,485;;
2021-12-08;54,85;55,46;54,13;54,535;;
2021-12-07;52,32;55,11;52,32;54,84;;
2021-12-06;52,045;52,705;51,425;52,24;;
2021-12-05;51,805;51,855;51,805;51,845;;
2021-12-04;51,88;51,88;51,755;51,755;;
2021-12-03;52,17;52,445;51,685;51,88;;
2021-12-02;53,15;53,345;51,40;52,14;;
2021-12-01;52,41;53,645;52,41;52,97;;
2021-11-30;53,26;53,80;52,04;52,255;;
2021-11-29;54,345;54,98;53,33;54,13;;
2021-11-28;53,785;53,965;53,755;53,965;;
2021-11-27;54,02;54,02;53,785;53,785;;
2021-11-26;55,175;55,185;53,73;54,06;;
2021-11-25;56,335;56,52;54,64;55,83;;
2021-11-24;56,23;56,23;55,36;56,22;;
2021-11-23;57,65;57,65;55,645;56,17;;
2021-11-22;56,955;58,32;56,955;57,69;;
2021-11-21;56,95;56,95;56,845;56,845;;
2021-11-20;56,95;56,95;56,95;56,95;;
2021-11-19;55,785;57,445;55,775;56,945;;
2021-11-18;56,08;56,41;55,545;55,685;;
2021-11-17;56,24;56,30;55,765;56,04;;
2021-11-16;56,375;56,92;56,14;56,285;;
2021-11-15;56,165;56,45;55,875;56,375;;
2021-11-14;56,17;56,18;56,17;56,18;;
2021-11-13;56,17;56,17;56,17;56,17;;
2021-11-12;56,635;56,635;55,785;56,17;;
2021-11-11;55,505;56,74;55,28;56,615;;
2021-11-10;56,25;56,61;55,155;55,49;;
2021-11-09;55,58;56,36;55,27;56,27;;
2021-11-08;56,35;56,35;55,43;55,60;;
2021-11-07;56,34;56,36;56,335;56,36;;
2021-11-06;56,32;56,34;56,32;56,34;;
2021-11-05;57,59;57,62;55,55;56,32;;
2021-11-04;56,35;58,04;56,32;57,61;;
2021-11-03;55,42;56,34;55,02;56,34;;
2021-11-02;54,55;55,455;54,335;55,44;;
2021-11-01;53,69;54,815;53,685;54,57;;
2021-10-31;53,69;53,70;53,69;53,70;;
2021-10-30;53,69;53,69;53,69;53,69;;
2021-10-29;54,14;54,14;52,87;53,69;;
2021-10-28;54,08;54,31;53,595;54,18;;
2021-10-27;54,595;54,84;53,765;54,01;;
2021-10-26;53,33;54,845;53,275;54,595;;
2021-10-25;53,74;53,935;52,875;53,305;;
2021-10-24;53,74;53,74;53,74;53,74;;
2021-10-23;53,74;53,74;53,73;53,74;;
2021-10-22;53,24;53,775;52,96;53,73;;
2021-10-21;52,94;53,38;52,26;53,205;;
2021-10-20;53,915;53,925;52,67;52,97;;
2021-10-19;53,17;54,23;53,13;53,94;;
2021-10-18;52,94;53,285;52,42;53,17;;
2021-10-17;52,985;52,995;52,98;52,985;;
2021-10-16;52,985;53,005;52,97;52,985;;
2021-10-15;53,025;53,195;52,43;52,985;;
2021-10-14;53,16;53,415;52,555;52,995;;
2021-10-13;52,57;53,27;52,135;53,14;;
2021-10-12;51,85;52,79;51,525;52,52;;
2021-10-11;53,15;53,205;51,785;51,91;;
2021-10-10;53,08;53,08;53,08;53,08;;
2021-10-09;53,07;53,08;53,07;53,08;;
2021-10-08;54,175;54,215;52,71;53,07;;
2021-10-07;53,51;55,135;53,21;54,185;;
2021-10-06;54,04;54,07;52,685;53,41;;
2021-10-05;53,70;54,395;53,38;54,16;;
2021-10-04;54,415;54,45;53,415;53,69;;
2021-10-03;54,515;54,515;54,505;54,515;;
2021-10-02;54,52;54,52;54,515;54,515;;
2021-10-01;54,035;54,665;52,67;54,525;;
2021-09-30;55,92;55,92;54,24;54,275;;
2021-09-29;54,74;56,155;54,68;55,71;;
2021-09-28;56,23;56,34;54,495;54,67;;
2021-09-27;57,74;57,885;55,945;56,24;;
2021-09-26;57,415;57,65;57,40;57,64;;
2021-09-25;57,415;57,415;57,40;57,415;;
2021-09-24;57,81;57,82;56,78;57,415;;
2021-09-23;57,655;58,175;57,335;57,865;;
2021-09-22;58,02;58,705;54,43;57,575;;
2021-09-21;57,575;58,94;57,555;57,88;;
2021-09-20;58,845;58,875;56,99;57,465;;
2021-09-19;59,12;59,13;59,075;59,09;;
2021-09-18;59,12;59,12;59,12;59,12;;
2021-09-17;60,945;61,265;58,985;59,135;;
2021-09-16;60,17;61,285;59,99;60,93;;
2021-09-15;59,295;60,435;59,255;60,19;;
2021-09-14;58,29;59,675;58,17;59,255;;
2021-09-13;58,045;58,935;58,015;58,29;;
2021-09-12;58,00;58,02;58,00;58,015;;
2021-09-11;58,005;58,01;58,005;58,005;;
2021-09-10;58,01;58,48;57,92;58,005;;
2021-09-09;58,24;58,55;57,265;57,885;;
2021-09-08;59,465;59,505;58,115;58,34;;
2021-09-07;59,595;59,76;59,125;59,475;;
2021-09-06;59,22;59,89;59,025;59,62;;
2021-09-05;59,19;59,20;59,19;59,19;;
2021-09-04;59,19;59,19;59,19;59,19;;
2021-09-03;59,44;59,76;58,90;59,19;;
2021-09-02;59,005;59,485;58,825;59,38;;
2021-09-01;59,77;60,24;58,55;59,045;;
2021-08-31;59,725;61,375;59,405;59,675;;
2021-08-30;59,21;59,775;58,825;59,65;;
2021-08-29;59,195;59,24;59,195;59,24;;
2021-08-28;59,195;59,20;59,195;59,195;;
2021-08-27;59,14;59,33;58,80;59,22;;
2021-08-26;59,265;59,395;58,89;59,08;;
2021-08-25;59,63;59,965;59,21;59,38;;
2021-08-24;60,085;60,235;59,47;59,65;;
2021-08-23;59,67;60,085;59,43;59,97;;
2021-08-22;59,44;59,44;59,44;59,44;;
2021-08-21;59,44;59,44;59,44;59,44;;
2021-08-20;59,675;59,85;58,94;59,435;;
2021-08-19;59,395;59,895;58,37;59,825;;
2021-08-18;58,40;59,995;58,28;59,43;;
2021-08-17;57,655;58,49;57,50;58,275;;
2021-08-16;57,97;57,97;57,105;57,735;;
2021-08-15;58,09;58,09;58,07;58,07;;
2021-08-14;58,09;58,09;58,09;58,09;;
2021-08-13;58,31;58,52;57,88;58,09;;
2021-08-12;57,39;58,605;57,29;58,32;;
2021-08-11;57,13;57,435;56,93;57,415;;
2021-08-10;57,405;57,66;56,975;57,15;;
2021-08-09;57,63;58,145;57,18;57,405;;
2021-08-08;57,70;57,71;57,695;57,695;;
