Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;56,16;56,54;56,03;56,54;1.290.922;72.812.916
2021-12-29;56,40;56,53;55,96;56,26;1.161.686;65.342.000
2021-12-28;55,86;56,91;55,80;56,69;1.305.474;73.901.666
2021-12-27;54,72;55,95;54,72;55,86;986.092;54.842.497
2021-12-23;54,48;55,03;54,43;55,02;1.327.263;72.786.368
2021-12-22;54,49;54,62;53,97;54,52;949.169;51.608.808
2021-12-21;54,00;54,19;53,53;54,09;1.200.745;64.825.707
2021-12-20;52,71;53,55;52,42;53,39;1.528.754;81.277.431
2021-12-17;54,40;54,46;53,14;53,70;4.156.954;222.990.094
2021-12-16;54,30;55,01;53,90;53,90;2.386.431;129.355.942
2021-12-15;53,32;53,75;53,14;53,54;1.847.852;98.893.838
2021-12-14;53,73;53,92;53,07;53,14;1.543.499;82.315.693
2021-12-13;53,46;54,57;53,30;53,51;1.625.027;87.444.288
2021-12-10;53,32;53,97;53,19;53,32;1.883.198;100.644.885
2021-12-09;54,58;54,63;53,34;53,51;1.873.073;100.516.964
2021-12-08;54,75;55,46;54,12;54,35;2.428.398;132.698.167
2021-12-07;52,50;55,11;52,45;54,93;4.138.130;225.074.622
2021-12-06;52,48;52,73;51,43;51,91;3.028.322;156.987.537
2021-12-03;52,22;52,39;51,69;51,98;2.668.739;138.735.160
2021-12-02;53,16;53,33;51,39;51,88;3.903.762;202.971.411
2021-12-01;52,63;53,65;52,55;53,55;3.027.452;161.333.239
2021-11-30;52,72;53,26;52,04;52,17;8.683.860;454.829.459
2021-11-29;54,52;54,99;53,33;53,58;2.932.975;158.182.088
2021-11-26;54,07;54,96;53,67;53,94;4.166.990;226.115.963
2021-11-25;56,16;56,53;54,64;55,33;2.319.461;128.546.438
2021-11-24;55,94;56,12;55,36;56,07;2.242.931;125.231.441
2021-11-23;57,20;57,50;55,65;55,83;2.819.708;158.220.941
2021-11-22;57,30;58,31;57,12;57,62;2.649.748;153.183.666
2021-11-19;56,10;57,45;55,93;57,14;5.044.210;287.170.449
2021-11-18;56,14;56,40;55,54;55,97;1.726.801;96.616.570
2021-11-17;56,20;56,32;55,77;56,11;1.755.376;98.443.893
2021-11-16;56,49;56,93;56,16;56,25;1.686.910;95.036.044
2021-11-15;56,02;56,44;55,87;56,38;1.385.979;77.955.687
2021-11-12;56,24;56,63;55,78;56,09;2.133.503;119.620.189
2021-11-11;55,36;56,60;55,29;56,39;1.705.006;95.935.811
2021-11-10;56,38;56,63;55,15;55,44;2.127.155;118.174.727
2021-11-09;55,43;56,36;55,28;56,31;2.158.360;121.003.497
2021-11-08;55,66;56,08;55,43;55,59;1.778.045;98.937.813
2021-11-05;57,32;57,56;55,54;55,66;3.024.053;170.375.016
2021-11-04;57,15;58,07;56,28;57,45;4.232.425;243.107.867
2021-11-03;55,06;55,80;55,02;55,80;2.137.009;118.936.210
2021-11-02;54,50;55,36;54,42;55,08;2.079.342;114.337.730
2021-11-01;53,86;54,74;53,80;54,42;1.470.386;79.997.276
2021-10-29;53,59;53,78;52,87;53,52;2.841.424;151.732.455
2021-10-28;53,74;54,30;53,58;54,04;1.531.161;82.737.827
2021-10-27;54,56;54,76;53,76;53,92;1.837.210;99.331.793
2021-10-26;53,40;54,84;53,37;54,54;3.034.126;164.978.091
2021-10-25;53,86;53,97;52,88;53,20;1.412.966;75.186.702
2021-10-22;52,97;53,77;52,96;53,60;2.030.278;108.661.416
2021-10-21;52,60;53,38;52,27;52,96;1.738.999;92.195.214
2021-10-20;53,51;53,59;52,67;52,85;2.305.777;122.107.291
2021-10-19;53,18;54,23;53,11;53,74;2.797.272;150.522.344
2021-10-18;52,80;53,27;52,41;52,91;1.946.416;102.953.074
2021-10-15;53,03;53,19;52,43;52,76;2.898.432;152.837.392
2021-10-14;53,20;53,34;52,55;52,78;2.441.706;129.188.514
2021-10-13;52,35;53,27;52,12;52,80;2.359.786;124.698.297
2021-10-12;51,60;52,79;51,43;52,40;2.165.256;113.402.163
2021-10-11;52,81;52,95;51,78;52,19;2.876.590;150.126.238
2021-10-08;54,05;54,22;52,71;52,92;3.152.319;167.681.572
2021-10-07;53,81;55,15;53,19;53,85;3.903.026;210.438.868
2021-10-06;53,91;54,00;52,68;53,18;2.796.451;148.654.993
2021-10-05;53,61;54,32;53,38;54,32;2.823.137;152.010.563
2021-10-04;53,93;54,30;53,55;53,58;2.917.287;157.082.888
2021-10-01;53,39;54,66;52,66;54,13;4.381.228;236.271.697
2021-09-30;55,10;55,33;54,24;54,48;5.469.333;298.752.909
2021-09-29;55,14;56,15;55,11;55,52;3.673.507;204.325.938
2021-09-28;55,91;56,12;54,49;54,70;4.623.073;254.154.889
2021-09-27;57,65;57,70;55,95;56,17;3.868.882;217.964.199
2021-09-24;57,72;57,74;56,78;57,21;2.658.373;151.955.355
2021-09-23;57,83;58,20;57,34;57,86;2.786.274;161.129.104
2021-09-22;58,71;58,71;54,43;57,40;5.045.053;288.419.659
2021-09-21;58,28;58,94;58,11;58,26;3.396.588;198.601.371
2021-09-20;58,03;58,59;57,69;57,82;3.099.555;179.748.362
2021-09-17;61,08;61,23;58,95;58,95;7.913.540;469.015.004
2021-09-16;60,33;61,29;60,18;60,87;2.341.255;142.546.165
2021-09-15;59,49;60,44;59,49;59,91;2.809.650;168.579.749
2021-09-14;58,47;59,67;58,47;59,42;2.018.152;119.561.537
2021-09-13;58,32;58,94;58,13;58,13;1.625.606;94.961.355
2021-09-10;58,33;58,47;57,91;58,23;1.669.453;97.213.314
2021-09-09;57,66;58,54;57,26;58,07;2.037.813;118.198.480
2021-09-08;59,31;59,34;58,10;58,29;2.551.250;149.128.957
2021-09-07;59,45;59,76;59,12;59,54;1.318.947;78.427.121
2021-09-06;59,08;59,89;59,04;59,60;1.326.057;78.905.053
2021-09-03;59,34;59,76;58,89;59,19;1.581.458;93.802.629
2021-09-02;58,97;59,48;58,83;59,48;1.978.411;117.185.535
2021-09-01;59,98;60,00;58,54;58,97;2.544.765;150.422.916
2021-08-31;59,88;61,38;59,41;59,58;4.690.954;281.918.637
2021-08-30;59,08;59,78;58,82;59,67;1.002.342;59.700.771
2021-08-27;59,08;59,29;58,80;59,24;1.128.005;66.644.664
2021-08-26;59,10;59,40;58,89;59,12;1.309.666;77.427.918
2021-08-25;59,68;59,96;59,30;59,30;1.350.065;80.266.947
2021-08-24;60,08;60,15;59,47;59,54;1.056.728;63.095.423
2021-08-23;59,82;60,09;59,43;60,05;1.368.073;81.932.389
2021-08-20;59,69;59,84;58,94;59,41;1.508.114;89.568.466
2021-08-19;59,13;59,89;58,36;59,70;2.391.976;141.812.507
2021-08-18;58,65;60,00;58,29;59,93;2.873.368;171.017.596
2021-08-17;57,61;58,51;57,58;58,51;1.668.819;97.372.719
2021-08-16;57,64;57,97;57,12;57,69;1.696.981;97.729.167
2021-08-13;58,41;58,53;57,88;58,10;1.324.959;76.950.104
2021-08-12;57,48;58,60;57,39;58,33;2.042.598;118.859.639
2021-08-11;57,19;57,41;56,93;57,41;1.542.881;88.321.539
2021-08-10;57,46;57,67;57,02;57,16;1.333.573;76.366.601
2021-08-09;57,70;58,14;57,18;57,44;1.320.244;75.907.817
2021-08-06;58,02;58,62;57,68;57,68;2.143.707;124.167.731
2021-08-05;58,12;58,40;56,92;57,87;1.857.721;107.043.702
2021-08-04;57,90;58,02;57,49;57,80;1.390.132;80.369.044
2021-08-03;57,46;57,86;57,17;57,60;1.607.338;92.547.737
2021-08-02;57,42;57,84;57,06;57,35;1.944.487;111.545.617
