Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;16,318;16,318;16,141;16,266;;
2021-12-29;16,452;16,472;16,192;16,314;;
2021-12-28;16,257;16,472;16,202;16,448;;
2021-12-27;16,18;16,278;16,12;16,266;;
2021-12-23;15,922;16,245;15,894;16,209;;
2021-12-22;15,977;15,991;15,752;15,916;;
2021-12-21;15,863;16,003;15,764;16,003;;
2021-12-20;16,49;16,49;15,555;15,781;;
2021-12-19;16,09;16,50;16,012;16,49;;
2021-12-18;16,088;16,09;16,088;16,09;;
2021-12-17;16,073;16,287;15,798;16,088;;
2021-12-16;16,283;17,143;16,013;16,133;;
2021-12-15;16,186;16,222;15,997;16,197;;
2021-12-14;16,006;16,206;15,984;16,163;;
2021-12-13;15,937;16,071;15,864;15,979;;
2021-12-12;15,899;15,947;15,899;15,899;;
2021-12-11;15,899;15,911;15,893;15,899;;
2021-12-10;15,889;15,981;15,726;15,899;;
2021-12-09;16,121;16,141;15,908;15,937;;
2021-12-08;16,139;16,213;15,936;16,128;;
2021-12-07;16,034;16,195;15,854;16,161;;
2021-12-06;15,629;16,02;15,478;15,957;;
2021-12-05;15,416;15,458;15,413;15,45;;
2021-12-04;15,483;15,483;15,367;15,367;;
2021-12-03;15,721;15,772;15,422;15,483;;
2021-12-02;15,873;15,976;15,47;15,733;;
2021-12-01;15,826;16,03;15,623;15,723;;
2021-11-30;15,832;16,039;15,562;15,706;;
2021-11-29;16,497;16,581;16,001;16,223;;
2021-11-28;15,859;16,107;15,822;16,107;;
2021-11-27;16,214;16,214;15,859;15,859;;
2021-11-26;16,731;16,734;16,134;16,184;;
2021-11-25;16,947;16,947;16,782;16,875;;
2021-11-24;16,97;16,998;16,719;16,913;;
2021-11-23;16,867;16,962;16,684;16,951;;
2021-11-22;16,49;16,933;16,49;16,884;;
2021-11-21;16,487;16,487;16,436;16,436;;
2021-11-20;16,487;16,487;16,487;16,487;;
2021-11-19;16,767;16,821;16,378;16,482;;
2021-11-18;16,782;16,935;16,711;16,729;;
2021-11-17;16,742;16,818;16,663;16,767;;
2021-11-16;16,775;16,922;16,725;16,761;;
2021-11-15;17,053;17,113;16,73;16,775;;
2021-11-14;17,059;17,069;17,059;17,069;;
2021-11-13;17,059;17,059;17,059;17,059;;
2021-11-12;16,891;17,192;16,889;17,059;;
2021-11-11;16,661;16,982;16,639;16,873;;
2021-11-10;16,488;16,738;16,488;16,643;;
2021-11-09;16,608;16,664;16,508;16,508;;
2021-11-08;16,839;16,866;16,598;16,621;;
2021-11-07;16,832;16,841;16,831;16,841;;
2021-11-06;16,827;16,832;16,827;16,832;;
2021-11-05;16,613;16,858;16,581;16,827;;
2021-11-04;16,799;16,807;16,571;16,615;;
2021-11-03;16,425;16,795;16,295;16,795;;
2021-11-02;16,284;16,435;16,235;16,435;;
2021-11-01;16,112;16,307;16,096;16,292;;
2021-10-31;16,111;16,122;16,111;16,119;;
2021-10-30;16,111;16,111;16,111;16,111;;
2021-10-29;16,026;16,166;15,642;16,112;;
2021-10-28;16,31;16,323;16,041;16,05;;
2021-10-27;16,362;16,394;16,231;16,287;;
2021-10-26;16,355;16,428;16,222;16,361;;
2021-10-25;16,404;16,488;16,205;16,333;;
2021-10-24;16,399;16,399;16,399;16,399;;
2021-10-23;16,401;16,401;16,396;16,399;;
2021-10-22;16,546;16,559;16,304;16,403;;
2021-10-21;16,577;16,657;16,424;16,528;;
2021-10-20;16,43;16,606;16,358;16,594;;
