Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;12,188;12,278;12,122;12,207;;
2021-12-29;12,134;12,225;12,114;12,184;;
2021-12-28;12,08;12,188;12,025;12,132;;
2021-12-27;12,047;12,094;12,012;12,086;;
2021-12-23;12,023;12,099;11,99;12,059;;
2021-12-22;12,034;12,055;11,82;12,02;;
2021-12-21;11,837;12,044;11,787;12,044;;
2021-12-20;11,585;11,842;11,452;11,805;;
2021-12-19;11,717;11,717;11,681;11,683;;
2021-12-18;11,717;11,717;11,717;11,717;;
2021-12-17;11,893;11,913;11,588;11,717;;
2021-12-16;11,552;12,157;11,492;11,732;;
2021-12-15;11,384;11,526;11,354;11,518;;
2021-12-14;11,455;11,50;11,328;11,375;;
2021-12-13;11,347;11,469;11,32;11,443;;
2021-12-12;11,331;11,351;11,331;11,331;;
2021-12-11;11,331;11,337;11,329;11,331;;
2021-12-10;11,254;11,373;11,203;11,331;;
2021-12-09;11,128;11,345;11,11;11,274;;
2021-12-08;11,102;11,153;11,006;11,13;;
2021-12-07;11,083;11,168;10,952;11,118;;
2021-12-06;10,845;11,061;10,80;11,047;;
2021-12-05;10,729;10,753;10,727;10,747;;
2021-12-04;10,767;10,767;10,701;10,701;;
2021-12-03;10,902;10,932;10,664;10,765;;
2021-12-02;10,921;10,992;10,78;10,906;;
2021-12-01;11,018;11,079;10,824;10,838;;
2021-11-30;10,883;11,012;10,694;10,945;;
2021-11-29;10,878;11,146;10,785;11,101;;
2021-11-28;10,639;10,688;10,616;10,676;;
2021-11-27;10,755;10,755;10,639;10,639;;
2021-11-26;10,839;11,098;10,702;10,762;;
2021-11-25;10,833;11,108;10,78;11,072;;
2021-11-24;10,658;10,793;10,584;10,793;;
2021-11-23;11,059;11,087;10,525;10,638;;
2021-11-22;11,027;11,161;11,009;11,07;;
2021-11-21;11,025;11,025;10,991;10,991;;
2021-11-20;11,025;11,025;11,025;11,025;;
2021-11-19;11,06;11,144;10,99;11,025;;
2021-11-18;11,088;11,112;11,013;11,024;;
2021-11-17;11,049;11,12;11,034;11,072;;
2021-11-16;11,062;11,171;10,988;11,067;;
2021-11-15;11,021;11,144;10,965;11,065;;
2021-11-14;11,026;11,035;11,026;11,035;;
2021-11-13;11,026;11,026;11,026;11,026;;
2021-11-12;11,058;11,10;10,969;11,026;;
2021-11-11;11,143;11,268;10,986;11,046;;
2021-11-10;11,023;11,265;10,947;11,127;;
2021-11-09;11,035;11,069;10,943;11,039;;
2021-11-08;11,123;11,135;11,00;11,047;;
2021-11-07;11,119;11,124;11,118;11,124;;
2021-11-06;11,117;11,12;11,117;11,12;;
2021-11-05;11,266;11,295;11,061;11,117;;
2021-11-04;11,169;11,337;11,158;11,268;;
2021-11-03;11,176;11,215;11,122;11,167;;
2021-11-02;11,124;11,239;11,067;11,182;;
2021-11-01;11,003;11,146;10,94;11,126;;
2021-10-31;11,002;11,005;11,002;11,004;;
2021-10-30;11,002;11,002;11,002;11,002;;
2021-10-29;11,145;11,168;10,856;11,002;;
2021-10-28;11,068;11,174;11,043;11,147;;
2021-10-27;10,92;11,099;10,919;11,065;;
2021-10-26;10,83;10,95;10,793;10,92;;
2021-10-25;10,894;10,947;10,778;10,829;;
2021-10-24;10,894;10,894;10,894;10,894;;
2021-10-23;10,894;10,894;10,894;10,894;;
2021-10-22;10,847;10,937;10,768;10,894;;
2021-10-21;10,785;10,902;10,729;10,846;;
2021-10-20;10,706;10,854;10,669;10,787;;
2021-10-19;10,575;10,729;10,537;10,708;;
2021-10-18;10,623;10,679;10,483;10,575;;
2021-10-17;10,624;10,626;10,624;10,624;;
2021-10-16;10,624;10,626;10,624;10,624;;
2021-10-15;10,423;10,667;10,377;10,624;;
2021-10-14;10,462;10,515;10,334;10,421;;
2021-10-13;10,456;10,495;10,227;10,461;;
2021-10-12;10,239;10,486;10,237;10,453;;
2021-10-11;10,832;10,843;10,211;10,241;;
2021-10-10;10,828;10,828;10,828;10,828;;
2021-10-09;10,828;10,828;10,828;10,828;;
2021-10-08;11,018;11,04;10,815;10,828;;
2021-10-07;11,091;11,239;11,012;11,018;;
2021-10-06;11,002;11,091;10,866;11,087;;
2021-10-05;10,901;11,067;10,806;11,007;;
2021-10-04;10,754;10,907;10,685;10,899;;
2021-10-03;10,758;10,758;10,758;10,758;;
2021-10-02;10,759;10,759;10,758;10,758;;
2021-10-01;10,548;10,895;10,455;10,759;;
2021-09-30;10,745;10,806;10,528;10,556;;
2021-09-29;10,827;10,951;10,683;10,739;;
2021-09-28;10,879;10,94;10,766;10,825;;
2021-09-27;10,962;11,052;10,852;10,879;;
2021-09-26;10,957;10,96;10,956;10,96;;
2021-09-25;10,957;10,957;10,957;10,957;;
2021-09-24;11,006;11,028;10,908;10,957;;
2021-09-23;10,94;11,059;10,94;11,008;;
2021-09-22;10,902;11,058;10,902;10,938;;
2021-09-21;10,841;10,982;10,813;10,898;;
2021-09-20;10,831;10,867;10,607;10,836;;
2021-09-19;10,802;10,804;10,793;10,796;;
2021-09-18;10,802;10,802;10,802;10,802;;
2021-09-17;11,00;11,036;10,801;10,802;;
2021-09-16;11,083;11,111;10,906;10,993;;
2021-09-15;11,155;11,233;11,045;11,093;;
