Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;12,19;12,28;12,188;12,192;3.059.800;37.380.006
2021-12-29;12,18;12,226;12,16;12,21;3.099.157;37.824.394
2021-12-28;12,034;12,188;12,024;12,18;2.951.522;35.881.621
2021-12-27;12,018;12,092;12,014;12,05;2.127.744;25.660.367
2021-12-23;12,05;12,098;11,964;12,06;4.392.610;52.961.249
2021-12-22;12,00;12,042;11,82;12,042;5.631.995;67.416.374
2021-12-21;11,88;12,05;11,786;12,05;8.160.908;97.797.755
2021-12-20;11,53;11,83;11,474;11,83;8.678.597;101.532.754
2021-12-17;11,79;11,81;11,582;11,776;17.486.652;205.269.195
2021-12-16;11,618;11,77;11,492;11,77;12.270.429;143.546.319
2021-12-15;11,456;11,502;11,374;11,502;4.938.872;56.647.615
2021-12-14;11,476;11,50;11,326;11,414;7.333.079;83.808.582
2021-12-13;11,39;11,47;11,32;11,44;4.433.339;50.645.710
2021-12-10;11,252;11,374;11,202;11,37;4.908.807;55.640.734
2021-12-09;11,18;11,344;11,108;11,308;7.205.213;81.310.522
2021-12-08;11,078;11,156;11,002;11,128;5.582.991;62.050.986
2021-12-07;10,996;11,168;10,954;11,09;7.234.928;80.207.991
2021-12-06;10,838;11,062;10,808;11,04;6.942.649;76.326.309
2021-12-03;10,88;10,892;10,666;10,756;7.502.131;80.776.607
2021-12-02;10,908;10,94;10,782;10,818;7.270.423;78.753.344
2021-12-01;10,962;11,074;10,84;10,964;10.142.203;110.928.682
2021-11-30;10,906;11,01;10,694;10,894;12.772.722;138.998.569
2021-11-29;10,85;11,146;10,786;10,992;10.607.057;116.858.113
2021-11-26;10,878;11,098;10,748;10,802;12.748.878;138.998.469
2021-11-25;10,81;11,106;10,808;11,058;7.780.276;85.706.115
2021-11-24;10,63;10,79;10,586;10,79;12.162.187;130.243.699
2021-11-23;10,95;10,986;10,524;10,63;18.995.559;202.813.023
2021-11-22;11,042;11,144;11,01;11,10;4.697.950;52.129.182
2021-11-19;11,10;11,142;10,99;11,03;6.170.163;68.198.350
2021-11-18;11,09;11,11;11,014;11,102;3.931.197;43.531.451
2021-11-17;11,058;11,118;11,034;11,086;4.317.829;47.855.274
2021-11-16;11,06;11,17;10,99;11,064;7.928.786;87.808.969
2021-11-15;11,03;11,144;10,966;11,052;6.672.182;73.755.354
2021-11-12;11,06;11,10;10,97;11,034;6.090.451;67.178.812
2021-11-11;11,186;11,27;10,986;11,05;6.932.953;76.769.359
2021-11-10;11,10;11,264;10,948;11,164;6.618.815;73.777.936
2021-11-09;11,006;11,07;10,944;11,016;5.434.697;59.870.136
2021-11-08;11,07;11,138;10,998;11,04;3.833.263;42.317.780
2021-11-05;11,274;11,296;11,064;11,064;7.496.330;83.325.487
2021-11-04;11,176;11,336;11,16;11,248;5.314.507;59.863.618
2021-11-03;11,20;11,216;11,122;11,156;4.420.344;49.336.596
2021-11-02;11,114;11,238;11,07;11,188;4.534.422;50.728.911
2021-11-01;10,97;11,148;10,94;11,126;4.495.025;49.852.427
2021-10-29;11,112;11,168;10,854;10,966;8.711.270;95.659.064
2021-10-28;11,054;11,188;11,046;11,188;6.382.972;71.205.308
2021-10-27;10,988;11,10;10,932;11,078;5.048.730;55.802.616
2021-10-26;10,806;10,926;10,792;10,926;4.039.962;44.002.965
2021-10-25;10,934;10,934;10,78;10,79;3.795.479;41.052.069
2021-10-22;10,88;10,938;10,768;10,902;3.608.876;39.286.784
2021-10-21;10,794;10,902;10,754;10,852;4.351.883;47.194.430
2021-10-20;10,684;10,854;10,664;10,80;5.421.549;58.535.957
2021-10-19;10,574;10,704;10,538;10,688;5.268.476;56.181.381
2021-10-18;10,616;10,68;10,484;10,556;5.029.526;53.154.408
2021-10-15;10,45;10,668;10,378;10,606;11.294.890;119.340.260
2021-10-14;10,466;10,476;10,336;10,398;6.816.084;70.817.647
2021-10-13;10,40;10,456;10,228;10,456;7.509.546;77.923.775
2021-10-12;10,25;10,486;10,228;10,414;8.231.792;85.548.915
2021-10-11;10,78;10,78;10,23;10,35;14.626.574;152.467.667
2021-10-08;11,042;11,044;10,808;10,808;7.382.161;80.099.646
2021-10-07;11,20;11,236;11,026;11,026;6.477.555;71.812.866
