Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;57,40;57,56;56,98;57,14;290.132;16.607.627
2021-12-29;56,86;57,42;56,60;57,20;490.989;28.049.089
2021-12-28;56,54;57,10;56,46;56,78;238.433;13.542.844
2021-12-27;56,36;57,10;56,36;56,50;249.048;14.129.429
2021-12-23;55,60;56,58;55,46;56,42;415.776;23.422.389
2021-12-22;54,84;55,44;54,56;55,44;474.254;26.184.261
2021-12-21;53,50;54,96;53,10;54,70;586.665;31.919.413
2021-12-20;53,58;53,90;52,06;53,30;474.980;25.206.146
2021-12-17;53,86;54,70;53,66;54,34;1.177.286;63.922.333
2021-12-16;53,44;54,06;53,04;53,94;759.001;40.769.695
2021-12-15;54,52;54,56;52,86;53,00;827.330;44.006.775
2021-12-14;54,72;55,26;54,24;54,46;570.727;31.147.508
2021-12-13;54,10;54,42;53,52;54,40;536.092;29.058.487
2021-12-10;54,50;54,70;53,52;54,02;535.545;28.930.313
2021-12-09;55,78;56,14;54,64;54,74;685.094;37.701.048
2021-12-08;55,98;56,58;55,28;55,50;699.357;38.933.532
2021-12-07;56,00;56,12;55,38;56,04;743.081;41.517.185
2021-12-06;54,26;55,94;54,26;55,76;744.924;41.286.802
2021-12-03;54,12;54,42;53,32;53,92;626.558;33.752.586
2021-12-02;53,34;53,92;53,06;53,62;568.516;30.462.730
2021-12-01;52,98;53,82;52,88;53,56;726.892;38.828.023
2021-11-30;53,18;53,34;52,12;52,78;1.116.295;58.911.929
2021-11-29;53,78;53,84;53,06;53,52;764.157;40.846.723
2021-11-26;54,02;54,10;52,62;53,34;1.096.175;58.676.604
2021-11-25;55,62;55,62;54,54;54,72;405.195;22.207.850
2021-11-24;55,82;56,02;55,12;55,56;446.449;24.748.667
2021-11-23;55,38;56,22;55,20;55,64;520.931;29.022.890
2021-11-22;55,70;55,84;54,78;55,68;771.337;42.713.734
2021-11-19;56,50;56,84;55,14;55,78;902.465;50.364.989
2021-11-18;56,96;57,04;56,04;56,46;644.622;36.390.355
2021-11-17;57,92;58,02;56,60;56,96;744.587;42.558.482
2021-11-16;57,96;58,68;57,90;58,04;537.387;31.305.956
2021-11-15;57,90;58,10;57,46;58,10;455.308;26.375.841
2021-11-12;58,26;58,60;57,68;57,96;721.441;41.868.997
2021-11-11;59,02;59,38;57,62;57,90;895.850;51.990.593
2021-11-10;58,42;59,18;57,96;58,98;511.944;30.134.939
2021-11-09;59,68;59,68;58,04;58,34;878.201;51.430.660
2021-11-08;61,18;61,38;59,92;60,50;602.512;36.508.676
2021-11-05;59,24;61,96;59,12;61,34;1.023.312;62.523.262
2021-11-04;58,32;59,62;58,02;59,26;696.696;41.222.782
2021-11-03;59,12;59,16;57,32;57,92;961.741;55.678.282
2021-11-02;58,74;61,56;58,68;59,46;1.115.121;67.090.668
2021-11-01;57,78;58,96;57,56;58,90;611.680;35.826.107
2021-10-29;58,00;58,18;57,32;57,46;980.732;56.501.720
2021-10-28;59,40;59,94;58,72;59,60;447.237;26.654.228
2021-10-27;58,96;60,18;58,82;59,64;672.295;40.141.193
2021-10-26;61,88;61,94;59,06;59,16;1.241.858;74.056.188
2021-10-25;61,46;61,90;61,06;61,90;440.424;27.181.056
2021-10-22;61,80;61,90;61,12;61,26;440.759;27.042.866
2021-10-21;61,02;61,84;60,84;61,80;319.700;19.699.715
2021-10-20;60,96;61,44;60,84;61,44;369.025;22.608.405
2021-10-19;60,58;60,94;60,04;60,90;335.782;20.341.390
2021-10-18;61,00;61,14;59,92;60,42;461.759;27.919.003
2021-10-15;61,22;61,28;60,62;61,28;447.684;27.318.026
2021-10-14;61,00;61,54;60,62;61,24;464.605;28.423.150
2021-10-13;60,50;60,98;60,28;60,68;403.328;24.482.136
2021-10-12;60,48;60,94;60,34;60,58;509.334;30.860.862
2021-10-11;60,36;61,20;60,04;61,00;431.122;26.219.284
2021-10-08;60,94;60,94;60,06;60,36;317.477;19.158.576
2021-10-07;60,22;60,54;59,90;60,22;348.129;20.967.446
2021-10-06;59,98;60,10;59,44;59,72;365.265;21.819.327
2021-10-05;60,70;61,10;60,10;60,32;384.296;23.219.628
2021-10-04;60,44;61,74;60,34;60,68;405.765;24.751.243
2021-10-01;60,38;60,96;59,98;60,60;448.092;27.150.541
2021-09-30;60,96;61,32;60,42;60,86;443.469;26.993.407
2021-09-29;61,00;61,10;60,38;60,76;340.659;20.697.870
2021-09-28;61,10;61,48;60,52;60,70;517.826;31.513.925
2021-09-27;61,90;62,16;61,18;61,18;393.590;24.147.011
2021-09-24;61,12;61,68;60,90;61,32;409.318;25.103.248
2021-09-23;62,64;63,10;61,22;61,26;515.371;31.824.091
2021-09-22;61,62;62,96;61,58;62,26;764.672;47.605.442
2021-09-21;60,06;61,94;60,06;61,44;455.173;27.858.873
2021-09-20;59,54;60,70;59,46;60,54;613.974;37.007.285
2021-09-17;60,12;60,70;59,86;60,12;1.321.159;79.471.739
2021-09-16;60,50;60,50;59,68;59,72;463.102;27.731.860
2021-09-15;61,72;61,78;59,84;60,10;868.327;52.324.657
2021-09-14;61,76;62,90;61,76;61,88;421.844;26.207.061
2021-09-13;61,86;62,82;61,72;61,80;435.137;27.014.098
2021-09-10;62,28;62,92;61,78;61,78;986.449;61.306.919
2021-09-09;65,00;65,48;64,84;64,90;382.195;24.879.915
2021-09-08;65,50;65,56;64,76;65,40;358.195;23.386.769
2021-09-07;65,60;65,78;65,20;65,78;298.727;19.612.343
2021-09-06;65,24;65,80;64,96;65,58;164.241;10.761.439
2021-09-03;65,58;65,60;64,50;65,16;282.357;18.389.252
2021-09-02;65,34;65,54;64,76;65,54;442.725;28.895.368
2021-09-01;65,92;66,70;65,30;65,32;441.973;29.019.998
2021-08-31;65,56;65,58;64,80;65,04;524.856;34.170.486
2021-08-30;66,18;66,18;65,22;65,50;303.446;19.869.754
2021-08-27;67,12;67,12;66,06;66,16;350.921;23.294.643
2021-08-26;67,08;67,74;66,94;67,34;437.932;29.492.617
2021-08-25;68,44;68,54;66,88;67,32;434.573;29.349.230
2021-08-24;69,02;69,02;68,14;68,48;280.457;19.208.573
2021-08-23;68,62;68,84;68,34;68,84;259.056;17.807.092
2021-08-20;68,60;68,72;67,80;68,22;306.147;20.884.475
2021-08-19;68,66;68,94;68,28;68,54;479.796;32.880.717
2021-08-18;69,58;69,96;69,34;69,52;271.971;18.920.527
