Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;35,41;35,545;35,185;35,3675;;
2021-12-29;35,365;35,49;35,085;35,405;;
2021-12-28;35,32;35,5725;35,17;35,3575;;
2021-12-27;35,015;35,545;34,9625;35,34;;
2021-12-23;34,4925;35,3025;34,4675;35,0425;;
2021-12-22;34,425;34,53;34,125;34,4875;;
2021-12-21;33,98;34,475;33,7675;34,4425;;
2021-12-20;34,005;34,315;32,905;33,88;;
2021-12-19;34,4225;34,4225;34,2025;34,2025;;
2021-12-18;34,42;34,4225;34,42;34,4225;;
2021-12-17;34,3325;34,57;33,6325;34,42;;
2021-12-16;33,935;34,86;33,87;34,12;;
2021-12-15;34,0825;34,1725;33,255;33,8325;;
2021-12-14;33,8775;34,295;33,8475;34,065;;
2021-12-13;34,285;34,315;33,6625;33,855;;
2021-12-12;34,255;34,29;34,255;34,255;;
2021-12-11;34,255;34,265;34,2475;34,255;;
2021-12-10;34,2125;34,2725;33,755;34,255;;
2021-12-09;34,6375;34,8375;34,1975;34,25;;
2021-12-08;35,02;35,09;34,28;34,64;;
2021-12-07;34,7925;35,0525;34,5075;35,045;;
2021-12-06;33,72;34,7675;33,61;34,7225;;
2021-12-05;33,555;33,585;33,5525;33,5775;;
2021-12-04;33,6075;33,6075;33,515;33,515;;
2021-12-03;34,13;34,25;33,3075;33,6075;;
2021-12-02;33,68;34,13;33,4125;34,13;;
2021-12-01;33,71;34,1525;33,3625;33,53;;
2021-11-30;33,55;33,8175;33,02;33,585;;
2021-11-29;34,415;34,605;33,5575;34,0125;;
2021-11-28;34,0275;34,1775;34,0125;34,1775;;
2021-11-27;34,175;34,175;34,0275;34,0275;;
2021-11-26;34,865;34,87;33,54;34,1675;;
2021-11-25;35,3175;35,355;34,6775;35,0375;;
2021-11-24;35,6575;35,73;34,9025;35,2825;;
2021-11-23;35,5825;36,32;35,42;35,6375;;
2021-11-22;35,66;35,88;35,2225;35,60;;
2021-11-21;35,655;35,655;35,6125;35,6125;;
2021-11-20;35,655;35,655;35,655;35,655;;
2021-11-19;36,475;36,6325;35,265;35,655;;
2021-11-18;36,885;36,9425;36,185;36,435;;
2021-11-17;37,795;37,8075;36,6425;36,865;;
2021-11-16;37,80;38,2425;37,645;37,815;;
2021-11-15;38,0125;38,075;37,6925;37,80;;
2021-11-14;38,025;38,04;38,025;38,04;;
2021-11-13;38,025;38,025;38,025;38,025;;
2021-11-12;38,00;38,2175;37,715;38,025;;
2021-11-11;38,0875;38,6225;37,6775;37,9775;;
2021-11-10;37,805;38,325;37,73;38,065;;
2021-11-09;39,3575;39,3625;37,665;37,83;;
2021-11-08;39,7625;39,885;39,005;39,37;;
2021-11-07;39,755;39,7675;39,75;39,7675;;
2021-11-06;39,7475;39,755;39,7475;39,755;;
2021-11-05;39,1925;40,0825;38,8325;39,7475;;
2021-11-04;39,1075;39,6725;39,0225;39,195;;
2021-11-03;40,79;40,8725;38,6725;39,1025;;
2021-11-02;40,085;42,4475;40,0825;40,8025;;
2021-11-01;39,3925;40,1025;39,3925;40,0925;;
2021-10-31;39,3925;39,395;39,3925;39,395;;
2021-10-30;39,3925;39,3925;39,3925;39,3925;;
2021-10-29;40,1075;40,11;39,08;39,3925;;
2021-10-28;40,605;40,8575;39,925;40,1175;;
2021-10-27;39,77;40,8725;39,705;40,55;;
2021-10-26;41,2425;41,525;39,6775;39,765;;
2021-10-25;41,1225;41,3475;40,815;41,2175;;
2021-10-24;41,1175;41,1175;41,1175;41,1175;;
2021-10-23;41,1225;41,1225;41,115;41,1175;;
2021-10-22;41,2625;41,47;40,99;41,1175;;
2021-10-21;40,755;41,395;40,55;41,2475;;
2021-10-20;40,6275;40,8025;40,2125;40,77;;
2021-10-19;40,9175;41,01;40,4475;40,6375;;
2021-10-18;40,8475;41,2675;40,415;40,9125;;
2021-10-17;40,8625;40,8675;40,8575;40,8625;;
2021-10-16;40,8625;40,8675;40,8575;40,8625;;
2021-10-15;41,175;41,3575;40,655;40,8625;;
2021-10-14;40,39;41,55;40,2775;41,16;;
2021-10-13;40,475;40,6225;40,2175;40,3825;;
2021-10-12;40,8575;40,9225;40,2325;40,4575;;
2021-10-11;40,6475;41,085;40,3925;40,9275;;
2021-10-10;40,61;40,61;40,61;40,61;;
2021-10-09;40,6075;40,61;40,6075;40,61;;
2021-10-08;39,89;40,875;39,835;40,6075;;
2021-10-07;39,6775;40,045;39,405;39,89;;
2021-10-06;40,3125;40,32;39,1175;39,655;;
2021-10-05;40,7225;40,8125;40,105;40,335;;
2021-10-04;40,725;41,095;40,4875;40,7225;;
2021-10-03;40,75;40,75;40,7475;40,75;;
2021-10-02;40,75;40,75;40,75;40,75;;
2021-10-01;41,405;41,4225;40,66;40,75;;
2021-09-30;41,285;41,6975;41,095;41,455;;
2021-09-29;41,38;41,575;40,9375;41,1075;;
2021-09-28;41,3975;41,9175;41,105;41,365;;
2021-09-27;41,1625;41,765;41,0725;41,40;;
2021-09-26;41,1375;41,15;41,1325;41,15;;
2021-09-25;41,1375;41,1375;41,1375;41,1375;;
2021-09-24;41,475;41,5025;40,97;41,1375;;
2021-09-23;41,9125;42,0575;41,2225;41,4875;;
2021-09-22;41,45;42,0625;41,435;41,885;;
2021-09-21;40,2525;41,56;40,25;41,4275;;
2021-09-20;40,7025;40,7975;39,90;40,22;;
2021-09-19;40,865;40,875;40,8425;40,85;;
2021-09-18;40,865;40,865;40,865;40,865;;
2021-09-17;40,94;41,34;40,815;40,855;;
2021-09-16;40,9475;41,355;40,81;40,9175;;
2021-09-15;41,885;42,045;40,62;40,9825;;
2021-09-14;41,6525;42,0575;41,5375;41,8375;;
2021-09-13;41,615;42,2925;41,4525;41,6425;;
2021-09-12;41,5825;41,5975;41,5825;41,5925;;
2021-09-11;41,5875;41,5925;41,5875;41,5875;;
2021-09-10;42,1775;42,565;41,5075;41,5875;;
2021-09-09;42,9925;43,005;42,055;42,085;;
2021-09-08;43,3225;43,3525;42,72;43,07;;
2021-09-07;43,765;43,8025;43,22;43,325;;
2021-09-06;43,865;44,0275;43,605;43,79;;
2021-09-05;43,8575;43,8575;43,8575;43,8575;;
2021-09-04;43,8575;43,8575;43,8575;43,8575;;
2021-09-03;44,0125;44,34;43,3375;43,8575;;
2021-09-02;44,12;44,205;43,7025;43,9875;;
2021-09-01;44,2825;44,795;44,015;44,1375;;
2021-08-31;44,78;44,805;43,81;44,2625;;
2021-08-30;44,945;45,0625;44,5325;44,705;;
2021-08-29;44,94;44,9875;44,94;44,9875;;
2021-08-28;44,94;44,9425;44,94;44,94;;
2021-08-27;45,21;45,2375;44,8075;44,96;;
2021-08-26;45,3425;45,3775;44,9475;45,16;;
2021-08-25;46,1175;46,445;45,33;45,4575;;
2021-08-24;46,68;46,73;46,0075;46,1325;;
2021-08-23;46,325;46,6725;46,1575;46,575;;
2021-08-22;46,145;46,145;46,145;46,145;;
2021-08-21;46,145;46,145;46,145;46,145;;
2021-08-20;46,035;46,3625;45,5525;46,14;;
2021-08-19;47,20;47,215;45,6325;46,1675;;
2021-08-18;46,93;47,595;46,8475;47,23;;
2021-08-17;46,4925;47,0175;46,3875;46,83;;
2021-08-16;46,165;46,63;45,675;46,555;;
2021-08-15;46,2775;46,2775;46,2575;46,2625;;
2021-08-14;46,2825;46,2825;46,2775;46,2775;;
2021-08-13;45,4475;46,34;45,4175;46,2825;;
2021-08-12;45,0425;45,7275;44,9325;45,4575;;
2021-08-11;45,025;45,3125;44,905;45,0625;;
2021-08-10;44,715;45,305;44,67;45,045;;
2021-08-09;44,6725;44,89;44,5075;44,715;;
2021-08-08;44,73;44,74;44,7275;44,7275;;
2021-08-07;44,73;44,73;44,73;44,73;;
2021-08-06;44,6625;45,0275;44,6525;44,73;;
2021-08-05;45,2825;45,375;44,46;44,6575;;
2021-08-04;45,13;45,5675;45,0725;45,2525;;
2021-08-03;43,8525;45,3125;43,76;45,09;;
2021-08-02;44,43;44,62;43,1475;43,7725;;
2021-08-01;44,3375;44,345;44,32;44,32;;
2021-07-31;44,345;44,345;44,3375;44,3375;;
2021-07-30;45,5275;45,855;43,835;44,345;;
2021-07-29;45,7075;46,1675;45,4725;45,6075;;
2021-07-28;45,03;45,8525;44,9675;45,7175;;
2021-07-27;45,29;45,4025;44,5225;45,0475;;
2021-07-26;45,4875;45,75;45,135;45,33;;
2021-07-25;45,5725;45,5725;45,5625;45,5625;;
2021-07-24;45,5725;45,5725;45,5725;45,5725;;
2021-07-23;45,305;45,825;45,30;45,5725;;
2021-07-22;44,755;45,5425;44,6975;45,31;;
2021-07-21;43,995;44,7575;43,98;44,7575;;
2021-07-20;43,88;44,54;43,5525;44,02;;
2021-07-19;44,495;44,6175;43,55;43,81;;
2021-07-18;44,54;44,54;44,525;44,535;;
2021-07-17;44,535;44,54;44,535;44,54;;
2021-07-16;44,6475;45,0675;44,4675;44,535;;
2021-07-15;45,6875;45,695;44,4425;44,64;;
2021-07-14;44,615;45,80;44,525;45,6875;;
2021-07-13;44,8625;44,9425;44,55;44,625;;
2021-07-12;44,325;44,915;44,1925;44,8625;;
2021-07-11;44,335;44,34;44,335;44,34;;
2021-07-10;44,335;44,335;44,335;44,335;;
2021-07-09;43,70;44,51;43,6975;44,335;;
2021-07-08;44,075;44,0925;43,4625;43,685;;
2021-07-07;43,5375;44,225;43,385;44,09;;
2021-07-06;44,19;44,41;42,63;43,5425;;
2021-07-05;44,5575;44,57;44,1375;44,19;;
2021-07-04;44,5675;44,5675;44,5625;44,5675;;
2021-07-03;44,5525;44,5675;44,5525;44,5675;;
2021-07-02;44,5975;44,905;44,4425;44,5675;;
2021-07-01;43,905;44,82;43,90;44,5975;;
2021-06-30;43,78;44,275;43,5925;43,90;;
2021-06-29;44,11;44,285;43,74;43,78;;
2021-06-28;44,455;44,5725;44,0975;44,12;;
2021-06-27;44,455;44,46;44,455;44,455;;
2021-06-26;44,455;44,455;44,4325;44,455;;
2021-06-25;43,88;44,51;43,815;44,455;;
2021-06-24;43,9825;44,34;43,8575;43,8625;;
2021-06-23;44,5525;44,575;43,86;43,975;;
2021-06-22;44,015;44,5525;43,8575;44,5475;;
2021-06-21;44,9425;44,9425;43,5325;44,0175;;
2021-06-20;45,0125;45,0125;44,9875;45,005;;
2021-06-19;45,0275;45,0275;45,0125;45,0125;;
2021-06-18;45,265;45,3925;44,89;45,0175;;
2021-06-17;45,305;45,6775;45,2275;45,28;;
2021-06-16;45,2675;45,955;45,19;45,34;;
2021-06-15;45,10;45,5175;45,10;45,2675;;
2021-06-14;45,235;45,6525;45,0175;45,075;;
2021-06-13;45,225;45,2475;45,225;45,23;;
2021-06-12;45,225;45,225;45,225;45,225;;
2021-06-11;44,91;45,4375;44,91;45,225;;
2021-06-10;45,17;45,4625;44,80;44,90;;
2021-06-09;44,87;45,4325;44,775;45,15;;
2021-06-08;44,9275;45,42;44,8325;44,8775;;
2021-06-07;44,7225;45,2175;44,6475;44,9475;;
2021-06-06;44,7525;44,7525;44,74;44,7425;;
2021-06-05;44,7475;44,7525;44,7475;44,7525;;
2021-06-04;44,4575;44,855;44,4225;44,7475;;
2021-06-03;43,87;44,8575;43,8625;44,4525;;
2021-06-02;43,8175;44,075;43,6875;43,855;;
2021-06-01;44,365;44,48;43,625;43,8075;;
2021-05-31;44,54;44,615;44,1125;44,345;;
2021-05-30;44,60;44,61;44,60;44,605;;
2021-05-29;44,60;44,60;44,60;44,60;;
2021-05-28;44,3525;44,91;44,2775;44,60;;
2021-05-27;44,1675;44,5675;43,7075;44,3475;;
2021-05-26;44,55;44,8625;44,11;44,1775;;
2021-05-25;45,775;46,10;44,46;44,52;;
2021-05-24;45,1125;46,0725;45,1125;45,78;;
2021-05-23;46,0025;46,0125;45,9775;45,9775;;
2021-05-22;46,0025;46,0025;46,0025;46,0025;;
2021-05-21;45,8675;46,525;45,6275;46,0075;;
2021-05-20;44,545;46,375;44,1775;45,8375;;
2021-05-19;44,4675;44,7125;44,035;44,5125;;
2021-05-18;45,135;45,57;44,32;44,495;;
2021-05-17;44,865;45,305;44,52;45,11;;
2021-05-16;44,885;44,89;44,88;44,88;;
2021-05-15;44,885;44,885;44,885;44,885;;
2021-05-14;44,2575;44,9725;44,075;44,885;;
2021-05-13;43,6125;44,2025;43,085;44,17;;
2021-05-12;42,505;44,18;42,2775;43,615;;
2021-05-11;42,8725;42,935;41,7125;42,525;;
2021-05-10;41,555;43,17;41,525;42,9075;;
2021-05-09;41,51;41,52;41,51;41,52;;
2021-05-08;41,515;41,515;41,51;41,51;;
2021-05-07;41,695;41,855;41,24;41,515;;
2021-05-06;41,205;41,7975;40,9925;41,685;;
2021-05-05;40,4725;41,5375;40,4525;41,205;;
2021-05-04;41,0925;41,2575;39,735;40,4375;;
2021-05-03;40,9125;41,175;40,695;41,125;;
2021-04-30;39,995;40,915;39,85;40,9075;;
2021-04-29;39,92;40,51;39,775;40,0075;;
2021-04-28;39,7475;39,9425;39,5725;39,91;;
2021-04-27;39,7475;40,1325;39,4775;39,7475;;
2021-04-26;39,5825;39,975;39,5675;39,745;;
2021-04-25;39,5775;39,58;39,5775;39,58;;
2021-04-24;39,5775;39,5775;39,5375;39,5775;;
2021-04-23;39,54;39,915;39,255;39,5775;;
2021-04-22;39,4375;39,88;39,285;39,5325;;
2021-04-21;38,345;39,605;38,2825;39,4325;;
2021-04-20;38,865;38,9225;37,885;38,34;;
2021-04-19;38,485;39,235;38,4325;38,865;;
2021-04-18;38,5125;38,5125;38,495;38,50;;
2021-04-17;38,5125;38,515;38,5125;38,5125;;
2021-04-16;38,5975;38,7925;38,1375;38,5125;;
2021-04-15;38,75;38,99;38,215;38,5925;;
2021-04-14;39,2425;39,4375;38,5175;38,715;;
2021-04-13;38,8275;39,28;38,6975;39,225;;
2021-04-12;38,675;38,9675;38,52;38,8425;;
2021-04-11;38,71;38,8175;38,7025;38,8175;;
2021-04-10;38,725;38,725;38,695;38,695;;
2021-04-09;38,18;38,7475;37,98;38,7225;;
2021-04-08;38,6575;38,69;37,9975;38,1875;;
2021-04-07;38,7175;38,8325;38,28;38,63;;
2021-04-06;37,9275;38,8275;37,925;38,725;;
2021-04-01;38,115;38,2475;37,62;37,785;;
2021-03-31;38,055;38,24;37,855;38,115;;
2021-03-30;37,92;38,395;37,92;38,11;;
2021-03-29;37,505;37,99;37,485;37,92;;
2021-03-28;37,715;37,725;37,675;37,685;;
2021-03-27;37,725;37,725;37,715;37,715;;
2021-03-26;36,245;37,73;36,23;37,725;;
2021-03-25;36,29;36,385;35,71;36,20;;
2021-03-24;36,00;36,605;35,77;36,26;;
2021-03-23;36,03;36,335;35,715;36,03;;
2021-03-22;36,175;36,27;35,755;36,15;;
2021-03-21;36,19;36,19;36,15;36,17;;
2021-03-20;36,19;36,21;36,19;36,19;;
2021-03-19;36,335;36,59;35,945;36,19;;
2021-03-18;36,465;36,78;36,265;36,38;;
2021-03-17;36,35;37,21;36,065;36,41;;
2021-03-16;36,07;36,565;35,975;36,385;;
2021-03-15;36,19;36,43;35,845;36,09;;
2021-03-14;36,28;36,28;36,24;36,25;;
2021-03-13;36,28;36,28;36,28;36,28;;
2021-03-12;36,255;36,30;35,765;36,28;;
2021-03-11;36,80;36,895;35,785;36,245;;
2021-03-10;36,495;37,095;36,21;36,785;;
2021-03-09;36,605;36,795;36,245;36,55;;
2021-03-08;36,055;36,925;36,03;36,585;;
2021-03-07;36,125;36,21;36,125;36,18;;
2021-03-06;36,125;36,125;36,125;36,125;;
2021-03-05;35,905;36,175;35,565;36,12;;
2021-03-04;35,465;36,04;35,265;35,875;;
2021-03-03;36,00;36,23;35,14;35,495;;
2021-03-02;36,01;36,265;35,74;35,985;;
2021-03-01;35,395;36,165;35,385;36,035;;
2021-02-28;35,405;35,405;35,375;35,375;;
2021-02-27;35,375;35,38;35,375;35,38;;
2021-02-26;35,04;35,52;34,575;35,375;;
2021-02-25;35,60;35,725;34,835;35,045;;
2021-02-24;35,875;35,935;35,055;35,515;;
2021-02-23;35,955;36,315;35,15;35,89;;
2021-02-22;35,915;36,13;35,245;35,94;;
2021-02-21;35,915;35,92;35,915;35,92;;
2021-02-20;35,915;35,915;35,915;35,915;;
2021-02-19;35,90;36,225;35,565;35,915;;
2021-02-18;36,055;36,17;35,655;35,90;;
2021-02-17;36,21;36,445;35,78;36,065;;
2021-02-16;36,355;36,62;35,89;36,215;;
2021-02-15;36,24;36,595;36,07;36,355;;
2021-02-14;36,06;36,065;36,06;36,065;;
2021-02-13;36,06;36,07;36,06;36,06;;
2021-02-12;35,705;36,16;35,325;36,06;;
2021-02-11;35,525;35,805;35,345;35,71;;
