Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;35,43;35,545;35,185;35,40;524.532;18.536.910
2021-12-29;35,275;35,495;35,095;35,495;798.781;28.265.091
2021-12-28;35,155;35,57;35,155;35,38;692.187;24.480.945
2021-12-27;35,02;35,55;34,975;35,15;779.855;27.510.030
2021-12-23;34,50;35,30;34,485;35,01;1.108.236;38.790.996
2021-12-22;34,27;34,485;34,12;34,485;896.678;30.841.623
2021-12-21;34,085;34,47;33,72;34,325;1.058.587;36.268.417
2021-12-20;34,275;34,35;32,91;33,77;1.726.579;57.927.188
2021-12-17;34,005;34,565;33,955;34,545;2.508.391;86.439.314
2021-12-16;34,06;34,43;33,94;34,15;1.935.592;66.133.360
2021-12-15;34,105;34,18;33,255;33,605;1.742.698;58.459.833
2021-12-14;34,00;34,295;33,895;33,98;1.481.420;50.449.206
2021-12-13;34,25;34,31;33,66;33,905;1.338.343;45.367.033
2021-12-10;34,175;34,24;33,755;34,13;1.444.671;49.132.238
2021-12-09;34,77;34,85;34,245;34,245;1.006.424;34.587.998
2021-12-08;34,97;35,10;34,28;34,63;1.521.846;52.673.606
2021-12-07;34,80;34,98;34,50;34,895;1.377.890;47.969.381
2021-12-06;33,63;34,74;33,59;34,48;1.973.970;67.684.692
2021-12-03;34,14;34,16;33,305;33,45;1.719.882;57.613.281
2021-12-02;33,74;34,03;33,415;33,83;1.620.327;54.718.351
2021-12-01;33,725;34,15;33,37;33,90;1.993.205;67.367.077
2021-11-30;33,50;33,82;33,02;33,495;3.282.261;109.804.313
2021-11-29;34,335;34,335;33,56;33,78;2.325.224;78.680.556
2021-11-26;34,495;34,495;33,55;34,045;2.599.537;88.638.124
2021-11-25;35,20;35,20;34,675;34,88;1.281.865;44.679.447
2021-11-24;35,63;35,63;34,905;35,025;2.742.225;96.283.007
2021-11-23;35,80;36,32;35,415;35,505;1.721.433;61.443.739
2021-11-22;35,84;35,865;35,225;35,70;1.519.665;54.022.381
2021-11-19;36,515;36,64;35,26;35,695;2.459.455;87.921.570
2021-11-18;36,895;36,945;36,185;36,355;1.614.494;58.813.376
2021-11-17;37,545;37,66;36,645;36,80;1.955.029;72.270.757
2021-11-16;37,865;38,24;37,61;37,61;1.065.885;40.343.728
2021-11-15;37,935;38,055;37,69;37,815;907.324;34.300.122
2021-11-12;37,985;38,22;37,725;37,98;1.411.073;53.579.463
2021-11-11;38,43;38,635;37,68;37,98;1.281.438;48.665.923
2021-11-10;37,835;38,32;37,835;38,08;1.336.832;50.895.459
2021-11-09;38,73;38,735;37,67;37,77;2.827.015;107.497.969
2021-11-08;39,72;39,885;39,01;39,33;1.041.821;40.980.741
2021-11-05;39,155;40,08;38,835;39,70;1.740.513;68.874.459
2021-11-04;39,035;39,68;39,03;39,15;1.506.999;59.223.605
2021-11-03;40,705;40,74;38,67;38,815;3.125.118;122.097.530
2021-11-02;41,00;42,50;40,615;40,79;2.449.862;101.412.122
2021-11-01;39,50;40,11;39,47;39,91;1.110.993;44.261.879
2021-10-29;39,785;39,785;39,075;39,265;1.924.918;75.639.287
2021-10-28;40,60;40,855;39,92;40,11;1.059.331;42.578.113
2021-10-27;39,795;40,865;39,705;40,715;1.595.696;64.689.018
2021-10-26;41,39;41,39;39,675;39,71;2.771.062;110.687.617
2021-10-25;41,15;41,40;40,82;41,40;1.147.950;47.375.538
2021-10-22;41,36;41,475;40,985;41,015;731.351;30.070.193
2021-10-21;40,595;41,40;40,55;41,22;1.036.432;42.682.649
2021-10-20;40,38;40,785;40,215;40,785;911.376;37.002.549
2021-10-19;40,84;40,84;40,445;40,65;624.069;25.364.523
2021-10-18;40,81;41,27;40,42;40,78;894.119;36.494.541
2021-10-15;41,215;41,345;40,645;40,90;762.197;31.194.389
2021-10-14;40,725;41,545;40,275;41,20;1.149.304;47.204.371
2021-10-13;40,455;40,62;40,20;40,32;674.876;27.246.868
2021-10-12;40,61;40,61;40,235;40,43;765.578;30.951.590
2021-10-11;40,62;41,085;40,375;41,01;969.520;39.631.946
2021-10-08;39,99;40,87;39,84;40,59;1.163.792;47.142.858
2021-10-07;39,68;40,00;39,40;39,845;995.013;39.563.383
2021-10-06;40,11;40,16;39,12;39,35;1.330.193;52.462.131
2021-10-05;40,66;40,80;40,105;40,38;903.292;36.482.743
2021-10-04;40,52;41,085;40,40;40,715;635.932;25.945.191
2021-10-01;41,03;41,17;40,655;40,695;960.826;39.222.792
2021-09-30;41,50;41,70;41,26;41,535;987.114;40.981.280
2021-09-29;41,295;41,435;40,94;41,31;576.226;23.754.674
2021-09-28;41,31;41,915;41,095;41,11;1.041.611;43.047.649
2021-09-27;41,48;41,775;41,26;41,355;627.563;25.998.340
2021-09-24;41,19;41,395;40,98;41,12;846.868;34.853.927
2021-09-23;41,84;41,975;41,225;41,315;1.104.413;45.774.579
2021-09-22;41,60;42,055;41,46;41,675;967.730;40.369.523
2021-09-21;40,615;41,56;40,43;41,475;1.098.552;45.313.443
2021-09-20;40,405;40,585;39,945;40,495;1.216.508;49.138.530
2021-09-17;41,035;41,34;40,815;40,90;2.642.741;108.225.142
2021-09-16;41,055;41,35;40,81;40,825;964.382;39.556.118
2021-09-15;41,985;42,03;40,89;40,89;1.213.472;49.859.276
2021-09-14;41,64;42,06;41,615;42,00;1.058.525;44.372.466
2021-09-13;41,775;42,295;41,515;41,58;1.082.705;45.213.653
2021-09-10;42,275;42,30;41,515;41,755;1.813.802;75.888.928
2021-09-09;42,70;42,805;42,41;42,41;933.743;39.692.761
2021-09-08;43,25;43,325;42,68;42,985;948.901;40.756.218
2021-09-07;43,74;43,74;43,225;43,35;741.844;32.192.975
2021-09-06;43,855;44,02;43,605;43,765;562.938;24.641.295
2021-09-03;44,095;44,33;43,35;43,73;742.496;32.523.964
