Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;135,20;136,025;133,925;134,825;;
2021-12-29;131,45;137,05;125,30;135,20;;
2021-12-28;130,80;139,10;129,425;129,80;;
2021-12-27;132,85;135,375;123,925;130,80;;
2021-12-23;135,70;137,45;129,325;133,925;;
2021-12-22;140,05;141,20;134,375;135,70;;
2021-12-21;139,40;141,875;137,70;140,05;;
2021-12-20;137,55;141,225;131,00;139,40;;
2021-12-19;139,50;139,50;139,50;139,50;;
2021-12-18;139,30;139,50;139,30;139,50;;
2021-12-17;127,375;140,75;123,50;139,30;;
2021-12-16;132,25;136,65;125,575;127,375;;
2021-12-15;131,50;134,75;125,825;131,85;;
2021-12-14;121,375;133,45;113,025;131,50;;
2021-12-13;141,20;143,075;119,75;121,375;;
2021-12-12;141,20;141,20;141,20;141,20;;
2021-12-11;141,20;141,20;141,20;141,20;;
2021-12-10;140,00;143,60;130,875;141,20;;
2021-12-09;148,675;152,35;133,825;138,65;;
2021-12-08;159,075;159,30;141,875;144,65;;
2021-12-07;148,625;161,50;148,625;159,075;;
2021-12-06;152,10;154,25;144,25;148,625;;
2021-12-05;152,10;152,10;152,10;152,10;;
2021-12-04;152,10;152,10;151,775;152,10;;
2021-12-03;160,75;162,625;140,70;152,10;;
2021-12-02;161,275;165,05;152,825;160,75;;
2021-12-01;173,425;177,40;156,825;161,75;;
2021-11-30;179,325;180,675;166,575;173,425;;
2021-11-29;177,725;184,20;177,725;179,325;;
2021-11-28;177,725;177,725;177,725;177,725;;
2021-11-27;177,725;177,725;177,725;177,725;;
2021-11-26;189,925;189,925;175,375;177,725;;
2021-11-25;189,45;190,20;187,20;189,925;;
2021-11-24;193,275;199,60;185,85;189,45;;
2021-11-23;221,10;223,85;189,00;191,20;;
2021-11-22;203,05;222,10;202,45;221,10;;
2021-11-21;203,05;203,05;203,05;203,05;;
2021-11-20;202,85;203,05;202,85;203,05;;
2021-11-19;184,15;204,30;184,075;202,85;;
2021-11-18;185,40;189,65;182,40;184,225;;
2021-11-17;183,45;192,15;180,65;185,25;;
2021-11-16;183,325;187,325;179,475;183,30;;
2021-11-15;175,375;185,05;175,15;183,325;;
2021-11-14;175,375;175,375;175,375;175,375;;
2021-11-13;176,725;176,725;175,375;175,375;;
2021-11-12;178,175;179,40;172,875;176,725;;
2021-11-11;171,025;181,65;171,025;178,175;;
2021-11-10;178,825;181,55;170,125;171,025;;
2021-11-09;187,70;192,425;176,275;178,05;;
2021-11-08;184,10;193,875;181,70;187,70;;
2021-11-07;184,10;184,10;184,10;184,10;;
2021-11-06;184,70;184,70;184,10;184,10;;
2021-11-05;188,15;192,45;181,50;184,70;;
2021-11-04;186,50;197,825;183,45;188,15;;
2021-11-03;187,80;220,45;180,225;186,50;;
2021-11-02;171,925;192,50;165,50;187,80;;
2021-11-01;157,60;179,70;156,90;171,925;;
2021-10-31;157,60;157,60;157,60;157,60;;
2021-10-30;158,85;158,85;157,60;157,60;;
2021-10-29;155,475;160,475;153,35;158,85;;
2021-10-28;149,875;156,625;148,05;155,475;;
2021-10-27;153,725;157,45;148,525;149,325;;
2021-10-26;149,375;159,35;146,95;153,725;;
2021-10-25;147,275;150,30;141,25;149,375;;
2021-10-24;146,375;147,275;146,375;147,275;;
2021-10-23;146,125;146,225;146,125;146,225;;
2021-10-22;155,25;158,35;144,175;146,125;;
2021-10-21;158,45;163,20;155,45;156,575;;
2021-10-20;160,55;162,825;156,60;158,45;;
2021-10-19;160,45;164,625;157,30;160,50;;
2021-10-18;157,90;163,30;155,725;160,45;;
2021-10-17;157,90;158,05;157,90;157,90;;
2021-10-16;157,90;157,90;157,90;157,90;;
2021-10-15;158,55;161,05;155,90;157,90;;
2021-10-14;159,35;163,925;155,025;158,725;;
2021-10-13;152,375;162,225;151,50;159,15;;
2021-10-12;153,775;157,375;150,775;152,375;;
2021-10-11;149,40;162,65;149,15;153,775;;
2021-10-10;149,40;149,40;149,40;149,40;;
2021-10-09;149,175;149,40;149,175;149,40;;
2021-10-08;148,875;151,725;146,10;149,175;;
2021-10-07;148,075;151,65;147,60;148,875;;
2021-10-06;147,525;150,00;143,675;148,075;;
2021-10-05;147,875;149,80;143,75;147,525;;
2021-10-04;152,475;152,575;146,975;147,875;;
2021-10-03;152,475;152,475;152,475;152,475;;
2021-10-02;152,475;152,475;152,475;152,475;;
2021-10-01;153,70;154,775;148,50;152,475;;
2021-09-30;152,275;160,00;143,95;151,825;;
2021-09-29;153,225;158,475;150,50;152,275;;
2021-09-28;162,10;163,225;152,575;153,225;;
2021-09-27;158,50;163,925;158,125;162,10;;
2021-09-26;158,50;158,50;158,50;158,50;;
2021-09-25;157,95;158,50;157,95;158,50;;
2021-09-24;163,15;164,60;157,20;157,95;;
2021-09-23;162,85;166,65;161,625;163,15;;
2021-09-22;161,50;164,75;158,80;162,85;;
2021-09-21;164,35;170,075;158,825;161,50;;
2021-09-20;175,025;175,125;157,375;165,70;;
2021-09-19;175,025;175,025;175,025;175,025;;
2021-09-18;174,575;175,025;174,575;175,025;;
2021-09-17;175,425;180,70;170,95;174,575;;
2021-09-16;172,175;183,675;170,15;175,425;;
2021-09-15;168,60;173,425;164,15;172,825;;
2021-09-14;171,45;173,625;166,80;168,60;;
2021-09-13;161,55;176,625;161,55;171,45;;
2021-09-12;160,80;161,55;160,80;161,55;;
2021-09-11;160,80;160,80;160,80;160,80;;
2021-09-10;168,075;170,575;160,675;160,80;;
2021-09-09;163,95;170,60;150,00;168,075;;
2021-09-08;167,825;174,875;161,475;163,95;;
2021-09-07;173,875;176,925;165,60;167,825;;
2021-09-06;171,45;175,10;170,275;173,875;;
2021-09-05;171,45;171,45;171,45;171,45;;
2021-09-04;171,00;171,45;171,00;171,45;;
2021-09-03;179,125;181,90;167,20;171,00;;
2021-09-02;177,95;181,75;174,05;179,125;;
2021-09-01;186,35;195,05;175,70;178,70;;
2021-08-31;178,35;188,15;177,75;185,40;;
2021-08-30;172,675;184,775;168,25;176,975;;
2021-08-29;172,925;172,925;172,675;172,675;;
2021-08-28;173,275;173,275;172,925;172,925;;
2021-08-27;175,75;181,00;169,75;173,275;;
2021-08-26;170,575;183,15;167,50;173,925;;
2021-08-25;180,35;192,35;164,75;170,575;;
2021-08-24;141,075;191,225;140,20;177,525;;
2021-08-23;136,55;142,40;134,85;140,05;;
2021-08-22;136,55;136,55;136,55;136,55;;
2021-08-21;136,45;136,70;136,40;136,55;;
2021-08-20;131,35;136,825;129,475;136,45;;
2021-08-19;134,35;135,875;129,20;131,375;;
2021-08-18;139,25;141,10;133,675;133,90;;
2021-08-17;138,85;144,45;136,175;139,25;;
2021-08-16;137,60;144,025;134,775;138,85;;
2021-08-15;137,60;137,60;137,60;137,60;;
2021-08-14;137,60;137,60;137,60;137,60;;
2021-08-13;137,80;139,35;133,70;137,60;;
2021-08-12;134,75;139,975;132,60;138,10;;
2021-08-11;135,55;137,975;131,725;134,75;;
2021-08-10;137,65;142,275;132,575;135,55;;
2021-08-09;129,425;140,175;128,10;137,65;;
2021-08-08;129,425;129,525;129,425;129,425;;
2021-08-07;128,875;129,425;128,875;129,425;;
2021-08-06;129,925;132,70;127,925;128,875;;
2021-08-05;123,225;133,10;122,20;129,925;;
2021-08-04;128,725;134,15;123,20;123,225;;
2021-08-03;132,15;133,625;125,025;128,725;;
2021-08-02;135,50;138,30;130,70;132,05;;
