Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;134,80;135,65;134,50;134,50;246;33.275
2021-12-29;130,25;134,45;129,00;134,45;107;14.010
2021-12-28;131,80;134,50;129,90;129,90;162;21.344
2021-12-27;133,80;135,25;127,40;131,90;722;95.997
2021-12-23;134,85;136,55;132,20;134,90;26;3.524
2021-12-22;139,20;140,75;138,70;138,70;118;16.443
2021-12-21;139,80;140,45;138,75;140,20;580;81.161
2021-12-20;137,00;140,00;132,65;140,00;814;109.420
2021-12-17;125,95;139,30;125,05;139,30;203;26.737
2021-12-16;132,85;135,70;127,80;127,80;304;40.763
2021-12-15;130,30;133,85;127,65;132,40;276;36.071
2021-12-14;124,25;131,50;114,55;126,60;2.838;355.989
2021-12-13;142,00;144,00;120,80;120,80;1.425;188.545
2021-12-10;141,65;142,30;131,30;140,95;980;133.567
2021-12-09;151,15;151,15;134,80;136,95;1.122;158.906
2021-12-08;155,80;158,70;152,40;154,00;429;66.306
2021-12-07;150,25;160,00;150,00;156,45;205;31.648
2021-12-06;154,70;154,70;145,00;150,00;796;120.441
2021-12-03;160,45;162,00;143,90;143,90;509;78.614
2021-12-02;163,00;163,85;154,80;159,80;364;58.959
2021-12-01;172,10;176,70;158,15;160,30;657;111.250
2021-11-30;180,00;180,00;168,45;172,50;234;40.442
2021-11-29;181,50;183,80;178,85;180,35;446;80.441
2021-11-26;186,25;186,25;174,85;178,45;399;72.582
2021-11-25;188,65;190,40;188,10;189,30;316;59.739
2021-11-24;194,75;198,05;186,20;190,45;210;40.233
2021-11-23;219,60;223,20;190,00;190,00;922;190.950
2021-11-22;201,80;218,20;201,80;213,90;1.548;322.178
2021-11-19;184,00;197,50;184,00;197,50;568;109.472
2021-11-18;183,85;188,20;182,80;183,00;245;45.194
2021-11-17;182,30;191,15;181,00;186,75;160;30.068
2021-11-16;183,30;187,00;182,25;185,30;840;153.956
2021-11-15;177,10;183,60;177,00;182,65;823;149.665
2021-11-12;178,00;179,05;175,15;175,40;29;5.135
2021-11-11;174,10;181,00;172,90;179,30;96;16.852
2021-11-10;178,70;180,40;170,90;176,90;274;48.578
2021-11-09;186,80;191,55;177,55;177,55;452;83.039
2021-11-08;184,80;193,00;182,00;190,40;424;79.401
2021-11-05;187,85;192,85;183,60;183,60;311;58.873
2021-11-04;190,00;196,15;187,15;188,10;383;73.288
2021-11-03;186,85;220,30;183,30;183,30;1.638;323.745
2021-11-02;173,25;180,00;169,00;179,00;531;93.588
2021-11-01;160,05;175,05;157,30;174,10;490;82.757
2021-10-29;156,75;160,10;155,10;157,85;127;19.935
2021-10-28;150,50;155,15;147,60;154,65;127;19.328
2021-10-27;153,00;156,75;150,90;150,90;866;134.028
2021-10-26;149,05;154,05;147,10;151,35;291;43.473
2021-10-25;146,15;148,40;142,65;147,70;131;19.158
2021-10-22;155,60;155,60;144,75;147,45;791;116.845
2021-10-21;157,85;160,35;157,25;157,50;59;9.392
2021-10-20;160,55;161,05;158,10;158,75;429;68.447
2021-10-19;161,25;164,00;160,40;160,50;237;38.190
2021-10-18;156,60;160,80;156,60;160,40;247;39.435
2021-10-15;160,40;160,40;156,25;156,25;71;11.262
2021-10-14;155,45;161,55;155,45;160,10;42;6.706
2021-10-13;152,75;160,00;152,75;160,00;61;9.606
2021-10-12;154,80;155,95;151,60;151,60;52;7.954
2021-10-11;150,50;161,00;149,65;158,05;1.169;182.570
2021-10-08;148,20;150,00;147,25;150,00;109;16.159
2021-10-07;149,80;151,20;148,35;150,10;112;16.709
2021-10-06;147,80;147,90;143,80;147,85;410;60.115
2021-10-05;148,05;149,35;144,25;146,55;189;27.884
2021-10-04;151,50;153,30;148,70;149,70;385;57.652
2021-10-01;152,80;154,10;148,60;153,40;162;24.626
2021-09-30;153,25;155,00;144,95;147,00;260;39.005
2021-09-29;154,90;155,45;150,35;150,65;518;78.846
2021-09-28;162,15;164,00;155,95;155,95;147;23.547
2021-09-27;159,05;163,30;158,75;160,30;373;60.063
2021-09-24;162,80;164,90;160,10;161,20;112;18.140
2021-09-23;161,75;165,75;161,75;165,25;85;13.981
2021-09-22;161,85;164,90;161,10;162,55;78;12.718
2021-09-21;164,35;166,70;159,90;160,50;181;29.597
2021-09-20;175,40;175,40;163,45;164,65;499;85.102
2021-09-17;174,35;180,00;173,95;174,30;293;51.841
2021-09-16;171,45;181,80;171,45;180,95;565;101.417
2021-09-15;167,70;170,80;164,95;170,80;304;50.844
2021-09-14;172,55;173,05;167,65;170,70;124;21.269
2021-09-13;163,80;174,35;163,45;171,60;500;83.196
2021-09-10;169,15;170,35;163,45;163,45;105;17.536
2021-09-09;155,80;166,50;151,20;166,50;1.064;165.957
2021-09-08;168,00;171,60;161,75;164,85;84;14.167
2021-09-07;175,65;175,65;167,05;167,55;386;66.337
2021-09-06;171,55;174,80;170,55;174,80;229;39.642
2021-09-03;178,75;180,75;172,75;172,75;211;37.822
2021-09-02;178,30;180,60;174,80;178,55;108;19.119
2021-09-01;186,05;188,25;179,75;179,95;399;73.230
2021-08-31;181,80;186,30;178,00;184,00;913;165.326
2021-08-30;171,70;183,05;168,10;180,90;683;122.122
2021-08-27;177,00;180,00;172,90;174,70;485;85.131
2021-08-26;170,95;183,05;167,65;179,70;1.038;180.879
2021-08-25;181,15;188,60;167,00;175,95;1.849;332.430
2021-08-24;141,55;165,20;141,25;165,00;1.568;238.975
2021-08-23;136,00;142,70;135,95;142,70;842;117.546
2021-08-20;130,30;135,15;130,20;135,15;168;22.295
2021-08-19;134,60;135,90;131,90;132,00;327;43.721
2021-08-18;140,15;140,15;135,00;136,00;448;61.441
2021-08-17;137,90;143,95;136,75;138,25;325;45.172
2021-08-16;137,35;142,65;137,15;139,05;214;29.759
