Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;59,78;60,22;59,43;59,71;;
2021-12-29;59,89;59,96;59,53;59,76;;
2021-12-28;59,81;60,39;59,41;59,87;;
2021-12-27;59,13;59,99;58,93;59,84;;
2021-12-23;59,00;59,61;58,87;59,18;;
2021-12-22;59,03;59,10;58,28;58,99;;
2021-12-21;58,04;59,09;57,80;59,06;;
2021-12-20;58,39;58,68;56,59;57,87;;
2021-12-19;58,88;58,88;58,75;58,75;;
2021-12-18;58,87;58,88;58,87;58,88;;
2021-12-17;59,60;59,66;58,36;58,87;;
2021-12-16;59,59;60,53;58,93;59,24;;
2021-12-15;58,98;59,44;58,45;59,41;;
2021-12-14;58,99;59,56;58,82;58,95;;
2021-12-13;59,36;59,92;58,86;58,95;;
2021-12-12;59,30;59,37;59,30;59,30;;
2021-12-11;59,30;59,32;59,29;59,30;;
2021-12-10;59,29;60,23;59,13;59,30;;
2021-12-09;60,84;60,87;59,02;59,37;;
2021-12-08;61,94;62,04;60,13;60,85;;
2021-12-07;61,31;62,37;61,31;61,97;;
2021-12-06;60,35;61,41;60,21;61,19;;
2021-12-05;60,10;60,15;60,10;60,14;;
2021-12-04;60,18;60,18;60,05;60,05;;
2021-12-03;60,75;61,17;59,92;60,17;;
2021-12-02;59,36;60,78;59,33;60,74;;
2021-12-01;59,77;60,72;59,09;59,11;;
2021-11-30;59,11;59,61;57,24;59,58;;
2021-11-29;61,08;61,68;59,19;59,87;;
2021-11-28;60,61;60,73;60,57;60,69;;
2021-11-27;60,85;60,85;60,61;60,61;;
2021-11-26;62,81;62,82;60,12;60,87;;
2021-11-25;63,85;63,97;62,79;63,28;;
2021-11-24;64,21;64,45;63,36;63,78;;
2021-11-23;63,25;64,70;62,89;64,17;;
2021-11-22;63,91;64,36;61,95;63,28;;
2021-11-21;63,90;63,90;63,83;63,83;;
2021-11-20;63,90;63,90;63,90;63,90;;
2021-11-19;64,31;64,53;62,77;63,89;;
2021-11-18;65,34;65,48;64,13;64,29;;
2021-11-17;65,84;66,19;64,85;65,33;;
2021-11-16;65,80;66,42;65,36;65,85;;
2021-11-15;66,03;66,17;65,09;65,80;;
2021-11-14;66,05;66,07;66,05;66,07;;
2021-11-13;66,05;66,05;66,05;66,05;;
2021-11-12;65,55;66,19;65,08;66,05;;
2021-11-11;65,25;66,09;65,25;65,53;;
2021-11-10;64,66;65,62;64,54;65,21;;
2021-11-09;65,33;65,86;64,43;64,72;;
2021-11-08;64,92;66,58;64,81;65,35;;
2021-11-07;64,89;64,93;64,89;64,93;;
2021-11-06;64,88;64,89;64,88;64,89;;
2021-11-05;64,53;65,38;63,92;64,88;;
2021-11-04;66,73;66,93;63,48;64,54;;
2021-11-03;65,78;66,95;65,51;66,72;;
2021-11-02;66,03;66,39;65,05;65,81;;
2021-11-01;65,26;66,38;65,25;66,05;;
2021-10-31;65,26;65,28;65,26;65,28;;
2021-10-30;65,26;65,26;65,26;65,26;;
2021-10-29;64,93;66,46;64,57;65,26;;
2021-10-28;64,69;65,38;64,11;64,96;;
2021-10-27;64,68;65,30;64,42;64,61;;
2021-10-26;64,33;65,67;64,08;64,67;;
2021-10-25;63,97;64,52;63,44;64,28;;
2021-10-24;63,96;63,96;63,96;63,96;;
2021-10-23;63,97;63,97;63,95;63,96;;
2021-10-22;63,81;64,54;63,71;63,95;;
2021-10-21;64,23;64,27;63,29;63,77;;
2021-10-20;64,71;64,71;63,01;64,28;;
2021-10-19;62,66;65,11;62,65;64,74;;
2021-10-18;63,05;63,30;62,01;62,65;;
2021-10-17;63,12;63,14;63,11;63,12;;
2021-10-16;63,12;63,14;63,10;63,12;;
2021-10-15;63,29;63,64;62,91;63,12;;
2021-10-14;62,77;63,50;62,28;63,24;;
2021-10-13;63,61;63,65;61,52;62,74;;
2021-10-12;62,93;63,73;62,12;63,55;;
2021-10-11;63,75;63,98;62,75;63,01;;
2021-10-10;63,69;63,69;63,69;63,69;;
2021-10-09;63,67;63,69;63,67;63,69;;
2021-10-08;63,91;64,30;63,45;63,67;;
2021-10-07;63,35;64,67;63,22;63,92;;
2021-10-06;63,65;63,68;61,47;63,24;;
2021-10-05;64,25;64,36;63,01;63,76;;
2021-10-04;64,72;64,90;63,88;64,24;;
2021-10-03;64,83;64,83;64,82;64,83;;
2021-10-02;64,84;64,84;64,83;64,83;;
2021-10-01;64,45;65,10;63,05;64,84;;
2021-09-30;65,06;65,78;64,21;64,66;;
2021-09-29;66,12;66,65;64,24;64,81;;
2021-09-28;67,69;67,76;65,51;66,06;;
2021-09-27;66,99;67,77;66,89;67,70;;
2021-09-26;66,81;66,89;66,79;66,89;;
2021-09-25;66,81;66,81;66,80;66,81;;
2021-09-24;66,39;67,47;65,78;66,81;;
2021-09-23;66,08;66,81;65,99;66,46;;
2021-09-22;64,20;66,23;64,20;65,98;;
2021-09-21;64,09;65,49;63,91;64,05;;
2021-09-20;66,28;66,36;63,02;63,91;;
2021-09-19;66,83;66,86;66,73;66,76;;
2021-09-18;66,83;66,83;66,83;66,83;;
2021-09-17;68,69;68,80;66,41;66,81;;
2021-09-16;69,88;69,96;67,96;68,62;;
2021-09-15;69,52;70,17;69,26;70,01;;
2021-09-14;70,07;70,16;69,21;69,34;;
2021-09-13;68,57;70,56;68,56;70,04;;
2021-09-12;68,51;68,56;68,51;68,56;;
2021-09-11;68,52;68,53;68,52;68,52;;
2021-09-10;69,67;69,77;68,50;68,52;;
2021-09-09;69,60;69,87;68,14;69,29;;
2021-09-08;71,21;71,31;69,60;69,92;;
2021-09-07;71,84;72,26;70,55;71,21;;
2021-09-06;72,34;72,93;71,81;71,93;;
2021-09-05;72,28;72,30;72,28;72,29;;
2021-09-04;72,28;72,28;72,28;72,28;;
2021-09-03;73,39;73,71;71,95;72,28;;
2021-09-02;73,06;73,70;72,98;73,27;;
2021-09-01;73,82;74,46;73,11;73,15;;
2021-08-31;74,14;74,46;73,22;73,61;;
2021-08-30;74,18;74,30;73,79;73,95;;
2021-08-29;74,16;74,26;74,16;74,26;;
2021-08-28;74,16;74,16;74,16;74,16;;
2021-08-27;73,69;74,32;73,37;74,20;;
2021-08-26;73,49;73,91;72,99;73,59;;
2021-08-25;73,55;73,88;73,36;73,70;;
2021-08-24;73,54;73,76;73,15;73,57;;
2021-08-23;72,69;73,34;72,27;73,33;;
2021-08-22;72,26;72,26;72,26;72,26;;
2021-08-21;72,26;72,26;72,26;72,26;;
2021-08-20;72,62;72,62;71,46;72,23;;
2021-08-19;74,25;74,29;71,92;72,85;;
2021-08-18;75,23;75,29;74,14;74,32;;
2021-08-17;75,71;75,94;74,93;75,03;;
2021-08-16;76,37;76,70;75,34;75,85;;
2021-08-15;76,61;76,61;76,57;76,59;;
2021-08-14;76,62;76,62;76,61;76,61;;
2021-08-13;76,06;76,93;75,98;76,62;;
2021-08-12;74,88;76,29;74,81;76,08;;
2021-08-11;73,91;75,26;73,75;74,92;;
2021-08-10;73,52;74,01;73,15;73,97;;
2021-08-09;75,55;75,56;72,88;73,51;;
2021-08-08;75,67;75,69;75,67;75,67;;
2021-08-07;75,67;75,67;75,67;75,67;;
2021-08-06;75,89;76,24;74,92;75,67;;
2021-08-05;75,29;76,03;74,73;75,88;;
2021-08-04;74,77;75,56;74,67;75,22;;
2021-08-03;74,31;75,06;73,87;74,69;;
2021-08-02;75,03;75,84;73,58;74,11;;
2021-08-01;74,80;74,81;74,75;74,75;;
2021-07-31;74,83;74,83;74,80;74,80;;
2021-07-30;74,99;76,06;74,63;74,81;;
2021-07-29;75,58;76,39;72,66;75,19;;
2021-07-28;74,64;76,80;74,25;75,62;;
2021-07-27;74,72;74,82;73,62;74,70;;
2021-07-26;74,09;75,09;73,46;74,82;;
2021-07-25;74,29;74,29;74,27;74,27;;
2021-07-24;74,29;74,29;74,29;74,29;;
2021-07-23;73,81;74,85;73,78;74,29;;
2021-07-22;73,63;74,86;73,46;73,82;;
2021-07-21;72,27;73,76;71,95;73,65;;
2021-07-20;70,65;72,52;70,46;72,33;;
2021-07-19;72,46;72,65;69,66;70,56;;
2021-07-18;72,58;72,58;72,54;72,56;;
2021-07-17;72,56;72,58;72,56;72,58;;
2021-07-16;74,03;74,25;72,20;72,56;;
2021-07-15;74,86;74,87;73,72;74,00;;
2021-07-14;74,72;75,40;73,77;74,85;;
2021-07-13;74,37;75,93;74,16;74,76;;
2021-07-12;74,70;74,72;72,88;74,37;;
2021-07-11;74,73;74,73;74,73;74,73;;
2021-07-10;74,73;74,73;74,73;74,73;;
2021-07-09;73,40;75,02;72,98;74,73;;
2021-07-08;75,44;76,04;72,24;73,35;;
2021-07-07;72,51;75,87;72,46;75,48;;
2021-07-06;72,73;74,25;72,17;72,52;;
2021-07-05;71,74;72,83;71,14;72,73;;
2021-07-04;71,76;71,76;71,76;71,76;;
2021-07-03;71,74;71,76;71,74;71,76;;
2021-07-02;72,54;72,69;71,45;71,76;;
2021-07-01;72,74;73,36;71,46;72,54;;
2021-06-30;73,49;73,51;71,99;72,73;;
2021-06-29;73,30;73,87;72,63;73,49;;
2021-06-28;75,24;75,49;72,89;73,33;;
2021-06-27;75,24;75,24;75,24;75,24;;
2021-06-26;75,23;75,24;75,19;75,24;;
2021-06-25;74,05;75,74;74,03;75,24;;
2021-06-24;72,21;74,21;72,20;74,03;;
2021-06-23;73,09;73,41;72,10;72,19;;
2021-06-22;72,81;73,25;72,21;73,07;;
2021-06-21;71,34;72,85;70,31;72,83;;
2021-06-20;71,63;71,63;71,52;71,58;;
2021-06-19;71,67;71,67;71,63;71,63;;
2021-06-18;73,61;73,70;71,35;71,65;;
2021-06-17;74,15;74,43;73,25;73,65;;
2021-06-16;74,56;74,72;73,54;74,29;;
2021-06-15;75,06;75,40;74,20;74,57;;
2021-06-14;75,01;75,80;74,64;74,95;;
2021-06-13;74,99;75,07;74,97;74,99;;
2021-06-12;74,99;74,99;74,99;74,99;;
2021-06-11;74,51;75,43;74,04;74,99;;
2021-06-10;74,23;75,37;73,93;74,47;;
2021-06-09;74,87;75,18;73,83;74,14;;
2021-06-08;75,75;75,94;73,73;74,90;;
2021-06-07;75,71;76,48;74,74;75,83;;
2021-06-06;75,87;75,87;75,81;75,82;;
2021-06-05;75,85;75,87;75,85;75,87;;
2021-06-04;76,75;76,91;75,73;75,85;;
