Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;59,82;60,24;59,52;59,52;262.937;15.721.621
2021-12-29;59,84;59,96;59,52;59,86;278.984;16.675.430
2021-12-28;59,88;60,40;59,84;59,96;278.092;16.694.198
2021-12-27;58,92;60,00;58,92;59,68;336.304;20.076.563
2021-12-23;59,18;59,56;58,86;59,28;463.554;27.402.239
2021-12-22;58,42;58,84;58,26;58,84;481.566;28.220.131
2021-12-21;58,06;59,00;57,78;58,54;658.756;38.570.830
2021-12-20;57,36;57,74;56,60;57,52;673.627;38.630.520
2021-12-17;59,18;59,64;58,64;58,96;954.359;56.394.671
2021-12-16;59,30;59,88;59,14;59,14;652.759;38.750.585
2021-12-15;59,04;59,26;58,46;58,66;358.107;21.039.749
2021-12-14;59,20;59,54;58,82;59,02;362.176;21.403.282
2021-12-13;59,68;59,90;58,86;58,92;420.358;24.897.382
2021-12-10;59,44;60,22;59,18;59,36;400.798;23.869.145
2021-12-09;60,54;60,60;59,02;59,56;718.970;42.816.449
2021-12-08;61,80;61,90;60,14;60,46;929.025;56.311.377
2021-12-07;61,70;62,38;61,52;61,84;632.370;39.161.075
2021-12-06;60,50;61,40;60,22;61,18;418.954;25.536.173
2021-12-03;60,98;61,16;59,92;60,18;671.304;40.569.733
2021-12-02;59,72;60,70;59,58;60,40;1.080.723;65.109.021
2021-12-01;59,78;60,70;59,62;60,04;806.884;48.485.505
2021-11-30;58,36;59,40;57,20;59,14;2.012.205;118.201.856
2021-11-29;61,50;61,68;59,18;59,62;1.387.908;83.182.202
2021-11-26;61,66;61,82;60,12;61,02;1.286.366;78.631.232
2021-11-25;63,82;63,82;62,80;63,24;591.117;37.346.918
2021-11-24;64,14;64,44;63,36;63,64;862.328;55.032.624
2021-11-23;63,04;64,68;63,04;63,98;795.370;50.833.784
2021-11-22;63,40;63,68;61,98;63,36;884.529;55.762.876
2021-11-19;64,36;64,52;62,78;63,88;1.064.671;67.674.561
2021-11-18;65,42;65,48;64,12;64,18;823.610;53.120.432
