Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;68,66;69,14;67,61;67,94;;
2021-12-29;69,11;69,58;68,14;68,65;;
2021-12-28;67,40;70,10;67,05;69,10;;
2021-12-27;68,48;68,86;66,98;67,43;;
2021-12-23;69,01;69,34;68,18;68,54;;
2021-12-22;69,35;69,59;68,13;68,99;;
2021-12-21;70,70;70,79;67,52;69,39;;
2021-12-20;68,59;71,71;68,14;70,70;;
2021-12-19;69,17;69,17;69,01;69,01;;
2021-12-18;69,15;69,17;69,15;69,17;;
2021-12-17;68,97;69,18;66,20;69,17;;
2021-12-16;70,49;71,67;68,03;68,47;;
2021-12-15;70,34;70,44;68,87;70,34;;
2021-12-14;73,12;73,24;69,86;70,30;;
2021-12-13;74,40;74,64;71,76;73,08;;
2021-12-12;74,32;74,42;74,32;74,32;;
2021-12-11;74,32;74,34;74,31;74,32;;
2021-12-10;77,76;77,81;73,83;74,32;;
2021-12-09;77,32;78,48;73,93;77,87;;
2021-12-08;80,02;82,14;75,63;77,34;;
2021-12-07;82,48;86,34;79,32;80,08;;
2021-12-06;83,91;85,21;80,35;82,30;;
2021-12-05;83,51;83,58;83,49;83,57;;
2021-12-04;83,63;83,63;83,41;83,41;;
2021-12-03;84,32;86,39;83,31;83,63;;
2021-12-02;85,44;85,85;83,05;84,38;;
2021-12-01;89,53;90,66;84,30;85,10;;
2021-11-30;93,26;96,57;88,08;89,27;;
2021-11-29;96,02;97,53;91,42;94,44;;
2021-11-28;94,84;95,11;94,75;95,04;;
2021-11-27;95,43;95,43;94,84;94,84;;
2021-11-26;90,48;97,19;89,25;95,31;;
2021-11-25;91,90;92,22;89,54;90,62;;
2021-11-24;90,40;91,87;89,26;91,87;;
2021-11-23;92,46;93,09;90,10;90,38;;
2021-11-22;94,48;96,54;92,39;92,48;;
2021-11-21;94,48;94,48;94,40;94,40;;
2021-11-20;94,48;94,48;94,48;94,48;;
2021-11-19;91,20;97,51;91,19;94,47;;
2021-11-18;91,30;91,84;89,81;91,12;;
2021-11-17;87,16;91,30;86,70;91,30;;
2021-11-16;87,60;88,02;85,09;87,20;;
2021-11-15;85,02;87,92;84,58;87,60;;
2021-11-14;85,02;85,02;85,02;85,02;;
2021-11-13;85,02;85,02;85,02;85,02;;
2021-11-12;85,17;85,90;83,86;85,02;;
2021-11-11;84,45;86,78;83,79;85,16;;
2021-11-10;85,46;85,92;83,73;84,43;;
2021-11-09;84,78;86,22;84,16;85,49;;
2021-11-08;83,78;86,48;83,17;84,82;;
2021-11-07;83,76;83,79;83,76;83,79;;
2021-11-06;83,74;83,76;83,74;83,76;;
2021-11-05;88,07;90,02;82,15;83,74;;
2021-11-04;88,06;88,86;86,53;88,08;;
2021-11-03;83,05;88,12;82,16;88,04;;
2021-11-02;76,10;86,00;72,81;83,09;;
2021-11-01;70,53;77,78;68,36;76,10;;
2021-10-31;70,53;70,56;70,53;70,55;;
2021-10-30;70,53;70,53;70,53;70,53;;
2021-10-29;72,60;72,96;69,61;70,53;;
2021-10-28;76,99;76,99;72,42;72,67;;
2021-10-27;79,40;79,55;75,84;76,88;;
2021-10-26;79,92;80,63;78,58;79,41;;
2021-10-25;78,92;80,02;78,05;79,88;;
2021-10-24;78,90;78,90;78,90;78,90;;
2021-10-23;78,92;78,92;78,89;78,90;;
2021-10-22;79,28;79,73;78,43;78,92;;
2021-10-21;80,88;80,88;78,55;79,22;;
2021-10-20;80,85;82,81;80,08;80,96;;
2021-10-19;83,44;84,14;80,60;80,89;;
2021-10-18;81,27;83,70;80,16;83,44;;
2021-10-17;81,37;81,40;81,36;81,37;;
2021-10-16;81,37;81,40;81,34;81,37;;
2021-10-15;78,56;81,80;77,83;81,37;;
2021-10-14;76,30;78,75;76,27;78,50;;
2021-10-13;76,69;78,10;75,37;76,24;;
2021-10-12;75,38;78,53;75,10;76,58;;
2021-10-11;80,11;80,46;73,71;75,46;;
2021-10-10;80,01;80,01;80,01;80,01;;
2021-10-09;79,99;80,01;79,99;80,01;;
2021-10-08;82,24;82,53;79,66;79,99;;
2021-10-07;81,42;83,06;79,98;82,25;;
2021-10-06;82,23;82,29;79,37;81,22;;
2021-10-05;78,85;83,56;78,80;82,51;;
2021-10-04;79,66;79,92;77,54;78,82;;
2021-10-03;79,89;79,89;79,86;79,88;;
2021-10-02;79,90;79,90;79,89;79,89;;
2021-10-01;79,48;80,58;78,77;79,90;;
2021-09-30;80,07;81,00;78,71;79,98;;
2021-09-29;79,74;82,99;79,18;79,80;;
2021-09-28;81,30;81,49;78,64;79,60;;
2021-09-27;85,34;85,96;81,16;81,33;;
2021-09-26;84,92;85,12;84,86;85,10;;
2021-09-25;84,92;84,92;84,88;84,92;;
2021-09-24;89,06;89,15;83,65;84,92;;
2021-09-23;88,54;90,75;87,07;89,23;;
2021-09-22;90,60;91,01;86,55;88,35;;
2021-09-21;86,83;90,53;86,38;90,20;;
2021-09-20;85,56;87,54;83,54;86,27;;
2021-09-19;86,35;86,39;86,17;86,23;;
2021-09-18;86,35;86,35;86,35;86,35;;
2021-09-17;87,26;89,31;86,11;86,35;;
2021-09-16;87,03;87,44;85,32;87,22;;
2021-09-15;89,86;90,11;86,41;87,21;;
2021-09-14;88,87;90,15;87,76;89,56;;
2021-09-13;91,63;91,89;88,42;88,81;;
2021-09-12;91,53;91,61;91,53;91,60;;
2021-09-11;91,55;91,57;91,55;91,55;;
2021-09-10;91,31;92,46;90,92;91,55;;
2021-09-09;91,71;92,42;89,75;90,77;;
2021-09-08;92,73;93,38;91,46;92,15;;
2021-09-07;92,45;93,79;92,43;92,69;;
2021-09-06;93,36;94,76;92,50;92,55;;
2021-09-05;93,32;93,34;93,30;93,30;;
2021-09-04;93,32;93,32;93,32;93,32;;
2021-09-03;93,79;93,94;91,19;93,32;;
2021-09-02;92,33;94,71;92,27;93,63;;
2021-09-01;91,56;92,87;90,53;92,41;;
2021-08-31;93,51;93,79;90,02;91,32;;
2021-08-30;94,07;94,19;92,61;93,29;;
2021-08-29;94,05;94,17;94,05;94,17;;
2021-08-28;94,05;94,07;94,05;94,05;;
2021-08-27;96,21;96,69;92,11;94,09;;
2021-08-26;95,13;96,44;94,89;96,11;;
2021-08-25;94,47;97,40;94,36;95,37;;
2021-08-24;94,10;96,12;93,76;94,53;;
2021-08-23;94,81;94,81;92,39;93,88;;
2021-08-22;94,31;94,31;94,31;94,31;;
2021-08-21;94,31;94,31;94,31;94,31;;
2021-08-20;93,55;96,42;93,20;94,29;;
2021-08-19;91,10;94,61;90,91;94,01;;
2021-08-18;86,07;92,45;86,03;91,21;;
2021-08-17;84,75;86,22;83,87;85,77;;
2021-08-16;82,10;85,94;82,04;84,99;;
2021-08-15;82,48;82,48;82,42;82,44;;
2021-08-14;82,48;82,48;82,48;82,48;;
2021-08-13;80,75;82,89;80,53;82,48;;
2021-08-12;81,77;82,26;78,96;80,77;;
2021-08-11;83,95;84,67;81,01;81,81;;
2021-08-10;77,03;85,34;76,46;84,01;;
2021-08-09;75,69;77,47;74,95;77,01;;
2021-08-08;75,85;75,87;75,85;75,85;;
2021-08-07;75,85;75,85;75,85;75,85;;
2021-08-06;76,65;78,31;71,27;75,85;;
2021-08-05;79,85;80,75;73,69;76,65;;
2021-08-04;78,02;80,59;77,85;79,75;;
2021-08-03;79,19;79,27;76,83;77,88;;
2021-08-02;79,25;80,30;77,72;78,93;;
2021-08-01;78,95;78,99;78,91;78,91;;
2021-07-31;78,99;78,99;78,95;78,95;;
2021-07-30;80,35;80,53;77,17;78,99;;
2021-07-29;83,08;84,40;79,95;80,77;;
2021-07-28;83,03;83,73;81,65;83,14;;
2021-07-27;84,33;84,34;82,77;83,25;;
2021-07-26;83,45;85,83;83,33;84,47;;
2021-07-25;83,79;83,79;83,75;83,75;;
2021-07-24;83,79;83,79;83,79;83,79;;
2021-07-23;84,15;84,19;82,19;83,79;;
2021-07-22;81,08;84,98;80,98;84,19;;
2021-07-21;80,71;82,05;80,33;81,06;;
2021-07-20;83,45;84,34;79,69;80,83;;
2021-07-19;81,75;84,10;80,25;83,37;;
2021-07-18;82,07;82,07;81,99;82,05;;
2021-07-17;82,05;82,07;82,05;82,07;;
2021-07-16;82,81;82,89;80,86;82,05;;
2021-07-15;82,63;83,37;81,65;82,73;;
2021-07-14;84,64;85,93;81,75;82,63;;
2021-07-13;84,09;85,16;83,14;84,74;;
2021-07-12;82,27;85,26;81,93;84,11;;
2021-07-11;82,37;82,39;82,37;82,39;;
2021-07-10;82,35;82,37;82,35;82,37;;
2021-07-09;84,20;86,25;80,38;82,35;;
2021-07-08;87,35;87,43;82,98;83,92;;
2021-07-07;86,03;89,11;83,38;87,61;;
2021-07-06;82,42;86,41;81,37;86,07;;
2021-07-05;81,93;83,44;81,29;82,38;;
2021-07-04;82,05;82,07;82,01;82,07;;
2021-07-03;82,05;82,05;82,05;82,05;;
2021-07-02;81,85;82,95;81,71;82,05;;
2021-07-01;81,89;83,38;81,77;81,85;;
2021-06-30;82,48;84,39;81,52;81,75;;
2021-06-29;80,98;83,18;80,56;82,44;;
2021-06-28;79,24;81,44;78,02;81,10;;
2021-06-27;79,24;79,26;79,22;79,24;;
2021-06-26;79,22;79,24;79,22;79,24;;
2021-06-25;78,81;80,99;78,07;79,22;;
2021-06-24;76,77;78,84;76,61;78,67;;
2021-06-23;80,48;80,56;75,38;76,65;;
2021-06-22;81,66;81,80;79,93;80,42;;
2021-06-21;81,14;84,21;80,47;81,66;;
2021-06-20;81,66;81,66;81,46;81,58;;
2021-06-19;81,72;81,72;81,66;81,66;;
2021-06-18;82,01;83,68;81,58;81,72;;
2021-06-17;80,14;82,43;78,30;82,09;;
2021-06-16;83,37;84,04;78,69;80,32;;
2021-06-15;83,91;85,47;83,26;83,39;;
2021-06-14;83,25;84,81;82,45;83,75;;
2021-06-13;83,23;83,23;83,23;83,23;;
2021-06-12;83,21;83,21;83,21;83,21;;
2021-06-11;82,65;83,52;81,05;83,21;;
2021-06-10;84,01;84,46;81,73;82,61;;
2021-06-09;81,73;84,22;81,38;83,87;;
2021-06-08;82,23;83,95;81,08;81,78;;
2021-06-07;79,62;83,01;79,60;82,35;;
2021-06-06;79,84;79,84;79,74;79,76;;
2021-06-05;79,82;79,84;79,82;79,84;;
2021-06-04;77,85;80,71;77,07;79,82;;
2021-06-03;75,65;78,20;75,39;77,87;;
2021-06-02;77,21;77,60;75,08;75,59;;
2021-06-01;74,91;77,89;74,79;77,13;;
2021-05-31;73,84;74,97;73,11;74,74;;
2021-05-30;73,98;74,04;73,98;74,04;;
2021-05-29;73,98;73,98;73,98;73,98;;
2021-05-28;73,53;75,03;72,02;73,98;;
2021-05-27;75,60;76,47;71,77;73,29;;
2021-05-26;77,06;78,83;75,58;75,68;;
2021-05-25;74,78;77,55;74,39;76,78;;
2021-05-24;73,81;74,94;73,68;74,82;;
2021-05-23;73,91;73,95;73,71;73,71;;
2021-05-22;73,91;73,91;73,91;73,91;;
2021-05-21;73,03;74,38;72,95;73,91;;
2021-05-20;71,43;73,70;70,62;72,89;;
2021-05-19;71,26;72,58;69,72;71,23;;
2021-05-18;69,79;72,77;69,32;71,52;;
2021-05-17;66,73;70,04;66,56;69,55;;
2021-05-16;66,89;66,93;66,85;66,87;;
2021-05-15;66,89;66,89;66,89;66,89;;
2021-05-14;66,98;67,46;65,06;66,89;;
2021-05-13;62,17;67,22;62,01;66,78;;
2021-05-12;63,91;67,55;62,27;62,27;;
2021-05-11;63,01;64,57;60,66;64,15;;
2021-05-10;65,83;66,02;62,77;63,47;;
2021-05-09;65,69;65,77;65,69;65,77;;
2021-05-08;65,71;65,77;65,69;65,77;;
2021-05-07;63,35;66,31;63,30;65,71;;
2021-05-06;66,82;67,30;62,69;63,23;;
2021-05-05;65,67;67,35;63,29;66,86;;
2021-05-04;69,49;71,37;64,48;65,41;;
2021-05-03;69,29;70,97;68,11;69,67;;
2021-04-30;70,15;70,81;68,42;69,17;;
2021-04-29;71,81;73,19;69,94;70,37;;
2021-04-28;70,21;71,97;68,93;71,67;;
2021-04-27;69,02;71,08;68,75;70,21;;
2021-04-26;69,47;70,69;67,88;69,00;;
2021-04-25;69,41;69,43;69,39;69,43;;
2021-04-24;69,41;69,41;69,06;69,41;;
2021-04-23;71,08;71,27;69,36;69,41;;
2021-04-22;71,50;72,02;70,24;70,96;;
2021-04-21;73,97;74,03;70,10;71,50;;
2021-04-20;74,49;75,81;72,75;73,91;;
2021-04-19;73,54;75,12;73,54;74,49;;
2021-04-18;73,66;73,66;73,50;73,52;;
2021-04-17;73,66;73,66;73,66;73,66;;
2021-04-16;74,75;75,93;72,34;73,66;;
2021-04-15;69,74;75,16;69,66;74,71;;
2021-04-14;71,83;72,95;69,34;69,60;;
2021-04-13;69,36;72,80;68,26;71,65;;
2021-04-12;69,73;70,31;66,87;69,36;;
2021-04-11;69,89;69,99;69,85;69,99;;
2021-04-10;69,95;69,95;69,79;69,87;;
2021-04-09;69,07;70,59;68,22;69,95;;
2021-04-08;67,38;69,96;67,38;69,09;;
2021-04-07;63,44;68,59;63,44;67,30;;
2021-04-06;64,70;65,44;61,54;63,49;;
2021-04-01;63,58;65,95;63,52;64,28;;
2021-03-31;60,775;64,55;60,775;63,525;;
2021-03-30;61,975;62,075;60,725;60,925;;
2021-03-29;62,525;64,15;61,475;61,975;;
2021-03-28;62,975;63,025;62,875;62,925;;
2021-03-27;63,025;63,025;62,975;62,975;;
2021-03-26;62,55;63,075;61,15;63,025;;
2021-03-25;63,60;63,95;60,45;62,40;;
2021-03-24;66,625;67,925;63,125;63,50;;
2021-03-23;65,975;68,60;64,60;66,675;;
2021-03-22;63,175;66,375;63,05;66,325;;
2021-03-21;63,225;63,225;63,125;63,175;;
2021-03-20;63,225;63,225;63,225;63,225;;
2021-03-19;61,825;64,20;61,10;63,225;;
2021-03-18;64,175;65,525;61,55;61,975;;
2021-03-17;64,825;66,10;63,25;64,025;;
2021-03-16;63,70;65,80;62,25;64,925;;
2021-03-15;60,625;63,875;60,625;63,75;;
2021-03-14;60,775;60,875;60,625;60,625;;
2021-03-13;60,775;60,775;60,775;60,775;;
2021-03-12;62,025;62,525;60,30;60,775;;
2021-03-11;57,50;62,70;57,375;62,025;;
2021-03-10;58,50;59,20;55,75;57,45;;
2021-03-09;54,925;59,05;54,55;58,65;;
2021-03-08;59,175;59,175;53,175;54,875;;
2021-03-07;59,375;59,675;59,375;59,575;;
2021-03-06;59,375;59,375;59,375;59,375;;
2021-03-05;59,525;60,575;57,675;59,375;;
2021-03-04;59,175;61,85;57,525;59,475;;
2021-03-03;63,75;64,825;59,225;59,275;;
2021-03-02;68,475;70,50;59,70;63,50;;
2021-03-01;64,775;68,875;64,675;68,875;;
2021-02-28;64,525;64,525;64,425;64,425;;
2021-02-27;64,325;64,525;64,325;64,525;;
2021-02-26;64,425;65,90;63,25;64,325;;
2021-02-25;66,075;67,05;63,975;64,575;;
2021-02-24;64,675;67,35;63,975;65,875;;
2021-02-23;66,425;67,10;61,65;65,00;;
2021-02-22;72,725;73,725;65,475;66,175;;
2021-02-21;72,675;72,775;72,675;72,775;;
2021-02-20;72,675;72,675;72,675;72,675;;
2021-02-19;69,675;73,025;69,425;72,675;;
2021-02-18;72,05;72,65;67,825;69,625;;
2021-02-17;76,225;76,35;70,80;72,20;;
2021-02-16;76,25;76,90;74,95;76,175;;
2021-02-15;76,675;77,90;75,35;76,125;;
2021-02-14;76,10;76,30;76,10;76,275;;
2021-02-13;76,125;76,125;76,075;76,10;;
2021-02-12;74,35;76,85;73,925;76,125;;
2021-02-11;72,55;75,55;71,575;74,45;;
2021-02-10;73,525;73,525;71,35;72,55;;
2021-02-09;74,575;74,575;72,10;73,275;;
2021-02-08;74,275;76,10;73,40;74,675;;
2021-02-07;73,775;73,825;73,725;73,825;;
2021-02-06;73,775;73,775;73,775;73,775;;
2021-02-05;74,00;75,40;70,65;73,825;;
2021-02-04;73,175;76,775;71,95;73,90;;
2021-02-03;71,875;74,825;70,275;73,475;;
2021-02-02;70,975;73,125;70,80;71,625;;
2021-02-01;70,125;72,85;69,725;70,775;;
2021-01-31;69,475;69,575;69,475;69,525;;
2021-01-30;69,425;69,475;69,425;69,475;;
2021-01-29;70,025;72,75;68,30;69,425;;
2021-01-28;74,70;74,75;66,85;71,025;;
2021-01-27;71,10;74,875;70,20;74,60;;
2021-01-26;72,475;72,975;70,025;71,35;;
2021-01-25;69,275;74,475;67,825;73,075;;
2021-01-24;69,075;69,125;69,025;69,025;;
2021-01-23;69,075;69,075;69,075;69,075;;
2021-01-22;66,25;69,425;66,075;69,075;;
2021-01-21;64,025;66,975;64,025;66,50;;
2021-01-20;64,30;64,925;62,65;63,925;;
2021-01-19;64,625;65,575;63,80;64,60;;
2021-01-18;62,10;65,125;61,95;64,425;;
2021-01-17;62,15;62,15;61,90;62,05;;
2021-01-16;62,10;62,15;62,10;62,15;;
2021-01-15;64,325;64,60;60,20;62,10;;
2021-01-14;63,825;65,00;63,05;64,625;;
2021-01-13;64,20;64,675;62,95;63,575;;
2021-01-12;63,25;64,95;62,675;64,15;;
2021-01-11;63,525;65,075;61,95;63,15;;
2021-01-10;64,125;64,225;64,125;64,125;;
2021-01-09;64,125;64,125;64,125;64,125;;
2021-01-08;66,575;66,775;63,475;64,125;;
2021-01-07;66,775;68,375;64,75;66,175;;
2021-01-06;68,125;68,60;65,775;66,775;;
2021-01-05;63,725;68,425;62,35;68,225;;
2021-01-04;63,525;64,60;61,30;63,625;;
2020-12-30;61,675;63,75;61,55;63,20;;
2020-12-29;60,55;62,20;59,55;61,525;;
2020-12-28;58,55;62,90;58,225;60,125;;
2020-12-23;61,325;61,55;56,825;58,20;;
2020-12-22;62,125;63,30;60,925;61,375;;
2020-12-21;61,45;63,70;60,55;62,675;;
2020-12-20;62,125;62,125;61,825;61,925;;
2020-12-19;62,125;62,125;62,125;62,125;;
2020-12-18;58,75;64,00;58,75;62,125;;
2020-12-17;60,825;60,85;57,725;59,00;;
2020-12-16;60,475;61,35;59,65;60,725;;
2020-12-15;61,20;61,825;57,85;60,625;;
2020-12-14;62,625;66,475;60,15;61,15;;
2020-12-13;62,625;62,625;62,075;62,325;;
2020-12-12;62,575;62,575;62,575;62,575;;
2020-12-11;56,075;62,825;56,05;62,575;;
2020-12-10;51,20;58,075;51,075;56,20;;
2020-12-09;48,37;52,50;47,81;51,20;;
2020-12-08;47,48;48,83;47,28;48,25;;
2020-12-07;47,69;48,56;46,83;47,38;;
2020-12-06;47,76;47,80;47,76;47,80;;
2020-12-05;47,76;47,76;47,76;47,76;;
2020-12-04;47,34;48,08;46,64;47,82;;
2020-12-03;47,97;49,06;46,64;47,16;;
2020-12-02;48,26;49,95;47,35;48,01;;
2020-12-01;49,39;51,65;48,19;48,42;;
2020-11-30;49,35;52,30;48,47;49,11;;
2020-11-29;49,825;49,89;49,825;49,845;;
2020-11-28;49,825;49,825;49,825;49,825;;
2020-11-27;47,40;50,60;47,40;49,825;;
2020-11-26;45,97;48,28;45,92;47,32;;
2020-11-25;44,12;46,30;43,74;45,94;;
2020-11-24;47,45;48,11;43,67;44,28;;
2020-11-23;49,63;49,73;46,63;47,21;;
2020-11-22;49,39;49,51;49,39;49,39;;
2020-11-21;49,49;49,49;49,39;49,39;;
2020-11-20;47,05;49,90;46,47;49,47;;
2020-11-19;44,30;47,88;44,30;47,05;;
2020-11-18;43,24;44,94;43,14;44,28;;
2020-11-17;41,60;43,86;41,58;43,38;;
2020-11-16;44,17;44,19;40,93;41,82;;
2020-11-15;43,83;43,89;43,83;43,89;;
2020-11-14;43,83;43,83;43,83;43,83;;
2020-11-13;44,34;45,11;43,25;43,83;;
2020-11-12;42,95;44,57;42,36;44,17;;
2020-11-11;41,71;43,29;40,54;43,17;;
2020-11-10;42,54;43,52;38,03;41,75;;
2020-11-09;49,55;51,20;39,70;42,74;;
2020-11-08;48,87;49,19;48,87;49,15;;
2020-11-06;49,59;49,86;47,90;48,87;;
2020-11-05;50,625;51,775;49,47;49,83;;
