Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;71,78;71,88;71,19;71,21;;
2021-12-29;71,59;72,08;71,31;71,75;;
2021-12-28;71,07;71,84;71,05;71,57;;
2021-12-27;70,47;71,17;70,27;71,11;;
2021-12-23;70,24;70,83;70,16;70,49;;
2021-12-22;69,92;70,27;69,25;70,24;;
2021-12-21;70,03;70,45;69,52;69,93;;
2021-12-20;70,45;70,52;68,92;70,01;;
2021-12-19;70,56;70,56;70,53;70,53;;
2021-12-18;70,56;70,56;70,56;70,56;;
2021-12-17;70,12;70,77;69,97;70,56;;
2021-12-16;70,74;70,94;70,07;70,14;;
2021-12-15;70,91;71,27;70,05;70,72;;
2021-12-14;70,77;71,39;70,45;70,91;;
2021-12-13;71,51;71,59;70,56;70,77;;
2021-12-12;71,50;71,52;71,50;71,50;;
2021-12-11;71,50;71,51;71,50;71,50;;
2021-12-10;71,39;71,58;70,66;71,50;;
2021-12-09;71,66;72,15;71,07;71,41;;
2021-12-08;72,77;73,00;71,39;71,66;;
2021-12-07;72,29;72,88;71,96;72,78;;
2021-12-06;70,61;72,29;70,54;72,27;;
2021-12-05;70,55;70,57;70,55;70,57;;
2021-12-04;70,57;70,57;70,54;70,54;;
2021-12-03;71,11;71,45;70,33;70,57;;
2021-12-02;70,27;71,40;70,14;71,12;;
2021-12-01;70,32;70,89;69,39;70,22;;
2021-11-30;71,37;71,61;69,70;70,18;;
2021-11-29;71,96;72,74;71,22;71,51;;
2021-11-28;71,78;71,85;71,78;71,84;;
2021-11-27;71,89;71,89;71,78;71,78;;
2021-11-26;72,35;73,24;71,54;72,10;;
2021-11-25;74,01;74,04;73,04;73,97;;
2021-11-24;74,50;74,50;73,03;73,75;;
2021-11-23;74,73;74,76;74,00;74,36;;
2021-11-22;75,76;76,01;74,26;74,80;;
2021-11-21;75,75;75,75;75,51;75,51;;
2021-11-20;75,75;75,75;75,75;75,75;;
2021-11-19;76,31;76,61;75,36;75,75;;
2021-11-18;76,99;77,15;75,49;76,07;;
2021-11-17;77,54;77,63;76,52;76,89;;
2021-11-16;76,65;78,12;76,30;77,67;;
2021-11-15;76,74;77,02;76,09;76,65;;
2021-11-14;76,78;76,86;76,78;76,86;;
2021-11-13;76,78;76,78;76,78;76,78;;
2021-11-12;77,19;77,38;76,19;76,78;;
2021-11-11;77,55;77,83;76,99;77,07;;
2021-11-10;77,58;78,47;77,17;77,42;;
2021-11-09;75,96;78,07;75,19;77,71;;
2021-11-08;80,95;80,95;75,53;76,07;;
2021-11-07;80,89;80,98;80,87;80,98;;
2021-11-06;80,83;80,89;80,83;80,89;;
2021-11-05;79,87;81,21;79,75;80,83;;
2021-11-04;80,83;80,99;79,46;79,91;;
2021-11-03;79,63;80,78;79,32;80,78;;
2021-11-02;78,17;79,77;77,94;79,75;;
2021-11-01;77,45;78,66;77,31;78,29;;
2021-10-31;77,43;77,53;77,43;77,50;;
2021-10-30;77,43;77,43;77,43;77,43;;
2021-10-29;77,02;77,63;75,76;77,43;;
2021-10-28;76,94;77,54;76,15;77,18;;
2021-10-27;77,11;77,50;76,61;76,81;;
2021-10-26;76,62;77,49;76,04;77,10;;
2021-10-25;77,43;77,68;75,99;76,53;;
2021-10-24;77,41;77,41;77,41;77,41;;
2021-10-23;77,43;77,43;77,39;77,41;;
2021-10-22;76,87;77,84;76,23;77,41;;
2021-10-21;76,63;77,12;76,15;76,77;;
2021-10-20;77,07;77,32;76,34;76,71;;
2021-10-19;77,47;77,63;76,72;77,12;;
2021-10-18;77,49;78,45;77,18;77,46;;
2021-10-17;77,63;77,66;77,60;77,63;;
2021-10-16;77,63;77,67;77,59;77,63;;
2021-10-15;78,51;78,55;77,39;77,62;;
2021-10-14;77,58;79,10;77,18;78,41;;
2021-10-13;78,09;78,15;76,36;77,53;;
2021-10-12;78,54;78,74;77,55;78,00;;
2021-10-11;79,45;79,49;78,42;78,61;;
2021-10-10;79,37;79,37;79,37;79,37;;
2021-10-09;79,35;79,37;79,35;79,37;;
2021-10-08;79,07;79,53;78,96;79,35;;
