Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;71,72;71,78;71,14;71,14;188.913;13.468.617
2021-12-29;71,84;72,08;71,32;71,64;270.169;19.353.893
2021-12-28;71,20;71,84;71,08;71,68;239.306;17.135.789
2021-12-27;70,52;71,16;70,28;71,06;261.928;18.585.047
2021-12-23;70,22;70,80;70,18;70,64;325.778;22.975.299
2021-12-22;69,50;70,16;69,24;70,16;319.418;22.325.556
2021-12-21;70,24;70,64;69,52;69,52;518.638;36.127.697
2021-12-20;69,96;69,98;68,92;69,76;351.383;24.442.666
2021-12-17;70,06;70,72;70,06;70,64;1.046.379;73.855.666
2021-12-16;70,64;70,78;70,06;70,28;636.611;44.763.939
2021-12-15;71,16;71,30;70,00;70,00;483.466;33.979.855
2021-12-14;70,94;71,38;70,46;70,90;430.602;30.528.715
2021-12-13;71,26;71,36;70,56;70,82;333.046;23.613.513
2021-12-10;70,92;71,56;70,66;71,26;363.542;25.902.842
2021-12-09;71,76;72,14;71,08;71,16;347.939;24.801.758
2021-12-08;72,70;73,02;71,62;71,66;458.340;32.968.617
2021-12-07;72,18;72,86;71,96;72,86;564.762;41.015.341
2021-12-06;70,72;72,02;70,54;71,88;456.284;32.593.129
2021-12-03;71,06;71,32;70,30;70,44;514.521;36.323.579
2021-12-02;70,30;71,38;70,16;70,74;592.521;41.999.781
2021-12-01;69,78;70,90;69,36;70,74;509.557;35.853.506
2021-11-30;70,50;70,88;69,70;69,70;1.177.059;82.299.288
2021-11-29;72,22;72,28;71,10;71,10;605.859;43.345.815
2021-11-26;73,00;73,30;71,76;71,76;720.543;52.062.565
2021-11-25;73,24;73,70;73,04;73,50;259.016;19.013.441
2021-11-24;74,48;74,48;73,04;73,24;596.198;43.786.296
2021-11-23;74,00;74,66;73,80;74,30;586.066;43.524.422
2021-11-22;75,22;75,32;74,26;74,66;595.817;44.542.376
2021-11-19;75,98;76,04;75,32;75,38;819.968;61.999.153
2021-11-18;76,80;77,00;75,50;75,98;817.799;62.164.276
2021-11-17;77,50;77,60;76,52;76,90;471.519;36.264.953
