Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;40,5925;40,8675;40,375;40,6675;;
2021-12-29;40,93;40,945;40,3225;40,585;;
2021-12-28;40,9975;41,3175;40,7525;40,9275;;
2021-12-27;39,91;41,025;39,6175;41,015;;
2021-12-23;39,79;40,09;39,51;39,94;;
2021-12-22;39,8125;39,945;39,25;39,7825;;
2021-12-21;39,1675;39,89;39,015;39,8325;;
2021-12-20;38,6425;39,0775;37,6625;39,055;;
2021-12-19;38,9675;38,9675;38,88;38,88;;
2021-12-18;38,9625;38,9675;38,9625;38,9675;;
2021-12-17;39,4475;39,4675;37,975;38,9675;;
2021-12-16;40,4875;41,11;38,90;39,0675;;
2021-12-15;39,0725;40,3875;38,6325;40,3725;;
2021-12-14;40,05;40,395;38,535;39,05;;
2021-12-13;40,1875;41,08;39,91;40,02;;
2021-12-12;40,1475;40,2025;40,1475;40,1475;;
2021-12-11;40,1475;40,1625;40,1425;40,1475;;
2021-12-10;40,0425;40,5375;39,7525;40,1475;;
2021-12-09;41,095;41,275;39,9575;40,0975;;
2021-12-08;42,89;42,89;40,6125;41,105;;
2021-12-07;40,6775;43,035;40,675;42,9025;;
2021-12-06;40,2325;41,115;40,1375;40,5925;;
2021-12-05;40,0275;40,0675;40,0225;40,06;;
2021-12-04;40,0925;40,0925;39,975;39,975;;
2021-12-03;40,74;40,91;39,855;40,0875;;
2021-12-02;41,55;41,8275;39,91;40,74;;
2021-12-01;40,4925;42,2325;40,135;41,3675;;
2021-11-30;40,135;40,8325;39,19;40,3525;;
2021-11-29;39,25;40,69;39,25;40,69;;
2021-11-28;38,7225;39,25;38,7225;39,25;;
2021-11-27;38,8675;38,8675;38,7175;38,7225;;
2021-11-26;40,63;40,8175;38,555;38,9175;;
2021-11-25;41,5475;41,7025;40,94;41,43;;
2021-11-24;41,6275;41,7825;40,4475;41,415;;
2021-11-23;42,6675;42,6675;41,1925;41,5625;;
2021-11-22;43,20;43,5025;42,49;42,71;;
2021-11-21;43,2925;43,2925;43,0575;43,0575;;
2021-11-20;43,2925;43,2925;43,2925;43,2925;;
2021-11-19;43,4525;43,8425;43,0125;43,2825;;
2021-11-18;42,96;43,7375;42,9575;43,34;;
2021-11-17;43,0825;43,665;42,8575;42,9125;;
2021-11-16;42,75;43,22;42,4825;43,145;;
2021-11-15;42,7225;43,01;42,40;42,75;;
2021-11-14;42,735;42,7625;42,735;42,7625;;
2021-11-13;42,735;42,735;42,735;42,735;;
2021-11-12;42,1675;42,7625;42,06;42,735;;
2021-11-11;41,025;42,245;40,8825;42,1275;;
2021-11-10;41,535;43,21;40,7375;40,9875;;
2021-11-09;42,76;43,215;41,22;41,575;;
2021-11-08;42,8675;43,0375;42,63;42,7925;;
2021-11-07;42,8525;42,8725;42,8475;42,8725;;
2021-11-06;42,8375;42,8525;42,8375;42,8525;;
2021-11-05;42,06;42,9275;41,9575;42,8375;;
2021-11-04;42,21;42,615;41,7725;42,065;;
2021-11-03;41,185;42,1975;41,1725;42,1975;;
2021-11-02;40,785;41,375;40,6825;41,215;;
2021-11-01;40,3825;40,885;39,9325;40,815;;
2021-10-31;40,3775;40,4075;40,3775;40,4025;;
2021-10-30;40,3775;40,3775;40,3775;40,3775;;
2021-10-29;39,915;40,53;39,455;40,3775;;
2021-10-28;39,2775;40,1275;39,18;39,9525;;
2021-10-27;39,205;39,2925;38,30;39,2275;;
2021-10-26;39,085;39,56;38,9875;39,205;;
2021-10-25;38,375;39,12;38,3475;39,07;;
2021-10-24;38,3675;38,3675;38,3675;38,3675;;
2021-10-23;38,4975;38,4975;38,3675;38,3675;;
2021-10-22;37,9575;38,8775;37,585;38,4975;;
2021-10-21;37,53;38,0475;37,23;37,935;;
2021-10-20;37,8725;38,105;37,4425;37,55;;
2021-10-19;37,5275;37,9875;37,5275;37,8875;;
2021-10-18;37,0175;37,59;36,7525;37,5275;;
2021-10-17;37,0525;37,0575;37,0475;37,0525;;
2021-10-16;37,0525;37,0575;37,04;37,0525;;
2021-10-15;37,0075;37,3775;36,735;37,0525;;
2021-10-14;35,875;37,0025;35,875;36,985;;
2021-10-13;35,335;36,0825;34,76;35,8575;;
2021-10-12;35,6425;36,055;35,275;35,3025;;
2021-10-11;35,7925;35,895;35,0125;35,69;;
2021-10-10;35,755;35,755;35,755;35,755;;
2021-10-09;35,75;35,755;35,75;35,755;;
2021-10-08;35,9425;35,9975;35,425;35,7475;;
2021-10-07;35,5525;36,325;35,4575;35,95;;
2021-10-06;35,6375;35,86;34,4725;35,4925;;
2021-10-05;33,9725;35,8775;33,95;35,705;;
2021-10-04;34,9675;35,06;33,9225;33,965;;
2021-10-03;35,0175;35,0175;35,01;35,0175;;
2021-10-02;35,02;35,02;35,0175;35,0175;;
2021-10-01;35,445;35,4725;34,5975;35,02;;
2021-09-30;35,4675;35,9625;35,0175;35,555;;
2021-09-29;35,7175;35,9225;35,1625;35,325;;
2021-09-28;37,6325;37,67;35,33;35,695;;
2021-09-27;37,6475;38,07;37,4425;37,6375;;
2021-09-26;37,5575;37,6025;37,545;37,60;;
2021-09-25;37,5575;37,5575;37,555;37,5575;;
2021-09-24;37,69;37,73;37,285;37,5575;;
2021-09-23;36,8125;37,935;36,805;37,72;;
2021-09-22;36,4975;36,825;36,1375;36,7625;;
2021-09-21;35,6975;36,6425;35,68;36,43;;
2021-09-20;36,93;36,945;35,2075;35,6225;;
2021-09-19;37,00;37,0025;36,9775;36,985;;
2021-09-18;37,00;37,00;37,00;37,00;;
