Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;40,435;40,865;40,405;40,76;1.553.893;63.270.464
2021-12-29;40,905;40,915;40,32;40,485;2.051.629;83.164.321
2021-12-28;40,86;41,32;40,755;41,00;2.093.132;85.890.786
2021-12-27;39,90;41,00;39,615;40,925;2.084.503;84.677.678
2021-12-23;39,83;40,09;39,51;39,99;1.797.660;71.691.585
2021-12-22;39,90;39,935;39,25;39,705;1.895.425;74.971.449
2021-12-21;39,70;39,89;39,02;39,475;2.721.311;107.360.152
2021-12-20;37,80;39,05;37,55;38,835;3.929.388;151.384.214
2021-12-17;38,945;39,07;37,98;38,905;8.031.281;310.032.747
2021-12-16;40,97;41,11;39,185;39,24;5.398.108;215.397.619
2021-12-15;38,92;39,44;38,875;39,34;2.787.882;109.544.420
2021-12-14;40,10;40,40;38,525;38,70;4.051.975;158.714.770
2021-12-13;40,30;41,075;39,95;40,01;2.691.052;108.735.023
2021-12-10;39,87;40,53;39,60;39,985;2.895.863;116.190.571
2021-12-09;41,10;41,23;40,005;40,445;4.118.156;166.683.867
2021-12-08;41,64;42,025;40,605;40,915;6.500.680;267.461.553
2021-12-07;41,34;42,89;41,245;42,88;4.889.023;207.363.710
2021-12-06;40,49;41,11;40,14;40,365;4.475.332;181.839.436
2021-12-03;40,675;40,91;39,89;40,16;5.044.298;203.329.105
2021-12-02;41,25;41,47;39,91;40,255;6.486.527;262.043.945
2021-12-01;40,725;42,23;40,13;42,09;4.324.908;179.077.673
2021-11-30;39,85;40,83;39,18;39,93;7.049.060;281.450.294
2021-11-29;39,995;40,56;39,76;40,22;4.442.572;178.435.912
2021-11-26;40,00;40,815;39,20;39,575;6.048.234;241.943.139
2021-11-25;41,53;41,70;40,945;41,31;1.934.948;79.859.829
2021-11-24;41,50;41,80;40,44;41,23;4.364.470;178.953.700
2021-11-23;41,915;42,335;41,195;41,275;5.367.449;223.227.449
2021-11-22;43,41;43,50;42,81;42,87;3.010.466;129.719.510
2021-11-19;43,685;43,845;43,01;43,165;5.082.650;220.803.970
2021-11-18;43,09;43,74;43,015;43,46;3.496.905;151.853.834
2021-11-17;43,195;43,665;42,865;43,00;3.470.431;150.004.101
2021-11-16;42,75;42,97;42,485;42,925;2.529.127;108.227.601
2021-11-15;42,825;42,905;42,42;42,645;2.533.031;108.011.066
2021-11-12;42,18;42,76;42,15;42,745;3.243.669;138.055.099
2021-11-11;41,09;42,09;40,89;42,09;3.461.856;143.975.832
2021-11-10;42,70;43,21;40,73;41,23;6.500.098;270.292.872
2021-11-09;42,80;43,215;41,175;41,735;6.912.922;290.902.244
2021-11-08;42,725;43,03;42,635;42,785;2.559.538;109.612.174
2021-11-05;42,40;42,925;42,00;42,865;5.574.525;237.425.077
2021-11-04;42,40;42,61;41,775;42,02;4.007.788;168.538.509
2021-11-03;41,49;42,00;41,27;42,00;3.384.838;141.257.839
2021-11-02;40,90;41,38;40,73;41,38;3.897.957;160.474.635
2021-11-01;40,62;40,855;39,935;40,71;3.327.980;134.731.454
2021-10-29;39,71;40,435;39,455;40,395;4.314.578;172.778.151
2021-10-28;39,285;40,13;39,15;40,10;4.322.540;172.050.424
2021-10-27;38,75;39,26;38,295;39,26;3.844.155;149.570.786
2021-10-26;39,20;39,56;38,985;39,25;3.154.108;123.890.253
2021-10-25;38,905;39,11;38,545;39,025;2.581.996;100.308.531
2021-10-22;38,00;38,88;37,975;38,61;3.931.953;151.427.026
2021-10-21;37,385;38,05;37,225;37,925;3.521.327;133.366.454
2021-10-20;37,675;38,10;37,435;37,62;3.457.413;130.565.753
2021-10-19;37,90;37,99;37,585;37,86;3.458.559;130.812.026
2021-10-18;36,93;37,565;36,75;37,54;3.055.280;113.838.427
2021-10-15;37,24;37,385;36,735;37,07;4.287.043;158.837.964
2021-10-14;36,37;36,97;36,145;36,95;3.782.548;138.865.806
2021-10-13;35,08;36,08;34,71;35,98;3.845.352;137.461.606
2021-10-12;35,39;36,055;35,28;35,345;3.520.288;125.126.901
2021-10-11;35,58;35,895;35,01;35,785;3.127.710;111.210.340
2021-10-08;35,92;36,00;35,42;35,70;2.744.520;98.068.053
