Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;304,60;305,725;302,55;305,125;;
2021-12-29;304,30;305,675;302,775;304,45;;
2021-12-28;302,575;304,925;301,425;304,15;;
2021-12-27;299,075;303,275;298,175;302,875;;
2021-12-23;296,225;301,075;295,25;299,60;;
2021-12-22;294,825;296,175;292,45;296,125;;
2021-12-21;293,90;296,375;290,525;295,325;;
2021-12-20;290,875;294,575;287,825;293,275;;
2021-12-19;297,125;297,125;295,425;295,475;;
2021-12-18;297,10;297,125;297,10;297,125;;
2021-12-17;294,575;303,40;294,575;297,10;;
2021-12-16;304,525;319,175;298,05;300,20;;
2021-12-15;297,35;303,275;295,60;302,90;;
2021-12-14;296,85;298,425;295,25;296,925;;
2021-12-13;296,375;297,65;293,575;296,35;;
2021-12-12;295,675;296,575;295,675;295,675;;
2021-12-11;295,675;295,925;295,575;295,675;;
2021-12-10;293,375;296,85;292,05;295,675;;
2021-12-09;293,525;295,75;291,125;294,25;;
2021-12-08;295,625;297,45;292,20;293,65;;
2021-12-07;289,95;296,10;288,875;296,00;;
2021-12-06;287,05;289,675;284,075;288,70;;
2021-12-05;283,225;283,975;283,125;283,825;;
2021-12-04;284,40;284,40;282,275;282,275;;
2021-12-03;287,15;289,35;281,40;284,40;;
2021-12-02;283,90;287,925;281,525;287,875;;
2021-12-01;283,625;287,50;281,125;282,70;;
2021-11-30;281,225;283,30;277,60;281,925;;
2021-11-29;282,80;287,275;280,95;286,70;;
2021-11-28;275,025;277,55;274,40;277,55;;
2021-11-27;278,025;278,025;275,025;275,025;;
2021-11-26;286,375;287,60;275,20;278,225;;
2021-11-25;293,825;293,95;292,325;292,75;;
2021-11-24;293,85;293,85;289,80;292,75;;
2021-11-23;293,375;294,65;289,475;293,35;;
2021-11-22;294,60;297,15;293,40;293,55;;
2021-11-21;294,55;294,55;294,20;294,20;;
2021-11-20;294,55;294,55;294,55;294,55;;
2021-11-19;290,70;294,875;290,70;294,50;;
2021-11-18;293,20;294,325;290,075;290,55;;
2021-11-17;294,625;295,775;292,975;293,10;;
2021-11-16;292,85;295,85;292,85;294,675;;
2021-11-15;294,575;296,65;291,575;292,85;;
2021-11-14;294,675;294,875;294,675;294,875;;
2021-11-13;294,675;294,675;294,675;294,675;;
2021-11-12;294,075;295,425;292,675;294,675;;
2021-11-11;293,475;295,05;292,475;293,825;;
2021-11-10;291,95;293,725;291,575;293,225;;
2021-11-09;291,45;293,425;289,65;292,25;;
2021-11-08;287,275;291,775;286,575;291,65;;
2021-11-07;287,125;287,325;287,10;287,325;;
2021-11-06;287,025;287,125;287,025;287,125;;
2021-11-05;287,20;288,475;285,05;287,025;;
2021-11-04;284,125;287,55;281,875;287,30;;
2021-11-03;282,575;285,775;281,175;283,975;;
2021-11-02;278,425;283,90;278,275;282,925;;
2021-11-01;276,70;280,925;276,65;278,825;;
2021-10-31;276,65;276,95;276,65;276,85;;
2021-10-30;276,65;276,65;276,65;276,65;;
2021-10-29;271,125;278,675;269,225;276,65;;
2021-10-28;275,05;275,775;270,10;271,90;;
2021-10-27;272,675;276,90;272,10;274,65;;
2021-10-26;273,875;275,675;272,525;272,675;;
2021-10-25;269,70;273,70;268,775;273,375;;
2021-10-24;269,575;269,575;269,575;269,575;;
2021-10-23;269,625;269,625;269,475;269,575;;
2021-10-22;268,50;270,60;266,625;269,625;;
2021-10-21;266,375;268,60;264,55;268,00;;
2021-10-20;267,15;267,925;264,275;266,825;;
2021-10-19;265,525;267,45;263,625;267,40;;
2021-10-18;265,525;266,125;263,425;265,475;;
2021-10-17;266,20;266,375;266,10;266,225;;
2021-10-16;266,20;266,40;266,00;266,20;;
2021-10-15;266,175;266,975;264,575;266,20;;
2021-10-14;260,375;266,225;260,15;265,775;;
2021-10-13;256,325;260,65;254,55;259,975;;
2021-10-12;254,775;257,475;253,10;255,675;;
2021-10-11;256,175;257,725;253,95;254,825;;
2021-10-10;255,725;255,725;255,725;255,725;;
2021-10-09;255,625;255,725;255,625;255,725;;
2021-10-08;259,125;259,70;255,325;255,625;;
2021-10-07;257,325;261,525;253,70;259,275;;
2021-10-06;255,80;256,175;250,65;256,025;;
2021-10-05;253,225;258,15;251,70;257,40;;
2021-10-04;255,75;256,125;251,35;253,125;;
2021-10-03;256,95;256,95;256,80;256,95;;
2021-10-02;257,05;257,05;256,95;256,95;;
2021-10-01;250,425;257,325;250,15;257,05;;
2021-09-30;259,275;260,475;252,925;253,075;;
2021-09-29;257,675;262,625;256,45;258,525;;
2021-09-28;264,825;265,575;255,275;256,925;;
2021-09-27;266,80;268,50;264,275;264,925;;
2021-09-26;265,10;265,90;264,90;265,85;;
2021-09-25;265,10;265,10;265,00;265,10;;
2021-09-24;263,975;265,575;261,55;265,10;;
2021-09-23;263,025;265,60;262,225;264,525;;
2021-09-22;261,475;263,225;259,40;262,275;;
2021-09-21;259,05;262,375;258,15;260,025;;
2021-09-20;260,45;261,175;255,175;257,00;;
2021-09-19;262,825;262,975;262,225;262,375;;
2021-09-18;262,825;262,825;262,825;262,825;;
2021-09-17;265,875;267,725;260,575;262,825;;
2021-09-16;265,625;268,225;263,425;265,575;;
2021-09-15;265,625;266,65;263,775;266,225;;
2021-09-14;266,625;267,20;263,55;264,575;;
2021-09-13;262,90;267,85;262,85;266,475;;
2021-09-12;262,65;262,875;262,65;262,85;;
