Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;304,50;306,00;302,55;306,00;464.349;141.689.243
2021-12-29;304,95;304,95;302,80;303,15;384.576;116.760.401
2021-12-28;302,90;304,90;301,40;304,40;351.831;106.987.142
2021-12-27;298,70;302,20;298,15;302,00;314.125;94.608.165
2021-12-23;297,75;300,70;295,30;300,70;510.510;152.474.174
2021-12-22;294,70;295,50;292,40;295,50;385.002;113.295.979
2021-12-21;293,20;294,25;290,50;294,00;462.691;135.575.885
2021-12-20;291,15;293,50;289,20;289,60;771.647;224.264.528
2021-12-17;301,60;302,55;296,50;298,85;2.121.806;634.807.444
2021-12-16;304,25;304,55;299,85;302,90;1.118.991;338.778.300
2021-12-15;296,60;299,35;296,40;298,90;639.515;190.973.690
2021-12-14;296,90;298,40;295,80;295,80;704.289;208.897.446
2021-12-13;295,00;297,60;293,60;295,35;590.199;174.455.016
2021-12-10;291,65;296,85;291,65;295,25;554.349;163.373.935
2021-12-09;293,00;294,75;291,15;294,75;561.571;164.745.044
2021-12-08;295,00;298,90;292,25;292,25;686.133;201.831.356
2021-12-07;289,10;295,65;289,00;295,60;1.034.901;304.746.481
2021-12-06;286,35;288,30;284,10;287,15;795.358;228.206.961
2021-12-03;287,35;289,30;283,25;284,90;1.093.869;313.386.594
2021-12-02;283,95;286,00;281,50;284,80;1.077.713;305.932.989
2021-12-01;282,70;287,50;281,15;287,00;777.886;221.695.431
2021-11-30;279,00;282,30;277,60;281,75;1.298.261;364.691.328
2021-11-29;286,05;287,40;282,75;283,50;886.177;252.076.349
2021-11-26;284,50;287,60;279,25;282,15;1.517.728;431.264.906
2021-11-25;292,90;293,80;292,30;293,40;335.796;98.435.289
2021-11-24;292,90;293,60;289,80;291,95;671.702;195.921.296
2021-11-23;292,90;294,65;289,50;292,35;627.424;183.400.470
2021-11-22;294,95;297,20;294,20;295,70;649.490;192.008.496
2021-11-19;292,65;294,30;291,20;293,05;1.417.956;415.188.226
2021-11-18;294,25;294,30;290,10;290,45;687.800;200.267.952
2021-11-17;295,35;295,80;293,30;293,45;582.205;171.221.027
2021-11-16;293,10;295,55;293,10;295,50;501.816;148.043.144
2021-11-15;297,00;297,00;292,10;292,65;367.184;107.728.971
2021-11-12;293,30;295,45;292,65;294,25;569.390;167.559.289
2021-11-11;292,55;295,10;292,55;294,00;400.995;117.884.214
2021-11-10;293,30;293,60;291,75;292,70;447.946;131.025.223
2021-11-09;290,10;293,45;289,70;291,80;520.329;152.023.525
2021-11-08;287,90;291,55;287,05;290,40;489.505;141.854.195
2021-11-05;285,85;288,45;285,05;287,80;851.569;244.471.831
2021-11-04;283,30;286,55;281,85;284,90;884.224;251.791.722
2021-11-03;283,95;285,80;281,20;281,65;635.586;179.779.724
2021-11-02;279,70;283,65;279,20;283,50;775.224;218.846.240
2021-11-01;279,45;280,90;276,90;279,30;531.783;148.406.509
2021-10-29;269,50;278,65;269,25;278,50;871.884;240.593.321
2021-10-28;272,20;275,75;270,00;271,80;616.156;167.664.996
2021-10-27;273,20;276,05;271,90;274,75;526.850;144.465.641
2021-10-26;272,55;275,65;272,55;274,50;575.556;157.879.793
2021-10-25;270,60;273,55;268,80;272,05;657.578;178.641.532
2021-10-22;266,75;270,30;266,60;269,60;552.572;148.729.233
2021-10-21;265,05;267,45;264,50;265,20;320.683;85.267.091
2021-10-20;265,80;267,90;264,30;266,75;373.788;99.704.497
2021-10-19;264,85;266,30;263,60;265,90;395.520;104.802.152
2021-10-18;265,10;265,85;263,40;264,75;520.282;137.715.863
2021-10-15;265,25;266,95;264,55;265,00;811.607;215.309.397
2021-10-14;260,90;265,25;260,15;265,25;683.270;180.270.130
2021-10-13;255,20;259,90;254,75;259,55;583.359;150.835.806
2021-10-12;253,40;256,65;253,00;255,90;399.164;102.044.174
2021-10-11;255,00;257,60;253,95;257,20;356.112;91.237.846
2021-10-08;258,60;259,70;256,80;257,05;501.398;129.230.362
2021-10-07;256,00;261,55;255,70;260,50;878.458;227.808.935
2021-10-06;254,35;255,85;250,65;251,90;996.225;251.833.480
2021-10-05;252,50;257,90;252,00;257,70;627.912;160.710.623
2021-10-04;252,20;256,10;251,30;252,05;709.127;179.480.268
2021-10-01;251,60;255,65;249,45;253,55;927.798;234.777.503
2021-09-30;259,35;260,10;256,10;256,10;1.076.107;276.703.122
2021-09-29;258,95;260,35;256,45;257,95;589.390;152.146.808
2021-09-28;264,65;264,75;256,75;256,75;952.479;246.515.433
2021-09-27;268,50;268,70;264,45;265,05;540.842;143.656.337
2021-09-24;264,15;265,60;261,55;265,10;561.893;148.253.631
2021-09-23;263,70;265,25;262,20;265,25;600.495;158.809.524
2021-09-22;260,40;262,70;259,35;262,70;606.092;158.571.051
2021-09-21;259,40;261,65;258,45;260,25;749.632;195.027.864
2021-09-20;259,95;261,10;257,20;258,10;1.016.684;262.920.921
2021-09-17;266,90;267,75;260,60;261,50;2.452.556;643.060.330
2021-09-16;265,45;268,25;263,40;264,55;671.333;178.385.934
2021-09-15;264,15;266,35;264,00;264,00;642.986;170.139.471
