Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;179,625;180,05;178,35;179,325;;
2021-12-29;180,825;182,85;178,55;179,625;;
2021-12-28;181,675;181,975;180,05;180,825;;
2021-12-27;179,95;181,70;178,05;181,70;;
2021-12-23;176,725;182,175;176,70;180,00;;
2021-12-22;172,55;177,50;172,20;176,725;;
2021-12-21;166,10;173,075;165,60;172,575;;
2021-12-20;168,525;168,675;162,625;165,55;;
2021-12-19;168,775;168,775;168,70;168,70;;
2021-12-18;168,775;168,775;168,775;168,775;;
2021-12-17;167,05;171,40;164,80;168,775;;
2021-12-16;167,95;170,825;165,55;166,80;;
2021-12-15;169,525;169,575;165,075;167,90;;
2021-12-14;165,575;170,35;165,55;169,525;;
2021-12-13;169,35;170,20;164,60;165,55;;
2021-12-12;169,325;169,525;169,325;169,325;;
2021-12-11;169,325;169,35;169,325;169,325;;
2021-12-10;171,00;171,00;168,05;169,325;;
2021-12-09;173,625;174,825;168,75;171,025;;
2021-12-08;173,075;174,975;166,15;173,625;;
2021-12-07;172,325;173,55;169,575;173,10;;
2021-12-06;162,775;173,025;162,75;172,275;;
2021-12-05;162,625;162,65;162,625;162,65;;
2021-12-04;162,675;162,675;162,60;162,60;;
2021-12-03;168,85;169,925;162,175;162,675;;
2021-12-02;165,45;169,075;165,075;168,50;;
2021-12-01;165,525;169,675;165,35;165,35;;
2021-11-30;166,025;169,65;161,60;165,425;;
2021-11-29;170,25;174,00;162,30;168,60;;
2021-11-28;169,775;170,25;169,775;170,25;;
2021-11-27;170,025;170,025;169,775;169,775;;
2021-11-26;185,30;185,35;167,05;170,30;;
2021-11-25;187,30;190,05;184,125;187,55;;
2021-11-24;184,525;187,675;182,35;186,925;;
2021-11-23;182,80;186,575;179,325;184,375;;
2021-11-22;181,275;184,70;179,80;182,80;;
2021-11-21;181,275;181,275;181,25;181,25;;
2021-11-20;181,275;181,275;181,275;181,275;;
2021-11-19;187,60;188,95;177,125;181,275;;
2021-11-18;191,625;197,00;184,60;187,55;;
2021-11-17;195,50;195,50;190,20;191,575;;
2021-11-16;196,60;197,80;194,60;195,525;;
2021-11-15;198,125;199,80;194,30;196,60;;
2021-11-14;198,125;198,175;198,125;198,175;;
2021-11-13;198,125;198,125;198,125;198,125;;
2021-11-12;200,175;201,90;197,80;198,125;;
2021-11-11;203,75;206,55;198,65;200,175;;
2021-11-10;203,40;207,10;201,60;203,75;;
2021-11-09;201,10;205,35;199,825;203,45;;
2021-11-08;200,00;203,25;199,65;201,15;;
2021-11-07;200,00;200,00;200,00;200,00;;
2021-11-06;200,00;200,00;200,00;200,00;;
2021-11-05;190,825;204,15;187,65;200,00;;
2021-11-04;192,25;193,625;190,50;190,875;;
2021-11-03;194,20;194,225;190,125;192,25;;
2021-11-02;192,45;195,725;190,35;194,225;;
2021-11-01;192,30;197,725;190,275;192,50;;
2021-10-31;192,30;192,30;192,30;192,30;;
2021-10-30;192,30;192,30;192,30;192,30;;
2021-10-29;187,025;193,475;186,25;192,30;;
2021-10-28;187,375;189,40;184,225;187,225;;
2021-10-27;187,425;188,125;184,40;187,15;;
2021-10-26;181,85;188,95;180,275;187,425;;
2021-10-25;182,975;186,125;179,85;181,725;;
2021-10-24;182,975;182,975;182,975;182,975;;
2021-10-23;182,975;182,975;182,95;182,975;;
2021-10-22;182,65;183,25;180,875;182,95;;
2021-10-21;182,175;183,10;177,425;182,525;;
2021-10-20;185,55;185,825;179,00;182,275;;
2021-10-19;188,225;188,525;184,35;185,625;;
2021-10-18;190,175;190,20;186,375;188,225;;
2021-10-17;190,325;190,375;190,325;190,325;;
2021-10-16;190,325;190,40;190,275;190,325;;
2021-10-15;191,70;191,85;188,30;190,325;;
2021-10-14;189,70;192,95;188,325;191,60;;
2021-10-13;191,30;191,35;188,30;189,625;;
2021-10-12;195,675;195,90;188,05;191,15;;
2021-10-11;200,65;201,40;195,975;195,975;;
2021-10-10;200,45;200,45;200,45;200,45;;
2021-10-09;200,40;200,45;200,40;200,45;;
2021-10-08;198,80;200,90;198,45;200,40;;
2021-10-07;197,20;200,55;196,55;198,85;;
2021-10-06;196,075;200,70;190,95;196,85;;
2021-10-05;197,35;199,425;195,85;196,55;;
2021-10-04;198,60;200,40;196,25;197,30;;
2021-10-03;198,95;198,95;198,925;198,95;;
2021-10-02;199,00;199,00;198,95;198,95;;
2021-10-01;193,875;199,25;189,90;199,00;;
2021-09-30;199,20;201,10;193,725;194,625;;
2021-09-29;197,00;199,75;196,15;198,40;;
2021-09-28;202,60;203,80;196,05;196,75;;
2021-09-27;198,825;204,35;198,625;202,65;;
2021-09-26;198,425;198,625;198,375;198,60;;
2021-09-25;198,425;198,425;198,40;198,425;;
2021-09-24;199,65;201,35;197,425;198,425;;
2021-09-23;198,225;201,10;198,175;199,75;;
2021-09-22;197,35;199,60;197,35;198,075;;
2021-09-21;193,975;199,15;193,80;196,975;;
2021-09-20;188,425;194,95;184,125;193,675;;
2021-09-19;189,05;189,075;188,975;189,00;;
2021-09-18;189,05;189,05;189,05;189,05;;
2021-09-17;189,175;191,375;188,10;189,05;;
2021-09-16;187,85;190,775;187,55;189,125;;
2021-09-15;187,925;189,175;186,975;187,925;;
2021-09-14;190,15;190,35;186,95;187,825;;
2021-09-13;188,725;190,25;188,30;190,15;;
