Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;179,45;179,80;178,40;179,40;67.103;12.031.575
2021-12-29;181,55;182,80;178,55;179,75;145.765;26.345.008
2021-12-28;181,05;182,00;180,10;181,70;95.730;17.350.290
2021-12-27;179,70;181,40;177,95;181,25;79.373;14.353.308
2021-12-23;177,80;182,20;177,80;181,00;204.490;36.963.798
2021-12-22;172,15;177,50;172,15;176,95;270.707;47.595.939
2021-12-21;168,00;172,45;166,85;172,45;212.947;36.382.417
2021-12-20;164,35;167,70;162,65;165,50;181.867;30.034.529
2021-12-17;165,95;171,55;164,75;169,40;377.530;63.885.769
2021-12-16;168,65;170,85;166,35;166,90;282.069;47.464.778
2021-12-15;168,70;168,75;165,00;165,00;228.268;37.936.583
2021-12-14;169,35;170,35;165,85;168,00;389.223;65.319.103
2021-12-13;168,70;168,75;164,65;164,95;169.290;28.175.008
2021-12-10;170,15;170,65;168,10;168,60;152.675;25.831.575
2021-12-09;174,25;174,75;168,75;171,30;205.996;35.177.701
2021-12-08;171,15;175,00;166,15;173,50;358.097;61.382.767
2021-12-07;173,00;173,55;169,55;172,20;242.895;41.734.248
2021-12-06;164,60;171,85;164,60;171,40;314.135;53.051.313
2021-12-03;169,05;169,50;162,20;162,65;315.415;51.933.896
2021-12-02;166,20;169,10;165,05;167,00;326.412;54.476.996
2021-12-01;167,10;169,75;166,20;168,60;293.777;49.386.528
2021-11-30;165,35;169,50;161,55;164,95;471.026;77.868.176
2021-11-29;168,55;170,00;162,30;167,65;570.423;95.176.815
2021-11-26;179,00;179,35;166,75;166,75;770.643;132.295.200
2021-11-25;187,00;190,00;184,20;188,05;220.366;41.348.074
2021-11-24;184,20;187,70;182,45;187,15;342.304;63.432.914
2021-11-23;180,90;186,60;180,00;183,35;199.758;36.811.235
2021-11-22;181,15;184,80;179,80;182,15;288.455;52.496.153
2021-11-19;186,20;187,00;177,15;180,85;540.943;97.746.184
2021-11-18;191,00;197,00;184,50;186,80;502.933;95.273.622
2021-11-17;194,60;194,90;190,20;190,80;197.487;37.914.505
2021-11-16;196,40;197,80;194,55;194,60;174.056;34.063.653
2021-11-15;197,40;199,80;194,35;196,80;154.077;30.440.855
2021-11-12;199,80;201,90;197,80;198,15;156.008;31.027.295
2021-11-11;204,60;206,50;198,70;200,30;188.330;38.096.741
2021-11-10;204,20;207,10;203,30;205,10;148.323;30.366.729
2021-11-09;200,50;205,30;199,70;203,70;213.360;43.521.376
2021-11-08;202,50;203,20;199,60;201,40;200.803;40.470.582
2021-11-05;190,60;204,20;187,70;203,30;369.773;73.650.282
2021-11-04;192,00;193,60;190,55;190,85;117.013;22.434.652
2021-11-03;193,00;193,10;190,10;191,40;159.184;30.469.936
2021-11-02;191,40;195,70;190,15;193,75;185.476;35.909.802
2021-11-01;196,25;197,75;190,30;190,90;289.420;56.165.852
