Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;229,50;231,50;228,05;228,15;;
2021-12-29;230,15;230,65;227,55;229,40;;
2021-12-28;228,20;231,35;227,50;230,10;;
2021-12-27;226,15;229,30;223,50;228,35;;
2021-12-23;228,00;228,55;224,35;226,40;;
2021-12-22;226,70;228,10;224,15;227,95;;
2021-12-21;225,60;227,05;222,90;226,95;;
2021-12-20;217,25;225,05;216,00;224,85;;
2021-12-19;220,00;220,00;219,25;219,25;;
2021-12-18;219,95;220,00;219,95;220,00;;
2021-12-17;227,40;227,50;218,55;219,95;;
2021-12-16;227,65;232,40;222,70;224,70;;
2021-12-15;222,75;227,10;221,10;226,95;;
2021-12-14;227,10;228,35;220,05;222,55;;
2021-12-13;225,20;227,75;224,10;226,90;;
2021-12-12;224,90;225,30;224,90;224,90;;
2021-12-11;224,90;225,00;224,85;224,90;;
2021-12-10;224,15;225,80;222,95;224,90;;
2021-12-09;221,95;226,95;221,80;224,55;;
2021-12-08;221,15;227,65;218,95;222,00;;
2021-12-07;217,50;221,85;216,65;221,30;;
2021-12-06;214,90;219,30;214,10;216,90;;
2021-12-05;213,20;213,55;213,20;213,50;;
2021-12-04;213,75;213,75;212,80;212,80;;
2021-12-03;213,50;218,50;211,25;213,75;;
2021-12-02;216,05;217,10;211,15;213,60;;
2021-12-01;220,70;222,80;214,40;214,85;;
2021-11-30;216,75;223,35;215,90;219,65;;
2021-11-29;223,55;224,30;215,70;220,35;;
2021-11-28;219,55;220,40;219,20;220,15;;
2021-11-27;221,55;221,55;219,55;219,55;;
2021-11-26;213,40;226,75;211,90;221,45;;
2021-11-25;216,55;220,55;215,65;215,95;;
2021-11-24;215,95;217,90;213,15;216,15;;
2021-11-23;220,80;221,20;212,65;215,75;;
2021-11-22;221,15;224,55;220,55;220,90;;
2021-11-21;221,15;221,15;220,75;220,75;;
2021-11-20;221,15;221,15;221,15;221,15;;
2021-11-19;220,50;226,25;218,20;221,15;;
2021-11-18;219,70;221,75;218,40;220,10;;
2021-11-17;215,50;219,85;214,75;219,50;;
2021-11-16;216,00;217,40;211,15;215,70;;
2021-11-15;213,55;218,40;213,50;216,00;;
2021-11-14;213,65;213,80;213,65;213,80;;
2021-11-13;213,65;213,65;213,65;213,65;;
2021-11-12;205,20;214,25;205,00;213,65;;
2021-11-11;206,00;206,70;201,25;205,00;;
2021-11-10;208,20;208,70;205,30;205,80;;
2021-11-09;208,30;210,15;207,15;208,40;;
2021-11-08;203,20;209,70;202,25;208,50;;
2021-11-07;203,00;203,25;203,00;203,25;;
2021-11-06;202,55;203,05;202,55;203,05;;
2021-11-05;217,10;219,45;200,95;202,55;;
2021-11-04;217,60;218,00;213,35;217,20;;
2021-11-03;209,65;217,60;209,35;217,50;;
2021-11-02;207,60;210,00;206,40;209,95;;
2021-11-01;204,25;208,65;203,85;207,90;;
2021-10-31;204,20;204,50;204,20;204,45;;
2021-10-30;204,20;204,20;204,20;204,20;;
2021-10-29;204,20;205,00;202,85;204,20;;
