Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;229,90;231,50;227,00;227,00;178.384;40.781.384
2021-12-29;229,30;230,70;227,60;228,90;167.758;38.420.048
2021-12-28;228,00;231,30;227,60;229,40;113.814;26.179.081
2021-12-27;224,90;229,30;223,60;228,00;144.240;32.819.734
2021-12-23;228,30;228,30;224,40;225,20;222.916;50.276.706
2021-12-22;225,50;227,70;224,20;227,50;185.738;42.105.432
2021-12-21;225,90;226,70;222,90;225,40;314.807;70.859.221
2021-12-20;217,70;224,50;216,80;224,50;373.763;83.221.464
2021-12-17;223,60;224,30;218,60;219,80;740.523;162.857.900
2021-12-16;227,80;228,50;222,70;224,40;313.925;70.506.165
2021-12-15;222,00;226,10;221,20;225,40;269.335;60.413.312
2021-12-14;226,70;228,30;220,00;221,90;299.078;66.841.183
2021-12-13;225,80;227,80;224,10;226,90;294.119;66.629.879
2021-12-10;223,40;225,80;222,80;224,50;247.234;55.488.718
2021-12-09;222,20;227,00;221,90;224,50;355.254;79.808.073
2021-12-08;222,00;227,70;219,00;221,20;399.998;88.941.828
2021-12-07;217,20;221,80;216,70;221,00;425.043;93.613.820
2021-12-06;217,60;219,00;214,10;216,30;341.694;73.858.080
2021-12-03;213,20;218,50;211,30;213,60;432.649;92.848.523
2021-12-02;215,40;215,50;211,10;212,50;472.670;100.524.142
2021-12-01;220,20;220,50;214,50;216,30;463.384;100.194.415
2021-11-30;218,50;223,30;217,00;218,90;700.142;153.890.474
2021-11-29;223,70;224,30;215,70;219,60;412.218;90.530.319
2021-11-26;213,60;226,70;211,40;223,00;473.102;105.110.668
2021-11-25;216,40;220,60;216,20;217,30;233.446;50.923.938
2021-11-24;216,50;217,90;213,20;215,70;246.139;53.006.615
2021-11-23;220,10;221,10;212,70;215,40;332.981;71.669.647
2021-11-22;221,80;224,50;220,50;221,30;317.936;70.612.129
2021-11-19;219,00;226,60;218,40;221,00;406.726;90.463.983
2021-11-18;219,30;221,70;218,90;220,30;267.983;59.009.343
2021-11-17;215,40;219,90;214,90;219,20;236.742;51.680.905
2021-11-16;216,00;216,70;211,20;215,60;271.101;58.063.329
2021-11-15;215,00;218,40;214,20;216,20;283.503;61.302.503
2021-11-12;206,90;214,30;206,80;214,00;420.681;89.181.780
2021-11-11;205,60;206,20;201,20;205,00;251.122;51.314.551
2021-11-10;208,00;208,00;205,40;206,50;237.236;48.963.973
2021-11-09;208,20;210,10;207,20;208,20;213.072;44.385.516
2021-11-08;202,40;209,70;202,40;208,20;378.638;78.587.026
2021-11-05;217,00;219,40;201,00;202,30;833.681;172.021.566
2021-11-04;214,10;217,60;213,50;216,70;329.815;71.296.135
2021-11-03;209,30;213,60;209,10;213,30;257.846;54.813.003
2021-11-02;207,80;209,90;206,40;209,90;232.129;48.555.963
2021-11-01;205,80;208,70;205,60;207,30;185.225;38.389.000
2021-10-29;204,20;205,00;202,90;204,20;256.292;52.310.564
2021-10-28;202,20;205,40;201,40;205,40;208.068;42.477.677
2021-10-27;203,10;205,40;201,80;202,50;239.031;48.648.028
2021-10-26;203,90;205,30;200,50;202,50;214.636;43.466.089
2021-10-25;203,10;204,30;202,30;203,20;240.136;48.804.560
2021-10-22;204,40;205,40;202,40;202,40;256.402;52.080.807
2021-10-21;198,80;203,40;198,15;203,40;391.657;79.119.314
2021-10-20;194,70;200,20;193,75;198,05;332.196;65.760.087
2021-10-19;194,90;196,45;191,75;195,05;238.589;46.290.208
2021-10-18;192,50;193,10;189,80;193,10;197.815;38.032.169
2021-10-15;192,85;193,70;190,65;192,35;268.173;51.583.024
2021-10-14;192,45;192,70;190,00;192,20;250.843;48.057.073
2021-10-13;187,90;193,65;186,80;191,50;326.466;62.448.767
2021-10-12;182,40;189,00;182,10;187,70;362.951;67.951.778
2021-10-11;186,40;186,70;182,50;183,70;244.018;44.844.162
2021-10-08;187,10;187,55;184,60;186,45;193.310;36.044.657
2021-10-07;187,75;188,05;184,35;186,80;337.712;62.896.586
2021-10-06;185,15;187,35;182,40;186,75;368.695;68.388.178
2021-10-05;183,40;187,50;183,15;186,40;260.746;48.481.540
2021-10-04;182,90;187,60;182,55;183,10;370.678;68.531.657
2021-10-01;186,15;187,10;181,70;183,00;433.023;79.580.748
2021-09-30;187,55;189,55;185,20;187,65;496.971;93.123.247
2021-09-29;185,80;189,50;184,80;185,25;357.420;66.610.205
2021-09-28;188,55;188,90;183,30;183,95;557.552;103.049.185
2021-09-27;195,95;196,20;187,95;188,95;419.845;79.889.041
2021-09-24;198,35;198,50;193,10;194,85;371.225;72.265.463
2021-09-23;199,05;200,30;198,00;198,30;259.745;51.624.494
2021-09-22;201,30;201,40;195,55;197,75;316.863;62.730.213
2021-09-21;196,70;201,80;195,50;201,30;293.941;58.784.871
2021-09-20;195,65;197,50;191,15;195,80;494.722;96.563.456
2021-09-17;196,75;199,25;195,20;196,50;910.646;179.206.384
2021-09-16;197,90;198,20;195,10;196,35;353.565;69.397.681
2021-09-15;199,70;201,00;196,75;197,35;286.708;56.805.534
