Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;259,725;261,35;259,325;260,45;;
2021-12-29;262,00;262,875;259,50;259,675;;
2021-12-28;258,05;263,075;257,95;261,95;;
2021-12-27;255,325;258,95;254,65;258,20;;
2021-12-23;253,20;256,725;252,75;255,775;;
2021-12-22;252,575;253,525;250,55;253,10;;
2021-12-21;252,00;253,15;250,575;252,975;;
2021-12-20;251,775;255,025;246,35;250,70;;
2021-12-19;257,225;257,225;255,775;255,775;;
2021-12-18;257,175;257,225;257,175;257,225;;
2021-12-17;254,675;258,125;250,175;257,175;;
2021-12-16;253,375;271,875;252,05;255,55;;
2021-12-15;248,725;252,325;247,45;252,025;;
2021-12-14;248,00;249,70;246,90;248,375;;
2021-12-13;249,425;250,15;246,575;247,60;;
2021-12-12;248,825;249,625;248,825;248,825;;
2021-12-11;248,825;249,025;248,775;248,825;;
2021-12-10;247,275;250,225;246,725;248,825;;
2021-12-09;250,025;251,90;247,425;248,025;;
2021-12-08;251,10;252,40;248,05;250,125;;
2021-12-07;251,775;252,275;248,60;251,45;;
2021-12-06;246,90;251,225;245,95;250,575;;
2021-12-05;243,55;244,25;243,50;244,10;;
2021-12-04;244,60;244,60;242,80;242,80;;
2021-12-03;246,90;248,25;244,275;244,60;;
2021-12-02;244,275;247,10;242,725;247,10;;
2021-12-01;241,70;247,825;239,975;241,975;;
2021-11-30;235,625;241,45;235,05;239,875;;
2021-11-29;242,775;244,025;238,50;241,45;;
2021-11-28;236,00;237,40;235,30;237,025;;
2021-11-27;239,35;239,35;236,00;236,00;;
2021-11-26;251,775;251,825;235,325;238,90;;
2021-11-25;254,275;254,95;252,675;253,925;;
2021-11-24;250,175;254,175;249,55;253,775;;
2021-11-23;246,625;250,05;245,35;249,90;;
2021-11-22;246,35;248,20;244,55;246,875;;
2021-11-21;246,30;246,30;245,55;245,55;;
2021-11-20;246,30;246,30;246,30;246,30;;
2021-11-19;250,275;251,675;244,05;246,25;;
2021-11-18;252,60;253,175;249,625;249,675;;
2021-11-17;253,275;254,425;251,625;252,35;;
2021-11-16;254,675;255,45;252,725;253,525;;
2021-11-15;254,75;255,525;253,55;254,675;;
2021-11-14;254,85;255,00;254,85;255,00;;
2021-11-13;254,85;254,85;254,85;254,85;;
2021-11-12;256,10;256,125;253,275;254,85;;
2021-11-11;255,90;259,30;254,575;255,825;;
2021-11-10;254,025;258,225;252,55;255,625;;
2021-11-09;260,125;260,225;250,35;254,325;;
2021-11-08;258,975;260,775;257,70;260,325;;
2021-11-07;258,875;258,975;258,825;258,975;;
2021-11-06;259,175;259,225;258,725;258,875;;
2021-11-05;260,725;261,525;258,55;259,175;;
2021-11-04;260,575;263,675;260,35;260,775;;
2021-11-03;258,025;261,10;257,90;260,525;;
2021-11-02;256,95;259,625;255,10;258,175;;
2021-11-01;256,50;259,575;256,075;257,05;;
2021-10-31;256,50;256,675;256,50;256,625;;
2021-10-30;256,50;256,50;256,50;256,50;;
2021-10-29;253,425;257,10;252,55;256,50;;
2021-10-28;254,65;255,375;252,875;253,825;;
2021-10-27;250,775;255,225;250,075;254,30;;
2021-10-26;248,875;252,175;247,125;250,775;;
2021-10-25;248,075;249,25;246,55;248,625;;
2021-10-24;248,025;248,025;248,025;248,025;;
2021-10-23;248,075;248,075;247,975;248,025;;
