Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;260,30;261,35;259,95;260,50;168.746;43.970.364
2021-12-29;262,30;262,90;259,90;260,45;167.764;43.768.881
2021-12-28;259,40;263,10;259,00;262,80;233.607;61.190.020
2021-12-27;255,55;258,95;254,55;258,85;129.231;33.373.939
2021-12-23;255,00;256,70;254,30;256,25;175.679;44.917.788
2021-12-22;252,35;253,50;250,60;253,30;154.118;38.928.823
2021-12-21;251,55;253,10;250,30;252,35;185.853;46.853.712
2021-12-20;252,05;252,05;246,35;248,90;392.616;97.676.088
2021-12-17;256,60;258,10;253,55;258,00;954.414;245.239.445
2021-12-16;253,20;257,90;252,55;256,85;548.008;140.564.495
2021-12-15;248,60;251,25;247,40;250,35;249.315;62.344.052
2021-12-14;249,05;249,70;246,90;247,75;209.386;51.911.385
2021-12-13;248,60;250,20;246,60;247,45;189.170;46.914.645
2021-12-10;247,35;250,20;246,65;248,10;216.304;53.755.554
2021-12-09;250,95;251,85;247,45;248,40;218.493;54.370.127
2021-12-08;250,00;252,45;248,10;249,70;231.691;57.942.990
2021-12-07;250,50;252,25;248,60;250,55;397.668;99.672.412
2021-12-06;248,10;251,25;246,55;249,70;318.944;79.551.236
2021-12-03;247,80;248,20;244,25;245,80;328.252;80.675.979
2021-12-02;243,85;246,15;242,60;245,15;316.099;77.374.603
2021-12-01;241,45;247,85;241,35;246,40;414.089;101.567.301
2021-11-30;235,70;241,50;235,05;238,35;798.285;190.221.808
2021-11-29;239,95;243,40;238,60;239,10;508.179;122.111.192
2021-11-26;245,95;245,95;235,30;236,10;973.989;232.101.358
2021-11-25;253,95;255,00;252,70;253,15;207.104;52.501.097
2021-11-24;250,35;254,15;249,60;253,55;397.269;100.446.450
2021-11-23;246,10;249,90;245,30;249,45;288.910;71.783.313
2021-11-22;248,15;248,15;244,60;247,25;329.333;81.217.126
2021-11-19;251,05;251,75;244,10;247,20;585.845;144.568.938
2021-11-18;253,05;253,30;249,80;249,80;285.976;71.612.335
2021-11-17;253,10;254,40;252,60;252,75;201.595;51.013.377
2021-11-16;254,65;255,50;252,75;252,95;212.089;53.790.973
2021-11-15;254,00;255,50;253,50;254,90;126.938;32.324.446
2021-11-12;254,95;255,75;253,30;254,75;276.533;70.419.480
2021-11-11;256,80;259,25;254,55;255,00;219.997;56.255.333
2021-11-10;253,45;258,20;252,60;256,35;294.238;75.405.131
2021-11-09;256,60;256,60;250,20;253,95;590.132;149.483.124
2021-11-08;259,35;260,75;257,70;260,50;212.732;55.251.035
2021-11-05;260,55;261,50;258,60;259,40;291.473;75.702.157
2021-11-04;261,50;263,70;260,30;261,05;239.320;62.675.892
2021-11-03;259,10;260,70;258,15;260,70;261.293;67.945.052
2021-11-02;255,80;259,65;255,10;259,30;206.404;53.360.602
2021-11-01;256,70;259,60;256,05;256,25;208.101;53.549.698
2021-10-29;253,30;256,40;252,55;256,20;361.623;92.493.968
2021-10-28;254,30;255,35;252,95;254,40;223.870;56.935.432
2021-10-27;250,55;255,40;250,10;255,40;341.304;86.746.229
2021-10-26;247,85;252,10;247,15;251,55;271.940;68.304.006
2021-10-25;248,40;249,00;246,50;246,90;187.202;46.319.492
2021-10-22;249,35;250,10;247,75;247,75;252.838;62.836.636
2021-10-21;250,00;252,00;248,15;249,95;247.124;61.805.819
2021-10-20;248,55;251,45;247,95;250,90;315.372;78.818.837
2021-10-19;242,75;251,40;240,75;249,40;593.729;147.301.835
2021-10-18;244,10;245,55;242,30;243,15;171.445;41.761.442
2021-10-15;242,80;245,00;241,65;244,35;261.036;63.658.247
2021-10-14;240,00;242,45;238,70;241,80;200.262;48.351.650
2021-10-13;240,35;240,95;236,55;239,15;257.801;61.452.337
2021-10-12;239,35;241,55;238,55;241,50;191.905;46.232.728
2021-10-11;243,00;243,90;241,55;242,00;163.840;39.710.395
2021-10-08;242,60;243,80;241,60;243,50;208.725;50.712.944
2021-10-07;242,25;244,15;240,85;242,20;256.453;62.157.400
2021-10-06;241,95;241,95;236,55;240,30;296.554;71.033.053
2021-10-05;240,30;243,45;239,50;242,95;220.926;53.525.083
2021-10-04;237,00;242,45;236,20;240,00;424.948;102.124.414
2021-10-01;234,10;237,95;232,55;237,25;234.022;55.246.552
2021-09-30;240,85;241,10;236,70;236,90;276.451;65.694.767
2021-09-29;238,25;240,45;237,20;239,60;217.860;52.100.337
2021-09-28;241,40;242,65;236,60;236,65;308.836;73.650.526
2021-09-27;239,85;242,20;238,90;241,25;244.767;58.992.253
2021-09-24;237,15;238,20;235,35;237,55;181.038;42.970.450
2021-09-23;240,30;241,00;237,65;238,00;240.688;57.446.496
2021-09-22;234,80;239,05;234,20;238,50;330.849;78.623.550
2021-09-21;230,00;234,25;228,70;232,80;344.813;80.061.931
2021-09-20;236,00;236,35;228,15;229,10;614.715;141.829.261
2021-09-17;245,15;246,00;238,80;239,85;961.222;231.220.716
2021-09-16;244,70;244,90;242,70;243,60;240.922;58.706.352
2021-09-15;243,35;245,35;243,10;243,40;257.948;62.881.682
2021-09-14;244,50;246,65;244,20;244,20;256.958;62.900.695
2021-09-13;242,70;245,75;242,50;245,05;209.413;51.263.640
2021-09-10;245,40;245,55;241,45;241,55;295.587;71.642.234
2021-09-09;240,40;245,60;239,95;244,90;356.463;86.865.631
2021-09-08;240,00;243,50;237,65;242,35;270.408;65.190.953
