Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;84,13;84,13;83,33;83,63;;
2021-12-29;84,56;84,77;83,42;84,11;;
2021-12-28;84,42;85,90;84,40;84,55;;
2021-12-27;84,53;84,81;83,94;84,46;;
2021-12-23;82,81;84,84;82,70;84,63;;
2021-12-22;82,31;83,39;81,36;82,79;;
2021-12-21;81,68;82,51;81,07;82,39;;
2021-12-20;82,82;83,56;80,54;81,47;;
2021-12-19;84,10;84,10;83,75;83,75;;
2021-12-18;84,10;84,10;84,10;84,10;;
2021-12-17;86,53;86,80;83,88;84,10;;
2021-12-16;87,47;90,46;86,27;86,92;;
2021-12-15;87,51;87,66;86,01;87,16;;
2021-12-14;86,63;88,45;86,53;87,43;;
2021-12-13;85,49;88,27;84,78;86,51;;
2021-12-12;85,35;85,53;85,35;85,35;;
2021-12-11;85,35;85,39;85,33;85,35;;
2021-12-10;84,11;86,24;83,82;85,35;;
2021-12-09;85,27;86,47;84,06;84,28;;
2021-12-08;82,98;86,31;81,52;85,29;;
2021-12-07;75,99;84,04;75,73;83,12;;
2021-12-06;74,65;75,85;73,65;75,68;;
2021-12-05;73,80;73,96;73,79;73,94;;
2021-12-04;74,07;74,07;73,60;73,60;;
2021-12-03;75,83;76,20;73,75;74,06;;
2021-12-02;75,96;76,50;74,74;75,99;;
2021-12-01;75,00;77,30;74,74;75,34;;
2021-11-30;74,11;74,92;73,27;74,52;;
2021-11-29;76,61;77,12;74,33;75,74;;
2021-11-28;74,61;75,00;74,42;74,99;;
2021-11-27;75,65;75,65;74,61;74,61;;
2021-11-26;79,02;79,03;74,17;75,47;;
2021-11-25;80,20;80,79;78,61;79,22;;
2021-11-24;81,69;81,79;78,81;80,14;;
2021-11-23;81,73;82,07;80,37;81,65;;
2021-11-22;81,99;82,47;81,35;81,77;;
2021-11-21;81,99;81,99;81,83;81,83;;
2021-11-20;81,99;81,99;81,99;81,99;;
2021-11-19;84,03;84,36;81,08;81,97;;
2021-11-18;84,65;85,22;83,57;83,91;;
2021-11-17;84,41;84,74;83,69;84,59;;
2021-11-16;84,20;85,35;84,05;84,47;;
2021-11-15;84,55;84,91;83,32;84,20;;
2021-11-14;84,57;84,61;84,57;84,61;;
2021-11-13;84,57;84,57;84,57;84,57;;
2021-11-12;84,56;84,85;83,55;84,57;;
2021-11-11;85,61;86,44;83,97;84,50;;
2021-11-10;86,15;86,94;85,09;85,55;;
2021-11-09;87,55;88,07;85,50;86,23;;
2021-11-08;88,56;88,56;87,15;87,59;;
2021-11-07;88,52;88,57;88,52;88,57;;
2021-11-06;88,50;88,54;88,50;88,54;;
2021-11-05;87,49;89,30;86,63;88,50;;
2021-11-04;88,42;88,71;86,69;87,51;;
2021-11-03;90,23;90,26;87,06;88,40;;
2021-11-02;90,44;90,53;89,32;90,28;;
2021-11-01;90,49;91,64;90,19;90,48;;
2021-10-31;90,49;90,54;90,49;90,53;;
2021-10-30;90,49;90,49;90,49;90,49;;
2021-10-29;90,79;90,99;89,15;90,49;;
2021-10-28;93,37;93,44;90,21;90,91;;
2021-10-27;93,39;94,05;92,34;93,23;;
2021-10-26;92,47;94,41;92,34;93,41;;
2021-10-25;88,51;92,75;88,25;92,39;;
2021-10-24;88,49;88,49;88,49;88,49;;
2021-10-23;88,51;88,51;88,49;88,49;;
2021-10-22;87,38;89,49;87,26;88,51;;
2021-10-21;85,34;88,45;84,04;87,28;;
2021-10-20;86,52;86,77;83,98;85,43;;
2021-10-19;87,33;88,18;86,36;86,58;;
2021-10-18;89,29;90,18;86,61;87,31;;
2021-10-17;89,45;89,49;89,43;89,45;;
2021-10-16;89,65;89,70;89,45;89,45;;
2021-10-15;88,10;90,26;87,88;89,65;;
