Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;83,80;83,94;83,34;83,44;166.016;13.863.583
2021-12-29;84,70;84,72;83,46;83,66;212.560;17.810.965
2021-12-28;84,70;85,90;84,54;84,68;247.124;21.049.251
2021-12-27;84,30;84,76;83,96;84,44;245.524;20.714.123
2021-12-23;83,30;84,82;83,24;84,52;286.471;24.169.258
2021-12-22;81,80;82,78;81,36;82,78;241.583;19.883.048
2021-12-21;82,00;82,28;81,08;81,98;401.563;32.861.448
2021-12-20;81,50;82,36;80,54;80,98;667.329;54.249.926
2021-12-17;86,80;86,80;83,92;84,02;892.664;75.606.133
2021-12-16;87,40;88,94;87,32;87,32;644.447;56.695.871
2021-12-15;87,40;87,64;86,14;86,26;494.043;42.831.861
2021-12-14;86,78;88,44;86,78;86,98;719.740;62.968.277
2021-12-13;84,60;88,30;84,60;86,54;1.043.217;90.918.701
2021-12-10;84,00;86,24;83,80;84,08;663.670;56.317.309
2021-12-09;85,00;86,52;84,28;84,38;857.267;72.949.474
2021-12-08;81,62;85,12;81,50;84,36;1.388.135;116.088.827
2021-12-07;76,44;83,00;75,74;81,52;1.981.823;158.169.996
2021-12-06;74,90;75,48;73,64;75,16;557.632;41.704.214
2021-12-03;75,54;75,64;73,74;74,16;632.614;47.115.080
2021-12-02;75,72;76,22;74,74;74,90;703.176;52.924.025
2021-12-01;75,32;77,30;74,78;76,64;882.074;67.511.539
2021-11-30;74,00;74,90;73,30;74,18;1.189.083;88.116.384
2021-11-29;75,50;76,02;74,34;75,00;723.619;54.450.511
2021-11-26;76,38;76,70;74,10;74,76;1.301.565;98.273.207
2021-11-25;80,20;80,36;78,60;78,98;545.922;43.215.694
2021-11-24;81,40;81,42;78,80;79,92;731.325;58.420.769
2021-11-23;81,20;82,06;80,38;81,30;604.677;49.100.100
2021-11-22;82,10;82,50;81,36;81,86;581.422;47.653.674
2021-11-19;83,78;84,12;81,08;82,10;968.008;79.473.627
2021-11-18;84,52;85,20;83,56;84,00;473.715;39.960.179
2021-11-17;84,20;84,72;83,68;84,54;499.583;42.123.369
2021-11-16;84,06;85,32;84,06;84,58;469.733;39.725.076
2021-11-15;83,80;84,88;83,20;84,26;371.829;31.306.941
2021-11-12;84,24;84,86;83,54;84,30;655.798;55.294.027
2021-11-11;85,72;86,42;83,98;84,16;664.481;56.162.510
2021-11-10;86,02;86,46;85,10;85,86;365.785;31.377.446
2021-11-09;87,28;87,74;85,48;85,82;702.386;60.783.723
2021-11-08;88,48;88,48;87,14;87,30;416.660;36.445.855
2021-11-05;87,16;89,32;86,52;88,78;482.804;42.594.202
2021-11-04;88,38;88,48;86,70;87,34;557.630;48.814.159
2021-11-03;89,50;89,74;87,06;87,50;631.659;55.640.412
2021-11-02;90,12;90,52;89,32;89,90;446.535;40.093.790
2021-11-01;90,50;91,64;90,18;90,28;324.322;29.392.066
2021-10-29;90,14;90,96;89,16;89,82;427.655;38.391.682
2021-10-28;92,20;92,68;90,34;90,88;617.080;56.221.355
2021-10-27;93,54;94,04;92,28;93,42;339.102;31.639.579
2021-10-26;93,00;94,40;92,42;93,80;624.782;58.455.021
2021-10-25;88,46;92,76;88,30;92,58;860.093;78.717.081
2021-10-22;87,68;89,48;87,42;88,40;445.423;39.501.740
2021-10-21;84,48;88,44;84,04;87,16;801.800;69.278.977
2021-10-20;86,04;86,76;83,96;85,56;516.775;44.040.860
2021-10-19;87,50;88,20;86,36;86,40;335.909;29.233.953
2021-10-18;90,02;90,16;86,62;87,20;491.785;43.195.601
2021-10-15;88,38;90,28;88,08;90,24;595.891;53.539.312
2021-10-14;88,20;88,50;87,54;88,10;306.158;26.941.476
2021-10-13;84,88;88,62;84,68;87,46;957.637;83.627.955
2021-10-12;83,56;84,84;82,80;84,76;455.022;38.316.356
2021-10-11;83,00;84,60;82,70;84,46;337.759;28.347.280
2021-10-08;84,82;85,16;83,98;84,08;401.129;33.824.007
2021-10-07;82,80;84,80;82,40;84,70;507.328;42.628.744
2021-10-06;83,90;83,90;81,08;81,76;725.634;59.432.209
2021-10-05;84,02;85,18;83,68;84,78;383.883;32.477.923
2021-10-04;85,24;85,44;84,02;84,06;383.237;32.389.061
2021-10-01;84,00;86,02;83,34;85,66;417.628;35.526.002
2021-09-30;86,84;86,84;84,82;85,94;310.367;26.617.649
2021-09-29;84,48;86,58;84,48;86,12;432.243;37.167.918
