Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;107,25;108,125;106,05;107,225;;
2021-12-29;106,80;107,775;106,275;107,175;;
2021-12-28;105,45;107,25;105,375;106,70;;
2021-12-27;105,60;105,80;104,475;105,525;;
2021-12-23;105,25;106,05;104,325;105,90;;
2021-12-22;103,05;105,30;102,75;105,275;;
2021-12-21;103,475;105,375;102,125;103,05;;
2021-12-20;101,65;103,10;99,53;102,95;;
2021-12-19;102,80;102,90;102,325;102,50;;
2021-12-18;102,80;102,90;102,80;102,90;;
2021-12-17;104,45;105,375;102,425;102,80;;
2021-12-16;106,025;111,05;103,80;104,55;;
2021-12-15;103,475;105,60;102,80;105,425;;
2021-12-14;105,575;106,625;102,625;103,325;;
2021-12-13;107,10;107,275;105,075;105,425;;
2021-12-12;106,85;107,175;106,85;106,85;;
2021-12-11;106,85;106,95;106,825;106,85;;
2021-12-10;107,475;107,75;106,425;106,85;;
2021-12-09;108,70;109,175;107,075;107,80;;
2021-12-08;110,375;110,40;108,225;108,675;;
2021-12-07;106,45;110,475;106,45;110,25;;
2021-12-06;104,675;106,50;104,35;106,15;;
2021-12-05;103,70;103,85;103,525;103,725;;
2021-12-04;103,95;103,95;103,275;103,275;;
2021-12-03;106,325;106,725;103,425;103,95;;
2021-12-02;106,60;107,625;105,05;106,375;;
2021-12-01;107,275;108,575;105,175;106,00;;
2021-11-30;104,85;108,425;104,425;106,875;;
2021-11-29;103,50;106,925;102,575;106,875;;
2021-11-28;101,30;102,125;101,10;101,625;;
2021-11-27;102,725;102,725;101,30;101,30;;
2021-11-26;106,45;107,50;102,50;102,725;;
2021-11-25;108,675;109,70;107,65;108,75;;
2021-11-24;110,95;111,125;106,725;108,375;;
2021-11-23;113,35;113,425;110,15;110,825;;
2021-11-22;114,60;115,25;112,00;113,525;;
2021-11-21;114,50;114,575;114,225;114,225;;
2021-11-20;114,575;114,575;114,50;114,575;;
2021-11-19;115,10;115,40;114,125;114,50;;
2021-11-18;113,525;115,125;113,35;114,90;;
2021-11-17;112,875;114,075;112,70;113,45;;
2021-11-16;111,425;113,70;109,80;112,875;;
2021-11-15;111,65;112,475;110,825;111,425;;
2021-11-14;111,65;111,85;111,65;111,85;;
2021-11-13;111,65;111,75;111,65;111,75;;
2021-11-12;110,10;111,775;109,45;111,65;;
2021-11-11;110,025;110,50;108,525;110,00;;
2021-11-10;111,20;111,55;107,90;110,00;;
2021-11-09;111,175;111,975;109,975;111,50;;
2021-11-08;112,725;112,725;110,80;111,275;;
2021-11-07;112,625;112,775;112,60;112,775;;
2021-11-06;112,625;112,675;112,55;112,65;;
2021-11-05;110,775;113,50;110,475;112,625;;
2021-11-04;109,825;111,425;109,40;110,825;;
2021-11-03;107,55;109,90;107,375;109,775;;
2021-11-02;107,575;107,90;106,00;107,75;;
2021-11-01;108,025;108,425;106,525;107,725;;
2021-10-31;107,85;108,00;107,825;107,975;;
2021-10-30;107,85;107,85;107,85;107,85;;
2021-10-29;106,75;107,90;105,725;107,85;;
2021-10-28;105,90;108,775;105,90;106,85;;
2021-10-27;102,225;106,625;102,20;105,80;;
2021-10-26;102,40;103,625;102,075;102,25;;
2021-10-25;102,775;103,475;101,825;102,20;;
2021-10-24;102,775;102,775;102,70;102,70;;
2021-10-23;102,775;102,775;102,675;102,70;;
2021-10-22;102,35;103,825;101,875;102,775;;
2021-10-21;99,82;102,425;99,11;102,20;;
2021-10-20;100,60;101,25;99,43;99,94;;
2021-10-19;100,35;101,975;100,325;100,65;;
2021-10-18;101,475;101,475;99,72;100,35;;
2021-10-17;101,575;101,65;101,55;101,60;;
2021-10-16;101,575;101,675;101,525;101,60;;
2021-10-15;101,85;101,875;100,30;101,575;;
