Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;107,10;108,10;107,10;107,50;109.363;11.759.716
2021-12-29;106,80;107,75;106,30;107,05;151.861;16.262.446
2021-12-28;105,45;107,00;105,35;106,80;108.339;11.556.287
2021-12-27;105,20;105,70;104,45;105,65;102.368;10.770.511
2021-12-23;105,35;105,80;104,30;105,60;165.894;17.468.019
2021-12-22;103,20;105,10;102,75;105,10;219.764;22.970.501
2021-12-21;103,40;103,90;102,15;102,85;239.659;24.656.298
2021-12-20;101,65;102,90;100,75;102,15;271.299;27.671.588
2021-12-17;104,15;105,40;102,45;103,05;536.224;55.400.109
2021-12-16;106,40;106,95;104,60;104,80;428.171;45.232.445
2021-12-15;103,15;105,05;102,85;104,55;242.326;25.326.203
2021-12-14;106,10;106,60;102,65;103,10;324.309;33.647.984
2021-12-13;106,75;107,25;105,70;105,75;215.191;22.831.870
2021-12-10;107,00;107,75;106,45;106,50;245.178;26.192.421
2021-12-09;108,90;109,15;107,10;108,05;249.518;26.942.084
2021-12-08;109,85;110,15;108,25;108,40;255.100;27.797.679
2021-12-07;107,15;109,95;107,10;109,80;393.365;43.077.897
2021-12-06;104,80;106,50;104,45;106,00;266.586;28.209.232
2021-12-03;106,50;106,70;103,60;104,15;240.652;25.234.304
2021-12-02;107,00;107,05;105,05;105,60;335.642;35.506.485
2021-12-01;107,70;108,55;105,20;108,20;382.889;41.163.614
2021-11-30;104,70;108,40;104,60;106,75;571.433;61.023.465
2021-11-29;105,20;106,90;105,15;106,35;370.674;39.394.842
2021-11-26;105,00;106,60;103,80;103,95;425.719;44.701.254
2021-11-25;109,10;109,60;107,70;108,70;158.591;17.215.412
2021-11-24;110,55;111,10;106,75;108,60;373.571;40.491.274
2021-11-23;113,00;113,00;110,35;110,45;350.261;38.937.205
2021-11-22;115,05;115,25;113,80;113,80;193.029;22.055.925
2021-11-19;114,85;115,40;114,10;114,70;343.101;39.367.608
2021-11-18;113,40;114,60;113,35;114,60;237.681;27.142.583
2021-11-17;113,35;114,10;112,90;113,50;270.599;30.707.468
2021-11-16;111,60;113,70;111,50;113,40;247.798;28.024.980
2021-11-15;111,35;112,45;110,85;111,50;145.372;16.231.856
2021-11-12;109,65;111,45;109,50;111,30;175.787;19.499.699
2021-11-11;110,30;110,55;108,55;109,75;273.788;29.994.698
2021-11-10;111,25;111,25;107,95;110,50;320.761;35.234.656
2021-11-09;110,55;111,95;109,95;111,50;183.316;20.413.738
2021-11-08;112,05;112,75;110,90;110,90;172.466;19.182.731
2021-11-05;111,05;113,35;110,95;112,30;298.267;33.524.018
2021-11-04;110,30;111,40;109,90;111,05;345.453;38.294.224
2021-11-03;107,45;109,60;107,35;109,20;315.277;34.325.135
2021-11-02;106,55;107,75;105,90;107,45;234.846;25.185.616
2021-11-01;107,75;108,30;106,50;106,70;231.010;24.735.880
2021-10-29;106,35;107,30;105,70;107,30;343.217;36.706.430
2021-10-28;107,30;108,80;106,20;106,95;420.410;45.152.309
2021-10-27;106,00;106,65;103,70;106,15;604.877;63.903.741
2021-10-26;102,25;103,60;102,00;102,50;253.265;26.026.370
2021-10-25;103,20;103,20;101,85;102,05;252.861;25.826.959
2021-10-22;102,55;103,80;101,95;103,00;233.735;24.103.653
2021-10-21;99,60;102,40;99,16;102,00;355.069;36.103.790
2021-10-20;100,70;101,20;99,44;99,98;271.076;27.114.528
2021-10-19;100,70;101,95;100,60;100,70;327.724;33.158.797
2021-10-18;101,20;101,25;99,72;100,20;206.956;20.732.629
2021-10-15;101,00;101,55;100,30;101,55;258.924;26.217.433
2021-10-14;99,92;101,15;98,72;100,85;262.145;26.331.079
2021-10-13;97,34;99,74;96,84;99,46;238.499;23.671.750
2021-10-12;95,96;97,56;95,80;97,40;253.730;24.655.794
2021-10-11;98,68;99,18;96,86;96,96;376.930;36.712.758
2021-10-08;99,96;100,20;98,26;98,50;380.056;37.577.966
2021-10-07;98,56;100,40;97,76;100,35;427.818;42.658.062
2021-10-06;98,00;98,02;96,20;97,30;271.903;26.389.762
2021-10-05;97,88;99,46;97,50;98,94;321.156;31.726.007
2021-10-04;97,22;97,74;96,40;97,46;325.254;31.647.637
2021-10-01;95,12;98,26;94,70;97,36;345.855;33.636.160
2021-09-30;96,10;97,52;95,94;96,42;372.470;36.049.500
2021-09-29;96,10;97,52;95,68;95,74;212.807;20.468.960
2021-09-28;98,04;98,28;95,20;95,56;291.511;27.982.880
2021-09-27;100,30;100,60;97,66;98,08;234.723;23.089.311
2021-09-24;99,66;100,65;98,84;98,98;357.918;35.580.903
2021-09-23;101,45;102,85;101,30;102,10;276.649;28.271.835
2021-09-22;101,00;101,00;98,52;100,60;266.982;26.717.389
2021-09-21;99,60;100,85;99,06;100,05;211.420;21.134.414
2021-09-20;99,10;100,30;98,28;99,20;296.777;29.422.648
2021-09-17;102,05;102,75;100,50;100,75;1.357.737;137.119.054
