Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;49,03;49,37;48,915;49,05;;
2021-12-29;48,99;49,485;48,78;49,01;;
2021-12-28;49,29;49,85;48,815;48,99;;
2021-12-27;48,79;49,35;48,36;49,295;;
2021-12-23;48,89;49,175;48,64;48,785;;
2021-12-22;48,935;49,395;48,66;48,895;;
2021-12-21;49,445;49,83;48,695;48,935;;
2021-12-20;48,16;49,68;47,345;49,445;;
2021-12-19;48,795;48,93;48,72;48,795;;
2021-12-18;48,795;48,93;48,795;48,795;;
2021-12-17;48,765;49,755;48,40;48,795;;
2021-12-16;49,73;51,10;48,555;48,815;;
2021-12-15;48,17;49,57;47,815;49,395;;
2021-12-14;48,56;48,86;47,33;48,095;;
2021-12-13;48,17;48,55;47,99;48,425;;
2021-12-12;48,14;48,19;48,08;48,08;;
2021-12-11;48,14;48,14;48,07;48,14;;
2021-12-10;48,30;48,60;47,825;48,08;;
2021-12-09;48,28;48,825;48,03;48,09;;
2021-12-08;47,60;48,96;47,385;48,30;;
2021-12-07;47,445;47,985;47,09;47,555;;
2021-12-06;48,18;48,62;47,225;47,315;;
2021-12-05;47,885;47,885;47,70;47,78;;
2021-12-04;47,885;47,885;47,59;47,885;;
2021-12-03;48,31;48,65;47,605;47,86;;
2021-12-02;48,17;48,44;47,595;48,155;;
2021-12-01;48,665;49,265;47,34;47,785;;
2021-11-30;49,365;50,08;48,21;48,77;;
2021-11-29;51,10;51,47;48,76;49,365;;
2021-11-28;50,05;50,43;49,955;50,21;;
2021-11-27;50,43;50,57;50,05;50,43;;
2021-11-26;48,29;51,53;47,485;50,43;;
2021-11-25;48,54;49,185;48,51;48,96;;
2021-11-24;48,76;48,76;47,665;48,665;;
2021-11-23;49,03;49,195;47,69;48,72;;
2021-11-22;49,27;49,79;48,83;49,195;;
2021-11-21;49,195;49,27;49,195;49,26;;
2021-11-20;49,27;49,27;49,195;49,195;;
2021-11-19;49,16;50,31;49,155;49,195;;
2021-11-18;48,44;49,41;48,10;49,18;;
2021-11-17;49,24;50,09;47,52;48,44;;
2021-11-16;47,10;51,10;46,77;49,24;;
2021-11-15;47,165;47,435;46,735;47,10;;
2021-11-14;47,175;47,175;47,175;47,175;;
2021-11-13;47,175;47,175;47,175;47,175;;
2021-11-12;46,90;47,335;46,475;47,175;;
2021-11-11;46,31;47,00;45,78;46,88;;
2021-11-10;45,76;46,69;45,675;46,30;;
2021-11-09;46,82;47,135;45,71;45,77;;
2021-11-08;46,875;47,26;46,575;46,84;;
2021-11-07;46,85;46,88;46,84;46,88;;
2021-11-06;46,83;46,85;46,83;46,85;;
2021-11-05;48,09;48,795;45,555;46,83;;
2021-11-04;48,705;48,785;47,27;48,10;;
2021-11-03;47,47;49,93;47,365;48,685;;
2021-11-02;47,98;48,605;47,345;47,52;;
2021-11-01;48,24;49,04;47,895;48,03;;
2021-10-31;48,235;48,275;48,235;48,265;;
2021-10-30;48,235;48,235;48,235;48,235;;
2021-10-29;46,45;49,20;46,135;48,235;;
2021-10-28;46,16;46,935;45,915;46,53;;
2021-10-27;47,34;47,74;46,08;46,10;;
2021-10-26;47,06;47,61;46,70;47,34;;
2021-10-25;46,30;47,12;46,245;47,00;;
2021-10-24;46,28;46,28;46,28;46,28;;
2021-10-23;46,29;46,29;46,27;46,28;;
2021-10-22;46,155;46,595;46,04;46,29;;
2021-10-21;45,52;46,245;45,325;46,09;;
2021-10-20;45,14;45,925;44,96;45,58;;
2021-10-19;44,91;45,21;44,62;45,17;;
2021-10-18;44,475;45,09;44,20;44,90;;
2021-10-17;44,56;44,585;44,55;44,565;;
2021-10-16;44,56;44,59;44,54;44,56;;
2021-10-15;44,775;44,895;44,42;44,56;;
2021-10-14;44,32;44,92;44,265;44,72;;
2021-10-13;44,33;44,755;44,13;44,28;;
2021-10-12;43,87;44,72;43,65;44,26;;
2021-10-11;44,14;44,42;43,895;43,93;;
2021-10-10;44,08;44,08;44,08;44,08;;
2021-10-09;44,07;44,08;44,07;44,08;;
2021-10-08;44,29;44,50;43,80;44,07;;
2021-10-07;44,26;44,605;43,33;44,30;;
2021-10-06;43,74;44,475;43,285;44,14;;
2021-10-05;43,555;44,21;43,32;43,88;;
2021-10-04;43,89;44,17;43,085;43,535;;
2021-10-03;43,995;43,995;43,98;43,995;;
2021-10-02;44,00;44,00;43,995;43,995;;
2021-10-01;44,39;44,75;43,22;44,005;;
2021-09-30;44,695;45,285;44,435;44,63;;
2021-09-29;44,15;44,98;44,08;44,53;;
2021-09-28;44,92;45,125;43,76;44,075;;
2021-09-27;46,43;47,15;44,89;44,93;;
2021-09-26;46,26;46,34;46,24;46,33;;
2021-09-25;46,26;46,26;46,25;46,26;;
2021-09-24;46,65;46,935;45,92;46,26;;
2021-09-23;46,765;47,13;46,635;46,70;;
2021-09-22;46,72;47,195;46,145;46,695;;
2021-09-21;46,62;47,295;46,475;46,60;;
2021-09-20;46,04;46,63;45,575;46,45;;
2021-09-19;46,335;46,335;46,335;46,335;;
2021-09-18;46,335;46,335;46,335;46,335;;
2021-09-17;45,895;46,435;45,325;46,335;;
2021-09-16;45,195;45,90;44,22;45,895;;
2021-09-15;45,515;45,66;44,51;45,195;;
2021-09-14;45,275;45,815;44,96;45,515;;
2021-09-13;46,865;47,24;44,735;45,275;;
2021-09-12;46,865;46,865;46,865;46,865;;
2021-09-11;46,865;46,865;46,865;46,865;;
2021-09-10;47,075;47,345;46,72;46,865;;
2021-09-09;47,365;47,435;46,94;47,075;;
2021-09-08;47,71;47,795;47,225;47,365;;
2021-09-07;47,355;47,81;47,095;47,71;;
2021-09-06;47,745;48,895;47,29;47,355;;
2021-09-05;47,745;47,745;47,745;47,745;;
2021-09-04;47,745;47,745;47,745;47,745;;
2021-09-03;47,80;47,995;46,985;47,745;;
2021-09-02;47,31;47,935;47,215;47,80;;
2021-09-01;47,135;47,87;46,58;47,31;;
