Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;49,17;49,38;48,99;48,99;175.929;8.635.235
2021-12-29;49,47;49,47;48,80;48,98;288.574;14.165.071
2021-12-28;49,12;49,84;49,05;49,37;246.477;12.191.402
2021-12-27;48,50;49,18;48,31;49,06;289.365;14.179.136
2021-12-23;49,20;49,20;48,74;48,79;301.474;14.730.754
2021-12-22;49,38;49,38;48,69;49,09;335.723;16.448.456
2021-12-21;49,50;49,56;48,81;48,95;449.406;22.077.513
2021-12-20;48,58;49,56;48,26;49,14;476.685;23.366.290
2021-12-17;48,40;49,09;48,29;48,71;1.465.170;71.290.051
2021-12-16;49,40;49,70;48,92;49,24;745.967;36.753.215
2021-12-15;48,00;49,00;47,82;48,90;819.037;39.907.117
2021-12-14;48,47;48,84;47,34;48,02;896.193;43.062.780
2021-12-13;48,07;48,50;48,00;48,31;496.293;23.958.092
2021-12-10;48,23;48,60;47,83;48,44;639.502;30.899.886
2021-12-09;48,63;48,85;48,30;48,44;653.781;31.713.140
2021-12-08;47,97;48,96;47,65;48,38;843.752;40.739.631
2021-12-07;47,50;47,99;47,09;47,70;643.035;30.639.555
2021-12-06;48,38;48,65;47,57;47,57;577.283;27.591.290
2021-12-03;48,16;48,64;47,62;47,86;644.728;31.022.239
2021-12-02;47,93;48,29;47,61;48,02;983.524;47.196.251
2021-12-01;49,25;49,25;47,35;47,84;859.245;41.078.927
2021-11-30;48,81;50,18;48,77;49,00;1.172.323;57.672.372
2021-11-29;50,62;50,76;48,77;49,23;860.544;42.494.685
2021-11-26;48,43;51,56;47,97;50,44;2.132.208;106.856.488
2021-11-25;48,55;49,16;48,49;48,96;400.543;19.599.209
2021-11-24;48,56;48,61;47,68;48,44;852.612;41.087.837
2021-11-23;48,97;49,11;47,69;48,00;603.756;29.086.910
2021-11-22;49,64;49,78;49,11;49,11;631.230;31.115.451
2021-11-19;49,45;50,30;49,15;49,52;831.426;41.301.475
2021-11-18;48,96;49,40;48,54;49,32;802.750;39.411.310
