Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;35,375;35,745;35,27;35,625;;
2021-12-29;35,36;35,545;35,255;35,375;;
2021-12-28;34,92;35,395;34,725;35,36;;
2021-12-27;34,93;35,18;34,815;34,92;;
2021-12-23;34,98;35,60;34,725;34,93;;
2021-12-22;35,415;35,415;34,39;34,98;;
2021-12-21;34,79;35,44;34,69;35,415;;
2021-12-20;34,84;34,84;33,95;34,79;;
2021-12-19;34,84;34,84;34,84;34,84;;
2021-12-18;34,84;34,84;34,84;34,84;;
2021-12-17;34,895;35,035;34,515;34,84;;
2021-12-16;34,975;35,29;34,715;34,885;;
2021-12-15;34,39;34,975;34,125;34,975;;
2021-12-14;34,43;34,835;34,065;34,39;;
2021-12-13;34,60;34,915;34,34;34,43;;
2021-12-12;34,60;34,60;34,60;34,60;;
2021-12-11;34,60;34,60;34,60;34,60;;
2021-12-10;34,855;34,855;34,435;34,60;;
2021-12-09;34,825;35,095;34,585;34,855;;
2021-12-08;35,14;35,265;34,795;34,825;;
2021-12-07;35,18;35,495;34,89;35,14;;
2021-12-06;34,63;35,55;34,63;35,18;;
2021-12-05;34,63;34,63;34,63;34,63;;
2021-12-04;34,63;34,63;34,63;34,63;;
2021-12-03;34,555;34,80;34,205;34,63;;
2021-12-02;34,58;35,085;34,04;34,555;;
2021-12-01;34,16;35,315;34,15;34,58;;
2021-11-30;35,09;35,16;34,015;34,16;;
2021-11-29;33,58;35,495;33,575;35,09;;
2021-11-28;33,45;33,585;33,445;33,58;;
2021-11-27;33,52;33,52;33,45;33,45;;
2021-11-26;34,915;34,92;33,375;33,52;;
2021-11-25;32,865;35,09;32,85;34,915;;
2021-11-24;32,49;32,865;32,23;32,865;;
2021-11-23;32,39;32,75;31,925;32,49;;
2021-11-22;32,825;32,925;32,225;32,39;;
2021-11-21;32,825;32,825;32,825;32,825;;
2021-11-20;32,825;32,825;32,825;32,825;;
2021-11-19;33,41;33,55;32,755;32,825;;
2021-11-18;33,125;33,74;33,125;33,41;;
2021-11-17;33,10;33,195;32,815;33,125;;
2021-11-16;33,175;33,86;32,84;33,10;;
2021-11-15;32,225;33,325;31,635;33,175;;
2021-11-14;32,225;32,225;32,225;32,225;;
2021-11-13;32,225;32,225;32,225;32,225;;
2021-11-12;32,74;32,93;31,98;32,225;;
2021-11-11;32,55;33,525;32,13;32,74;;
2021-11-10;32,055;32,77;31,69;32,55;;
2021-11-09;32,035;32,625;31,84;32,055;;
2021-11-08;32,545;32,705;31,915;32,035;;
2021-11-07;32,545;32,545;32,545;32,545;;
2021-11-06;32,545;32,545;32,545;32,545;;
2021-11-05;32,78;32,86;32,425;32,545;;
2021-11-04;33,18;33,295;32,76;32,78;;
2021-11-03;33,48;33,51;32,79;33,18;;
2021-11-02;33,745;33,76;33,26;33,48;;
2021-11-01;33,26;33,815;33,255;33,745;;
2021-10-31;33,26;33,26;33,26;33,26;;
2021-10-30;33,26;33,26;33,26;33,26;;
2021-10-29;33,72;33,915;33,03;33,26;;
2021-10-28;33,495;33,815;33,255;33,72;;
2021-10-27;33,135;33,735;33,02;33,465;;
2021-10-26;32,735;33,325;32,465;33,14;;
2021-10-25;33,265;33,335;32,525;32,715;;
2021-10-24;33,255;33,255;33,255;33,255;;
2021-10-23;33,26;33,26;33,255;33,255;;
2021-10-22;32,80;33,65;32,795;33,26;;
2021-10-21;32,73;33,005;32,62;32,79;;
2021-10-20;32,33;33,065;32,23;32,745;;
2021-10-19;31,98;32,59;31,85;32,34;;
2021-10-18;32,005;32,36;31,755;31,975;;
2021-10-17;32,025;32,03;32,02;32,025;;
2021-10-16;32,025;32,03;32,02;32,025;;
2021-10-15;30,865;32,36;30,25;32,025;;
2021-10-14;31,02;31,215;30,605;30,85;;
2021-10-13;30,485;31,045;30,03;31,015;;
2021-10-12;30,08;30,615;29,68;30,475;;
2021-10-11;31,08;31,245;29,89;30,09;;
2021-10-10;31,05;31,05;31,05;31,05;;
2021-10-09;31,05;31,05;31,05;31,05;;
2021-10-08;31,76;31,805;30,905;31,05;;
2021-10-07;31,995;32,41;31,655;31,76;;
2021-10-06;31,92;31,99;31,27;31,98;;
2021-10-05;31,425;32,07;31,05;31,935;;
2021-10-04;30,735;31,475;30,605;31,42;;
2021-10-03;30,745;30,745;30,745;30,745;;
2021-10-02;30,745;30,745;30,745;30,745;;
2021-10-01;30,695;30,88;30,16;30,745;;
2021-09-30;31,505;31,65;30,385;30,72;;
2021-09-29;31,62;31,89;31,315;31,485;;
2021-09-28;32,23;32,43;31,42;31,61;;
2021-09-27;31,985;32,745;31,975;32,23;;
2021-09-26;31,97;31,975;31,965;31,975;;
2021-09-25;31,97;31,97;31,97;31,97;;
2021-09-24;32,225;32,395;31,925;31,97;;
2021-09-23;31,91;32,52;31,91;32,23;;
2021-09-22;32,02;32,42;31,86;31,90;;
2021-09-21;31,885;32,535;31,885;32,01;;
2021-09-20;31,925;32,41;31,49;31,87;;
2021-09-19;31,975;31,98;31,95;31,96;;
2021-09-18;31,975;31,975;31,975;31,975;;
2021-09-17;32,52;32,74;31,915;31,98;;
2021-09-16;32,67;32,67;32,20;32,51;;
2021-09-15;33,275;33,41;32,43;32,68;;
2021-09-14;33,05;33,515;32,65;33,25;;
2021-09-13;32,805;33,23;32,725;33,05;;
2021-09-12;32,78;32,795;32,78;32,79;;
2021-09-11;32,785;32,785;32,785;32,785;;
2021-09-10;33,10;33,27;32,665;32,785;;
2021-09-09;32,66;33,305;32,48;33,02;;
2021-09-08;32,705;32,78;32,145;32,725;;
2021-09-07;33,26;33,29;32,555;32,705;;
2021-09-06;33,295;33,62;33,18;33,28;;
2021-09-05;33,27;33,275;33,27;33,275;;
2021-09-04;33,27;33,27;33,27;33,27;;
2021-09-03;33,615;33,65;33,025;33,27;;
2021-09-02;33,445;33,685;33,36;33,565;;
2021-09-01;33,185;33,745;33,18;33,485;;
2021-08-31;32,71;33,525;32,60;33,105;;
2021-08-30;32,825;32,995;32,585;32,64;;
2021-08-29;32,815;32,845;32,815;32,845;;
2021-08-28;32,815;32,825;32,815;32,815;;
2021-08-27;32,975;33,035;32,775;32,835;;
2021-08-26;33,03;33,105;32,755;32,94;;
2021-08-25;33,38;33,52;33,055;33,10;;
2021-08-24;33,505;33,63;33,105;33,39;;
2021-08-23;33,61;34,06;32,795;33,44;;
2021-08-22;33,45;33,45;33,45;33,45;;
2021-08-21;33,55;33,55;33,45;33,45;;
2021-08-20;32,705;33,595;32,655;33,54;;
2021-08-19;32,35;33,335;32,10;32,895;;
2021-08-18;31,94;32,645;31,69;32,39;;
2021-08-17;31,465;31,965;31,29;31,80;;
2021-08-16;31,27;31,695;31,235;31,56;;
2021-08-15;31,405;31,405;31,385;31,39;;
2021-08-14;31,41;31,41;31,405;31,405;;
2021-08-13;31,185;31,465;30,83;31,41;;
2021-08-12;31,34;31,475;30,915;31,20;;
2021-08-11;31,28;31,615;31,14;31,36;;
2021-08-10;31,03;31,515;30,975;31,315;;
2021-08-09;30,53;31,345;30,485;31,03;;
2021-08-08;30,61;30,62;30,605;30,605;;
2021-08-07;30,61;30,61;30,61;30,61;;
2021-08-06;30,795;30,83;30,40;30,61;;
2021-08-05;30,37;30,98;30,26;30,785;;
2021-08-04;30,16;30,465;30,10;30,32;;
2021-08-03;30,285;30,485;30,115;30,115;;
2021-08-02;30,16;30,45;29,945;30,17;;
2021-08-01;30,02;30,03;29,995;29,995;;
2021-07-31;30,035;30,035;30,02;30,02;;
2021-07-30;29,805;30,485;29,75;30,03;;
2021-07-29;29,98;30,19;29,79;29,955;;
2021-07-28;29,79;30,235;29,77;30,01;;
2021-07-27;29,90;30,04;29,61;29,825;;
2021-07-26;30,015;30,37;29,825;29,98;;
2021-07-25;30,175;30,175;30,155;30,155;;
2021-07-24;30,175;30,175;30,175;30,175;;
2021-07-23;29,855;30,355;29,85;30,175;;
2021-07-22;29,15;29,90;29,14;29,88;;
2021-07-21;28,795;29,245;28,61;29,165;;
2021-07-20;29,105;29,31;28,38;28,85;;
2021-07-19;30,355;30,36;28,595;29,095;;
2021-07-18;30,38;30,445;30,35;30,445;;
2021-07-17;30,27;30,38;30,27;30,38;;
