Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;35,35;35,74;35,27;35,72;1.224.861;43.709.899
2021-12-29;35,44;35,54;35,26;35,41;1.046.834;37.076.318
2021-12-28;34,84;35,43;34,74;35,43;1.552.830;54.798.323
2021-12-27;35,00;35,18;34,82;34,82;936.565;32.723.019
2021-12-23;35,35;35,35;34,87;35,06;1.155.808;40.495.661
2021-12-22;35,27;35,29;34,40;34,97;1.741.575;60.695.865
2021-12-21;34,96;35,44;34,69;35,30;1.998.528;70.308.042
2021-12-20;34,31;34,82;33,94;34,66;1.972.026;67.968.949
2021-12-17;34,96;35,04;34,51;34,94;2.900.575;101.018.573
2021-12-16;35,20;35,30;34,72;34,96;3.316.468;116.057.353
2021-12-15;34,39;34,76;34,12;34,76;2.363.294;81.867.609
2021-12-14;34,61;34,84;34,06;34,31;2.170.117;74.772.546
2021-12-13;34,57;34,91;34,34;34,45;2.071.285;71.643.044
2021-12-10;34,77;34,83;34,41;34,52;1.832.842;63.421.755
2021-12-09;34,99;35,09;34,58;34,90;1.557.224;54.337.338
2021-12-08;35,20;35,26;34,78;34,78;1.953.019;68.236.370
2021-12-07;35,20;35,44;34,89;35,10;2.375.202;83.448.508
2021-12-06;35,02;35,55;34,74;35,21;2.611.745;91.902.618
2021-12-03;34,41;34,80;34,21;34,64;2.542.363;87.835.530
2021-12-02;35,01;35,03;34,04;34,16;2.502.339;85.838.931
2021-12-01;34,32;35,33;34,20;35,19;2.978.153;103.982.225
2021-11-30;34,76;35,03;34,15;34,15;4.239.535;145.633.705
2021-11-29;34,15;35,50;34,08;35,02;4.025.080;141.064.305
2021-11-26;34,09;34,87;33,78;34,11;4.466.383;153.278.003
2021-11-25;32,91;35,09;32,91;34,96;6.345.603;218.314.261
2021-11-24;32,50;32,82;32,22;32,73;2.135.042;69.561.200
2021-11-23;32,24;32,76;31,93;32,50;2.381.187;77.070.405
2021-11-22;32,71;32,88;32,23;32,42;2.176.262;70.650.388
2021-11-19;33,42;33,53;32,75;32,75;2.702.547;89.341.835
2021-11-18;33,43;33,75;33,12;33,41;1.932.899;64.562.623
2021-11-17;32,87;33,17;32,81;33,14;1.502.079;49.603.914
2021-11-16;33,50;33,86;32,84;32,94;3.374.672;112.135.664
2021-11-15;31,99;33,33;31,64;33,23;4.803.222;157.212.046
2021-11-12;32,68;32,92;31,98;32,13;2.529.331;81.522.721
2021-11-11;32,74;33,54;32,14;32,66;2.863.599;93.555.779
2021-11-10;32,13;32,67;31,69;32,60;2.238.715;72.484.650
2021-11-09;31,96;32,62;31,84;32,07;1.767.384;56.899.512
2021-11-08;32,45;32,70;31,91;32,04;2.340.202;75.152.617
2021-11-05;32,84;32,89;32,48;32,48;1.716.909;55.940.159
2021-11-04;32,86;33,29;32,77;32,80;1.823.594;60.050.778
2021-11-03;33,42;33,42;32,79;32,89;2.623.488;86.470.644
2021-11-02;33,57;33,75;33,26;33,44;1.466.533;49.178.568
