Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-12-30;123,18;124,63;123,04;124,31;;
2021-12-29;124,75;124,87;122,97;123,16;;
2021-12-28;124,49;125,27;123,54;124,73;;
2021-12-27;123,19;124,68;122,71;124,53;;
2021-12-23;122,77;123,70;122,07;123,28;;
2021-12-22;121,76;122,77;120,97;122,76;;
2021-12-21;121,10;122,54;120,12;121,86;;
2021-12-20;121,77;122,54;118,98;120,80;;
2021-12-19;123,26;123,26;122,72;122,72;;
2021-12-18;123,26;123,26;123,26;123,26;;
2021-12-17;123,35;123,99;120,52;123,26;;
2021-12-16;122,55;125,42;120,72;121,65;;
2021-12-15;120,38;122,62;119,65;122,20;;
2021-12-14;122,53;123,18;119,54;120,30;;
2021-12-13;119,65;123,41;119,63;122,43;;
2021-12-12;119,51;119,69;119,51;119,51;;
2021-12-11;119,51;119,55;119,48;119,51;;
2021-12-10;117,60;119,85;117,28;119,51;;
2021-12-09;118,68;119,38;117,68;117,78;;
2021-12-08;119,50;120,09;118,19;118,71;;
2021-12-07;117,84;119,98;117,18;119,68;;
2021-12-06;114,62;117,46;113,78;117,46;;
2021-12-05;113,62;114,27;113,60;114,24;;
2021-12-04;113,94;113,94;113,38;113,38;;
2021-12-03;115,62;115,99;113,43;113,94;;
2021-12-02;115,20;116,40;113,98;115,65;;
2021-12-01;114,10;117,14;113,08;114,60;;
2021-11-30;116,54;117,11;112,97;113,64;;
2021-11-29;114,63;118,22;114,42;118,16;;
2021-11-28;113,13;113,47;113,02;113,38;;
2021-11-27;114,18;114,18;113,13;113,13;;
2021-11-26;118,01;119,07;113,46;114,18;;
2021-11-25;119,38;120,07;119,01;119,18;;
2021-11-24;120,46;120,46;117,08;119,20;;
2021-11-23;121,22;121,22;119,15;120,37;;
2021-11-22;124,92;125,64;121,23;121,32;;
2021-11-21;124,91;124,91;124,67;124,67;;
2021-11-20;124,91;124,91;124,91;124,91;;
2021-11-19;124,90;126,38;124,29;124,89;;
2021-11-18;125,34;125,65;124,06;124,71;;
2021-11-17;125,11;126,47;125,04;125,25;;
2021-11-16;124,45;125,95;124,45;125,17;;
2021-11-15;124,88;125,18;123,67;124,45;;
2021-11-14;124,92;124,98;124,92;124,98;;
2021-11-13;124,92;124,92;124,92;124,92;;
2021-11-12;126,68;127,44;123,59;124,92;;
2021-11-11;126,80;127,41;126,16;126,56;;
2021-11-10;127,69;128,46;126,55;126,69;;
2021-11-09;128,49;129,04;127,67;127,82;;
2021-11-08;128,99;129,53;128,18;128,60;;
2021-11-07;128,94;129,00;128,93;129,00;;
2021-11-06;128,90;128,94;128,90;128,94;;
2021-11-05;128,21;129,74;127,91;128,90;;
2021-11-04;128,28;129,52;127,31;128,24;;
2021-11-03;126,58;128,76;126,53;128,26;;
2021-11-02;125,82;127,56;125,77;126,64;;
2021-11-01;125,05;126,67;124,96;125,89;;
2021-10-31;125,04;125,13;125,04;125,10;;
2021-10-30;125,04;125,04;125,04;125,04;;
2021-10-29;125,66;125,78;122,99;125,05;;
2021-10-28;124,59;126,69;124,57;125,85;;
2021-10-27;125,21;125,88;123,97;124,59;;
2021-10-26;124,36;126,45;124,06;125,21;;
2021-10-25;121,64;124,85;121,52;124,36;;
2021-10-24;121,64;121,64;121,64;121,64;;
2021-10-23;121,64;121,64;121,64;121,64;;
2021-10-22;120,50;123,10;119,96;121,64;;
2021-10-21;123,82;126,39;118,59;120,50;;
2021-10-20;124,17;125,23;123,36;123,82;;
2021-10-19;125,14;125,38;123,33;124,17;;
2021-10-18;125,57;125,72;123,88;125,14;;
2021-10-17;125,57;125,57;125,57;125,57;;
2021-10-16;125,57;125,57;125,57;125,57;;
2021-10-15;124,72;126,06;124,52;125,57;;
2021-10-14;122,11;125,19;122,11;124,72;;
2021-10-13;116,62;122,77;116,62;122,11;;
2021-10-12;117,02;117,82;115,99;116,62;;
2021-10-11;117,29;117,46;115,74;117,02;;
2021-10-10;117,29;117,29;117,29;117,29;;
2021-10-09;117,29;117,29;117,29;117,29;;
2021-10-08;117,75;118,52;116,74;117,29;;
2021-10-07;117,05;118,57;117,01;117,75;;
2021-10-06;115,21;117,41;112,77;117,05;;
2021-10-05;114,90;115,60;113,89;115,21;;
2021-10-04;117,29;117,31;114,36;114,90;;
2021-10-03;117,29;117,29;117,29;117,29;;
2021-10-02;117,29;117,29;117,29;117,29;;
2021-10-01;116,64;117,66;114,25;117,29;;
2021-09-30;117,67;119,09;116,48;116,64;;
2021-09-29;118,10;120,10;117,56;117,67;;
2021-09-28;121,62;121,77;117,63;118,10;;
2021-09-27;121,55;122,98;120,84;121,62;;
2021-09-26;121,55;121,55;121,55;121,55;;
2021-09-25;121,55;121,55;121,55;121,55;;
2021-09-24;123,04;123,05;120,87;121,55;;
2021-09-23;121,17;123,37;121,17;123,04;;
2021-09-22;120,98;122,08;120,42;121,17;;
2021-09-21;118,42;121,69;118,42;120,98;;
2021-09-20;122,00;122,01;117,43;118,42;;
2021-09-19;122,22;122,24;121,98;122,00;;
2021-09-18;122,22;122,22;122,22;122,22;;
2021-09-17;123,10;124,16;121,39;122,26;;
2021-09-16;122,02;123,26;121,65;123,06;;
2021-09-15;122,71;124,14;121,17;122,08;;
2021-09-14;122,80;123,05;121,55;122,68;;
2021-09-13;122,97;124,19;122,48;122,80;;
2021-09-12;122,88;122,89;122,88;122,89;;
2021-09-11;122,88;122,88;122,88;122,88;;
2021-09-10;123,23;124,50;122,84;122,88;;
2021-09-09;124,03;124,42;122,32;123,17;;
2021-09-08;126,47;126,52;123,52;124,07;;
2021-09-07;127,54;127,94;126,40;126,50;;
2021-09-06;125,81;128,06;125,59;127,54;;
2021-09-05;125,81;125,81;125,81;125,81;;
2021-09-04;125,81;125,81;125,81;125,81;;
2021-09-03;125,66;126,12;124,22;125,81;;
2021-09-02;126,98;127,17;125,15;125,65;;
2021-09-01;127,04;129,21;126,92;126,99;;
2021-08-31;126,57;128,49;126,43;127,02;;
2021-08-30;125,88;126,77;125,33;126,55;;
2021-08-29;125,88;125,89;125,88;125,89;;
2021-08-28;125,88;125,88;125,88;125,88;;
2021-08-27;125,03;126,37;124,56;125,89;;
2021-08-26;124,88;125,58;123,63;125,00;;
2021-08-25;126,13;126,75;124,77;124,92;;
2021-08-24;126,62;127,27;125,31;126,17;;
2021-08-23;126,54;127,09;125,42;126,58;;
2021-08-22;126,37;126,37;126,37;126,37;;
2021-08-21;126,37;126,37;126,37;126,37;;
2021-08-20;125,63;126,77;124,81;126,34;;
2021-08-19;125,71;126,30;124,07;126,11;;
2021-08-18;127,36;127,46;125,71;125,83;;
2021-08-17;124,93;127,18;124,70;126,94;;
2021-08-16;124,82;125,79;124,35;125,20;;
2021-08-15;125,28;125,28;125,19;125,22;;
2021-08-14;125,29;125,29;125,28;125,28;;
2021-08-13;125,46;126,26;125,08;125,29;;
2021-08-12;123,62;125,95;122,56;125,51;;
2021-08-11;124,23;125,09;123,42;123,71;;
2021-08-10;124,60;126,14;123,91;124,33;;
2021-08-09;124,38;124,84;123,63;124,60;;
2021-08-08;124,63;124,65;124,61;124,61;;
2021-08-07;124,63;124,63;124,63;124,63;;
